year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Kurnell South 132_11kV,01MAY2017,MW,2.67365,3.01674,3.01674,2.94842,3.01298,3.01298,2.79130,2.74812,2.69732,2.73278,2.59839,2.64106,2.64106,2.64106,2.46263,2.39398,2.13359,1.96856,1.96762,2.33785,2.68450,2.77191,2.58605,2.60116,3.09349,3.32934,3.34787,3.32412,3.10837,3.20707,3.66014,3.80780,3.90456,4.10361,4.03650,4.08372,4.17789,4.02019,3.98836,4.03845,4.06183,4.01248,3.93153,3.93153,3.93153,3.95956,4.00692,4.10941,3.95337,3.64377,3.70326,3.41228,3.30986,3.68444,3.77301,3.86697,3.75518,3.87425,3.94803,3.91632,3.90587,3.69311,3.49344,3.85712,3.99542,4.02094,4.02672,4.10233,4.21149,4.34605,4.50633,4.54510,4.60490,4.57166,4.47177,4.31332,4.26434,4.26582,4.25119,4.16760,4.11585,4.03840,3.96910,3.86626,3.91183,3.89525,3.85232,3.89186,3.92943,3.79082,3.32253,3.33243,3.41884,3.21523,3.25033,3.31371
2018,Kurnell South 132_11kV,02MAY2017,MW,3.35008,3.44348,3.46839,3.23354,3.69534,3.56454,3.54861,3.39655,3.32566,3.32292,3.31470,3.04399,2.79554,3.14863,3.09341,3.12551,3.12811,3.12659,3.24221,2.96805,2.83365,2.96414,3.10560,3.00643,3.12623,3.55635,3.74266,3.77574,3.83617,3.86048,4.17953,4.22480,4.24977,4.75240,4.35530,4.13986,4.51982,4.48796,4.46348,4.67224,4.89190,4.87643,4.90898,4.82749,4.81046,4.94131,4.96091,4.94753,4.97955,4.92735,4.93743,4.84074,4.77107,4.76629,5.00776,4.65864,4.11093,3.99451,4.45299,4.47757,4.46176,4.41906,4.37788,4.25593,4.31950,4.29193,4.34768,4.43541,4.62288,4.77454,4.77420,4.86852,4.90955,4.90547,4.91694,4.94334,4.79560,4.69567,4.68587,4.57976,4.53925,4.58253,4.43944,4.35986,4.33085,4.37124,4.31660,4.25400,4.29744,4.14755,3.74534,3.63193,3.73337,3.57795,3.32473,3.17535
2018,Kurnell South 132_11kV,03MAY2017,MW,3.32395,3.68274,3.89708,3.74818,3.63849,3.52298,3.40483,3.36867,3.32871,3.14205,3.14071,3.14071,3.07285,3.01796,3.06333,3.01270,3.02474,3.12785,3.15198,3.22112,3.25311,3.37532,3.47691,3.40936,3.52955,3.60505,3.36169,3.56773,3.74889,4.17962,4.31592,4.29970,4.28363,4.22429,4.20864,4.19957,3.87663,3.68206,3.71637,3.79307,3.73822,3.75482,3.72546,3.86766,3.86766,3.86766,3.86766,3.86766,3.86766,3.86766,3.86766,3.76242,3.83761,3.71152,3.82446,3.93062,4.02595,4.01318,4.15965,4.14854,4.05568,4.10703,4.27917,4.42127,4.29102,4.38720,4.37762,4.45299,4.64254,4.72065,4.88346,4.90780,5.00189,5.00681,4.92145,4.85383,4.78519,4.56007,4.55228,4.48480,4.54558,4.28525,4.29594,4.24230,4.22815,4.26665,4.24710,4.02649,4.15855,4.12247,3.65895,3.28209,3.25984,3.18267,3.21237,3.07975
2018,Kurnell South 132_11kV,04MAY2017,MW,3.22429,3.22970,3.56447,3.50322,3.46851,3.44361,3.31138,3.26383,2.90163,2.81453,3.17718,3.48446,3.51921,2.86391,2.63353,3.03069,3.40690,3.45693,3.59134,3.62589,3.63002,3.59703,3.93912,3.91587,3.37761,3.61366,4.05697,4.26452,4.61816,4.97847,4.94088,5.06748,5.09529,5.05957,5.02034,4.94501,4.85451,4.84089,4.72315,4.73454,4.63896,4.77887,4.53445,4.41953,4.80747,4.90279,4.93619,4.88281,5.07119,5.10239,4.96170,5.07369,5.09220,5.57008,5.93724,5.85406,5.83721,5.53784,5.36901,5.12203,4.73268,4.79309,4.91612,4.91991,4.83626,4.75476,4.82075,4.75511,4.81710,5.38186,5.46507,5.07140,4.84223,4.50463,4.37563,4.25991,4.49226,4.72798,4.34135,4.19008,4.42509,4.64036,4.95919,4.93403,4.50562,3.89706,4.18294,4.35433,4.39864,4.25825,4.06316,4.01012,4.51366,4.58009,4.54085,3.84314
2018,Kurnell South 132_11kV,05MAY2017,MW,3.75884,3.97210,3.81000,3.68014,3.62897,3.61925,3.56148,3.39431,3.22519,3.10315,3.08864,3.10502,3.10488,3.01009,3.09375,3.09375,3.00127,3.09000,3.13068,3.12781,3.25905,3.30478,3.42697,3.61595,3.65257,3.81882,3.91510,4.10346,4.38827,4.27320,4.25451,4.40797,4.35907,4.24156,4.06729,4.11075,4.04840,3.98234,3.88436,3.97759,3.83315,3.78812,4.12207,4.37966,4.32663,4.37592,4.43829,4.49160,4.42069,4.27919,4.35536,4.31374,4.10665,4.52415,4.65404,4.68164,4.46568,4.36116,4.03308,4.06451,4.04767,4.23368,4.21329,4.29073,4.22005,4.21167,4.15436,4.29738,4.28264,4.45333,4.65359,4.65101,4.54271,4.57582,4.63820,4.48512,4.47251,4.45424,4.38512,4.16528,3.74181,3.74181,4.20954,4.34484,4.36356,4.07836,3.68904,3.67106,3.46792,3.24170,3.31729,2.77061,3.22745,3.21915,3.28376,3.23587
2018,Kurnell South 132_11kV,06MAY2017,MW,3.05699,3.25057,3.47319,3.40304,3.56744,3.46944,2.97818,2.96556,3.30226,3.23546,3.23088,3.23088,3.22837,2.74166,3.10195,3.15198,3.05566,3.11066,3.05767,3.15764,3.21235,3.24603,3.34327,3.58971,3.54165,3.59920,3.72171,3.74485,3.68963,3.60775,3.45178,3.52767,3.60453,3.53751,3.73242,3.35658,3.11135,3.10610,3.46120,3.57546,3.57558,3.63470,3.74137,3.74181,3.74181,3.69955,3.49370,3.07836,3.11707,3.16701,3.07241,2.99517,2.80966,2.70607,2.76315,2.92414,3.34988,3.39921,3.28441,3.33254,3.37034,3.55445,3.55772,3.59284,3.57275,3.57275,3.57275,3.57275,3.57275,3.57275,3.76377,4.10985,4.11534,4.11811,4.05550,3.97809,3.98750,3.90890,3.92275,3.95126,3.88537,3.91058,3.80120,3.76931,3.76662,3.90823,3.83450,3.87718,4.00862,4.03389,3.93528,3.73208,3.43005,3.53330,3.60926,3.58801
2018,Kurnell South 132_11kV,07MAY2017,MW,3.54905,3.75210,3.88081,3.91245,3.84888,3.71867,3.74760,3.65293,3.55600,3.60379,3.50939,3.45906,3.51802,3.44638,3.46380,3.46380,3.46380,3.46380,3.34695,3.01009,3.00920,3.01862,2.99726,2.96500,3.02549,2.93180,2.79504,2.73376,2.75094,2.70905,2.70256,2.72265,2.84858,2.89583,2.85707,2.85707,2.85707,2.85707,2.88595,2.87190,2.81023,2.80909,2.64714,2.56231,2.51582,2.53543,2.53005,2.61476,2.69718,2.74126,2.67804,2.57817,2.66720,2.59322,2.64106,2.86914,2.99077,2.96274,2.99764,3.06712,3.08935,2.69929,2.87174,3.14693,2.82374,2.83801,2.76681,2.82250,2.96437,3.05135,3.26127,3.39054,3.44722,3.38155,3.38491,3.24886,3.38566,3.70991,3.70419,3.36826,3.32986,3.52767,3.51511,3.52767,3.53193,3.12797,3.39763,3.30935,3.50988,3.49379,3.39927,3.35734,3.43687,3.52767,3.52767,3.13437
2018,Kurnell South 132_11kV,08MAY2017,MW,3.03177,3.35657,3.32705,3.42811,3.42617,3.25747,3.23839,3.17218,2.63579,2.54724,2.53586,2.53586,2.46313,2.47953,2.51332,2.36521,2.41728,2.54526,2.54526,2.54526,2.54526,2.75077,2.75564,2.75564,3.05581,3.30380,3.29167,3.39054,3.64650,3.80569,3.98532,4.35199,4.37953,4.30584,3.76524,3.42843,3.44567,3.42677,3.32083,3.27664,3.34214,3.48803,3.39801,3.42076,3.44468,3.44848,3.53894,3.66346,4.20668,4.10154,3.98352,4.05712,3.92028,3.90641,3.98316,4.03901,4.32842,4.37970,4.36849,4.20972,4.13296,4.15447,4.15209,4.25969,4.22374,4.24184,4.29500,4.31617,4.23051,4.41152,4.60965,4.54734,4.57104,4.62346,4.46648,4.03322,3.80567,4.22928,4.24400,4.17413,4.22429,4.00125,4.05374,3.87488,3.96580,3.92698,3.91620,3.82636,4.01817,3.91194,3.88970,3.69453,3.79625,3.67982,3.61003,3.36077
2018,Kurnell South 132_11kV,09MAY2017,MW,3.43108,3.66517,3.76002,3.70537,3.80004,3.67373,3.55900,3.63740,3.47479,3.51158,3.34546,3.34546,3.24068,3.34512,3.23501,3.32081,3.26044,3.08741,2.99676,3.39045,3.36884,3.55942,3.71317,3.38951,3.52852,3.80017,3.42670,3.89807,4.00851,4.10133,4.07796,4.06678,4.42693,4.51457,4.46646,4.34898,4.29145,4.16701,4.14211,3.96545,3.97501,3.66479,3.56902,3.60690,3.57341,3.60405,3.61265,3.63731,3.65709,3.66048,3.16898,3.17640,3.17640,3.15842,3.45738,3.52310,3.53813,3.60415,4.02706,4.02735,3.86154,3.65658,3.66177,3.75122,3.76116,3.77523,4.36724,4.50069,4.55940,4.66583,4.80617,4.91254,4.91774,4.89126,4.87184,4.93892,4.78738,4.76151,4.71809,4.69191,4.60372,4.46554,4.41311,4.36211,4.14453,3.75044,3.68016,3.63846,3.71559,3.85003,3.77504,3.70283,3.83869,3.80291,3.92749,3.77912
2018,Kurnell South 132_11kV,10MAY2017,MW,3.60584,3.85730,3.74862,3.66399,3.66032,3.67877,3.59946,3.53922,3.48636,3.39900,3.21531,3.18503,3.16444,3.11376,3.06841,3.07304,2.97235,2.99175,2.99283,2.97869,3.06842,3.15321,3.36710,3.69566,3.75419,3.90640,3.99050,4.13317,4.13165,4.26687,4.25579,4.27206,4.19827,4.21187,4.23728,4.14716,3.93236,3.82738,3.77777,3.76888,3.77484,3.65646,3.59529,3.63395,3.69317,3.59504,3.66989,3.67658,3.75818,3.71136,3.75283,3.78641,3.73066,3.65167,3.14823,3.32568,3.28730,3.26653,3.33158,3.73561,3.82933,3.81656,3.75324,3.50611,3.54831,3.56934,3.65227,3.58098,3.63654,3.86722,4.12554,4.30056,4.28155,4.23039,4.14733,4.03919,4.03036,3.98003,3.92930,3.95852,3.82355,3.70494,3.65081,3.67094,3.62215,3.44098,3.40715,3.38048,3.21016,3.01309,2.86315,2.71926,3.15853,3.26544,3.37364,3.37364
