year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Kurri 132_11kV,01MAY2014,MW,12.18852,11.59530,11.12788,10.34855,9.55219,8.98406,8.39769,8.10447,7.77811,7.52240,7.42195,7.32299,7.25107,7.13429,6.98230,6.94135,7.07034,7.21760,6.91341,6.96346,7.12292,8.76500,8.75620,9.26283,9.69754,9.95817,10.42310,11.09471,10.76261,10.89147,11.02064,11.38368,11.20804,11.32065,11.25557,10.73453,10.52525,10.88879,10.33605,10.09946,10.08835,10.01803,9.83354,9.83122,10.04765,10.00720,10.00262,10.16489,9.83653,9.98215,10.02097,10.17401,9.99079,9.91619,9.97374,10.14292,10.12745,9.93446,10.09330,10.02998,9.97210,10.10313,10.04467,9.91176,10.12344,10.24047,10.39115,10.72591,11.22249,11.51291,12.13997,12.45292,12.59081,12.58738,12.26175,12.14308,12.10144,11.82979,11.68951,11.54032,11.07696,10.85539,10.75032,10.70390,10.51961,10.64213,11.19485,11.05040,10.67783,10.14598,10.07262,9.85334,12.48906,12.65524,12.06687,11.33595
2015,Kurri 132_11kV,02MAY2014,MW,12.23509,11.91223,11.33199,10.58186,10.02799,9.56381,9.02480,8.68256,8.42623,8.29199,7.89668,7.65077,7.68880,7.63245,7.47340,7.49614,7.79464,7.82351,7.78378,8.00386,8.28879,8.55236,8.80218,9.01329,9.58477,9.79659,10.42610,10.82740,10.62499,10.63970,10.92109,10.98536,10.93139,10.64072,10.62440,10.39590,10.16885,10.05396,10.03981,9.91060,9.96862,9.90048,9.87780,9.89690,9.84489,9.71826,9.79666,9.78079,9.66818,9.87251,9.76874,9.72763,9.95126,9.65458,9.48522,9.55408,9.70113,9.86239,9.88163,9.91922,9.79934,9.95401,10.06275,9.99851,10.08285,10.25688,10.40005,10.70557,11.27060,11.59661,11.93128,12.34228,12.22203,12.17537,12.08444,11.64480,10.63635,10.54230,10.50538,10.23669,9.84032,9.74060,9.48426,9.37748,9.21500,9.28943,9.47907,9.35111,9.28979,9.05140,8.65525,8.59038,11.20079,11.24626,10.72438,10.02417
2015,Kurri 132_11kV,03MAY2014,MW,10.85080,10.41803,9.79498,9.21176,8.47755,7.95364,7.48369,7.02022,6.70859,6.42055,6.28302,6.18153,6.14004,6.08984,6.07347,6.04028,6.06747,6.02095,5.99467,6.14827,6.32388,6.66422,6.75409,6.84161,7.14211,7.31550,7.63758,7.74963,8.13893,8.76922,9.16125,9.05048,9.20647,9.54013,9.56405,9.58569,9.71342,9.53611,9.45532,9.74659,9.62994,8.96290,8.96930,8.65834,8.70052,8.64963,8.57836,8.49164,8.32150,8.01774,7.96029,7.92048,7.80488,7.66573,7.64965,7.73367,7.99186,7.97410,7.60268,7.74146,8.04092,8.22937,8.31896,8.42777,8.61131,8.94983,9.44786,10.19422,10.86367,11.57516,12.46890,12.83939,12.88934,13.01943,12.72291,12.66243,12.52336,12.12351,11.97141,11.80576,11.41688,11.02065,10.80623,10.70590,10.46186,10.25121,10.08444,9.86754,9.70408,9.28127,8.79445,8.68986,9.32913,9.01183,8.45173,7.95854
2015,Kurri 132_11kV,04MAY2014,MW,7.76398,7.38449,7.11837,6.73254,6.55963,6.35048,6.32946,6.15129,6.05853,5.91652,5.88151,5.86928,5.98839,5.87055,5.84872,5.73663,5.82424,5.83213,5.83894,6.00630,6.02333,6.19912,6.22766,6.31349,6.53592,6.78974,7.01649,7.25830,7.65267,8.02695,8.35821,8.61644,8.84583,9.42069,9.74576,9.76867,9.78214,9.97645,10.04273,9.63774,9.30248,9.00580,8.82748,8.63524,8.36357,8.08601,8.01417,7.87232,7.89436,7.64787,7.64457,7.69806,7.76821,7.39125,7.33568,7.29211,7.22411,7.22964,7.38936,7.37792,7.50126,7.75901,7.86969,8.24377,8.41613,8.64045,9.14643,9.93822,10.50068,11.23678,12.06846,12.53793,13.01756,13.15352,12.98257,12.80171,12.48357,12.24302,11.96312,11.70774,11.62537,11.38798,11.23691,10.89118,10.62553,10.26163,9.95675,9.72342,9.54765,9.50824,9.31632,8.89591,9.15054,8.72974,8.55445,8.25803
2015,Kurri 132_11kV,05MAY2014,MW,7.96402,7.58372,7.42620,7.31110,7.08687,6.86908,6.63757,6.57717,6.45867,6.45784,6.52002,6.55144,6.45355,6.40752,6.44416,6.40446,6.72047,6.74305,6.95494,7.21312,7.52533,7.91851,8.25297,8.62855,9.39280,9.59134,11.62734,12.21592,12.13359,12.56754,12.85271,13.02153,12.91150,12.80085,12.36837,11.95565,11.99224,11.78481,11.50366,11.33472,11.11077,11.06739,10.92155,10.80291,10.74155,10.49974,10.52672,10.49244,10.25784,10.13842,10.28716,10.34688,10.33318,10.41256,10.25881,10.25928,10.44331,10.44894,10.58568,10.25006,10.42669,10.65319,10.66465,10.21867,9.43051,10.11784,11.25728,12.55358,13.12698,13.76021,14.62343,14.83278,14.82528,14.83327,14.78348,14.56412,14.21296,14.05538,13.88991,13.46348,13.30039,13.05370,12.78688,12.55343,12.35694,12.46311,12.54078,12.41634,12.36523,11.90218,11.15375,10.88935,13.74626,13.66283,13.05426,12.35701
2015,Kurri 132_11kV,06MAY2014,MW,13.27830,12.86271,12.44322,11.64064,10.73363,10.13738,9.95284,9.45676,9.04580,8.71813,8.61106,8.44419,8.36736,8.23581,8.20310,8.11737,8.23791,8.36779,8.70451,8.89021,9.24738,9.66772,10.21343,10.61939,10.90064,11.18733,11.92902,12.56218,12.71150,13.20920,13.18604,13.16875,13.44627,13.61829,13.23424,12.93575,12.45240,12.51809,12.01994,11.83429,11.52082,11.38461,11.17806,11.00706,10.96456,10.66542,10.86602,10.70532,10.39100,10.28159,10.40452,10.38532,10.51610,10.27056,10.17710,10.26691,10.41543,10.39088,10.32876,10.30063,10.32380,10.37148,10.63310,10.80160,10.83970,11.00191,11.26128,11.95648,12.65105,13.29020,13.98331,14.38440,14.47354,14.41899,14.20951,14.11772,13.83839,13.50017,13.40889,13.19099,13.11917,12.80603,12.56075,12.23616,12.01773,12.07312,12.27042,12.07092,11.74578,11.47009,11.09035,10.78437,13.51160,13.35302,12.79754,12.09807
2015,Kurri 132_11kV,07MAY2014,MW,13.12430,12.84025,12.31122,11.54118,10.97427,10.34983,9.86094,9.46092,9.03000,8.80324,8.64479,8.42070,8.17447,8.11262,8.10784,8.11303,8.31160,8.28705,8.47090,8.67144,8.94348,9.15571,9.46925,9.79953,10.15921,10.63531,11.34363,12.12385,12.08828,12.63969,12.57426,12.64770,12.83033,12.76517,12.59093,11.97111,11.54954,11.28062,11.07796,11.16226,11.04164,10.96305,10.93933,10.76265,10.56316,10.93294,11.00113,10.92215,10.60541,10.40765,10.59249,10.46395,10.53280,10.45112,10.21146,10.28434,10.37709,10.19297,10.25051,10.28479,10.47610,10.74551,10.78402,10.91961,11.09831,11.49656,11.82517,12.36642,13.02353,13.73120,14.12516,14.42901,14.49889,14.62623,14.50569,14.20406,14.01545,13.98154,13.78690,13.66422,13.27861,12.82154,12.68238,12.45972,12.29994,12.32959,12.74406,12.39212,12.25603,11.91494,11.56839,11.36784,13.87181,13.92130,13.39823,12.92500
2015,Kurri 132_11kV,08MAY2014,MW,13.74317,13.40729,12.88298,12.25174,11.53341,10.81084,10.24417,9.61207,9.22945,8.98397,8.89319,8.59841,8.47291,8.39674,8.31264,8.26406,8.48527,8.64123,8.83372,8.93057,9.34587,9.53030,9.68060,9.98775,10.59108,11.07536,11.44424,11.92999,11.72563,11.93535,12.26240,12.45110,12.67828,12.75976,12.75808,12.39621,11.87159,11.94088,11.88224,11.73892,11.72654,11.56046,11.23392,11.51437,11.15413,11.33333,11.53183,11.60264,11.36168,11.30694,11.32740,11.07555,11.08112,11.37627,11.38136,11.07871,11.00529,11.26030,11.33108,11.28604,11.55802,11.41670,11.29546,11.39876,11.48669,11.66437,11.97911,12.50983,12.94311,13.61442,14.42377,14.51771,14.57612,14.60552,14.50075,14.25479,14.23778,13.85421,13.66680,13.45274,13.07804,12.86284,12.45194,11.61506,10.97724,11.06789,11.37120,11.15464,10.98415,10.54278,10.30071,9.85014,12.51897,12.26841,11.64855,11.06149
2015,Kurri 132_11kV,09MAY2014,MW,12.15411,11.72130,10.92879,10.18661,9.41350,8.81897,8.29057,7.85867,7.47054,7.26729,7.16526,6.92556,6.83239,6.79404,6.73258,6.63674,6.78444,6.81182,7.06867,7.18625,7.51879,7.70819,8.06166,8.60698,8.98638,9.31442,9.66263,10.13336,10.43332,10.82778,10.97201,11.06009,11.14774,10.93885,10.62790,10.45589,10.44787,10.37983,10.34112,10.35124,10.23674,10.18524,10.14637,9.96496,10.02220,10.00276,9.85168,9.88870,9.66036,9.34949,9.17871,9.09857,9.07596,9.16804,9.07125,9.02286,8.90516,8.66929,8.57046,8.63627,8.74076,8.91984,8.99769,9.13934,9.45146,9.61257,9.98459,10.46936,10.85803,11.33915,11.64559,11.82058,11.74851,11.81866,11.85572,11.50050,11.30217,11.15359,11.18018,11.06569,10.87383,10.57219,10.44385,10.30916,10.24966,10.49442,10.74047,10.53573,10.41965,10.13351,9.85254,9.57796,12.36299,12.26304,11.66761,10.98391
2015,Kurri 132_11kV,10MAY2014,MW,11.98357,11.58184,10.87070,10.17471,9.54162,8.88488,8.32451,7.90792,7.58149,7.47982,7.08789,6.90362,6.78691,6.71756,6.66987,6.72716,6.86817,6.81045,6.84631,6.99614,7.09496,7.15412,7.50367,7.72143,8.05710,8.34570,8.56913,8.80954,9.21481,9.61012,9.80658,10.10569,10.13320,10.41302,10.25982,10.16528,9.99058,9.83460,9.73169,9.53179,9.12484,8.96882,8.68667,8.65793,8.39489,8.36163,8.89203,8.94488,8.80272,8.58976,8.51395,8.48913,8.31674,8.21390,8.02905,7.86413,7.99177,8.09783,8.17095,8.39173,8.41105,8.35463,8.65633,8.77363,9.11058,9.42608,9.98453,10.51675,11.05426,11.68658,11.98462,12.13487,12.03334,12.01526,11.78583,11.54849,11.42819,11.10040,11.02809,10.62990,10.38672,10.15926,9.93238,9.87612,9.66689,9.26807,9.26100,8.98194,8.79458,8.70978,8.43325,8.20897,8.81439,8.39037,8.06327,7.58391
