year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Lake Munmorah 132_11kV,01MAY2016,MW,10.41611,11.42168,11.00427,9.84693,8.97418,8.95520,9.82796,9.14493,8.36704,7.34251,7.34251,6.45078,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,5.14165,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,6.12824,6.14722,6.14722,6.14722,6.14722,6.92510,7.34251,7.34251,7.34251,7.34251,7.34251,8.53780,8.53780,8.53780,8.53780,8.53780,8.49985,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,6.28003,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.31797,7.34251,7.34251,7.34251,7.34251,7.34251,8.17731,8.53780,8.53780,8.78445,9.73309,9.73309,9.73309,9.73309,9.73309,9.73309,9.73309,9.73309,9.73309,8.65164,8.53780,8.53780,8.53780,8.53780,8.53780,8.53780,8.34807,7.34251,7.34251,8.10142,8.53780,8.53780,8.53780,8.53780,10.70071,10.75763
2017,Lake Munmorah 132_11kV,02MAY2016,MW,10.75763,11.89600,10.85249,9.90385,9.23980,8.80342,9.56233,9.12596,8.31012,7.17175,7.17175,6.31797,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,6.65948,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,5.97646,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,6.98202,7.09586,7.09586,7.09586,8.10142,8.29115,8.67061,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.16390,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.29115,8.08245,8.67061,8.70855,10.28330,10.34022
2017,Lake Munmorah 132_11kV,03MAY2016,MW,10.34022,11.42168,11.23195,9.90385,9.05007,8.68958,9.73309,9.10699,8.34807,7.34251,7.34251,6.18516,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,7.30456,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.13381,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,5.65392,4.95192,5.84365,6.14722,6.14722,6.14722,6.14722,4.97090,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,5.44522,6.14722,6.14722,6.14722,6.69743,7.34251,7.34251,7.72196,8.53780,9.33466,9.73309,9.73309,9.73309,9.73309,9.73309,9.20185,8.53780,8.53780,8.53780,8.53780,8.53780,8.53780,8.53780,8.53780,8.53780,7.49429,7.34251,8.32910,8.87931,8.04450,8.93623,8.97418,10.20741,10.24536
2017,Lake Munmorah 132_11kV,04MAY2016,MW,10.24536,11.32681,10.81455,9.84693,8.97418,8.34807,9.48644,9.03109,8.29115,7.36148,7.09586,6.88716,5.90057,5.90057,5.90057,5.90057,5.31241,5.29344,5.29344,5.29344,5.29344,5.29344,5.29344,5.29344,5.29344,6.12824,7.09586,7.09586,7.09586,7.09586,7.09586,7.09586,7.09586,7.09586,6.73537,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.90057,5.38830,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,4.70528,5.12268,5.90057,5.90057,5.90057,6.29900,7.09586,7.09586,7.09586,7.09586,8.06348,8.34807,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,9.48644,8.32910,8.29115,8.29115,8.29115,7.45634,7.09586,7.85477,8.29115,8.29115,8.29115,8.29115,9.86590,9.90385
2017,Lake Munmorah 132_11kV,05MAY2016,MW,9.90385,11.15606,10.87146,9.69514,8.80342,8.72753,9.56233,8.93623,8.29115,7.17175,7.17175,6.29900,5.97646,5.97646,5.97646,5.97646,5.38830,5.38830,5.38830,5.38830,5.38830,5.38830,5.38830,5.38830,5.38830,5.99543,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,7.17175,6.37489,6.24208,6.24208,6.24208,6.24208,6.24208,6.24208,5.95749,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,5.04679,6.22311,6.24208,6.24208,6.41284,7.43737,7.43737,7.70299,8.63266,9.31569,9.82796,9.82796,9.82796,9.82796,9.82796,9.14493,8.63266,8.63266,8.63266,8.63266,8.63266,8.63266,8.63266,8.63266,8.29115,7.60813,7.60813,8.36704,8.80342,8.21526,8.59472,8.63266,10.03666,10.07460
2017,Lake Munmorah 132_11kV,06MAY2016,MW,10.07460,11.08017,10.70071,9.48644,8.70855,8.74650,9.56233,9.06904,8.19629,7.17175,7.17175,6.56462,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,6.88716,7.17175,7.66505,7.19072,7.17175,7.17175,7.17175,7.17175,7.00100,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,5.97646,4.87603,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,4.78117,5.40727,5.97646,5.97646,5.97646,5.97646,6.46975,7.17175,7.17175,7.38045,8.36704,8.36704,8.36704,9.14493,9.56233,9.56233,9.56233,9.56233,8.82239,8.36704,8.36704,8.36704,8.36704,8.36704,8.36704,8.36704,8.36704,8.36704,8.36704,8.46191,8.63266,8.63266,8.63266,8.63266,10.37817,10.41611
2017,Lake Munmorah 132_11kV,07MAY2016,MW,10.41611,11.66833,10.92838,9.94179,8.93623,8.61369,9.73309,9.08801,8.36704,7.34251,7.20970,6.14722,6.14722,6.14722,6.14722,6.14722,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.55906,5.27446,4.87603,4.87603,4.87603,4.87603,4.87603,4.87603,4.87603,4.87603,4.87603,4.87603,5.72981,6.07132,6.07132,6.07132,6.07132,6.07132,6.45078,7.26662,7.26662,7.26662,7.77888,8.46191,8.67061,9.65720,9.65720,9.65720,9.65720,9.46747,8.46191,8.46191,8.46191,8.46191,8.46191,8.46191,8.46191,8.46191,8.46191,8.23423,7.34251,7.34251,7.94964,8.29115,8.29115,8.29115,8.29115,10.45406,10.49201
2017,Lake Munmorah 132_11kV,08MAY2016,MW,9.31569,11.30784,10.73865,9.79001,8.97418,8.78445,9.73309,9.12596,8.15834,7.34251,7.34251,6.14722,6.14722,6.14722,6.14722,6.14722,5.88159,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,4.95192,5.36933,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,7.30456,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,7.34251,6.52667,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.60256,7.34251,7.34251,7.34251,7.96861,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.70855,8.51883,7.51326,7.51326,7.51326,7.51326,7.51326,7.51326,8.51883,8.53780,10.11255,10.16947
2017,Lake Munmorah 132_11kV,09MAY2016,MW,10.16947,11.15606,10.79557,9.56233,8.80342,9.10699,9.82796,8.87931,8.04450,7.43737,7.43737,6.18516,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,6.14722,5.63495,4.95192,4.95192,5.61597,6.14722,6.14722,6.14722,7.19072,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,7.60813,8.57574,9.18288,9.99871,9.99871,9.99871,9.99871,9.99871,9.99871,9.99871,9.90385,8.80342,8.80342,8.80342,8.80342,8.80342,8.80342,8.80342,8.80342,8.68958,7.60813,7.60813,7.60813,7.60813,7.60813,8.76547,8.80342,10.54892,10.58687
2017,Lake Munmorah 132_11kV,10MAY2016,MW,10.58687,10.58687,10.58687,9.80898,9.01212,8.91726,9.86590,8.80342,7.94964,7.53224,6.41284,6.41284,6.41284,6.41284,5.84365,5.21754,5.21754,5.21754,5.21754,5.21754,5.21754,5.21754,5.21754,5.31241,6.41284,6.41284,7.19072,7.68402,7.68402,7.68402,7.68402,7.68402,7.13381,6.48873,6.48873,6.48873,6.48873,6.39386,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,5.46419,6.22311,6.65948,6.65948,7.17175,7.85477,9.03109,10.24536,10.24536,10.24536,10.24536,10.24536,10.24536,10.24536,10.24536,8.84137,8.80342,8.80342,8.80342,8.80342,8.80342,8.80342,8.70855,7.68402,7.68402,7.68402,8.27218,8.63266,8.31012,8.67061,8.70855,8.70855,8.70855
