year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Leichhardt 33_11kV,01MAY2016,MW,11.12860,10.69992,9.94544,9.99688,9.46531,9.31099,9.05378,8.60795,8.59080,8.43647,8.26500,8.21356,8.12782,8.23071,7.99064,7.78488,7.73343,7.59626,7.66484,7.73343,7.73343,7.73343,7.81917,8.11067,8.38503,8.69368,8.96804,9.01948,9.39672,9.87685,10.40841,10.88854,11.36866,11.90023,12.32891,12.53468,12.84333,12.96336,13.27201,13.52922,13.90646,13.83787,13.94076,13.83787,13.71784,13.75214,13.68355,13.80358,13.71784,13.75214,13.30631,13.04910,12.91192,13.06624,13.01480,13.11769,13.27201,13.13483,13.34060,13.23772,13.22057,13.42634,13.59781,13.66640,13.73499,13.80358,14.42088,14.64380,15.38113,16.30709,17.54169,18.02182,18.19329,18.41620,18.46765,18.14185,17.81605,17.49025,17.11301,16.42712,15.94699,15.62119,15.14107,15.39828,14.81527,14.21511,13.88932,13.70070,13.28916,13.11769,12.50038,11.59158,11.16289,11.04286,10.54559,10.59703
2017,Leichhardt 33_11kV,02MAY2016,MW,10.30553,9.63678,9.34528,9.17381,8.84801,8.60795,8.29929,8.09353,8.00779,7.92205,7.99064,7.81917,7.85346,7.81917,7.73343,7.63055,7.63055,7.63055,7.81917,8.09353,8.24785,8.65939,8.93374,9.77396,10.47700,11.04286,12.22603,13.20342,14.09508,14.74668,14.88386,14.93530,14.90101,14.69524,14.47232,14.18082,13.99220,14.11223,14.18082,14.00935,13.99220,13.85502,13.75214,13.78643,13.85502,14.09508,13.82073,13.83787,13.82073,13.85502,14.55806,14.14652,14.14652,14.38659,14.66094,14.42088,14.47232,14.42088,14.18082,14.47232,14.60950,14.11223,14.26656,14.78098,14.55806,14.88386,15.07248,15.56975,15.91270,16.73577,17.49025,17.73031,18.39906,18.82774,18.86203,19.37645,18.99921,18.69056,18.55338,17.76461,17.06157,16.70147,16.04988,15.79267,15.87840,15.10677,14.64380,14.09508,13.39204,12.91192,12.70615,11.95167,11.30007,10.80280,10.52844,10.18550
2017,Leichhardt 33_11kV,03MAY2016,MW,9.91114,9.73967,9.61964,9.25954,9.01948,8.67654,8.50506,8.07638,7.85346,7.88776,7.87061,7.76773,7.64770,7.68199,7.61340,7.61340,7.81917,7.75058,7.87061,8.02494,8.29929,8.64224,9.03663,9.58534,10.40841,11.52299,12.63756,13.30631,14.12938,14.78098,15.19251,15.14107,14.98674,14.93530,14.55806,14.11223,14.11223,13.76928,13.83787,14.04364,14.11223,13.95790,13.87217,13.66640,13.75214,13.83787,14.23226,13.92361,13.92361,14.33515,13.95790,13.97505,14.38659,14.47232,14.19797,14.26656,14.24941,14.52377,14.50662,14.21511,14.43803,14.50662,14.66094,14.83242,14.59235,14.42088,14.88386,15.36398,15.31254,15.98129,16.87295,17.74746,18.21044,18.33047,18.48479,18.98206,19.01636,18.82774,18.69056,18.05611,17.25019,16.73577,16.42712,16.08417,15.67263,15.36398,14.60950,13.87217,13.61496,13.35775,12.68900,11.98596,11.55728,10.83710,10.39127,10.44271
2017,Leichhardt 33_11kV,04MAY2016,MW,10.23694,9.79111,9.25954,9.17381,9.08807,8.62509,8.53936,8.29929,8.02494,7.80202,7.76773,7.76773,7.76773,7.97350,7.81917,7.76773,7.83632,7.88776,7.93920,8.07638,8.60795,8.64224,8.96804,9.53390,10.35697,11.11145,12.12314,13.18628,14.09508,14.81527,14.96960,14.98674,14.79812,14.78098,14.47232,14.36944,14.23226,14.12938,14.07794,14.02649,14.14652,14.16367,14.07794,13.88932,14.14652,14.11223,14.02649,14.09508,14.18082,14.16367,14.14652,14.30085,14.33515,14.55806,14.48947,14.52377,14.62665,14.74668,15.20966,14.88386,14.38659,14.43803,14.48947,14.19797,14.31800,14.64380,14.55806,15.22681,15.50116,15.92984,16.95868,17.54169,18.07326,18.43335,18.55338,18.72485,18.50194,18.17614,18.00467,17.83320,17.13016,16.54715,16.56429,16.04988,15.70693,15.10677,14.59235,14.38659,13.44349,12.96336,12.56897,11.83164,11.52299,10.76851,10.59703,10.25409
2017,Leichhardt 33_11kV,05MAY2016,MW,10.13406,9.92829,9.53390,9.56820,9.05378,8.69368,8.36788,8.21356,8.21356,8.12782,7.95635,7.95635,7.95635,7.78488,7.64770,7.75058,7.71629,7.78488,7.83632,8.21356,8.36788,8.57365,8.91660,9.56820,10.45985,11.36866,12.22603,13.18628,13.94076,14.64380,14.88386,14.90101,14.86671,14.84956,14.67809,14.47232,14.30085,14.14652,13.92361,13.95790,13.83787,13.90646,14.14652,14.04364,13.78643,13.71784,13.94076,14.09508,13.92361,13.90646,13.92361,13.95790,14.06079,14.00935,13.94076,14.12938,14.11223,14.21511,14.48947,14.28370,14.11223,14.18082,14.02649,14.04364,14.19797,14.45518,14.52377,15.02104,15.50116,16.40997,16.95868,17.42166,17.85034,18.09040,18.46765,18.65627,18.34761,18.43335,18.17614,17.47310,16.99298,16.77006,16.32423,15.96414,15.63834,15.24395,14.81527,14.45518,13.73499,13.32345,12.68900,12.15744,11.71161,11.06001,10.66562,10.63133
2017,Leichhardt 33_11kV,06MAY2016,MW,10.40841,10.09976,9.96258,9.44816,9.08807,8.91660,8.55650,8.35074,8.33359,8.28215,8.04209,8.00779,7.78488,7.78488,7.78488,7.78488,8.05923,7.95635,8.00779,8.19641,8.50506,8.81371,9.22525,9.48246,10.45985,11.11145,12.05455,12.96336,13.94076,14.88386,15.07248,15.05533,14.98674,14.90101,14.52377,14.21511,13.90646,13.97505,14.18082,13.99220,14.16367,14.06079,14.28370,14.04364,14.19797,14.09508,13.88932,14.00935,14.33515,14.09508,14.31800,14.52377,14.12938,14.50662,14.67809,14.35229,14.26656,14.59235,14.64380,14.69524,14.19797,13.95790,13.92361,14.31800,14.52377,14.83242,14.83242,15.02104,15.24395,16.30709,17.16445,17.18160,17.28448,17.64457,17.83320,17.38737,17.42166,17.14730,16.78721,16.44426,15.70693,15.96414,15.50116,14.69524,14.90101,14.31800,13.64925,13.51207,13.40919,13.16913,12.31176,11.95167,11.79734,10.85424,10.68277,10.83710
2017,Leichhardt 33_11kV,07MAY2016,MW,10.49415,10.01402,9.96258,9.68823,9.03663,8.98519,8.53936,8.17926,8.09353,8.09353,7.81917,7.81917,7.81917,7.71629,7.57911,7.57911,7.80202,7.59626,7.56196,7.56196,7.56196,7.83632,7.93920,8.28215,8.74512,8.93374,9.31099,9.84255,10.11691,10.71706,11.24863,11.88308,12.24317,12.79189,12.77474,12.86048,13.01480,13.20342,13.44349,13.35775,13.34060,13.59781,13.34060,13.22057,12.99766,12.92907,12.70615,12.82618,12.82618,12.80904,12.94621,12.89477,13.03195,13.03195,12.87762,12.86048,12.68900,12.77474,12.68900,12.87762,12.91192,12.79189,12.99766,13.47778,13.22057,13.39204,14.14652,14.66094,15.41543,16.35853,17.21589,17.37022,17.31878,17.54169,17.16445,16.99298,16.65003,16.37567,15.67263,15.58690,15.27825,14.95245,14.69524,14.35229,13.94076,13.66640,13.35775,13.16913,12.91192,12.41465,12.03741,11.83164,11.71161,11.21434,10.95713,10.68277
2017,Leichhardt 33_11kV,08MAY2016,MW,10.68277,10.09976,9.67108,9.55105,9.27669,9.07092,8.72798,8.40218,8.11067,8.07638,7.83632,7.81917,7.73343,7.68199,7.61340,7.54481,7.71629,7.63055,7.56196,7.56196,7.63055,7.76773,7.73343,7.95635,8.11067,8.35074,8.48791,8.83086,9.20810,9.72252,10.08261,10.57989,11.19719,11.90023,12.15744,12.27747,12.53468,12.79189,13.28916,13.66640,13.78643,13.95790,13.88932,13.90646,13.97505,13.78643,13.63211,13.64925,13.64925,13.47778,13.22057,13.06624,12.92907,12.72330,12.92907,12.75759,12.58612,12.70615,12.72330,13.01480,12.79189,12.77474,12.87762,13.16913,13.49493,13.87217,14.24941,15.19251,15.84411,16.63288,17.23304,17.73031,17.40451,17.49025,17.98752,17.90178,17.55884,17.33592,16.77006,16.34138,16.03273,15.32969,15.36398,14.98674,14.54091,14.50662,14.14652,13.58066,13.27201,12.67186,12.39750,11.55728,11.16289,10.95713,10.25409,10.09976
2017,Leichhardt 33_11kV,09MAY2016,MW,10.11691,9.77396,9.48246,9.17381,8.95089,8.77942,8.36788,8.16212,8.07638,7.93920,7.88776,7.66484,7.81917,7.71629,7.71629,7.69914,7.56196,7.66484,7.99064,8.02494,8.33359,8.76227,8.95089,9.53390,10.45985,11.54013,12.34606,13.22057,14.26656,15.15822,15.43257,15.46687,15.65549,15.55260,15.41543,15.26110,15.44972,15.39828,15.39828,15.22681,15.29539,15.26110,15.27825,15.44972,15.75837,15.56975,15.63834,15.72408,15.55260,15.56975,15.58690,15.22681,15.27825,15.20966,15.22681,15.10677,15.07248,15.03818,15.14107,15.26110,14.98674,14.96960,15.27825,15.17536,15.58690,15.31254,15.58690,15.91270,16.54715,17.18160,17.98752,18.77630,19.13639,19.42789,19.59937,19.58222,19.54793,18.98206,18.75915,18.29617,17.67887,17.13016,16.58144,16.28994,15.96414,15.24395,14.86671,14.47232,13.97505,13.64925,13.01480,12.20888,11.60872,11.04286,10.90568,10.51130
2017,Leichhardt 33_11kV,10MAY2016,MW,10.32268,10.08261,9.61964,9.46531,8.79657,8.72798,8.35074,8.16212,8.05923,8.07638,7.76773,7.76773,7.83632,7.81917,7.66484,7.69914,7.59626,7.83632,7.88776,8.17926,8.36788,8.77942,9.22525,9.72252,10.63133,11.67731,12.50038,13.70070,14.42088,15.15822,15.27825,15.17536,15.24395,14.96960,14.81527,14.74668,14.50662,14.35229,14.48947,14.42088,14.55806,14.47232,14.11223,14.04364,14.02649,14.16367,14.24941,14.40373,14.57521,14.28370,14.31800,14.07794,14.16367,14.33515,14.04364,14.14652,14.72953,14.47232,14.69524,14.59235,14.66094,14.48947,14.79812,14.67809,14.69524,14.93530,14.74668,15.20966,15.70693,16.34138,17.57599,17.93608,18.43335,18.87918,18.87918,18.91348,18.94777,18.77630,18.36476,18.19329,17.25019,17.14730,16.80436,16.37567,15.99843,15.39828,15.07248,14.72953,13.99220,13.58066,12.77474,12.07170,11.84879,11.18004,11.18004,11.18004
