year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Leightonfield 33_11kV,01MAY2017,MW,9.42393,9.27552,9.10856,8.97871,8.92305,8.79320,8.62624,8.42218,8.18101,7.92130,7.86564,7.88419,7.86564,7.95840,7.93985,7.92130,8.16246,8.16246,8.29232,8.38507,8.68189,9.14567,9.36828,9.96191,10.70395,11.09353,11.29759,11.85412,12.70747,13.13414,13.35675,13.39386,13.48661,13.43096,13.26400,13.17124,13.31965,13.69067,13.61647,13.87618,13.70922,13.80198,13.37530,13.56082,13.56082,13.22690,13.22690,13.41241,13.48661,13.61647,13.59792,13.78343,13.96894,13.87618,13.91329,13.65357,13.69067,13.85763,13.91329,13.72777,13.76488,13.76488,13.63502,13.67212,13.96894,14.06169,13.98749,14.09880,13.76488,13.83908,14.15445,14.11735,14.17300,14.00604,13.59792,13.46806,13.31965,13.43096,13.33820,13.18979,12.96718,12.72602,12.50341,12.35500,12.35500,12.28079,12.24369,12.24369,12.46630,12.28079,12.24369,12.13238,12.03963,11.89122,11.89122,11.61296
2018,Leightonfield 33_11kV,02MAY2017,MW,11.83557,11.61296,11.39034,11.39034,11.22338,11.00077,10.87091,10.64830,10.40714,10.16597,10.14742,10.03612,9.99901,9.94336,10.05467,10.05467,10.05467,10.16597,10.27728,10.27728,10.48134,10.57410,10.90802,11.33469,11.81702,12.33645,12.74457,13.35675,13.76488,13.87618,14.19155,14.17300,13.98749,13.96894,13.85763,13.91329,14.11735,14.08024,14.46982,14.63678,14.15445,14.39561,14.06169,14.28431,14.11735,14.06169,14.21010,13.98749,14.19155,14.21010,14.33996,14.22865,14.21010,14.26576,14.69243,14.58112,14.46982,14.30286,14.32141,14.26576,14.37706,14.63678,14.67388,14.76663,14.54402,14.52547,14.61822,14.87794,14.58112,14.56257,14.97069,14.58112,14.58112,14.33996,14.17300,14.00604,14.13590,13.85763,13.95039,13.83908,13.70922,13.56082,13.41241,13.30110,12.98573,12.87443,12.70747,13.02283,13.11559,12.83732,12.59616,12.61471,12.44775,12.37355,12.42920,12.13238
2018,Leightonfield 33_11kV,03MAY2017,MW,12.55906,12.41065,12.16949,12.05818,11.66861,11.55730,11.31614,11.05642,10.96367,10.61120,10.53699,10.35148,10.33293,10.40714,10.42569,10.27728,10.24018,10.33293,10.48134,10.75961,10.96367,11.07497,11.20483,11.66861,12.02108,12.61471,12.98573,13.50516,13.95039,14.33996,14.45127,14.82229,14.80374,14.87794,14.78518,14.45127,14.41416,14.32141,14.69243,14.74808,14.71098,14.63678,14.98925,14.89649,15.17476,15.17476,14.95214,14.97069,14.74808,14.76663,14.58112,14.65533,14.50692,14.82229,14.91504,15.28606,15.02635,15.00780,15.11910,15.36027,15.17476,15.32316,15.28606,15.26751,15.30461,15.32316,15.56433,15.50868,15.26751,15.23041,15.50868,15.39737,15.34172,15.30461,15.04490,14.87794,14.54402,14.50692,14.33996,14.19155,14.11735,14.17300,13.98749,13.78343,13.59792,13.46806,13.41241,13.26400,13.56082,13.37530,13.02283,12.94863,12.70747,12.48485,12.42920,12.31790
2018,Leightonfield 33_11kV,04MAY2017,MW,12.52196,12.57761,12.41065,12.20659,11.81702,11.40889,11.27904,11.18628,10.79671,10.77816,10.42569,10.42569,10.46279,10.53699,10.42569,10.31438,10.35148,10.66685,10.75961,10.88946,11.13063,11.01932,11.31614,11.46455,12.33645,12.76312,13.18979,13.85763,14.28431,14.80374,15.11910,15.21186,15.43447,15.21186,15.10055,14.84084,15.00780,14.97069,14.85939,15.24896,15.37882,15.37882,15.21186,15.45302,15.17476,15.04490,14.80374,14.97069,15.60143,15.45302,15.47157,15.45302,15.49012,15.45302,15.56433,15.34172,15.41592,15.34172,15.06345,14.89649,14.56257,14.69243,14.80374,14.89649,14.97069,15.08200,15.15621,15.23041,15.02635,15.00780,15.26751,14.84084,14.89649,14.58112,14.33996,14.33996,14.21010,14.00604,13.82053,13.80198,13.78343,13.54226,13.31965,13.26400,13.04139,13.05994,13.00428,12.85588,13.24545,13.15269,13.00428,12.83732,12.81877,12.67036,12.78167,12.50341
2018,Leightonfield 33_11kV,05MAY2017,MW,12.70747,12.54051,12.18804,12.02108,12.02108,11.74281,11.55730,11.33469,11.00077,10.64830,10.55555,10.42569,10.18452,10.35148,10.29583,10.27728,10.44424,10.49989,10.74106,10.87091,10.94512,11.07497,11.24193,11.53875,12.33645,12.48485,12.61471,13.28255,13.72777,13.91329,14.17300,14.39561,14.48837,14.50692,14.85939,14.45127,14.50692,14.71098,14.69243,14.71098,14.89649,14.80374,15.00780,14.74808,14.65533,14.85939,14.58112,14.54402,14.39561,14.30286,14.59967,14.41416,14.50692,14.52547,14.71098,14.54402,14.63678,14.48837,14.59967,14.61822,14.56257,14.45127,14.58112,14.74808,14.48837,14.43271,14.54402,14.19155,13.96894,13.95039,14.37706,14.24720,13.96894,13.82053,13.74633,13.69067,13.22690,13.24545,13.09704,13.17124,13.07849,12.87443,12.72602,12.48485,12.52196,12.26224,12.33645,12.26224,12.33645,12.46630,12.29934,12.11383,12.18804,11.92832,11.68716,11.74281
2018,Leightonfield 33_11kV,06MAY2017,MW,11.96543,11.52020,11.26049,11.05642,11.01932,10.79671,10.51844,10.16597,9.75785,9.51669,9.36828,9.25697,9.33118,9.49814,9.57234,9.38683,9.38683,9.46103,9.44248,9.51669,9.47958,9.18277,9.23842,9.36828,9.68365,9.79495,9.64654,9.59089,9.81350,9.99901,9.88771,10.29583,10.12887,9.98046,9.98046,9.86916,9.79495,9.98046,10.11032,9.85061,10.12887,10.14742,10.40714,10.29583,9.99901,9.68365,9.73930,9.62799,9.83205,9.68365,9.47958,9.49814,9.66510,9.59089,9.77640,9.66510,9.72075,9.88771,9.72075,9.60944,9.53524,9.60944,9.53524,9.77640,,,,,,,,10.87091,10.83381,10.66685,10.48134,10.38859,10.33293,10.38859,10.35148,10.29583,10.09177,10.03612,9.96191,9.92481,9.75785,9.83205,9.90626,9.77640,9.98046,9.96191,9.75785,9.44248,9.42393,9.47958,9.62799,9.68365
2018,Leightonfield 33_11kV,07MAY2017,MW,9.94336,9.70220,9.44248,9.31263,9.25697,9.01581,8.79320,8.57058,8.45928,8.31087,8.21811,8.03260,7.92130,7.82854,7.79144,7.80999,7.73579,7.71724,7.71724,7.73579,7.88419,7.80999,7.86564,7.84709,8.03260,8.05115,7.97695,7.90275,7.84709,7.80999,7.99550,7.97695,7.95840,8.10681,8.16246,8.21811,8.12536,8.18101,8.29232,8.21811,8.21811,8.38507,8.12536,8.12536,8.21811,8.14391,8.05115,7.99550,7.99550,8.12536,8.18101,8.05115,8.27377,8.14391,8.31087,8.27377,8.21811,8.19956,8.03260,8.12536,8.40362,8.19956,8.36652,8.47783,8.44073,8.66334,8.96016,9.09001,9.18277,9.60944,10.05467,10.20308,10.40714,10.33293,10.09177,10.29583,10.40714,10.27728,10.42569,10.48134,10.42569,10.46279,10.29583,10.09177,9.99901,9.94336,10.12887,10.20308,10.35148,10.46279,10.37004,10.29583,10.44424,10.24018,10.42569,10.22163
2018,Leightonfield 33_11kV,08MAY2017,MW,10.31438,10.16597,9.99901,9.85061,9.72075,9.62799,9.44248,9.20132,8.96016,9.01581,8.58913,8.44073,8.60769,8.49638,8.53348,8.77465,8.77465,9.09001,9.16422,9.29407,9.59089,9.94336,10.09177,10.70395,11.55730,12.22514,12.70747,13.00428,13.83908,14.33996,14.74808,14.95214,15.13765,15.06345,14.67388,15.21186,15.26751,15.36027,15.30461,15.10055,14.87794,14.93359,14.82229,14.80374,14.95214,15.06345,14.82229,14.78518,14.56257,14.30286,14.65533,14.84084,14.72953,14.80374,15.10055,15.21186,15.19331,14.95214,15.00780,15.30461,15.23041,15.21186,15.69419,15.82404,15.65708,15.80549,15.89825,15.91680,15.67563,15.87970,15.78694,15.69419,15.80549,15.56433,15.63853,15.52723,15.61998,15.45302,15.45302,14.97069,14.89649,14.69243,14.56257,14.43271,14.43271,14.39561,14.37706,14.28431,14.17300,14.09880,13.72777,13.50516,13.56082,13.31965,13.15269,12.91153
2018,Leightonfield 33_11kV,09MAY2017,MW,13.07849,12.94863,12.57761,12.54051,12.41065,12.22514,12.09528,12.00253,11.74281,11.37179,11.24193,10.96367,10.96367,11.01932,10.85236,10.96367,10.90802,10.98222,11.18628,11.35324,11.39034,11.63151,12.13238,12.61471,13.33820,14.09880,14.26576,14.63678,15.24896,15.56433,16.00955,16.32492,16.21361,16.06521,15.65708,15.78694,15.93535,16.04666,16.10231,16.36202,15.71274,15.56433,15.80549,15.69419,15.43447,15.21186,15.15621,14.98925,14.58112,14.65533,15.04490,14.85939,14.91504,15.02635,15.74984,15.41592,15.15621,15.34172,15.04490,14.97069,15.04490,15.11910,15.15621,15.36027,15.41592,15.58288,15.73129,15.89825,15.63853,15.60143,15.95390,15.89825,15.58288,15.47157,15.56433,15.49012,15.30461,15.24896,15.34172,15.39737,15.19331,14.85939,14.84084,14.87794,14.41416,14.43271,14.28431,14.28431,14.06169,14.11735,13.87618,13.63502,13.83908,13.37530,13.33820,13.46806
2018,Leightonfield 33_11kV,10MAY2017,MW,13.41241,13.28255,13.00428,12.57761,12.59616,12.33645,12.24369,11.85412,11.70571,11.27904,11.37179,11.16773,10.88946,10.90802,10.90802,11.18628,10.87091,11.00077,11.13063,11.27904,11.50165,11.87267,12.29934,12.63326,13.54226,14.13590,14.58112,14.98925,15.71274,15.91680,16.26927,16.39913,16.08376,16.23217,15.97245,15.71274,15.37882,15.76839,15.24896,15.49012,15.60143,15.28606,15.61998,15.26751,15.30461,14.97069,15.00780,14.91504,14.67388,14.63678,15.02635,14.82229,14.84084,15.21186,15.23041,15.37882,15.26751,15.00780,14.95214,14.59967,14.82229,15.04490,15.21186,15.47157,15.04490,15.28606,15.23041,15.39737,15.26751,15.65708,15.74984,15.43447,15.32316,15.28606,15.30461,15.15621,15.02635,15.08200,15.02635,14.80374,14.65533,14.95214,14.71098,14.61822,14.63678,14.30286,14.06169,14.26576,14.04314,14.02459,13.76488,13.82053,13.48661,13.22690,13.37530,13.20835
