year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Lemington 66_11kV,01MAY2016,MW,0.62719,0.61074,0.61133,0.57375,0.55630,0.54650,0.56331,0.55187,0.55088,0.54587,0.53477,0.53483,0.53468,0.53692,0.43526,0.39631,0.38799,0.39968,0.40512,0.41896,0.42731,0.43961,0.44805,0.43271,0.46394,0.46488,0.48423,0.48699,0.48137,0.48346,0.49712,0.52144,0.47430,0.60912,0.63137,0.64921,0.68822,0.68104,0.66608,0.63832,0.45314,0.43671,0.43505,0.42852,0.40702,0.43076,0.44189,0.43467,0.43796,0.43769,0.40814,0.41612,0.42110,0.41195,0.40093,0.41445,0.42309,0.41886,0.40806,0.44064,0.44172,0.45178,0.46793,0.47236,0.48924,0.49996,0.51331,0.52923,0.54534,0.56137,0.59449,0.57264,0.56941,0.55667,0.56718,0.54522,0.51906,0.51849,0.52209,0.48903,0.50491,0.49399,0.48383,0.44303,0.43760,0.42817,0.42398,0.44237,0.41730,0.40727,0.37997,0.35812,0.38031,0.38021,0.38197,0.35584
2017,Lemington 66_11kV,02MAY2016,MW,0.37022,0.35467,0.35335,0.34247,0.34078,0.34267,0.33793,0.33355,0.33528,0.32629,0.32345,0.31360,0.30897,0.30486,0.32023,0.31875,0.33007,0.33925,0.35821,0.36757,0.39403,0.39830,0.38847,0.39699,0.53512,0.66501,0.65720,0.67309,0.64451,0.70900,0.78410,0.76171,0.73836,0.75385,0.74282,0.73537,0.78674,0.86099,0.98929,1.01281,1.01232,0.98372,0.98203,0.94743,0.85657,0.77275,0.75915,0.74166,0.71576,0.72350,0.73738,0.74081,0.72984,0.73035,0.72474,0.71509,0.66096,0.60290,0.62592,0.68620,0.68190,0.65813,0.66815,0.65233,0.68417,0.68783,0.69621,0.60903,0.56089,0.56738,0.59193,0.62001,0.61181,0.57672,0.56153,0.70664,0.71869,0.71718,0.71643,0.71845,0.73950,0.57971,0.54203,0.49802,0.50052,0.49349,0.59945,0.58390,0.57493,0.58510,0.61704,0.64511,0.56422,0.52021,0.51191,0.49968
2017,Lemington 66_11kV,03MAY2016,MW,0.51262,0.48661,0.47875,0.44415,0.41904,0.42976,0.41944,0.40802,0.40571,0.39800,0.38586,0.39029,0.39662,0.39542,0.39468,0.40583,0.39797,0.41156,0.43245,0.46374,0.46318,0.48274,0.47960,0.47844,0.48848,0.51021,0.53689,0.56333,0.54758,0.57010,0.58041,0.57946,0.53449,0.54593,0.63243,0.64052,0.67933,0.65567,0.63067,0.70313,0.71556,0.76290,0.69998,0.69050,0.68834,0.68214,0.65361,0.65242,0.72540,0.70924,0.62327,0.60270,0.62010,0.61866,0.63550,0.60011,0.59484,0.58067,0.58202,0.59812,0.61110,0.70902,0.76563,0.76263,0.68326,0.66545,0.67791,0.67166,0.70127,0.68859,0.69694,0.70308,0.72796,0.73643,0.81966,0.82714,0.79282,0.76732,0.78229,0.76718,0.70046,0.71357,0.70298,0.68207,0.65758,0.62491,0.64584,0.63680,0.67750,0.69067,0.70348,0.73608,0.73863,0.71255,0.73130,0.58034
2017,Lemington 66_11kV,04MAY2016,MW,0.54199,0.52988,0.51319,0.49452,0.44956,0.44687,0.43323,0.42514,0.43105,0.44661,0.60806,0.60053,0.60319,0.66285,0.66143,0.66330,0.53782,0.50088,0.50732,0.45691,0.45945,0.48442,0.52317,0.51542,0.53451,0.54079,0.58261,0.59188,0.54713,0.54551,0.51282,0.52087,0.50908,0.50066,0.48203,0.48910,0.49663,0.49788,0.51216,0.51636,0.48602,0.43928,0.42148,0.41921,0.41311,0.42841,0.42507,0.53491,0.61648,0.65554,0.73486,0.72941,0.61031,0.59328,0.53538,0.54460,0.45778,0.45718,0.45305,0.46312,0.49121,0.55290,0.52881,0.51972,0.54751,0.54553,0.56842,0.58673,0.60434,0.61274,0.61602,0.61881,0.64820,0.65724,0.63802,0.63338,0.60272,0.64777,0.70603,0.68386,0.68049,0.66207,0.68196,0.66532,0.64094,0.57077,0.57375,0.55103,0.54927,0.52661,0.54604,0.57914,0.58981,0.56686,0.57374,0.56868
2017,Lemington 66_11kV,05MAY2016,MW,0.59026,0.56420,0.55006,0.52024,0.59334,0.63961,0.72444,0.72464,0.72011,0.70641,0.70137,0.70671,0.69784,0.65603,0.60389,0.60033,0.61435,0.63202,0.67341,0.67894,0.66982,0.66796,0.68536,0.74598,0.78139,0.77052,0.78056,0.78011,0.77471,0.92193,0.92750,0.88137,0.87929,0.87903,0.85171,0.84474,0.81301,0.76530,0.69074,0.63596,0.57046,0.64011,0.65693,0.63254,0.64488,0.78930,0.81498,0.72652,0.63881,0.61829,0.60143,0.60218,0.61302,0.61274,0.61435,0.60107,0.59381,0.59726,0.59030,0.60890,0.64253,0.66267,0.66525,0.65122,0.68078,0.72391,0.72440,0.74711,0.76134,0.75941,0.78040,0.79822,0.79088,0.78905,0.85079,0.83027,0.79255,0.77848,0.76115,0.76220,0.75471,0.76269,0.75333,0.73978,0.70874,0.72215,0.70829,0.74606,0.85462,0.84047,0.83758,0.90001,0.91262,0.88974,0.86988,0.87487
2017,Lemington 66_11kV,06MAY2016,MW,0.82703,0.87448,0.78018,0.74461,0.73554,0.74654,0.68880,0.63613,0.62354,0.61531,0.61191,0.61084,0.60129,0.60775,0.59706,0.59493,0.61109,0.62394,0.63745,0.66267,0.67709,0.70672,0.70042,0.71423,0.72128,0.75834,0.76821,0.78302,0.77125,0.79941,0.74590,0.74534,0.73044,0.72728,0.71201,0.68659,0.69144,0.69778,0.65332,0.53752,0.56833,0.55558,0.53941,0.58843,0.71733,0.72422,0.72186,0.75617,0.67040,0.54480,0.53392,0.53482,0.60766,0.66634,0.64518,0.59168,0.57980,0.53694,0.48862,0.50655,0.57426,0.63511,0.63488,0.63026,0.65669,0.66676,0.68768,0.71435,0.73090,0.71735,0.72545,0.73456,0.75778,0.74016,0.71502,0.71540,0.69497,0.57041,0.43807,0.44015,0.43869,0.42733,0.43000,0.40232,0.41269,0.40317,0.41780,0.39941,0.38681,0.40682,0.46402,0.50194,0.50533,0.48406,0.49919,0.51498
2017,Lemington 66_11kV,07MAY2016,MW,0.55558,0.65328,0.63561,0.61741,0.58100,0.58098,0.59045,0.58365,0.55907,0.55867,0.57444,0.56284,0.57222,0.56464,0.55045,0.57616,0.58271,0.62976,0.62602,0.64055,0.64497,0.64346,0.64131,0.64548,0.69323,0.70226,0.73509,0.76255,0.75264,0.76135,0.80015,0.80965,0.77491,0.72105,0.73707,0.71742,0.71996,0.70344,0.71557,0.69678,0.65380,0.62786,0.61897,0.62077,0.62090,0.63094,0.60362,0.59069,0.58909,0.57482,0.58385,0.59678,0.58168,0.58495,0.58143,0.57208,0.58182,0.58647,0.60462,0.62492,0.64143,0.59987,0.63806,0.64796,0.66694,0.70629,0.72866,0.71701,0.73706,0.75496,0.77039,0.76767,0.79342,0.79705,0.82099,0.79651,0.79078,0.75670,0.73717,0.75094,0.73580,0.73821,0.73847,0.72927,0.72077,0.70125,0.71887,0.68627,0.68190,0.68418,0.66506,0.64024,0.65975,0.66643,0.67492,0.66031
2017,Lemington 66_11kV,08MAY2016,MW,0.66161,0.65534,0.63367,0.63570,0.63918,0.60649,0.59649,0.60166,0.59924,0.59713,0.59546,0.58636,0.59004,0.57457,0.54581,0.53474,0.37371,0.38004,0.38564,0.39402,0.41639,0.42641,0.43597,0.45892,0.45287,0.61713,0.62869,0.68600,0.69687,0.68781,0.69796,0.72623,0.71964,0.57189,0.54932,0.56363,0.58392,0.55973,0.56153,0.56125,0.56535,0.55324,0.55282,0.53404,0.55010,0.50963,0.51276,0.49740,0.47393,0.46157,0.46474,0.45799,0.45535,0.46440,0.47078,0.47134,0.46337,0.49056,0.46296,0.46667,0.46909,0.46509,0.46837,0.50175,0.51494,0.49800,0.50875,0.48560,0.48990,0.53451,0.56908,0.55982,0.56405,0.55089,0.54241,0.54378,0.52394,0.52933,0.53406,0.51632,0.51265,0.50876,0.48149,0.47704,0.46789,0.45240,0.45046,0.41674,0.43558,0.44528,0.43320,0.41402,0.43296,0.42814,0.40980,0.40726
2017,Lemington 66_11kV,09MAY2016,MW,0.40919,0.40490,0.40203,0.39819,0.38191,0.37033,0.37380,0.36927,0.37096,0.35954,0.35166,0.34434,0.36508,0.35860,0.34946,0.38079,0.38812,0.38017,0.40984,0.42761,0.43016,0.42460,0.42486,0.45779,0.51769,0.53553,0.54164,0.55910,0.50082,0.50311,0.59516,0.61044,0.58491,0.67989,0.71099,0.67883,0.67687,0.66632,0.68025,0.67881,0.63975,0.58221,0.58092,0.63699,0.61761,0.61759,0.63756,0.61269,0.62303,0.62537,0.62738,0.62370,0.66387,0.63068,0.61226,0.64721,0.64055,0.65926,0.71728,0.74703,0.72535,0.75448,0.83682,0.84434,0.83000,0.83932,0.86057,0.89633,0.88146,0.92476,0.94097,0.85839,0.82271,0.81015,0.80482,0.77060,0.78270,0.77748,0.70595,0.65771,0.65485,0.63552,0.59615,0.66084,0.66496,0.66802,0.67182,0.65085,0.68765,0.69400,0.73173,0.75089,0.77119,0.80891,0.78395,0.78679
2017,Lemington 66_11kV,10MAY2016,MW,0.80123,0.77428,0.76928,0.56853,0.55679,0.53498,0.53164,0.50793,0.54516,0.54903,0.51040,0.52024,0.52818,0.53725,0.52756,0.49963,0.43644,0.45702,0.46198,0.46082,0.47149,0.48847,0.49556,0.49854,0.52865,0.54587,0.58123,0.58186,0.54640,0.52557,0.55843,0.58585,0.59186,0.57405,0.55768,0.55974,0.56728,0.56926,0.63164,0.66224,0.63990,0.63094,0.64070,0.81861,0.81505,0.77745,0.75258,0.76998,0.72441,0.77363,0.81946,0.79681,0.80785,0.75761,0.71144,0.73943,0.73420,0.72920,0.73412,0.69437,0.69994,0.67949,0.69280,0.65501,0.56703,0.57679,0.65518,0.68420,0.70477,0.74149,0.73371,0.74836,0.76577,0.69647,0.67260,0.66033,0.63871,0.61466,0.62892,0.61939,0.58502,0.60021,0.59533,0.59186,0.57602,0.58654,0.59447,0.56531,0.59371,0.57048,0.61222,0.63991,0.66201,0.63629,0.75316,0.75683
