year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Lindfield 33_11kV,01MAY2015,MW,12.41769,11.92246,11.25168,11.13448,11.01956,10.47354,10.00708,9.52142,9.07804,8.95199,8.88891,8.55383,8.22620,7.95257,7.92472,7.84489,7.84489,7.84489,7.84489,7.86486,8.11420,8.41590,8.61969,9.20159,10.07358,11.09920,12.24214,13.23949,13.93391,14.69637,15.27046,15.25213,15.28430,15.16887,14.94885,14.77790,14.47131,14.34734,14.28099,14.42277,14.33359,14.29729,14.14484,14.08636,13.98559,13.87820,13.58480,13.31936,13.26805,12.97172,12.46945,12.62590,12.61850,12.43500,12.28694,12.43641,12.21288,12.42387,12.10115,12.16165,12.37192,12.59002,12.55070,12.97266,13.38542,13.66811,13.62194,14.01814,14.57553,15.48569,16.45428,17.24852,17.64354,17.65594,17.72693,17.47808,17.13197,16.72204,16.48488,16.23963,16.16575,15.87184,15.48199,15.13529,14.83410,14.51881,14.25354,13.74198,14.26131,14.39197,14.17902,13.81742,13.05591,13.06098,13.22804,12.70781
2016,Lindfield 33_11kV,02MAY2015,MW,12.44895,11.93096,11.29645,11.06917,11.00800,10.40529,10.21274,9.77242,9.17404,8.67839,8.34099,8.18489,8.12782,7.94314,7.97296,7.80692,7.69375,7.53624,7.53624,7.66877,7.71114,7.80016,8.02986,8.09181,8.30650,8.86355,9.29359,9.54860,9.67402,10.26240,10.70968,11.32069,11.84057,12.22360,12.30079,12.66426,13.06091,12.95557,13.02388,13.13718,13.13937,13.26074,13.35555,13.20326,12.94144,12.96145,12.76106,12.69835,12.38500,12.28623,12.21983,12.11305,12.08463,12.06629,12.03315,11.79245,11.75104,11.98292,12.41351,12.79605,12.59591,12.64469,12.50624,12.76212,13.01654,13.36011,13.45541,13.84699,14.33777,15.24567,16.18504,16.44739,16.69802,16.73666,16.68009,16.54834,16.08425,15.85784,15.55778,14.99753,14.68732,14.42786,14.14427,14.13708,14.12819,13.90217,13.65088,13.22537,13.76677,13.92213,13.82818,13.26342,12.51452,12.55807,12.95897,12.48125
2016,Lindfield 33_11kV,03MAY2015,MW,12.36726,11.96114,11.39682,11.16243,11.06475,10.44661,9.86749,9.59070,9.12605,8.73357,8.40410,8.13611,7.99922,7.79374,7.70972,7.80374,7.74283,7.62610,7.46470,7.41870,7.58254,7.73570,7.76258,7.70756,7.85960,8.13428,8.68465,8.80631,8.81980,9.47818,9.89872,10.31061,11.03825,11.54528,11.96466,12.45405,12.91640,13.28722,13.56828,13.40593,13.45096,13.47654,13.46670,13.47821,13.48378,13.51500,13.29388,13.40773,13.25504,13.31071,13.36075,13.25792,13.04653,12.85664,12.42242,12.34007,12.26050,12.33721,12.42151,12.36665,12.20473,12.26395,12.44917,12.60073,13.06214,13.39289,13.71551,14.08846,14.78783,15.80456,16.57790,16.98062,17.19972,17.23066,16.96515,16.88425,16.58735,16.27178,15.93335,15.54110,15.17378,14.95256,14.58111,14.42987,14.26088,13.99359,13.61045,13.06748,13.36704,13.26284,13.06996,12.54147,11.86654,11.90741,12.10145,11.59395
2016,Lindfield 33_11kV,04MAY2015,MW,11.71353,11.16230,10.50017,10.52742,10.49876,10.01018,9.48631,9.12517,8.86315,8.40972,8.07246,7.95806,7.83116,7.69508,7.48334,7.37677,7.42359,7.56196,7.56196,7.56196,7.59639,7.84644,8.00620,8.26703,9.12204,10.09660,11.14160,11.77990,12.47616,13.20498,13.51085,13.73061,13.68898,13.44309,13.48970,13.44201,13.29749,13.12862,13.09956,13.08903,12.92361,12.94159,12.69847,12.55090,12.46568,12.48379,12.33083,12.44774,12.39514,12.24527,12.11800,12.23825,11.91660,11.94470,11.84915,11.74340,11.54026,11.49906,11.52707,11.62699,11.58579,11.80750,12.05079,12.07353,12.24266,12.50207,12.76468,13.18879,13.61803,14.64062,15.52480,16.07563,16.34809,16.73730,16.93181,16.81259,16.49275,16.30776,15.85547,15.58175,15.30254,14.93613,15.03082,14.75351,14.31435,13.97570,13.62456,13.15120,13.58200,13.60914,13.60816,13.00712,12.26377,12.02976,12.15631,11.47780
2016,Lindfield 33_11kV,05MAY2015,MW,11.58024,11.30499,10.60216,10.44107,10.30115,9.94062,9.37808,8.93644,8.62694,8.43071,8.20775,7.93795,7.80374,7.68685,7.62883,7.42404,7.42307,7.42307,7.49005,7.49433,7.78608,7.83240,8.09575,8.57679,9.39045,10.37401,11.52604,12.25639,12.67893,12.96189,13.29132,13.21234,13.37399,13.12529,13.02307,12.93979,12.58678,12.44679,12.42098,12.20895,12.12811,12.07929,11.82043,11.58653,11.58635,11.49072,11.60634,11.49093,11.61732,11.50993,11.39657,11.43331,11.45936,11.35904,11.53550,11.43092,11.48477,11.33442,11.43554,11.30998,11.32247,11.39741,11.45144,11.66158,11.68384,11.76125,12.15253,12.39759,12.87335,13.75242,14.75291,15.10560,15.26872,15.69365,15.87791,15.93012,15.62825,15.26283,15.17958,14.87045,14.48887,14.31212,13.94067,13.69145,13.50593,13.15147,12.91332,12.45385,12.90232,12.99858,12.76964,12.28272,11.89589,11.68401,11.80814,11.25338
2016,Lindfield 33_11kV,06MAY2015,MW,11.20757,10.84168,10.24948,10.11757,10.18330,9.73259,9.21402,8.76591,8.49958,8.22401,7.88304,7.77802,7.67304,7.48891,7.35573,7.39506,7.39735,7.45338,7.44957,7.47032,7.74160,8.03973,8.21730,8.62594,9.52579,10.56401,11.52102,12.27100,12.72069,13.36303,13.67558,13.54852,13.67172,13.41360,13.21061,12.72459,12.69470,12.64110,12.65985,12.55971,12.34187,11.99183,11.80093,11.77395,11.62664,11.77843,11.52614,11.33254,11.39642,11.22507,11.22551,11.24006,11.04242,11.09016,11.14945,11.29134,11.24256,11.13354,11.20462,11.10949,11.20066,11.25723,11.30885,11.45690,11.84202,12.01523,12.30013,12.76757,13.39751,14.71994,15.79417,16.66327,17.06639,17.20352,17.32923,17.49636,17.26299,17.08103,16.94328,16.70720,16.55897,16.29074,16.13906,16.01695,15.74686,15.23348,14.96206,14.40327,14.76415,14.56725,14.28068,13.72526,12.87942,12.75380,12.91194,12.37110
2016,Lindfield 33_11kV,07MAY2015,MW,12.17447,11.71166,11.25809,11.05022,10.99144,10.49760,9.99748,9.48231,9.13000,8.95946,8.55496,8.43709,8.33873,8.16510,8.13811,8.13811,8.13322,7.94777,8.08885,8.17412,8.32013,8.54969,8.89086,9.41397,10.40998,11.49827,12.67100,13.52536,14.13466,14.73599,15.22236,15.16940,15.07073,14.79259,14.21895,13.92707,13.63841,13.28500,13.17612,13.13272,12.87283,12.67539,12.30301,12.33773,12.27919,12.01117,11.88221,11.68936,11.84745,11.66450,11.41281,11.62321,11.62352,11.56757,11.53811,11.42071,11.27636,11.35595,11.14873,11.31457,11.29391,11.52388,11.70507,11.91740,12.26519,12.35185,12.91577,13.50224,14.42585,15.79938,16.97890,17.77086,18.44465,18.61383,18.61227,18.60427,18.50468,18.12924,18.11647,17.91335,17.78065,17.58608,17.48053,17.16563,16.94107,16.69876,16.19632,15.47628,15.72636,15.53975,15.07016,14.34067,13.55564,13.22945,13.28030,12.57424
2016,Lindfield 33_11kV,08MAY2015,MW,12.60015,12.22079,11.43924,11.29375,11.22588,10.75730,10.18866,9.94528,9.61824,9.32116,8.97315,8.74952,8.63997,8.43542,8.33873,8.18073,8.42891,8.34207,8.14325,8.25524,8.50973,8.75520,9.05924,9.58158,10.66813,11.87516,13.15798,13.98373,14.54356,15.05432,15.35772,15.29148,15.41867,15.21472,14.77848,14.26325,13.92567,13.60715,13.49708,13.36658,13.00775,12.71579,12.61746,12.46437,12.46437,12.26880,12.07958,12.05117,12.07923,11.85434,11.60403,11.64327,11.46128,11.46210,11.70840,11.57003,11.44906,11.41626,11.44197,11.41017,11.49344,11.62467,11.74444,12.10265,12.34091,12.50328,13.03483,13.54072,14.41051,15.55002,16.63205,17.67916,18.19348,18.44918,18.54950,18.34514,17.98536,17.83157,17.60343,17.23756,17.13271,16.97975,16.67070,16.43303,16.20707,15.97557,15.75356,15.22367,15.71154,15.56709,15.17254,14.73468,14.02571,13.77371,13.85258,13.13105
2016,Lindfield 33_11kV,09MAY2015,MW,13.05438,12.47349,11.85958,11.78794,11.46941,11.03806,10.46769,10.04828,9.69419,9.38628,9.14855,8.83086,8.64738,8.53806,8.37826,8.25128,8.39460,8.44481,8.18297,8.16433,8.31447,8.48959,8.70575,8.84861,9.43412,9.83773,10.47875,11.26944,11.75948,12.52088,12.97950,13.19280,13.52703,13.90693,13.90925,13.87963,13.71906,13.70310,13.54879,13.21760,13.03197,12.78085,12.48478,12.44593,12.05244,12.02786,11.87421,11.54357,11.37434,11.32424,11.16687,11.25763,11.48679,11.29468,10.96357,10.97157,10.88409,11.07388,10.92938,10.98497,11.05069,11.00575,11.21830,11.52027,11.66395,12.24359,12.91985,13.23852,14.14292,15.53463,16.67090,17.09038,17.53490,17.71706,17.93017,17.90019,17.42923,17.18607,17.11577,16.82442,16.61063,16.61217,16.49098,16.03691,15.83496,15.56300,15.21577,14.79927,15.43875,15.42380,15.17620,14.61146,14.05503,13.93828,14.07464,13.54813
2016,Lindfield 33_11kV,10MAY2015,MW,13.49237,12.91982,12.23787,12.04895,11.93924,11.33032,10.90013,10.57708,10.05491,9.62297,9.36462,9.06846,8.77058,8.62116,8.50335,8.42558,8.33236,8.31816,8.25674,8.21516,8.33760,8.49820,8.50759,8.57146,9.11616,9.42643,9.87993,10.46194,10.77761,11.41878,12.05954,12.46861,12.77826,13.47992,13.94151,13.88251,14.09620,13.86800,13.80265,13.79108,13.48238,13.24335,13.02863,12.83499,12.45025,12.47163,12.47445,12.67164,12.55034,12.51224,12.71592,12.48644,12.02039,11.81274,11.68878,11.43690,11.40204,11.41396,11.27319,11.21496,11.29921,11.55200,11.76856,12.10810,12.67146,13.06031,13.49710,14.15720,15.02602,16.11423,17.12133,17.81421,18.28450,18.79178,18.67907,18.57567,18.26211,17.77094,17.56164,17.22674,17.10514,16.87844,16.52316,16.07400,15.69592,15.22966,14.89210,14.45902,14.18389,13.94747,13.69741,13.05680,12.42807,12.41216,12.69844,12.14780
