year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Lisarow 33_11kV,01MAY2014,MW,11.89966,12.60953,11.99306,10.90958,10.33047,10.08762,10.92826,10.06894,9.30303,8.79865,8.08878,7.62176,7.39759,7.21078,7.34155,7.43495,7.37891,7.36023,7.73384,7.97669,8.20086,9.02282,9.71401,10.38651,10.90958,11.69417,12.23591,12.68425,12.19855,12.57216,12.81501,12.81501,12.59085,12.16119,11.71285,11.73153,11.52604,11.33923,11.17111,10.92826,11.04034,10.62936,10.70409,10.74145,10.55464,10.46124,10.51728,10.36783,10.29311,10.31179,10.44256,10.76013,10.57332,10.55464,10.47992,10.72277,10.74145,10.57332,10.40519,10.40519,10.46124,10.59200,10.36783,10.66673,11.24583,11.18979,11.43264,11.80625,11.93702,12.79633,13.56225,14.12267,14.38420,14.42156,14.38420,14.01058,13.63697,13.63697,13.50620,13.05787,13.59961,13.26335,13.45016,12.85238,13.07655,12.42272,12.27327,11.80625,11.95570,12.98314,13.43148,12.55348,12.92710,12.32931,13.13259,12.29195
2015,Lisarow 33_11kV,02MAY2014,MW,11.80625,12.74029,12.10515,11.00298,10.62936,10.38651,11.00298,10.23707,9.26567,8.87337,8.40635,8.07010,7.75252,7.62176,7.78989,7.50967,7.09870,7.41627,7.95801,7.73384,7.77120,8.68656,9.95686,10.42388,10.62936,11.37659,11.99306,12.42272,11.63813,12.19855,12.36668,12.90842,12.55348,12.32931,11.89966,11.69417,11.47000,11.09638,11.04034,10.44256,10.62936,10.62936,10.62936,10.70409,10.55464,10.51728,10.42388,10.62936,10.81617,10.96562,10.68541,10.29311,10.46124,10.66673,10.59200,10.81617,10.64804,10.36783,10.55464,10.68541,10.51728,11.00298,10.81617,10.85353,10.94694,11.17111,11.52604,11.61945,11.88098,12.75897,13.31940,13.56225,13.50620,13.58093,13.56225,13.18863,12.92710,12.42272,12.04910,11.69417,12.23591,11.61945,11.88098,11.28319,11.50736,11.18979,10.98430,10.59200,10.51728,11.75021,12.17987,11.63813,12.08646,11.52604,12.57216,11.91834
2015,Lisarow 33_11kV,03MAY2014,MW,11.45132,12.32931,11.67549,10.62936,9.99422,9.80741,10.46124,9.88213,8.87337,8.48107,7.97669,7.67780,7.22946,7.06133,6.81848,6.81848,6.59432,6.42619,6.51959,6.50091,6.57563,6.53827,6.59432,6.83717,7.22946,7.30418,7.49099,7.65912,7.54704,7.95801,8.40635,8.44371,8.61184,8.70524,8.53712,8.53712,8.61184,8.87337,9.11622,9.37775,9.54588,9.37775,9.39643,8.74260,8.55580,8.48107,8.48107,8.33163,7.88329,7.97669,7.80857,7.60308,7.58440,7.64044,7.67780,7.78989,7.52835,7.52835,7.84593,7.78989,7.78989,7.82725,8.03274,8.16350,8.72392,9.17226,9.63928,10.18103,10.72277,11.61945,12.25459,12.62821,12.81501,12.68425,12.53480,12.10515,11.76889,11.52604,11.39528,11.18979,11.56340,11.00298,11.28319,10.76013,10.90958,10.36783,10.21839,9.84477,9.88213,10.92826,11.47000,10.70409,11.33923,10.87221,12.10515,11.50736
2015,Lisarow 33_11kV,04MAY2014,MW,11.09638,12.21723,11.56340,10.40519,9.93817,9.63928,10.33047,9.41511,8.64920,8.12614,7.73384,7.34155,7.00529,6.78112,6.38883,6.16466,6.05257,6.14598,6.14598,6.14598,6.14598,6.14598,6.14598,6.35147,6.44487,6.66904,6.94925,7.22946,7.06133,7.32287,7.69648,7.99537,8.07010,8.48107,8.59316,8.81733,8.85469,8.63052,8.63052,8.40635,8.35031,8.16350,8.01405,7.97669,7.80857,7.52835,7.28550,7.21078,7.28550,7.41627,7.24814,7.19210,7.13606,7.15474,7.30418,7.11738,6.96793,7.13606,6.94925,7.34155,7.43495,7.67780,7.92065,8.07010,8.27559,8.85469,9.56456,9.99422,10.61068,11.48868,12.32931,12.68425,12.77765,12.85238,12.83370,12.34800,12.19855,11.71285,11.60076,11.32055,11.78757,11.39528,11.48868,10.98430,11.04034,10.62936,10.33047,9.88213,9.71401,10.83485,11.33923,10.62936,11.26451,10.85353,12.04910,11.54472
2015,Lisarow 33_11kV,05MAY2014,MW,11.11506,12.14251,11.58208,10.66673,9.99422,9.86345,10.61068,9.84477,9.09754,8.42503,8.18218,7.60308,7.36023,7.37891,7.32287,7.13606,7.13606,7.49099,7.78989,7.64044,8.77997,9.20962,9.84477,10.38651,10.98430,11.84361,12.98314,13.84246,13.15127,13.73037,13.73037,13.61829,13.33808,13.15127,12.55348,11.93702,11.69417,11.39528,11.22715,11.32055,11.26451,10.72277,10.59200,10.47992,10.14366,10.08762,10.29311,10.29311,10.05026,10.01290,9.97554,9.78873,9.82609,10.03158,10.03158,9.93817,9.73269,9.86345,9.86345,9.95686,10.18103,10.34915,10.42388,10.70409,10.81617,11.39528,11.88098,12.21723,12.60953,13.45016,14.66441,15.09407,14.88858,15.16879,15.11275,15.05671,14.57101,14.36552,14.12267,13.74905,14.04795,13.63697,13.93586,13.30072,13.39412,12.81501,12.60953,12.01174,11.99306,12.85238,13.07655,12.12383,12.62821,12.16119,13.31940,12.44140
2015,Lisarow 33_11kV,06MAY2014,MW,11.99306,12.96446,12.44140,11.32055,10.72277,10.55464,11.09638,10.38651,9.67664,9.17226,8.85469,8.18218,7.62176,7.24814,7.22946,7.43495,7.28550,7.24814,7.71516,8.40635,8.36899,8.96677,9.56456,10.49860,11.41396,12.23591,13.05787,13.93586,13.45016,14.04795,14.38420,14.02927,13.67433,13.54357,13.30072,12.57216,12.14251,11.88098,11.82493,11.78757,11.58208,11.37659,10.90958,10.72277,10.83485,10.72277,10.74145,10.76013,10.89089,10.64804,10.79749,10.79749,10.44256,10.49860,10.85353,10.81617,10.55464,10.40519,10.40519,10.47992,10.59200,9.39643,9.97554,10.16234,10.21839,10.51728,11.02166,11.78757,12.85238,14.29080,15.07539,15.26220,15.35560,15.43032,15.35560,15.37428,14.94462,14.88858,14.57101,14.23475,14.58969,14.23475,14.29080,13.67433,13.63697,13.03918,12.72161,12.19855,12.04910,12.98314,13.61829,12.75897,13.24467,12.68425,13.26335,12.66557
2015,Lisarow 33_11kV,07MAY2014,MW,11.91834,12.98314,12.34800,11.41396,10.98430,10.94694,11.24583,10.40519,9.62060,8.96677,8.64920,8.27559,7.84593,7.60308,7.62176,7.58440,7.71516,7.52835,7.95801,8.20086,8.03274,8.72392,9.52720,10.36783,11.22715,12.03042,12.83370,13.45016,12.94578,13.46884,13.56225,12.90842,13.46884,13.22599,12.55348,12.16119,12.19855,11.91834,11.80625,11.60076,11.54472,11.30187,10.83485,10.94694,10.79749,10.44256,10.55464,10.42388,10.25575,10.31179,10.47992,10.25575,10.25575,10.25575,10.06894,9.86345,10.06894,10.10630,10.27443,10.55464,10.68541,10.81617,10.83485,10.87221,11.04034,11.32055,11.91834,12.34800,12.85238,13.99190,14.85122,15.22484,15.33692,15.56109,15.46769,15.09407,14.75782,14.47760,14.27212,14.02927,14.42156,13.99190,14.17871,13.65565,13.82378,13.33808,13.02050,12.49744,12.49744,13.31940,13.33808,12.55348,13.07655,12.29195,13.03918,12.38536
2015,Lisarow 33_11kV,08MAY2014,MW,11.88098,12.88974,12.32931,11.11506,10.62936,10.59200,11.18979,10.40519,9.48984,9.04150,8.61184,8.08878,7.80857,7.82725,7.82725,7.56572,7.32287,7.77120,7.84593,7.88329,8.31295,9.00414,9.90081,10.38651,11.05902,12.29195,13.03918,13.24467,12.83370,13.45016,13.63697,13.91718,13.59961,13.35676,12.87106,12.72161,12.32931,11.76889,11.75021,11.88098,12.04910,12.19855,12.06778,11.89966,11.75021,11.54472,11.75021,10.89089,10.66673,10.51728,10.74145,11.00298,10.83485,11.05902,11.20847,10.85353,11.13374,11.02166,11.04034,10.81617,10.98430,11.04034,11.02166,10.92826,11.15243,11.47000,12.06778,12.27327,12.77765,13.87982,14.60837,14.79518,14.70177,14.66441,14.66441,14.49629,14.25344,13.97322,13.78642,13.46884,13.86114,13.37544,13.43148,12.96446,13.00182,12.68425,12.44140,11.93702,11.88098,12.88974,13.22599,12.29195,12.79633,11.75021,12.83370,12.38536
2015,Lisarow 33_11kV,09MAY2014,MW,11.76889,12.81501,12.21723,11.00298,10.42388,10.25575,10.83485,10.21839,9.35907,8.79865,8.31295,7.69648,7.49099,7.36023,7.02397,7.02397,6.91189,7.09870,7.09870,7.15474,7.36023,7.90197,8.48107,8.70524,9.34039,10.47992,11.24583,11.60076,11.11506,11.54472,11.65681,11.82493,11.69417,11.37659,11.17111,10.81617,10.51728,10.55464,10.38651,10.57332,10.51728,10.31179,10.01290,10.06894,10.19971,10.21839,10.14366,9.91949,9.60192,9.34039,9.26567,9.39643,9.30303,9.07886,9.04150,9.00414,8.83601,8.92941,8.92941,8.83601,9.07886,9.48984,9.56456,9.69532,9.93817,10.21839,10.53596,11.22715,11.50736,12.25459,12.83370,12.96446,12.96446,12.77765,12.75897,12.60953,12.29195,11.50736,11.39528,11.09638,11.69417,11.32055,11.60076,10.94694,11.20847,10.70409,10.55464,10.10630,10.05026,10.83485,11.32055,10.57332,11.24583,10.59200,11.69417,10.85353
2015,Lisarow 33_11kV,10MAY2014,MW,10.46124,11.63813,11.07770,10.06894,9.63928,9.43379,10.08762,9.35907,8.53712,8.10746,7.56572,7.17342,6.98661,6.55695,6.07125,5.80972,5.97785,5.92181,5.97785,5.79104,5.95917,6.10862,6.07125,6.22070,6.66904,7.26682,7.84593,8.31295,8.14482,8.64920,8.94809,8.81733,9.06018,9.35907,9.04150,8.76129,8.68656,8.55580,8.68656,8.46239,8.46239,8.25690,8.01405,7.71516,7.65912,7.56572,7.50967,7.49099,7.58440,7.64044,7.58440,7.64044,7.54704,7.39759,7.39759,7.39759,7.37891,7.75252,7.49099,7.62176,7.80857,8.21954,8.53712,8.51844,8.70524,9.00414,9.50852,9.88213,10.10630,10.74145,11.17111,11.20847,11.20847,11.17111,11.04034,10.72277,10.53596,10.42388,10.10630,9.71401,10.10630,9.73269,9.91949,9.41511,9.69532,9.30303,9.24699,8.72392,8.72392,9.93817,10.49860,9.93817,10.77881,10.38651,11.45132,10.96562
