year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Long Jetty 66_11kV,01MAY2017,MW,17.66172,19.80513,18.41620,16.59859,15.31254,15.07248,16.58144,15.36398,13.90646,12.82618,11.83164,11.24863,10.85424,10.69992,10.56274,10.06547,10.35697,10.32268,10.39127,10.49415,10.90568,11.48869,11.88308,12.55183,13.39204,14.52377,15.77552,16.32423,15.58690,15.89555,15.89555,15.98129,15.72408,15.46687,15.08963,14.78098,14.54091,14.50662,14.02649,13.75214,13.99220,14.21511,13.01480,13.08339,12.89477,13.35775,12.65471,12.82618,13.34060,12.84333,12.84333,12.91192,12.92907,13.20342,13.37490,13.51207,13.47778,13.37490,13.42634,13.61496,13.83787,14.26656,14.55806,14.93530,15.17536,16.06702,16.65003,17.54169,18.22758,19.51363,20.88542,21.58845,21.91425,22.05143,21.21121,20.88542,19.99376,19.39360,18.94777,18.36476,19.85658,18.58768,18.91348,17.55884,18.14185,16.90724,16.46141,15.41543,15.26110,16.80436,17.64457,16.25564,17.54169,16.75292,19.03351,18.19329
2018,Long Jetty 66_11kV,02MAY2017,MW,17.35307,19.23927,17.88464,15.82696,14.62665,14.31800,15.77552,14.57521,13.35775,12.10600,11.66017,10.90568,10.49415,10.56274,10.20265,9.87685,10.01402,10.27123,10.27123,10.47700,10.80280,11.31722,11.78020,12.50038,13.85502,14.62665,15.60405,16.42712,15.39828,15.99843,16.23850,16.01558,15.86126,15.62119,15.22681,14.78098,14.54091,14.19797,13.73499,13.58066,13.30631,12.89477,13.04910,12.91192,12.72330,12.74045,12.70615,13.08339,12.84333,12.80904,12.98051,12.94621,12.92907,13.18628,13.44349,13.22057,13.40919,13.73499,13.78643,13.76928,14.04364,14.04364,14.60950,14.67809,15.27825,15.96414,16.46141,17.25019,18.09040,19.63366,20.67965,21.50272,21.65704,21.60560,21.57131,21.07404,20.28526,19.89087,19.37645,18.93062,20.26811,18.89633,19.27357,18.12470,18.31332,17.18160,16.63288,15.86126,15.67263,16.83865,17.79890,16.75292,17.79890,16.87295,19.22213,18.10755
2018,Long Jetty 66_11kV,03MAY2017,MW,17.19874,19.37645,18.09040,16.06702,14.76383,14.64380,16.23850,15.08963,13.59781,12.39750,11.74590,10.93998,10.33982,10.20265,10.08261,10.03117,10.06547,10.20265,10.33982,10.39127,10.88854,11.38581,11.78020,12.12314,13.23772,14.40373,15.62119,16.54715,15.67263,16.28994,16.59859,16.58144,16.44426,16.71862,16.03273,15.44972,15.17536,14.88386,15.08963,15.00389,14.79812,14.36944,14.35229,14.81527,15.10677,14.93530,14.31800,13.87217,14.55806,14.50662,14.21511,14.16367,14.50662,14.84956,14.69524,14.67809,14.57521,14.84956,14.72953,14.47232,14.50662,14.48947,15.07248,15.56975,16.10132,16.89009,17.45595,18.22758,19.06780,20.79968,22.17146,22.84021,23.25174,23.18315,22.94309,22.49726,21.62275,21.29695,21.05689,20.09664,21.50272,20.21667,20.50817,18.86203,19.42789,18.17614,17.54169,16.53000,16.10132,17.90178,18.50194,16.94154,17.95323,17.11301,19.65081,18.36476
2018,Long Jetty 66_11kV,04MAY2017,MW,17.81605,19.78799,18.38191,16.39282,15.08963,14.81527,16.39282,15.10677,13.99220,13.28916,12.10600,11.35151,10.68277,10.32268,9.99688,10.18550,10.28838,10.27123,10.25409,10.32268,10.99142,11.55728,12.20888,12.29462,13.37490,14.50662,15.89555,16.77006,15.72408,16.23850,16.25564,16.04988,16.01558,15.86126,15.99843,15.67263,15.27825,14.72953,14.38659,13.71784,13.54637,13.75214,13.92361,14.21511,14.09508,13.97505,13.47778,13.06624,13.08339,12.98051,13.04910,13.88932,14.11223,13.88932,14.02649,13.97505,14.45518,14.62665,14.71239,14.60950,14.55806,15.24395,15.44972,15.68978,16.08417,16.87295,17.64457,18.67341,19.32501,20.71394,21.60560,21.91425,22.30864,22.25720,22.01714,21.65704,21.14262,20.88542,20.43959,19.78799,21.09118,19.71940,20.19952,18.86203,19.18783,17.86749,17.47310,16.51285,16.10132,17.59313,18.41620,17.07871,18.07326,17.31878,19.87372,18.79344
2018,Long Jetty 66_11kV,05MAY2017,MW,17.67887,19.77084,18.51909,16.53000,15.38113,15.05533,16.30709,15.03818,13.85502,12.87762,11.90023,11.36866,10.78565,10.56274,10.23694,10.21979,10.21979,10.21979,10.23694,10.59703,10.87139,11.60872,11.83164,12.43179,13.71784,14.90101,15.92984,16.77006,15.75837,16.46141,16.61574,16.30709,16.22135,16.23850,15.65549,15.05533,14.71239,14.45518,14.26656,13.80358,13.58066,13.63211,13.46063,13.13483,13.11769,12.86048,13.11769,12.77474,13.01480,12.98051,12.89477,12.75759,12.92907,12.63756,12.63756,12.68900,12.77474,12.60327,12.74045,13.16913,13.35775,13.54637,13.73499,14.26656,14.86671,15.51831,16.03273,16.87295,17.01012,18.55338,20.14808,20.54247,20.83397,20.93686,20.76538,20.43959,19.90802,19.73655,19.29072,18.84489,20.47388,19.01636,19.46219,18.31332,19.17068,17.79890,17.23304,16.59859,16.42712,18.02182,18.96492,17.47310,18.48479,17.78175,19.87372,19.06780
2018,Long Jetty 66_11kV,06MAY2017,MW,18.12470,20.11379,18.62197,16.75292,15.27825,15.00389,16.53000,15.43257,14.07794,12.77474,11.79734,11.16289,11.00857,10.59703,10.32268,10.16835,10.08261,9.92829,10.32268,10.16835,10.51130,10.66562,11.06001,11.36866,11.98596,12.24317,13.01480,13.68355,13.58066,14.35229,14.98674,15.20966,15.89555,16.18705,16.32423,16.58144,16.25564,16.34138,15.84411,15.77552,15.20966,14.84956,14.72953,14.64380,14.64380,14.96960,14.30085,13.90646,13.83787,13.63211,13.34060,13.51207,13.39204,13.42634,13.54637,13.56352,13.66640,13.64925,13.66640,13.88932,14.04364,14.09508,14.50662,14.76383,,,,,,,,20.30241,20.40529,20.07949,19.99376,19.17068,18.86203,18.36476,17.98752,17.73031,18.91348,17.67887,18.02182,16.95868,17.67887,16.59859,16.25564,15.32969,15.14107,16.90724,17.93608,16.66718,18.12470,17.50740,19.94231,18.70771
2018,Long Jetty 66_11kV,07MAY2017,MW,18.19329,20.16523,18.77630,16.70147,15.14107,15.03818,16.42712,15.29539,13.90646,12.80904,12.03741,11.40296,10.85424,10.51130,10.25409,10.13406,9.96258,9.96258,9.99688,10.01402,10.15120,10.32268,10.32268,10.37412,11.00857,11.38581,11.54013,12.14029,12.07170,12.65471,13.32345,14.02649,14.48947,14.72953,15.22681,15.43257,15.48401,15.41543,15.43257,15.32969,15.00389,14.76383,14.74668,14.18082,13.92361,13.82073,13.42634,13.34060,13.59781,13.32345,13.46063,13.54637,13.46063,13.35775,13.16913,12.92907,12.98051,13.16913,13.44349,13.59781,13.63211,14.04364,14.31800,14.76383,15.36398,15.94699,16.59859,17.38737,18.33047,19.78799,21.43413,22.24005,22.46297,22.18861,21.62275,21.27980,20.57676,20.01090,19.30786,19.05065,20.38814,18.98206,19.20498,18.15899,18.53623,17.26733,16.83865,15.74122,15.38113,16.92439,17.78175,16.27279,17.67887,16.97583,19.54793,18.58768
2018,Long Jetty 66_11kV,08MAY2017,MW,17.98752,20.13093,18.57053,16.83865,15.50116,15.08963,16.53000,15.07248,13.94076,12.98051,11.95167,11.23148,11.06001,10.52844,10.35697,10.23694,10.42556,10.06547,10.37412,10.57989,11.18004,11.81449,12.29462,12.89477,14.00935,15.24395,16.59859,17.55884,16.47856,17.19874,17.38737,17.37022,17.30163,17.14730,16.85580,16.35853,16.06702,15.38113,15.00389,14.38659,14.04364,13.88932,13.66640,13.56352,13.35775,13.10054,13.03195,13.10054,13.11769,12.91192,12.84333,12.89477,13.35775,13.80358,13.90646,13.68355,13.11769,13.18628,12.89477,13.20342,13.71784,14.35229,14.93530,15.36398,16.03273,16.65003,17.57599,18.55338,19.82228,21.87996,22.96024,23.71472,24.07481,24.19484,23.74901,23.28604,22.56585,21.87996,21.55416,21.00545,22.36008,20.90256,21.22836,20.02805,20.45673,19.08495,18.22758,16.97583,16.77006,18.10755,18.79344,17.37022,18.63912,17.64457,20.01090,18.91348
2018,Long Jetty 66_11kV,09MAY2017,MW,18.19329,20.35385,18.96492,17.13016,16.04988,15.60405,17.01012,15.62119,14.35229,13.08339,11.93452,11.50584,11.16289,10.83710,10.54559,10.59703,10.57989,10.33982,10.59703,11.18004,11.72876,12.12314,12.43179,13.25487,14.33515,15.99843,17.06157,18.03896,17.14730,17.97037,18.05611,17.90178,17.09586,16.63288,16.28994,15.94699,15.74122,15.99843,15.15822,14.66094,14.83242,14.54091,13.64925,13.11769,13.18628,12.84333,12.80904,13.20342,13.16913,12.86048,12.77474,12.99766,12.58612,12.72330,12.89477,12.63756,12.74045,12.74045,12.68900,12.74045,12.96336,13.30631,13.90646,14.35229,15.08963,15.80981,16.61574,17.73031,19.17068,20.78253,22.37723,23.23460,23.81760,23.76616,23.45751,23.01168,22.39438,21.81137,21.12548,20.79968,22.08573,20.78253,21.19407,19.63366,20.19952,18.81059,18.02182,17.26733,16.92439,18.21044,18.74200,17.52454,18.75915,17.79890,19.99376,18.82774
2018,Long Jetty 66_11kV,10MAY2017,MW,18.21044,20.28526,18.79344,16.94154,15.72408,15.44972,16.70147,15.43257,14.18082,13.08339,11.91738,11.42010,10.97427,10.57989,10.57989,10.44271,10.33982,10.37412,10.47700,10.76851,11.36866,11.93452,12.50038,13.13483,14.36944,16.20420,17.18160,18.36476,17.33592,17.57599,17.31878,17.11301,17.02727,16.71862,15.94699,15.41543,15.10677,14.47232,14.09508,14.06079,13.76928,13.34060,13.11769,12.91192,12.89477,12.79189,12.80904,12.91192,12.91192,12.91192,12.84333,12.99766,13.23772,12.96336,13.13483,12.89477,12.68900,12.75759,12.94621,12.99766,13.39204,13.64925,14.09508,14.30085,15.17536,16.35853,17.07871,17.93608,18.65627,20.83397,22.27435,23.13171,22.89165,23.01168,22.63444,22.30864,21.99999,21.48557,21.09118,20.78253,22.17146,21.00545,21.31410,20.04520,20.49103,19.08495,18.21044,17.19874,16.73577,18.19329,18.75915,17.21589,18.48479,17.61028,20.18238,19.03351
