year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Lucas Heights 33_11kV,01MAY2016,MW,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,4.98296,5.11215,4.98296,5.11215,5.01987,5.03833,5.09369,5.16752,4.98296,5.13060,5.25979,5.25979,5.25979,5.11215,5.24134,5.25979,5.25979,5.25979,5.25979,5.25979,5.38898,5.29670,5.29670,5.48126,5.31516,5.29670,5.29670,5.29670,5.29670,5.09369,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,4.98296,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.76150,5.07524,5.07524
2017,Lucas Heights 33_11kV,02MAY2016,MW,5.11215,4.79841,4.79841,4.79841,4.70613,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,5.09369,4.89068,4.92759,5.03833,4.98296,4.98296,4.72459,4.83532,5.22288,5.33361,5.18597,5.18597,5.20443,5.42589,5.42589,5.42589,5.42589,5.42589,5.42589,5.59199,5.70272,5.70272,5.70272,5.70272,5.70272,5.70272,5.72118,5.88728,5.77654,5.70272,5.70272,5.70272,5.70272,5.70272,5.70272,5.70272,5.70272,5.55508,5.46280,5.46280,5.46280,5.46280,5.46280,5.46280,5.46280,5.46280,5.46280,5.16752,5.16752,5.16752,5.16752,5.16752,5.16752,5.00142,4.90914,4.90914,4.90914,4.90914,4.90914,4.90914,4.90914,4.81686,4.79841,4.85377,4.70613,4.77995,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841
2017,Lucas Heights 33_11kV,03MAY2016,MW,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.89068,4.81686,4.81686,4.81686,4.81686,4.81686,4.81686,4.81686,4.81686,4.85377,4.81686,4.81686,5.00142,5.07524,5.07524,5.07524,5.07524,5.07524,5.07524,5.38898,5.38898,5.42589,5.55508,5.40744,5.53662,5.61045,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.64736,5.92419,5.94264,5.94264,6.21947,6.36712,6.36712,5.94264,5.90573,5.90573,5.90573,5.90573,5.88728,5.64736,5.64736,5.64736,5.40744,5.40744,5.40744,5.59199,5.66581,5.66581,5.55508,5.51817,5.49971,5.40744,4.90914,4.89068,4.68767,4.63231,4.63231,4.89068,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.52158,4.81686,4.81686,4.81686,4.81686,4.72459,4.68767
2017,Lucas Heights 33_11kV,04MAY2016,MW,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.59540,4.46621,4.46621,4.46621,4.48466,4.52158,4.59540,4.50312,4.59540,4.50312,4.48466,4.50312,4.65076,4.79841,4.79841,4.79841,4.79841,4.79841,5.01987,5.18597,5.13060,5.13060,5.13060,5.25979,5.38898,5.38898,5.38898,5.38898,5.40744,5.42589,5.49971,5.53662,5.68427,5.81345,5.73963,5.68427,5.68427,5.68427,5.81345,5.88728,5.83191,5.83191,5.81345,5.81345,5.88728,6.44094,6.45939,6.45939,6.45939,6.29330,6.21947,6.21947,6.21947,6.21947,6.21947,6.21947,5.97955,5.97955,5.97955,5.97955,5.88728,5.73963,5.73963,5.73963,5.73963,5.73963,5.73963,5.73963,5.59199,4.98296,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759,4.92759
2017,Lucas Heights 33_11kV,05MAY2016,MW,4.79841,4.96451,4.96451,4.96451,4.87223,4.74304,4.70613,4.70613,4.70613,4.70613,4.70613,4.70613,4.70613,4.70613,4.70613,4.70613,4.77995,4.77995,4.77995,4.77995,4.77995,4.77995,4.89068,4.83532,5.05678,4.89068,5.05678,5.05678,5.42589,5.68427,5.68427,5.68427,5.68427,5.77654,5.61045,5.64736,5.68427,5.68427,5.68427,5.68427,5.68427,5.75809,5.66581,5.72118,5.64736,5.64736,5.68427,5.72118,5.72118,5.86882,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.94264,5.77654,5.59199,5.49971,5.35207,5.35207,5.35207,5.68427,5.70272,5.70272,5.64736,5.46280,5.46280,5.46280,5.46280,5.46280,5.29670,4.85377,4.85377,4.85377,4.85377,4.85377,4.85377,4.83532,4.55849,4.55849,4.55849,4.59540,4.57694,4.57694,4.57694,4.57694,4.57694
2017,Lucas Heights 33_11kV,06MAY2016,MW,4.57694,4.57694,4.57694,4.57694,4.57694,4.57694,4.57694,4.57694,4.57694,4.57694,4.54003,4.57694,4.50312,4.59540,4.59540,4.59540,4.59540,4.52158,4.59540,4.59540,4.59540,4.72459,4.85377,4.85377,4.85377,4.85377,5.33361,5.14906,5.09369,5.09369,5.14906,5.31516,5.38898,5.38898,5.38898,5.46280,5.66581,5.66581,5.66581,5.66581,5.66581,5.66581,5.66581,5.66581,5.66581,6.23793,6.36712,6.29330,6.38557,6.38557,6.38557,6.38557,6.38557,6.38557,6.62549,6.60704,6.40403,6.40403,6.40403,6.40403,6.40403,6.27484,6.16411,6.16411,6.16411,6.07183,5.90573,5.90573,5.77654,5.64736,5.64736,5.64736,5.64736,5.53662,5.03833,5.03833,5.03833,4.90914,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.79841,4.55849,4.52158,4.52158,4.52158,4.52158
2017,Lucas Heights 33_11kV,07MAY2016,MW,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.52158,4.57694,5.20443,5.29670,5.29670,5.29670,5.29670,5.29670,4.65076,4.63231,4.63231,4.68767,4.87223,4.81686,4.63231,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,5.03833,5.13060,5.13060,5.13060,4.92759,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223
2017,Lucas Heights 33_11kV,08MAY2016,MW,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,4.87223,5.11215,5.29670,5.46280,5.55508,5.49971,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.33361,5.57353,5.57353,5.57353,5.25979,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987
2017,Lucas Heights 33_11kV,09MAY2016,MW,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,5.01987,4.96451,4.74304,4.74304,4.81686,5.05678,5.05678,5.05678,5.25979,5.29670,4.96451,4.76150,4.57694,4.52158,4.52158,4.52158,4.52158,4.52158,4.89068,5.20443,5.20443,4.77995,4.76150,4.76150,5.03833,5.13060,5.13060,5.13060,5.13060,5.13060,5.13060,5.13060,5.13060,5.14906,5.14906,5.14906,5.14906,5.22288,5.16752,5.18597,5.24134,5.16752,5.16752,5.16752,5.16752,5.16752,5.16752,5.16752,5.18597,5.46280,5.46280,5.27825,5.22288,5.22288,5.22288,5.22288,4.28166,4.74304,4.54003,4.54003,4.54003,4.48466,4.30011,4.30011,4.30011,4.30011,4.28166,4.06019,4.06019,4.06019,4.06019,4.06019,4.06019,4.00482,3.96791,3.96791,3.96791,3.91255,3.89409,3.89409,3.89409,3.82027,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572
2017,Lucas Heights 33_11kV,10MAY2016,MW,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.63572,3.56189,3.56189,3.56189,3.59881,3.80181,3.70954,3.70954,3.70954,3.70954,3.91255,3.91255,3.82027,3.98637,3.98637,3.98637,4.20783,4.24474,4.46621,4.52158,4.42930,4.44775,4.57694,4.54003,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.70613,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.68767,4.70613,5.18597,5.18597,5.16752,5.13060,5.13060,5.13060,5.13060,5.13060,5.13060,4.98296,4.90914,4.90914,4.90914,4.68767,4.65076,4.55849,4.28166,4.28166,4.37393,4.48466,4.55849,4.26320,3.91255,4.13401,4.13401,4.13401,4.13401,4.13401,4.13401,4.13401,4.15247,4.57694,4.57694,4.57694,4.57694,4.57694,4.63231,4.83532,4.83532,4.83532,4.83532,4.83532
