year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Macquarie Park 132_11kV,01MAY2015,MW,31.85911,31.58062,31.58062,30.94938,30.48523,30.11391,30.11391,30.11391,29.68689,29.61263,29.53837,29.37127,29.42697,29.24131,29.24131,29.33414,29.74259,29.72403,29.24131,29.33414,30.07678,30.80085,31.43209,31.84054,34.32837,35.34950,37.09469,38.06012,40.15807,41.56908,42.62734,43.25858,43.64846,44.33540,45.31939,45.43079,44.66959,44.03835,44.53963,44.31683,44.40966,44.09404,44.57676,44.63246,46.45191,46.74897,46.74897,47.10172,47.39878,47.21312,47.78866,48.25281,48.12285,47.64013,47.90006,47.80723,48.19711,47.82579,48.21568,48.15998,48.15998,47.95575,47.19455,46.80467,46.32195,45.41222,45.41222,45.05947,44.78098,44.85525,44.63246,44.00121,41.69904,39.80532,39.39687,39.32260,38.61710,37.57741,37.02043,36.35206,36.12927,35.55372,35.34950,35.34950,35.23810,34.47690,34.38407,33.82709,33.38151,33.32581,32.99163,32.84310,32.69457,32.75027,32.73170,31.91480
2016,Macquarie Park 132_11kV,02MAY2015,MW,32.17473,32.24899,31.59918,31.15360,31.07934,31.07934,30.85655,30.67089,30.42953,30.00252,30.00252,29.70546,29.61263,29.48267,28.92569,28.94426,28.90713,28.90713,28.96282,28.90713,29.29701,29.05565,29.38984,29.40841,29.44554,30.20674,30.20674,30.20674,30.20674,30.59662,31.28356,31.45066,31.85911,32.28612,32.37895,33.01019,33.47434,33.73426,34.16128,34.55116,34.58830,34.64399,35.05244,35.05244,35.05244,34.77396,34.38407,35.20097,35.21954,34.82965,34.49547,34.68113,34.49547,34.12415,34.03132,34.23554,33.78996,33.78996,33.95705,33.78996,33.78996,34.03132,34.21698,34.21698,34.01275,33.77140,33.40008,33.45578,33.45578,33.58574,34.62543,34.29124,34.19841,33.58574,33.10302,33.19585,33.12159,33.01019,32.63888,32.50891,32.50891,31.78484,31.87767,31.71058,31.67345,31.54349,31.26500,30.89368,30.87511,31.02364,31.04221,31.04221,30.67089,30.41097,30.74515,30.67089
2016,Macquarie Park 132_11kV,03MAY2015,MW,30.52236,30.61519,30.37383,30.09535,29.81686,29.61263,29.61263,28.70290,28.66577,28.66577,28.66577,28.66577,28.66577,28.66577,28.96282,29.14848,29.18562,29.27844,29.27844,29.27844,29.27844,29.16705,29.22275,29.37127,29.37127,29.37127,29.37127,29.37127,29.37127,30.11391,30.03965,30.16961,30.98651,31.20930,31.20930,31.20930,31.20930,31.39496,32.32325,32.37895,32.50891,32.95450,33.27012,33.67857,33.67857,33.67857,33.67857,33.67857,33.67857,33.67857,33.67857,33.54860,33.54860,33.54860,33.64143,34.01275,33.80853,33.67857,33.54860,33.54860,33.66000,33.58574,33.53004,33.49291,33.62287,33.62287,33.62287,33.62287,33.67857,33.80853,34.12415,34.12415,34.12415,33.66000,33.58574,33.12159,33.12159,32.67601,32.86167,33.08446,31.84054,31.67345,31.56205,31.67345,31.33926,31.28356,31.20930,31.04221,31.17217,31.17217,31.17217,31.11647,30.42953,30.59662,30.78228,30.42953
2016,Macquarie Park 132_11kV,04MAY2015,MW,30.11391,29.94682,29.66833,29.66833,29.66833,29.66833,29.35271,28.94426,28.90713,28.49868,28.49868,28.62864,28.86999,28.42441,28.42441,28.36872,28.40585,28.86999,28.86999,28.86999,29.38984,30.22531,30.91225,31.87767,33.86423,35.23810,36.66768,37.05756,39.47113,40.78931,42.07036,42.59020,43.48137,43.79699,44.33540,45.37509,45.48649,45.80211,45.93207,45.96920,46.50761,47.41734,47.73296,48.04858,48.27137,48.62413,48.38277,48.47560,49.23680,48.79122,48.79122,48.92118,49.19967,49.12541,49.31107,49.62669,48.95831,49.40389,48.97688,48.79122,48.73552,48.40134,48.51273,48.17854,47.95575,47.75153,47.28738,47.25025,46.91606,46.73040,45.61645,44.96664,42.68303,41.12350,40.71505,39.84245,38.89559,38.30148,37.98586,37.31749,36.74194,36.29636,36.09213,35.86934,35.18241,34.79252,34.66256,33.91992,33.64143,33.25155,33.25155,33.01019,32.28612,32.28612,32.10046,31.24643
2016,Macquarie Park 132_11kV,05MAY2015,MW,30.98651,31.06077,30.55949,30.33670,30.33670,30.33670,30.05821,29.74259,29.74259,29.57550,29.20418,29.61263,29.66833,29.66833,29.66833,29.64976,28.96282,29.40841,29.29701,29.25988,29.68689,30.03965,30.85655,31.89624,33.95705,35.34950,36.48202,37.44745,39.69392,41.16063,42.77586,43.24001,44.59532,45.46792,46.13629,47.17599,47.73296,48.79122,50.01657,50.12797,50.64781,50.96343,51.07483,51.76177,51.83603,51.65037,51.18622,52.30018,52.07739,52.22591,51.83603,52.24448,51.70607,52.67150,52.69006,52.63436,52.50440,52.30018,51.26049,51.74320,51.79890,50.96343,51.01913,50.96343,50.75921,49.73808,49.21824,49.21824,48.47560,47.99289,47.08316,46.09916,43.48137,41.79187,41.08637,40.12094,39.41543,38.82132,38.02299,37.96729,36.77907,36.46345,36.18496,35.36806,35.12671,34.81109,34.38407,34.03132,33.75283,33.41864,33.28868,32.65744,32.41608,32.17473,31.89624,31.37639
2016,Macquarie Park 132_11kV,06MAY2015,MW,31.17217,31.28356,30.94938,30.61519,30.44810,30.44810,29.81686,29.77972,29.48267,29.27844,28.85143,28.77717,28.77717,28.77717,28.77717,28.77717,28.57294,28.70290,28.29445,28.27589,29.07422,29.90969,30.07678,30.85655,33.08446,33.67857,35.38663,36.31493,38.72849,40.15807,41.36485,42.46024,42.98009,43.74129,44.53963,44.59532,45.57932,45.91350,46.43335,46.21056,46.80467,46.61901,47.39878,47.71440,47.82579,47.60300,47.65870,47.65870,47.95575,48.28994,48.28994,48.06715,48.67982,48.93975,48.99544,48.79122,48.88405,49.40389,48.73552,48.69839,48.53130,47.78866,47.38021,46.28482,45.61645,45.48649,45.00377,44.26114,43.90838,42.72017,42.64590,42.49738,40.12094,38.93272,38.33861,37.68880,36.96473,36.74194,35.94361,35.85078,35.33093,34.21698,34.12415,34.12415,33.90136,33.41864,32.95450,32.62031,32.56461,32.32325,31.93337,31.37639,31.45066,31.45066,31.41352,30.24387
2016,Macquarie Park 132_11kV,07MAY2015,MW,30.24387,30.24387,29.70546,29.40841,29.40841,29.38984,28.90713,28.49868,28.40585,28.40585,28.40585,28.40585,28.40585,28.40585,28.40585,28.40585,28.66577,29.24131,29.24131,29.40841,29.74259,30.16961,30.94938,31.74771,34.58830,35.60942,36.76051,38.09725,40.56652,41.81044,43.24001,43.77842,43.64846,44.27970,44.70672,45.13373,45.87637,45.93207,46.21056,46.86036,47.04602,47.69583,47.65870,47.88149,48.03002,47.77009,47.99289,48.21568,48.73552,48.82835,48.90262,48.38277,48.79122,48.79122,48.97688,48.79122,48.58699,48.43847,48.71696,48.41990,48.08571,47.78866,47.41734,47.32451,46.89750,46.11773,45.78354,45.26370,44.78098,44.78098,44.50249,44.14974,41.82900,40.84501,39.76819,39.35974,38.91415,38.85846,38.59853,37.87446,36.92760,36.92760,36.92760,36.92760,36.48202,35.53516,34.84822,34.62543,34.30981,33.62287,33.56717,32.67601,32.52748,31.84054,31.56205,30.98651
2016,Macquarie Park 132_11kV,08MAY2015,MW,31.28356,31.39496,31.17217,31.07934,30.46666,30.46666,30.00252,30.09535,30.00252,29.79829,29.20418,29.27844,29.70546,29.70546,29.27844,29.20418,29.20418,29.20418,29.20418,29.20418,29.66833,30.52236,31.28356,31.91480,34.25411,35.33093,36.85334,37.74450,40.43656,42.01466,43.07292,43.77842,44.22400,45.22656,45.67215,46.11773,46.21056,46.30339,46.58188,46.63757,46.95319,47.49161,47.54730,47.62157,47.64013,47.32451,47.38021,47.56587,47.45447,47.64013,48.03002,47.91862,47.62157,47.60300,46.74897,46.87893,46.80467,46.87893,46.97176,47.17599,47.26881,47.08316,46.65614,46.58188,46.28482,45.70928,45.44936,45.89494,44.83668,43.87125,43.09148,42.70160,39.82388,38.32004,37.85590,37.13183,36.85334,36.37062,36.05500,35.46089,35.46089,35.44233,34.79252,34.53260,34.36551,34.21698,34.10558,33.49291,33.41864,33.04733,32.43465,32.41608,32.00763,32.00763,32.00763,31.59918
2016,Macquarie Park 132_11kV,09MAY2015,MW,31.04221,31.04221,30.59662,30.61519,30.44810,30.16961,29.72403,29.50124,29.27844,29.27844,29.27844,29.27844,29.31558,29.27844,29.05565,28.86999,29.24131,29.27844,29.27844,29.27844,28.98139,29.16705,29.16705,29.24131,29.77972,29.77972,29.38984,30.22531,30.70802,31.07934,31.50635,31.45066,31.54349,32.08190,32.69457,33.02876,33.32581,33.49291,33.41864,33.54860,33.78996,33.78996,33.86423,33.58574,33.58574,33.58574,33.58574,33.58574,33.58574,33.58574,33.58574,33.62287,33.58574,33.62287,34.10558,34.04988,34.03132,33.64143,33.54860,33.54860,33.54860,33.54860,33.47434,33.45578,32.71314,32.86167,33.12159,33.12159,33.93849,34.17985,34.17985,33.90136,33.84566,33.71570,33.04733,32.71314,32.71314,32.71314,32.71314,32.71314,32.49035,32.21186,32.21186,31.80341,31.61775,31.61775,31.61775,31.59918,31.65488,31.58062,31.43209,31.48779,31.32070,31.11647,31.11647,30.55949
2016,Macquarie Park 132_11kV,10MAY2015,MW,30.57806,30.16961,30.16961,29.70546,29.90969,29.76116,29.87255,29.07422,28.90713,29.20418,29.35271,29.07422,28.88856,28.61007,28.29445,27.90457,28.14592,28.05309,27.94170,27.94170,27.94170,27.94170,28.03453,27.94170,28.29445,28.23875,28.23875,28.23875,28.62864,28.72147,28.77717,28.86999,29.85399,30.37383,30.33670,29.83542,29.53837,29.81686,29.94682,30.33670,30.44810,30.68945,31.13504,31.11647,31.32070,31.65488,31.48779,31.54349,31.43209,31.84054,31.84054,31.74771,31.37639,31.37639,31.37639,31.33926,30.72659,30.65232,30.61519,31.04221,31.04221,31.04221,30.72659,30.67089,30.78228,31.17217,31.17217,31.17217,31.33926,32.10046,32.49035,32.39752,32.08190,32.08190,31.80341,31.58062,31.37639,31.61775,31.59918,31.19073,30.67089,30.67089,30.67089,30.37383,29.94682,29.94682,30.05821,30.03965,30.50380,30.48523,30.11391,29.77972,28.14592,27.44042,27.44042,27.44042
2016,Macquarie Park 132_11kV,11MAY2015,MW,27.44042,27.44042,27.08767,26.54926,26.69778,26.69778,26.47499,26.43786,25.91801,25.86232,25.69522,25.86232,25.45387,25.36104,25.36104,25.06398,25.34247,25.86232,25.86232,25.86232,26.30790,27.16193,28.33158,29.09279,31.46922,32.95450,34.69969,35.60942,37.67024,39.32260,40.43656,40.58509,41.53195,42.10749,42.38598,43.75986,44.03835,44.18687,44.44680,44.83668,45.26370,45.87637,45.89494,46.24769,46.17343,46.58188,47.12029,46.91606,46.99033,47.21312,47.58444,47.86292,48.23424,48.77265,48.79122,48.49416,48.49416,48.49416,48.08571,47.77009,47.90006,47.04602,46.61901,46.82323,46.04346,45.63501,45.11517,44.40966,43.87125,43.75986,43.24001,42.27458,40.10237,38.76563,38.24578,37.15039,36.31493,35.85078,35.27523,35.31237,34.53260,33.93849,33.62287,33.62287,33.15872,33.12159,32.39752,33.58574,33.82709,33.40008,32.99163,32.43465,32.21186,32.21186,32.06333,31.67345
2016,Macquarie Park 132_11kV,12MAY2015,MW,31.84054,31.48779,30.50380,30.41097,30.37383,30.37383,30.37383,29.74259,28.96282,28.23875,28.16449,28.16449,28.16449,28.16449,28.16449,28.16449,28.16449,27.90457,27.92313,28.57294,28.81430,29.18562,30.35527,31.20930,33.36295,34.55116,36.50059,37.67024,39.87958,41.06780,42.21889,42.94296,43.55563,43.79699,44.74385,45.48649,46.39622,46.67471,47.04602,47.60300,48.12285,48.12285,48.27137,48.80979,48.97688,49.10684,48.99544,49.03258,49.49672,49.62669,49.71952,49.83091,49.83091,50.27649,50.16510,50.05370,50.38789,49.94231,49.58955,49.99800,49.66382,49.06971,48.79122,48.34564,47.49161,47.52874,46.78610,46.34052,45.85781,45.78354,45.65358,44.70672,42.31172,41.04923,40.34373,39.78675,39.28547,38.33861,37.85590,37.41031,36.81621,36.37062,36.12927,35.62799,35.59086,35.29380,34.38407,33.91992,33.95705,33.38151,33.19585,32.43465,32.28612,32.28612,31.95194,31.33926
2016,Macquarie Park 132_11kV,13MAY2015,MW,30.93081,31.17217,30.94938,30.63376,30.59662,30.55949,30.07678,30.02108,29.57550,29.57550,29.57550,29.57550,29.57550,29.57550,29.57550,29.57550,29.33414,29.33414,29.33414,29.33414,29.94682,31.15360,31.91480,32.36039,34.82965,35.96217,37.00186,38.52427,40.54795,41.40199,42.70160,43.40710,43.79699,44.50249,45.31939,45.67215,45.91350,46.28482,46.58188,46.58188,46.58188,46.56331,46.22912,46.67471,45.83924,46.41478,46.13629,45.82067,46.04346,46.00633,46.13629,46.26626,45.78354,46.02490,45.89494,45.91350,45.87637,45.17087,45.48649,44.92951,45.39366,45.37509,45.00377,44.79955,44.50249,44.53963,44.27970,44.35397,44.52106,44.39110,44.07548,43.62990,41.08637,39.69392,39.02555,39.02555,38.50570,38.09725,37.05756,36.81621,36.25923,35.44233,35.21954,34.84822,35.03388,34.62543,33.91992,33.73426,33.88279,33.80853,33.10302,32.17473,31.78484,31.67345,31.67345,31.69201
2016,Macquarie Park 132_11kV,14MAY2015,MW,31.65488,31.19073,31.11647,31.11647,31.11647,30.55949,30.09535,30.22531,30.03965,30.03965,30.03965,29.89112,29.74259,29.77972,29.94682,29.37127,29.68689,29.87255,29.76116,30.48523,30.94938,31.20930,32.15616,32.93593,35.70225,36.57485,38.63567,40.04667,42.72017,44.40966,45.46792,45.70928,45.69071,46.93463,47.04602,47.19455,47.21312,46.99033,47.38021,47.45447,47.45447,47.45447,47.21312,47.02746,47.13885,47.21312,47.00889,47.12029,47.12029,47.12029,47.67726,47.51017,47.49161,47.23168,47.34308,47.60300,47.10172,47.00889,47.34308,47.28738,47.58444,47.38021,46.82323,46.54474,46.48905,46.24769,45.41222,45.46792,45.78354,45.50505,45.70928,44.91094,42.81300,41.56908,40.77075,40.65935,40.39943,39.32260,38.93272,38.93272,37.94873,37.59597,37.26179,37.13183,36.72338,36.27779,35.60942,34.60686,34.62543,34.21698,34.01275,33.15872,32.62031,32.47178,32.67601,32.11903
