year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Maitland 33_11kV,01MAY2015,MW,6.53204,6.53204,6.53204,6.53204,6.40684,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,5.63940,6.10271,6.58564,6.68354,7.36426,7.36426,7.36426,7.96768,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,8.25690,9.51015,9.60657,9.60657,9.60657,9.60657,9.60657,8.90311,8.69152,8.69152,8.69152,8.17700,7.81643,7.81643,7.81643,7.81643,7.81643,7.81643,7.81643,7.81643,7.16076,6.48721,7.42381,7.57670,7.57670,7.46401
2016,Maitland 33_11kV,02MAY2015,MW,6.46967,6.46967,6.46967,6.46967,6.46967,6.46967,6.46967,5.90572,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,4.90074,5.35926,6.00874,6.08495,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,6.80392,7.58409,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.15263,8.23213,8.98387,8.98387,8.98387,8.98387,8.98387,8.98387,8.98387,8.98387,8.98387,8.98387,8.83892,7.87587,7.87587,7.87587,7.87587,7.87587,7.87587,7.87587,6.67182,6.53984,6.53984,6.53984,6.53984,6.53984,5.76327,5.72906
2016,Maitland 33_11kV,03MAY2015,MW,5.72906,5.72906,5.72906,5.72906,5.72906,5.72906,5.02753,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,4.37548,5.01176,5.15118,5.15118,5.15118,5.15118,5.18050,6.67042,6.67042,6.67042,7.33985,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,7.45196,8.21740,8.28418,8.29277,9.70110,9.70110,9.70110,9.70110,9.70110,9.70110,9.44196,8.68762,8.68762,8.68762,8.36455,7.82422,7.82422,7.82422,7.82422,7.82422,7.26837,6.57200,6.57200,6.57200,6.17397,5.65792,5.65792,5.65792,5.65792
2016,Maitland 33_11kV,04MAY2015,MW,5.65792,5.28523,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,4.90463,5.21398,5.84892,5.84892,6.43168,6.60513,6.60513,6.60513,6.60513,6.97962,7.50459,7.50459,7.50459,7.50459,7.50459,7.50459,7.50459,7.50459,7.50459,7.50459,7.62624,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,8.24910,9.31635,9.54908,9.54908,9.54908,9.54908,9.54908,8.65710,8.62233,8.62233,8.62233,8.26786,7.81935,7.81935,7.81935,7.81935,7.81935,7.81935,7.81935,6.87431,6.44141,6.44141,6.44141,6.44141,6.44141,6.44141,6.44141
2016,Maitland 33_11kV,05MAY2015,MW,6.44141,6.44141,6.44141,6.44141,5.87572,5.65402,5.65402,5.65402,5.65402,5.65402,5.65402,5.65402,5.65402,5.65402,5.00215,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.56000,5.30905,5.53086,6.09059,6.09059,6.23820,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.28533,7.74993,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.09221,8.20410,8.87765,8.87765,9.42678,9.62606,9.62606,9.62606,8.72451,8.57361,8.57361,8.57361,8.57361,8.57361,7.93234,7.27753,7.27753,7.27753,7.27753,6.80329,6.53107,6.53107,6.53107,6.53107,6.53107,6.53107,6.53107,6.53107
2016,Maitland 33_11kV,06MAY2015,MW,6.53107,6.53107,6.53107,6.53107,5.77422,5.73783,5.73783,5.73783,5.73783,5.73783,5.73783,5.73783,4.32235,4.23516,4.23516,4.23516,4.23516,4.23516,4.23516,4.23516,4.23516,4.23516,4.23516,4.48586,5.35583,5.35583,5.35583,6.67488,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.72402,6.89403,7.49289,7.49289,7.71079,8.31926,8.31926,8.31926,9.08649,9.66602,9.66602,9.66602,9.66602,9.66602,8.85394,8.76558,8.76558,8.76558,8.41028,7.88074,7.88074,7.88074,7.88074,7.88074,7.88074,7.88074,7.14738,6.46870,6.46870,6.46870,7.31500,7.37888,7.18322
2016,Maitland 33_11kV,07MAY2015,MW,6.47260,6.47260,6.47260,6.47260,5.91052,5.63063,5.63063,5.63063,5.63063,5.63063,5.63063,5.63063,5.63063,4.50418,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.33845,4.89898,5.15216,5.15216,5.91386,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.71622,6.95656,7.46268,7.46268,7.46268,7.46268,6.94831,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.56810,6.97104,7.40714,7.40714,7.40714,7.40714,7.72228,8.34168,8.34168,8.34168,8.94662,9.58318,9.58318,9.58318,9.58318,9.58318,9.33376,8.58238,8.58238,8.58238,8.58238,8.58238,8.58238,8.58238,8.58238,8.58238,7.54205,7.17521,7.17521,7.17521,7.17521,7.17521,7.17521,7.17521
2016,Maitland 33_11kV,08MAY2015,MW,7.17521,7.17521,7.17521,7.17521,5.99979,5.75147,5.75147,5.75147,5.75147,5.75147,5.75147,5.75147,4.66021,4.37841,4.37841,4.37841,4.37841,4.37841,4.37841,4.37841,4.37841,4.37841,4.87824,5.27981,5.98684,6.02238,6.43400,7.38277,7.38277,7.38277,7.38277,7.38277,7.78893,8.13898,8.13898,8.13898,8.13898,8.13898,7.99166,7.27948,7.27948,7.27948,7.27948,7.27948,7.27948,6.79418,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.53302,6.82848,7.47633,7.47633,7.47633,8.28035,8.77143,9.26884,9.54323,9.54323,9.54323,9.54323,9.54323,9.54323,9.46712,8.75097,8.75097,8.75097,8.75097,8.75097,8.75097,8.49190,7.86905,7.86905,7.86905,7.86905,7.86905,7.57661,7.27093,7.39057,7.39057,7.39057
2016,Maitland 33_11kV,09MAY2015,MW,7.39057,7.39057,7.39057,6.59899,6.51937,6.51937,6.51937,6.51937,5.51775,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,4.94166,5.77193,6.01361,6.01361,6.12928,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.41396,7.08678,6.46578,6.46578,6.46578,6.46578,6.46578,6.46578,6.46578,6.19868,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,5.69592,6.62217,6.64995,6.64995,6.64995,7.15678,8.05420,8.55856,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.99849,8.87095,7.96357,7.96357,7.96357,7.96357,7.60785,7.09335,7.09335,7.09335,7.09335,7.00596,6.30303,6.30303
2016,Maitland 33_11kV,10MAY2015,MW,6.30303,6.30303,6.30303,6.30303,5.14824,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.94946,4.36246,4.18935,4.18935,4.18935,4.18935,4.18935,4.18935,4.18935,4.18935,5.17025,5.21842,5.21842,5.70714,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,6.02628,5.36333,5.02839,5.02839,5.02839,5.02839,5.25363,5.88303,5.88303,6.09950,6.68211,6.68211,7.29287,7.46658,8.48547,8.83770,8.83770,8.83770,8.83770,8.83770,8.83770,8.83770,8.83770,8.83770,8.83770,7.98815,7.85346,7.85346,7.85346,7.85346,7.85346,6.99782,6.57492,6.57492,6.57492,5.78000,5.68423,5.68423,5.68423,5.68423
