year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Manly 33_11kV,01MAY2017,MW,6.66670,6.66670,6.15807,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,5.81293,6.12174,6.66670,7.26616,7.55681,8.21076,9.31885,9.31885,9.75482,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.17262,10.53593,11.24438,12.02549,12.13449,12.13449,12.13449,12.13449,12.13449,12.13449,12.13449,12.13449,12.06182,11.53503,11.86200,11.40787,10.59043,10.55410,10.55410,9.86381,9.60949,8.82838,8.61040,7.97461,7.97461,7.55681,6.95735,6.95735
2018,Manly 33_11kV,02MAY2017,MW,6.93918,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.08541,6.30339,6.99368,7.62947,8.24709,8.70123,9.46417,9.64583,10.55410,10.62676,10.62676,10.62676,10.62676,9.77298,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,10.24528,10.75391,11.60769,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,10.88107,10.71758,10.49960,9.84565,9.64583,8.99187,8.77389,8.13810,8.13810,7.77479,7.06634,7.06634
2018,Manly 33_11kV,03MAY2017,MW,6.86652,6.17623,6.17623,6.17623,6.17623,6.17623,6.17623,6.17623,6.17623,5.63127,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.32246,5.59494,6.21257,6.28523,7.15717,7.64763,8.28342,8.99187,9.19169,9.84565,10.13629,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.02730,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.86381,10.79025,10.79025,11.42603,11.69852,12.29797,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.44330,11.69852,11.69852,11.33521,10.55410,10.46327,9.64583,9.59133,8.77389,7.93828,7.93828,7.93828,7.57497,6.99368
2018,Manly 33_11kV,04MAY2017,MW,6.99368,6.50321,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,5.55861,5.26797,5.26797,5.26797,5.26797,5.55861,5.55861,5.55861,5.55861,5.55861,5.88559,6.13990,6.63037,7.33882,7.88378,8.22892,8.79205,9.51867,9.90014,10.66309,10.66309,10.66309,10.66309,10.66309,10.17262,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,9.80931,10.39061,10.82658,11.53503,11.73485,11.73485,11.73485,11.73485,12.26164,12.75211,12.75211,12.75211,12.04366,11.80751,12.07999,12.18898,11.66218,10.99007,10.99007,10.73575,10.13629,10.13629,9.35518,8.75572,8.37425,8.37425,7.77479,7.32065,7.32065
2018,Manly 33_11kV,05MAY2017,MW,7.03001,6.46688,6.46688,6.46688,6.46688,6.46688,6.46688,6.46688,6.46688,6.46688,6.46688,5.75843,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.41329,6.21257,6.21257,6.21257,7.04817,7.82929,8.42874,8.79205,9.37334,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.90014,10.71758,11.38970,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.64402,11.49870,11.06273,11.69852,11.46237,10.59043,10.59043,10.37244,9.73665,9.73665,9.28252,8.86471,8.86471,8.70123,7.97461,7.97461,7.48414
2018,Manly 33_11kV,06MAY2017,MW,7.06634,7.06634,7.06634,6.30339,6.21257,6.21257,6.21257,6.21257,6.21257,6.21257,6.21257,6.21257,6.21257,5.86742,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.35879,5.70393,6.21257,6.21257,6.21257,6.93918,7.06634,7.35699,7.93828,7.93828,8.68306,8.79205,8.88288,9.73665,9.73665,9.73665,9.73665,10.19079,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,10.59043,9.95464,9.64583,9.64583,9.64583,9.64583,9.64583,9.64583,,,,,,,,11.86200,11.86200,11.86200,11.86200,11.86200,11.35337,10.95373,10.95373,10.95373,10.95373,10.95373,10.95373,10.95373,10.24528,10.06363,10.06363,10.06363,9.28252,9.19169,9.19169,8.53774,8.33792,8.33792,7.72029,7.48414
2018,Manly 33_11kV,07MAY2017,MW,7.48414,7.48414,6.88469,6.63037,6.64854,6.66670,6.66670,6.66670,6.66670,6.66670,6.44872,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.52228,5.86742,6.37605,6.37605,6.37605,7.06634,7.22983,7.59314,8.10177,8.68306,8.99187,8.99187,8.99187,9.55500,9.84565,9.84565,9.84565,9.97280,10.71758,10.71758,10.71758,10.71758,10.71758,10.71758,10.71758,10.39061,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.68216,9.79115,10.75391,10.75391,10.75391,11.29888,11.77118,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.55229,12.15265,11.69852,11.69852,11.69852,11.69852,11.69852,11.15355,10.77208,9.93647,9.93647,9.24619,9.02820,8.17443,8.17443,8.17443,7.72029,7.03001,7.03001
2018,Manly 33_11kV,08MAY2017,MW,7.03001,6.46688,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,6.13990,5.95825,5.26797,5.26797,5.26797,5.26797,5.26797,5.26797,5.26797,5.26797,5.26797,5.90375,6.13990,6.13990,6.52138,7.03001,7.88378,8.66489,8.79205,9.60949,9.86381,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.66309,10.00913,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,9.57316,10.37244,10.66309,10.66309,11.58952,12.02549,12.51596,12.51596,12.53412,13.44239,13.44239,13.44239,13.44239,13.44239,13.04275,12.46146,12.46146,12.46146,12.46146,11.51686,11.44420,10.86291,10.55410,9.84565,9.50050,8.82838,8.44691,7.97461,7.97461,7.61130,6.86652
2018,Manly 33_11kV,09MAY2017,MW,6.86652,6.86652,6.19440,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.01275,6.32156,6.90285,7.55681,8.31975,8.82838,9.73665,10.19079,10.59043,11.22622,11.48053,11.31704,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.62676,10.17262,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,9.73665,10.48143,10.66309,10.66309,11.58952,12.09815,12.58862,12.58862,12.58862,12.58862,13.35157,13.49689,13.49689,13.49689,13.49689,13.07909,12.58862,12.58862,12.58862,11.73485,11.69852,11.06273,10.75391,10.28161,9.84565,8.99187,8.64673,8.13810,8.13810,7.52047,7.15717
2018,Manly 33_11kV,10MAY2017,MW,7.15717,6.84835,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,6.30339,5.46778,5.43145,5.43145,5.43145,5.43145,5.43145,5.83109,6.30339,6.30339,6.93918,7.50231,8.28342,8.95554,9.46417,9.90014,10.57226,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.75391,10.73575,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,9.84565,10.64492,10.80841,11.60769,12.26164,12.55229,12.55229,13.09725,13.40606,13.40606,13.40606,13.40606,13.40606,13.40606,12.98826,12.51596,12.51596,12.51596,12.15265,11.57136,11.26255,10.71758,10.31795,9.77298,8.95554,8.95554,8.77389,7.81112,7.64763,6.95735
