year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Maroubra 132_11kV,01MAY2014,MW,28.02849,27.32962,26.53879,26.50200,25.98704,25.72956,25.38013,24.36860,24.31343,24.27664,23.83525,23.74329,24.05595,23.68812,23.57777,23.22833,23.44903,23.22833,23.35707,23.65134,24.51573,25.25139,25.61922,26.33648,27.53192,28.43310,29.73889,30.73202,31.26537,32.42403,33.50913,34.11604,34.53904,34.11604,34.37352,34.64939,34.87009,34.72296,34.44709,34.39191,33.96891,34.07926,34.18961,34.50226,34.72296,35.32987,34.50226,34.20800,34.33674,34.17122,34.18961,33.67465,34.26317,33.85856,33.91374,33.85856,33.84017,34.02408,34.11604,34.98044,35.56896,35.78966,35.91840,36.37818,36.24944,36.34140,35.84483,36.52531,37.57362,38.64033,39.43116,38.91620,39.33920,39.72542,39.24724,39.33920,38.64033,38.30928,38.16215,37.61041,36.81958,36.39657,36.01036,34.74135,34.31835,33.32521,32.90221,31.85390,31.44929,30.93433,30.47454,29.92280,28.76414,28.69058,28.69058,28.15723
2015,Maroubra 132_11kV,02MAY2014,MW,28.01010,27.80779,27.14570,27.05374,26.83305,26.15257,25.76635,25.03069,24.58930,23.92721,23.41225,23.35707,23.17316,23.37547,23.65134,23.43064,23.35707,23.41225,23.50421,23.83525,24.60769,25.12265,25.69278,26.44683,27.86297,29.05841,30.08833,31.13664,32.05620,33.36199,33.76660,34.29996,34.61261,34.35513,34.50226,34.44709,34.77813,34.88848,34.94365,36.50692,36.83797,36.78279,36.50692,36.47014,36.43336,36.37818,36.65405,36.65405,36.01036,36.01036,36.17588,36.12070,36.35979,36.35979,36.17588,35.69770,35.69770,36.06553,35.88162,35.95518,35.80805,35.77127,35.88162,36.13910,36.17588,36.76440,36.96671,37.95984,38.14376,38.29089,38.58515,38.19893,37.73915,37.90467,37.68397,37.26097,37.09545,36.63566,36.35979,35.90001,34.92526,34.29996,34.22639,33.93213,33.25165,33.12291,32.92060,32.24012,32.11138,31.90907,31.54125,31.32055,30.67685,30.45615,30.52972,30.05154
2015,Maroubra 132_11kV,03MAY2014,MW,29.70211,28.78254,28.56184,28.02849,27.99171,27.89975,27.51353,27.01696,26.90661,26.09739,25.71117,25.56404,25.26978,25.14104,25.14104,25.01230,24.93873,25.06747,25.12265,25.14104,25.39852,25.78474,25.93187,26.26291,27.01696,27.89975,28.63541,29.18715,30.06993,31.02629,32.03781,33.17808,33.87695,34.33674,34.70457,35.09079,35.88162,36.23105,36.37818,36.34140,35.73448,36.06553,36.37818,36.89314,36.65405,36.23105,36.45175,35.91840,35.56896,35.09079,35.31148,34.88848,35.12757,34.94365,35.09079,34.88848,34.72296,34.74135,34.85170,34.94365,34.66778,34.99883,35.20113,35.23792,35.38505,35.80805,36.21266,36.69084,37.48167,38.03341,38.05180,38.16215,38.01502,37.95984,37.37132,36.83797,36.65405,36.26783,35.95518,35.56896,35.36666,34.99883,34.29996,34.06087,33.82178,33.17808,32.86543,32.60795,31.78033,30.65846,30.41937,30.98950,31.17342,30.97111,30.95272,30.19867
2015,Maroubra 132_11kV,04MAY2014,MW,29.64693,29.00323,28.87449,28.67219,28.17562,27.82618,27.18248,26.44683,26.29970,26.07900,26.00544,25.83991,25.83991,25.49048,25.38013,25.82152,25.39852,24.92034,24.86517,24.86517,25.10426,25.76635,26.02383,26.26291,26.70431,27.21927,27.34801,27.58710,28.19401,28.85610,29.40784,30.43776,31.11824,31.63320,32.07460,32.79186,33.54591,33.98730,34.29996,34.63100,34.59422,34.46548,34.44709,34.17122,34.53904,34.48387,34.26317,34.09765,34.20800,34.13443,33.93213,33.89534,33.78500,33.28843,33.08612,32.97577,32.73669,32.90221,32.79186,32.86543,32.81025,32.92060,33.17808,33.36199,33.91374,33.85856,34.72296,35.53218,35.62414,36.26783,37.26097,38.03341,38.43802,38.67711,38.69550,38.65872,38.07019,37.35293,36.89314,36.47014,36.01036,35.44022,35.16435,34.96205,34.44709,34.31835,33.85856,33.45395,33.41717,32.40564,31.57803,31.04468,30.36420,30.06993,30.18028,29.49980
2015,Maroubra 132_11kV,05MAY2014,MW,29.35267,28.78254,28.54345,28.10205,28.04688,27.78940,27.25605,26.96179,26.53879,26.17096,25.91348,25.52726,25.47208,25.36174,25.61922,25.96865,25.87670,25.93187,25.89509,26.04222,26.37326,27.16409,27.75262,28.59862,30.18028,31.41251,32.64473,33.78500,35.10918,36.04714,36.52531,36.92993,37.02188,36.65405,36.47014,36.50692,36.74601,36.87475,36.89314,36.37818,36.54371,36.61727,36.50692,36.67245,36.52531,35.95518,36.10231,35.91840,35.78966,35.88162,35.62414,35.71609,35.44022,35.88162,35.55057,35.40344,35.47700,35.20113,34.94365,34.79652,34.46548,35.05400,35.55057,35.47700,35.95518,36.04714,36.58049,37.16901,37.59202,38.93459,40.27716,40.49786,40.57142,40.35072,40.53464,40.47946,40.27716,40.01968,39.89094,39.43116,38.73228,37.86789,37.42649,36.98510,36.52531,36.23105,35.60574,34.92526,34.42870,33.74821,33.04934,32.49760,31.94586,31.57803,31.06307,30.34581
2015,Maroubra 132_11kV,06MAY2014,MW,29.94119,29.61015,29.13197,28.74575,28.37793,28.26758,27.67905,27.25605,26.66753,26.35487,26.35487,26.18935,26.18935,26.04222,25.83991,26.06061,26.18935,26.13418,26.15257,26.70431,27.67905,28.02849,28.26758,28.98484,29.94119,31.30216,32.69990,34.00569,35.05400,36.15749,36.78279,37.09545,37.46328,37.07706,36.65405,36.23105,36.58049,36.72762,36.39657,36.47014,36.39657,36.24944,36.24944,36.06553,36.01036,36.04714,36.13910,36.45175,36.12070,35.97357,35.78966,35.84483,35.91840,36.15749,35.64253,35.82644,36.01036,35.84483,35.73448,35.56896,35.20113,35.44022,35.69770,36.26783,36.69084,36.74601,37.26097,37.92306,38.71389,39.26563,40.53464,40.92086,41.04960,41.32547,41.27029,40.68177,40.20359,39.79898,39.17368,38.23571,37.84949,37.64719,37.68397,37.38971,37.00349,36.67245,35.75288,35.07239,34.35513,33.49073,32.71830,32.12977,31.66999,31.33894,31.00790,30.67685
2015,Maroubra 132_11kV,07MAY2014,MW,30.54811,30.18028,29.94119,29.31589,29.15036,28.80093,28.12045,27.80779,26.86983,26.28131,26.39165,26.35487,26.83305,26.63074,26.31809,26.33648,26.09739,26.15257,26.24452,26.53879,26.35487,25.83991,26.53879,27.38479,29.09519,30.62168,31.50446,32.36886,33.50913,34.35513,35.29309,35.69770,35.66092,35.64253,35.45861,35.64253,35.99196,36.08392,35.82644,35.67931,35.69770,35.53218,35.27470,35.29309,34.96205,34.74135,34.68617,34.72296,34.70457,35.23792,35.38505,35.25631,34.87009,34.81491,34.64939,34.41030,34.63100,34.66778,34.74135,34.46548,34.31835,34.28156,34.66778,34.87009,35.27470,35.38505,35.88162,36.10231,37.16901,38.40124,38.98976,39.11850,39.24724,39.08172,39.06333,39.02654,38.80585,38.60354,38.23571,37.90467,36.80119,36.56210,36.19427,35.58735,34.96205,34.61261,34.22639,33.82178,33.61947,32.99417,32.42403,31.24698,30.76881,30.34581,30.10672,29.61015
2015,Maroubra 132_11kV,08MAY2014,MW,29.61015,29.33428,28.65380,28.41471,28.30436,27.69744,27.34801,26.77787,26.17096,25.80313,25.47208,25.01230,25.25139,24.99391,24.99391,24.95713,25.26978,25.38013,25.60082,26.09739,26.53879,26.63074,27.18248,27.82618,29.35267,30.51133,31.43090,33.08612,34.15282,35.25631,35.77127,35.99196,36.28623,36.15749,35.64253,36.10231,36.15749,36.37818,36.26783,35.99196,36.23105,36.12070,36.02875,36.06553,35.77127,35.86322,35.64253,35.47700,35.49540,35.93679,36.21266,36.08392,35.88162,35.71609,35.64253,35.56896,35.56896,35.36666,35.47700,35.53218,34.92526,35.03561,35.55057,35.86322,36.23105,36.41497,36.48853,37.02188,37.92306,39.28402,40.40590,40.60820,40.93925,40.88408,41.36225,41.30708,40.81051,40.36912,40.14842,39.81737,38.87941,38.40124,38.29089,37.46328,36.37818,35.53218,34.57583,33.91374,33.60108,33.15969,32.51599,32.09299,31.68838,30.91594,31.00790,30.51133
2015,Maroubra 132_11kV,09MAY2014,MW,29.84924,29.66532,29.05841,28.35953,28.50667,27.82618,27.42157,26.92501,26.20774,25.83991,25.83991,25.41691,25.30656,25.14104,25.14104,24.82839,24.80999,25.25139,25.38013,25.41691,26.15257,26.85144,27.38479,28.46988,29.73889,30.91594,31.35733,32.58956,33.58269,34.48387,35.20113,35.53218,35.93679,35.78966,35.90001,36.23105,36.02875,36.06553,36.04714,36.13910,36.50692,36.41497,36.21266,36.04714,36.02875,35.84483,36.26783,35.71609,35.58735,35.29309,35.77127,35.55057,35.51379,35.86322,35.95518,35.88162,35.91840,36.01036,35.73448,35.38505,35.29309,35.67931,35.44022,35.69770,36.02875,36.04714,36.50692,36.80119,37.83110,38.62193,38.64033,38.49319,38.19893,37.66558,37.48167,37.16901,36.74601,36.56210,36.24944,35.45861,34.68617,34.41030,34.00569,33.45395,33.43556,33.14130,32.95738,32.66312,32.00103,31.66999,31.76194,31.21020,30.67685,30.21707,30.21707,29.81245
2015,Maroubra 132_11kV,10MAY2014,MW,29.90441,29.51819,28.61701,28.12045,28.34114,27.51353,27.25605,26.74109,26.37326,26.26291,25.74796,25.61922,25.43530,25.23300,25.32495,25.03069,25.01230,24.84678,24.71804,24.88356,24.92034,24.95713,25.47208,25.78474,26.66753,27.56870,27.86297,28.46988,28.63541,29.97798,31.04468,31.98264,32.64473,33.27004,33.91374,34.26317,34.79652,35.21953,35.10918,34.99883,35.31148,35.16435,34.44709,34.28156,34.41030,34.74135,35.01722,34.55743,34.59422,34.46548,34.29996,34.26317,33.95052,34.13443,33.93213,33.96891,34.22639,33.93213,33.65626,33.95052,34.06087,34.24478,34.48387,34.85170,34.88848,34.96205,35.53218,35.95518,36.34140,36.48853,36.43336,36.39657,36.30462,35.99196,35.44022,35.01722,34.68617,34.26317,33.71143,33.60108,32.66312,32.46082,32.31368,32.05620,31.92747,31.43090,31.21020,30.97111,30.67685,30.87916,30.73202,30.30902,29.88602,29.35267,29.66532,29.26071
