year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Marrickville 132_11kV,01MAY2016,MW,20.46193,19.76799,19.33662,18.99903,18.62392,18.45512,17.94873,17.32981,16.87969,16.67338,16.33579,15.94193,15.77313,15.52931,15.52931,15.41678,15.22923,15.22923,15.11670,15.17296,15.26674,15.32301,15.17296,15.06043,15.51056,15.97944,16.42956,16.33579,16.74840,17.59239,18.84898,19.46791,19.97430,21.06210,22.14990,22.61878,23.21895,24.02542,24.58808,25.18824,25.52584,25.69464,25.52584,25.75090,25.39455,25.26327,25.41331,25.28202,25.46957,25.28202,24.28799,23.74409,23.46277,23.51903,23.55654,23.44401,23.65032,23.53779,23.80036,23.21895,23.40650,23.53779,23.53779,23.76285,23.95040,24.43804,24.81314,25.33829,26.21978,27.25132,28.65796,29.76452,30.58974,30.90858,30.38344,30.42095,29.85829,29.35190,28.69547,28.28285,27.88899,26.70742,26.44484,26.48235,25.61961,25.33829,25.15073,24.43804,24.10044,23.29397,22.54376,21.68102,21.02459,20.46193,20.14309,19.80550
2017,Marrickville 132_11kV,02MAY2016,MW,19.29911,18.98027,18.45512,17.87371,17.64865,17.25479,17.02973,16.65462,16.37330,15.84815,15.94193,15.94193,15.51056,15.77313,15.66060,15.32301,15.79189,15.79189,16.01695,16.14823,16.69214,16.97346,17.51736,18.58641,20.36816,21.54973,23.40650,25.00069,26.95123,28.63920,29.63323,30.08335,30.49597,30.96485,30.66477,30.77730,31.32120,31.33995,31.43373,31.52750,31.37746,31.17116,31.20867,31.39622,31.65879,32.01514,32.20269,31.99639,31.32120,31.86510,32.85912,32.27771,31.92136,32.63406,32.50278,31.77132,32.16518,32.63406,32.16518,31.84634,31.79008,31.77132,31.28369,31.28369,31.33995,31.54626,31.09614,31.48999,32.18394,32.87788,33.32800,33.49680,33.72186,33.92817,34.11572,34.02195,34.17199,33.19672,32.16518,31.90261,31.50875,30.77730,30.04584,29.29564,28.50792,27.47638,26.72617,26.38858,25.60086,24.94443,23.89414,22.88135,22.03737,21.56849,20.79953,20.57446
2017,Marrickville 132_11kV,03MAY2016,MW,19.86177,19.33662,18.94276,18.38010,18.11753,17.34857,17.10475,16.65462,16.14823,16.18574,16.33579,15.92317,15.84815,15.30425,15.04168,15.24798,15.15421,15.21047,15.71686,15.97944,16.44832,17.49861,18.21131,19.13031,21.39969,22.13115,23.76285,25.54459,27.64518,28.84551,29.72700,30.21464,31.32120,30.92734,31.18991,31.37746,31.64004,31.30244,31.26493,31.32120,31.20867,31.15240,31.26493,31.37746,31.77132,31.77132,31.88385,32.03390,31.97763,32.27771,32.25896,31.82759,31.62128,32.33398,31.80883,32.09016,32.07141,32.20269,32.20269,32.25896,32.42775,31.95887,31.86510,31.80883,31.86510,31.67755,31.17116,30.68352,30.96485,31.64004,32.87788,33.79688,33.55307,33.51556,33.64684,33.60933,33.53431,33.15921,32.91539,32.07141,31.39622,30.72103,29.93331,29.46443,28.60169,27.55140,27.10128,26.14476,25.78841,25.26327,24.30675,23.10642,22.13115,21.51222,20.89330,20.78077
2017,Marrickville 132_11kV,04MAY2016,MW,19.93679,19.59919,18.86774,18.60517,18.38010,17.91122,17.61114,17.19853,16.52334,16.54209,16.09197,16.09197,15.99819,16.09197,16.11072,16.09197,15.92317,15.92317,16.03570,16.27952,17.02973,17.38608,18.39886,19.29911,21.15587,22.41247,23.83787,25.67588,27.98277,29.16435,30.10211,30.57099,31.33995,31.20867,31.43373,31.30244,31.56502,31.58377,31.80883,31.84634,31.92136,31.71506,31.88385,32.22145,31.56502,32.03390,32.50278,32.24020,31.73381,31.79008,31.56502,31.45248,31.50875,32.01514,31.97763,32.10892,32.54029,32.39024,31.86510,32.01514,31.84634,31.92136,31.92136,31.50875,31.47124,31.11489,31.30244,31.02111,31.50875,31.95887,32.74659,33.38427,33.00917,32.99041,32.76535,33.25298,33.53431,32.95290,32.37149,32.25896,31.52750,30.43970,30.10211,29.42692,28.28285,27.38260,26.87621,26.14476,25.67588,25.18824,24.49430,23.38774,22.56252,21.75604,21.23090,21.04334
2017,Marrickville 132_11kV,05MAY2016,MW,20.38691,19.61795,19.28035,18.84898,18.26757,18.17380,17.61114,17.21728,16.93595,16.63587,16.16699,16.09197,15.54807,15.28549,15.41678,15.30425,15.41678,15.51056,15.79189,16.03570,16.95471,17.38608,18.66143,19.13031,20.96832,22.29994,24.13795,25.52584,27.68269,29.16435,29.55821,30.55223,31.18991,31.48999,31.41497,31.47124,31.24618,30.88983,31.13365,31.13365,31.15240,31.02111,31.15240,31.33995,31.33995,31.52750,31.82759,31.32120,31.15240,31.18991,31.45248,31.11489,31.20867,31.64004,31.50875,31.35871,31.84634,32.20269,31.58377,31.92136,31.95887,31.33995,31.37746,31.58377,31.47124,30.92734,30.27091,31.02111,30.90858,31.84634,32.74659,32.57780,32.69033,32.57780,32.95290,32.80286,32.82161,31.88385,31.26493,31.11489,30.51472,29.68949,29.31439,28.78924,28.24534,27.27007,26.53862,25.86343,25.58210,24.96318,24.23173,23.25646,22.29994,21.66227,21.15587,20.64948
2017,Marrickville 132_11kV,06MAY2016,MW,20.33065,19.46791,18.90525,18.43637,18.36135,17.87371,17.10475,16.59836,16.27952,16.22326,15.79189,15.66060,15.66060,15.54807,15.52931,15.52931,15.60433,15.77313,15.97944,16.14823,16.54209,17.06724,18.06127,18.86774,20.55571,22.01861,23.42525,25.43206,27.27007,29.38941,30.27091,30.92734,31.22742,31.05862,31.20867,30.70228,31.22742,31.24618,31.28369,31.02111,30.98360,30.94609,31.13365,31.35871,31.09614,31.33995,31.17116,31.26493,30.81481,31.15240,31.41497,31.56502,31.52750,31.13365,31.11489,31.20867,31.32120,31.07738,31.03987,30.87107,30.72103,30.55223,30.28966,30.62725,30.30842,30.17713,29.97082,29.93331,30.21464,30.90858,31.90261,32.10892,32.10892,31.94012,31.22742,31.09614,30.90858,30.64601,29.89580,29.27688,28.33912,27.83273,27.23256,27.06377,26.29480,25.45082,24.92567,24.55057,23.89414,24.26924,23.65032,22.52500,21.84982,21.28716,21.41845,21.00583
2017,Marrickville 132_11kV,07MAY2016,MW,20.38691,19.71172,19.11156,18.60517,18.53015,17.94873,17.38608,17.12350,16.76716,16.33579,15.94193,15.79189,15.39803,15.34176,15.34176,15.04168,15.11670,15.11670,15.11670,15.11670,15.41678,15.58558,15.64184,15.92317,16.65462,17.12350,17.38608,17.92998,18.83023,20.25562,21.21214,21.86857,22.88135,23.74409,24.45679,24.64434,25.26327,25.46957,25.67588,25.54459,25.75090,25.65712,25.54459,25.33829,25.56335,25.45082,25.03820,25.00069,25.00069,24.79439,25.18824,24.55057,24.64434,24.47555,24.34426,23.95040,23.93165,23.96916,24.00667,24.10044,24.79439,24.58808,24.94443,25.05696,25.03820,25.11322,25.24451,26.51986,27.66393,28.69547,29.70825,30.34593,30.15837,29.74576,29.74576,29.46443,28.99555,28.24534,27.83273,27.51389,27.04501,26.48235,25.73215,25.48833,24.96318,24.19422,23.72534,23.51903,23.03140,23.01264,22.46874,22.14990,21.73729,21.28716,20.74326,20.68699
2017,Marrickville 132_11kV,08MAY2016,MW,20.18060,19.74923,19.01778,18.53015,18.47388,18.21131,17.59239,16.95471,16.56085,16.18574,16.07321,15.77313,15.26674,15.11670,15.00417,14.96666,14.55404,14.79786,14.79786,14.72284,14.57280,14.81661,14.96666,15.02292,15.24798,15.90442,16.37330,16.37330,16.80467,17.29230,18.26757,18.75521,19.65546,20.94957,21.64351,22.07488,23.05015,23.74409,24.55057,24.88816,25.05696,25.05696,25.09447,24.88816,25.15073,24.51306,24.51306,24.68185,24.43804,24.62559,24.10044,23.98791,23.93165,23.80036,23.50028,23.33148,23.38774,23.40650,23.06891,23.10642,23.08766,23.12517,23.59405,23.80036,24.28799,24.96318,25.46957,26.12600,27.51389,28.62045,29.31439,29.63323,29.83954,29.97082,30.06460,29.97082,29.72700,29.33315,29.08933,28.35787,27.72020,27.12003,26.66991,26.14476,25.37580,24.90692,24.83190,23.80036,23.59405,23.29397,22.48749,21.73729,20.79953,20.23687,19.89928,19.71172
2017,Marrickville 132_11kV,09MAY2016,MW,19.24284,18.84898,18.21131,17.87371,17.77994,17.32981,16.84218,16.50458,16.39205,16.16699,16.09197,16.09197,15.71686,15.67935,15.67935,15.71686,15.69811,16.07321,16.18574,16.20450,16.93595,17.34857,18.24882,19.28035,20.51820,22.28119,24.08169,25.67588,27.81397,30.00833,31.18991,31.73381,32.37149,32.87788,33.19672,33.27174,33.55307,33.81564,33.70311,33.90942,33.81564,34.26577,34.17199,34.17199,34.49083,35.05348,34.86593,34.43456,34.35954,34.30328,34.07821,33.90942,33.94693,33.68435,33.81564,33.83440,33.96568,33.60933,33.92817,33.42178,33.23423,32.93415,32.89663,32.74659,32.50278,32.40900,32.16518,32.10892,33.02792,33.19672,34.26577,34.32203,34.26577,33.87191,34.50958,34.65962,34.47207,34.00319,33.59058,33.21547,32.35273,31.09614,30.34593,29.57696,28.52667,27.64518,27.04501,26.57613,25.65712,25.09447,24.49430,23.57530,22.65629,21.84982,21.39969,20.68699
2017,Marrickville 132_11kV,10MAY2016,MW,19.80550,19.29911,18.77396,18.24882,17.89247,17.74243,17.31106,16.99222,16.46707,16.46707,16.16699,16.16699,16.07321,16.07321,16.07321,15.86691,16.07321,16.07321,16.27952,16.44832,16.89844,17.55487,17.92998,19.03654,20.68699,22.14990,23.59405,25.69464,27.68269,29.74576,30.64601,30.98360,31.73381,31.52750,31.35871,31.26493,31.54626,31.56502,31.37746,31.71506,31.95887,31.92136,31.58377,31.64004,31.99639,32.03390,31.94012,32.03390,31.99639,31.58377,31.64004,31.71506,31.62128,31.43373,31.54626,31.77132,31.73381,31.58377,31.88385,31.95887,31.86510,31.73381,31.69630,31.43373,31.11489,31.20867,30.53348,30.32717,30.92734,31.95887,32.97166,33.08419,33.29049,33.55307,33.30925,33.45929,32.93415,33.08419,32.57780,31.95887,30.96485,30.53348,29.76452,28.90178,28.18908,27.79522,27.12003,26.18227,25.76966,25.16949,24.00667,23.16268,22.18741,21.66227,21.62475,21.62475
2017,Marrickville 132_11kV,11MAY2016,MW,21.62475,21.62475,21.62475,18.81147,18.08002,17.61114,16.87969,16.37330,16.27952,15.96068,15.92317,15.49180,15.34176,15.02292,15.02292,15.22923,15.54807,15.26674,15.75437,16.16699,16.39205,16.95471,17.96749,19.03654,20.81828,22.20617,23.51903,25.33829,27.64518,29.38941,29.93331,30.79605,31.80883,31.94012,31.58377,30.94609,31.00236,30.73979,31.33995,31.17116,30.75854,30.90858,31.00236,31.17116,30.92734,31.24618,31.00236,30.98360,30.87107,31.03987,30.98360,31.35871,31.58377,30.57099,30.38344,30.73979,30.47721,30.36468,30.32717,30.96485,31.13365,31.09614,30.53348,30.70228,31.00236,30.85232,30.66477,31.26493,31.18991,32.09016,32.80286,33.04668,33.02792,32.69033,33.02792,33.75937,33.40303,33.17796,32.69033,32.65282,31.88385,30.94609,30.60850,29.61447,29.12684,27.88899,27.23256,26.31356,25.60086,24.92567,24.02542,23.10642,22.60003,21.62475,21.08085,20.72450
2017,Marrickville 132_11kV,12MAY2016,MW,20.44318,19.78674,18.68019,17.96749,18.06127,17.68616,17.12350,16.97346,16.24201,16.01695,15.51056,15.34176,15.34176,15.34176,15.43554,15.36052,15.58558,15.60433,15.47305,16.14823,16.74840,17.32981,18.28633,19.54293,21.15587,22.31870,23.87538,25.61961,28.24534,30.08335,31.02111,31.65879,32.01514,32.10892,31.75257,31.79008,31.90261,32.24020,31.50875,31.60253,31.58377,31.26493,31.54626,31.60253,31.48999,31.54626,31.24618,31.73381,31.54626,31.39622,31.79008,31.75257,31.60253,31.50875,31.54626,31.54626,31.05862,31.88385,31.88385,31.84634,31.26493,31.47124,31.43373,31.07738,30.77730,30.87107,30.38344,30.62725,30.72103,31.84634,32.67157,32.91539,32.95290,32.69033,32.93415,32.89663,32.99041,32.89663,31.69630,31.18991,30.94609,30.04584,29.67074,29.23937,28.41414,27.64518,26.95123,26.80119,25.97596,24.96318,24.55057,23.76285,22.80633,21.83106,21.13712,20.61197
2017,Marrickville 132_11kV,13MAY2016,MW,20.21811,19.61795,19.22409,18.86774,18.51139,17.96749,17.25479,17.16102,16.57960,16.24201,15.96068,15.71686,15.69811,15.60433,15.67935,15.67935,16.05446,15.92317,16.22326,16.26077,16.82342,17.31106,17.96749,19.46791,20.79953,21.98110,23.74409,25.48833,27.79522,29.42692,30.23340,31.11489,31.79008,31.88385,32.03390,31.84634,31.48999,31.50875,31.56502,31.24618,31.54626,31.41497,31.47124,31.86510,31.37746,31.15240,30.92734,31.32120,31.30244,30.66477,31.00236,31.35871,30.81481,30.83356,30.94609,30.75854,30.77730,31.05862,31.09614,30.85232,30.42095,30.45846,30.23340,30.34593,30.08335,30.13962,29.93331,29.87705,30.38344,31.43373,31.79008,31.95887,32.20269,31.95887,31.30244,31.33995,31.03987,31.07738,30.06460,29.59572,28.75173,28.58294,28.07655,27.10128,26.63240,25.71339,24.88816,24.71936,24.34426,24.23173,23.50028,22.99389,22.60003,21.62475,21.41845,21.19339
