year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Maryland 132_11kV,01MAY2014,MW,4.64053,4.13234,3.96755,4.14548,3.92913,3.52170,3.32795,3.49212,3.07280,2.78232,2.39809,2.26867,2.13610,1.97948,1.95098,1.89261,1.89425,1.83507,1.92737,1.96791,2.16626,2.30222,2.50415,2.79416,3.35835,3.71702,4.21109,4.23794,4.36732,4.46684,4.52964,4.46018,4.32431,4.21124,4.06346,3.93797,3.65466,3.54681,3.50174,3.49821,3.47660,3.37891,3.26619,3.28787,3.12534,3.21796,3.26115,3.20386,3.18837,3.17628,3.22517,3.50856,3.80727,5.59415,5.62522,5.62956,4.42383,3.62502,3.46969,3.47727,3.62404,3.73594,3.87210,3.85779,3.88847,4.16243,4.42844,4.69838,4.94176,5.47833,6.17004,6.29908,6.27852,6.14568,6.15747,6.08107,5.87613,5.82611,5.54168,5.31955,5.14069,4.90557,4.81634,4.60092,4.37529,4.24092,4.37041,4.18983,5.17329,4.80891,4.53612,4.23881,4.66521,4.23804,4.32123,4.45557
2015,Maryland 132_11kV,02MAY2014,MW,4.50207,4.09140,4.01660,4.20996,3.93186,3.53116,3.40616,3.50984,3.11170,2.76604,2.56156,2.31804,2.21552,2.07698,1.99932,1.90844,1.87127,1.88005,1.92528,1.97997,2.16323,2.27729,2.49457,2.72237,3.36266,3.69590,4.02455,4.13366,4.12339,4.35786,4.53653,4.47110,4.48375,3.74403,3.50243,3.38417,3.22317,3.12406,3.08812,2.99445,2.96501,2.93602,3.03731,3.08872,2.77174,2.76876,2.79581,2.81092,2.79847,3.71273,4.91731,4.98670,4.04642,2.83731,2.74742,2.94063,2.94715,2.93306,3.13640,2.95951,3.27781,3.40898,3.58169,3.73424,3.86961,4.44212,4.36650,4.67658,4.94676,5.50792,5.94577,6.05270,6.12502,6.08164,5.84488,5.61864,5.51052,5.44997,5.17367,5.12256,4.85730,4.69876,4.56613,4.46175,4.22719,4.15336,4.31229,4.09851,5.14883,4.75953,4.56913,4.34258,4.63197,4.27081,4.40422,4.54773
2015,Maryland 132_11kV,03MAY2014,MW,4.70726,4.15833,4.05377,4.17983,3.84040,3.45516,2.96427,2.66462,3.04252,2.86364,2.59652,2.44752,2.25877,2.14592,2.04370,1.92934,1.89309,1.89807,1.90374,1.91595,1.93885,2.02560,2.09447,2.19621,2.40077,2.51607,2.60955,3.02670,3.25437,3.66611,4.01337,4.15788,4.13815,4.00672,4.10349,4.11029,4.18210,4.19226,4.23291,3.80833,3.73361,3.83462,3.42022,3.22821,3.21326,3.13767,3.17960,3.09483,3.36766,3.01513,3.09801,3.15840,3.03232,3.08689,2.98531,2.87979,2.97006,3.25453,3.18180,3.45236,3.36519,3.70069,3.59544,3.86430,4.20226,4.44568,4.64613,4.80910,5.29751,5.95713,6.58081,6.76828,6.80400,6.70935,6.65950,6.45849,6.33023,6.31060,5.96410,5.78683,5.65201,5.41056,5.34878,5.18762,5.08790,4.86226,5.83681,5.33177,5.08524,4.85745,4.99112,4.65046,5.27896,4.87401,4.31311,4.28018
2015,Maryland 132_11kV,04MAY2014,MW,4.35163,3.70906,3.69074,4.07563,3.49936,3.04076,2.67614,2.47043,2.74295,2.59224,2.35117,2.18584,2.04955,1.98031,1.93910,1.97838,1.97495,1.95303,2.00658,2.11613,2.14364,2.07231,2.17558,2.22742,2.36630,2.51157,2.65159,2.80833,3.03618,3.37500,3.66778,3.95797,4.36311,4.78832,5.17762,5.36704,5.19950,5.18128,5.43357,5.37041,4.94363,4.71512,4.44498,4.20443,4.09838,3.83004,3.64658,3.46000,3.55811,3.46009,3.37403,3.28111,3.04461,3.04351,2.98250,3.05440,2.91168,2.93295,2.99731,3.04665,3.22649,3.26062,3.34707,3.58714,3.96434,4.34247,4.69391,4.98446,5.61499,6.26316,6.93295,6.94741,7.10397,7.08240,6.89638,6.64178,6.59080,6.51123,6.13669,6.06119,5.95583,5.66733,5.59213,5.35535,5.13782,4.86438,5.68074,5.16515,4.75216,4.47214,4.59909,4.19966,4.83213,4.39304,3.88557,3.84104
2015,Maryland 132_11kV,05MAY2014,MW,3.94921,3.26951,3.30772,3.72840,3.23224,2.85014,2.67894,2.60443,2.38031,2.27116,2.11102,2.09672,2.08015,1.99948,1.98821,2.00598,2.09148,2.07724,2.19931,2.24472,2.40199,2.58966,2.87216,3.29042,3.95189,4.55316,5.10955,5.36402,5.60797,5.82512,5.89039,5.74268,5.36933,5.14367,4.74167,4.47637,4.46210,4.41620,4.34548,4.20624,4.23866,4.27928,4.01884,3.83993,3.86364,3.67914,3.58426,3.49219,3.48579,3.56808,3.45696,3.53238,3.46333,3.33474,3.39700,3.44985,3.45045,3.53055,3.62956,3.79364,3.64103,3.79273,4.04383,4.23629,4.39501,4.72062,5.09549,5.60178,6.19924,7.08310,7.73721,7.83166,7.84601,7.69452,7.70838,7.60912,7.33369,7.22786,7.10504,6.87723,6.53680,6.35053,6.14606,5.94978,5.58879,5.41630,5.40780,5.10250,6.12381,5.58540,5.23914,4.95361,5.18664,4.86027,4.75079,4.92663
2015,Maryland 132_11kV,06MAY2014,MW,4.94793,4.53520,4.43541,4.51372,4.31963,3.94050,3.71645,3.94287,3.53354,3.24675,2.91492,2.70639,2.53407,2.37230,2.26109,2.20325,2.18161,2.14899,2.15549,2.28202,2.44810,2.72138,3.02237,3.48549,4.43540,4.95071,5.44703,5.66216,6.06905,6.41039,6.45457,5.99792,5.81226,5.73857,5.67263,5.69667,5.70522,5.60583,5.05432,4.73274,4.53564,4.34437,4.45236,4.06431,3.73353,3.62832,3.96347,4.82866,4.76966,4.54071,4.50981,3.80906,3.72398,3.62557,3.80846,3.76066,3.54552,3.52666,3.63779,3.65175,3.69824,3.73604,3.89828,4.08616,4.30806,4.52930,4.83934,5.26649,5.77105,6.48574,7.20861,7.39846,7.28596,7.22419,7.15418,7.05636,6.93982,6.80178,6.57846,6.40678,6.16506,5.95149,5.80034,5.55016,5.33053,5.09739,5.16422,4.96142,5.88461,5.45045,5.15861,4.71832,5.00235,4.63113,4.64355,4.79018
2015,Maryland 132_11kV,07MAY2014,MW,4.85458,4.36240,4.24953,4.49073,4.11496,3.67225,3.48897,3.71664,3.34685,3.08211,2.82718,2.59822,2.45784,2.28793,2.10642,2.01808,2.03992,2.03586,2.07006,2.16741,2.30666,2.53540,2.82740,3.16533,3.82656,4.41149,4.92492,5.12546,5.27124,5.42416,5.59479,5.53891,5.49741,5.05978,4.81843,4.51239,4.72853,4.59984,4.51028,4.39185,4.34894,4.40850,4.14150,4.08493,3.92954,3.94727,3.48946,3.48702,3.42618,3.32543,3.30344,3.37009,3.34278,3.43377,3.41466,3.36643,3.42135,3.52517,3.69051,3.66365,3.55039,3.65083,3.82218,4.00165,4.24658,4.47883,4.76011,5.31825,5.80136,6.46906,7.13730,7.23763,7.15638,7.05559,7.03870,7.06908,6.86285,6.72949,6.53548,6.28918,6.11774,5.91584,5.70682,5.46246,5.16782,5.08774,5.07585,4.79075,5.79151,5.44690,5.07000,4.75418,5.10261,4.83202,4.84340,4.97316
2015,Maryland 132_11kV,08MAY2014,MW,5.01469,4.54607,4.39341,4.54923,4.17091,3.74864,3.47499,3.69829,3.34646,3.06023,2.82743,2.65865,2.27707,2.15956,2.16544,2.13589,2.03273,2.06334,2.06276,2.11671,2.23305,2.56311,2.84091,3.11798,3.87600,4.43613,4.83589,4.90131,5.23950,5.49230,5.48558,5.50166,5.47840,5.25291,5.14628,5.02625,4.59168,4.37862,4.27240,3.89833,4.37668,4.33879,3.95398,3.50155,3.59286,3.94478,4.14106,4.30149,4.28604,4.19472,4.09998,4.22616,4.38247,4.27755,4.11009,4.32680,4.33283,4.11712,4.18420,3.96348,4.16421,4.43004,4.56612,4.83017,5.05170,5.09910,5.29731,5.75249,6.13942,6.67352,7.23734,7.23753,7.17385,7.10716,7.08453,7.03269,6.81704,6.73478,6.59706,6.45065,6.32856,6.13619,5.77636,5.50618,5.28956,5.20438,5.15561,4.90235,6.03624,5.60568,5.37611,5.04740,5.38834,4.99488,4.93707,5.05740
2015,Maryland 132_11kV,09MAY2014,MW,5.08515,4.66034,4.42667,4.62010,4.18549,3.71528,3.52436,3.73703,3.37754,3.09168,2.78262,2.57728,2.39665,2.27356,2.25144,2.18995,2.10441,1.99828,2.01547,2.06845,2.28126,2.47845,2.89420,3.11488,3.81353,4.26799,4.68583,4.81410,4.89713,5.09651,5.31417,5.27097,5.24616,4.84422,4.58936,4.36643,4.31209,4.03393,3.76178,3.75012,3.94676,4.06213,4.06279,4.05914,3.89131,3.89724,4.12396,4.16443,4.11589,4.07134,3.81484,3.55735,3.39278,3.53123,3.51722,3.92843,3.95668,3.69913,3.75216,3.74827,3.82955,3.89471,4.19240,4.26459,4.25884,4.36370,4.70950,5.12817,5.52152,6.04432,6.41075,6.38125,6.47932,6.43375,6.18064,6.06270,5.95596,5.93451,5.76148,5.67555,5.49629,5.34777,5.31213,5.12633,4.90593,4.76235,4.97715,4.78870,5.77691,5.44531,5.18618,4.98552,5.23353,4.93176,4.96416,5.17275
2015,Maryland 132_11kV,10MAY2014,MW,5.17873,4.67753,4.52636,4.60675,4.29446,3.81907,3.39921,3.06677,3.47364,3.26857,2.95426,2.63783,2.54252,2.39000,2.23344,2.16193,2.10858,2.04049,2.01693,2.05785,2.13250,2.23643,2.41627,2.52153,2.90279,3.11163,3.27116,3.55973,3.86715,4.19108,4.46520,4.54236,4.61430,4.47083,4.57188,4.45858,4.38547,4.37428,4.21086,4.20438,4.10667,3.66118,3.51896,3.47301,3.33292,3.17038,3.45342,3.54421,3.64861,3.55391,3.44067,3.34047,3.37375,3.65442,3.71233,3.65670,3.58668,3.66490,3.71843,3.60813,3.77588,3.84493,5.15449,6.15111,6.41702,6.70738,7.08602,7.27768,7.59322,8.12674,8.37284,6.62358,6.14143,6.16881,5.98040,5.81391,5.61768,5.47710,5.24703,5.04132,4.85400,4.74572,4.65857,4.45196,4.38391,4.15400,5.16045,4.64941,4.39645,4.05894,4.33152,4.04533,4.75549,4.36368,3.76249,3.79165
2015,Maryland 132_11kV,11MAY2014,MW,3.74048,3.17035,3.26339,3.79290,3.21553,2.74950,2.50375,2.25421,2.41150,2.26188,2.14114,2.06127,1.97633,1.98393,1.94209,1.98453,1.95082,1.88809,1.92512,1.93042,1.90949,1.94878,2.03556,2.05939,2.18562,2.27438,2.43927,2.67186,2.90163,3.05548,3.27139,3.60837,4.12011,4.33907,4.62669,4.83951,5.10556,4.92283,4.67620,4.59185,5.01231,4.94260,4.36029,4.17566,3.65808,3.49986,3.56735,3.58503,3.60499,3.22581,3.43248,3.57013,2.89079,2.75533,2.63236,2.86854,3.12390,2.95611,3.49392,4.11868,3.72197,3.41840,3.47198,3.67311,3.88454,4.07683,4.28670,4.35916,4.93575,5.50088,5.93863,5.86186,5.95067,5.94661,5.91825,5.72423,5.57408,5.43919,5.29614,5.06843,5.02529,5.03176,4.96076,4.74202,4.58435,4.33369,5.28116,4.70215,4.35080,3.88328,4.16819,3.84677,4.65126,4.19466,3.63640,3.56685
