year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Mascot 33_11kV,01MAY2016,MW,19.10642,19.15989,18.99948,18.69649,18.14397,18.00139,17.60928,17.44887,17.18152,17.09241,16.73594,16.61118,16.73594,16.87853,16.80724,16.77159,16.78941,16.62900,16.62900,16.78941,16.82506,16.94982,16.89635,17.07458,17.28846,17.39540,17.85880,17.82316,17.91227,18.32220,18.66084,19.01731,19.64112,19.78370,20.14017,20.28275,20.42534,20.63921,20.92438,20.92438,21.26302,21.19173,21.19173,21.19173,21.22738,21.24520,21.63731,21.28085,21.28085,21.38779,21.22738,21.31649,21.26302,21.38779,21.45908,21.70860,21.61949,21.42343,21.36996,21.04915,20.97785,21.19173,21.60166,21.63731,21.92248,22.01160,22.35024,22.29677,22.33241,22.67105,23.25922,23.25922,23.02752,23.33051,23.31269,23.38398,23.36616,22.76017,22.63541,22.43935,22.29677,22.02942,21.56602,21.29867,20.88874,20.87091,20.76398,20.47881,20.24710,20.12234,19.67676,19.37377,19.33812,18.85690,18.60737,18.30438
2017,Mascot 33_11kV,02MAY2016,MW,18.28656,18.00139,17.75186,17.44887,17.32411,17.11023,16.93200,16.62900,16.59336,16.32601,16.04084,16.05866,16.14778,16.57553,16.43295,16.48642,16.61118,16.70030,16.77159,17.05676,17.68057,17.89445,18.51826,19.01731,20.47881,21.31649,22.11854,23.40180,25.23759,26.00398,26.73473,27.07337,27.80412,28.00018,28.26752,28.35664,28.73093,29.26562,29.49732,29.56861,29.72902,29.96072,30.33501,30.19243,30.69147,30.54889,30.51324,30.56671,31.20835,31.38658,31.68957,31.58263,31.40440,31.27964,31.11923,30.81624,30.97664,30.63800,30.60236,30.37066,29.88943,29.78249,29.47950,29.35474,29.15868,29.21215,29.05174,28.82004,28.67746,28.53487,28.62399,27.89324,27.14467,26.37827,26.46739,26.12875,25.64752,25.16630,24.75636,24.36425,24.15038,23.66915,23.25922,22.92058,22.38588,22.24330,22.08289,21.76207,21.42343,21.17391,20.42534,20.24710,19.74806,19.33812,19.26683,18.73214
2017,Mascot 33_11kV,03MAY2016,MW,18.62520,18.34003,18.12615,17.78751,17.75186,17.76969,17.50234,17.30628,16.86070,16.71812,16.55771,16.62900,16.84288,16.91417,16.91417,16.98547,16.93200,17.07458,17.21717,17.43105,18.01921,18.37567,18.99948,19.81935,21.24520,22.10071,22.90275,24.02561,25.75446,26.78820,27.69718,27.98235,28.60616,28.73093,28.51705,28.99827,28.99827,29.08739,29.69338,29.87161,30.13896,30.42413,30.90535,30.94100,30.60236,30.94100,31.01229,31.47569,31.33311,31.13705,31.27964,31.31528,31.49352,31.70739,31.84998,31.81433,32.01039,31.97474,31.70739,31.77869,31.45787,30.86971,30.37066,30.53107,30.12113,30.17460,29.62208,29.06957,28.55269,28.33882,28.44576,28.19623,27.51895,26.68126,26.25351,25.96834,25.48711,24.95242,24.59595,24.38208,23.97214,23.77609,23.27704,23.15228,22.65323,22.10071,22.18983,21.99377,21.54819,21.19173,20.58574,20.19364,19.80153,19.60547,19.30248,19.01731
2017,Mascot 33_11kV,04MAY2016,MW,18.74996,18.48261,18.26873,17.98356,17.89445,17.80533,17.52016,17.25281,17.09241,17.03894,16.71812,16.75377,17.03894,17.00329,17.03894,16.96764,17.09241,17.00329,17.32411,17.69839,18.46479,18.92819,19.53418,20.22928,21.53037,22.38588,23.09881,24.31078,25.64752,26.34262,27.21596,27.89324,28.48140,28.87351,29.06957,29.55079,29.62208,30.24589,30.35283,30.47760,30.78059,30.95882,31.13705,31.06576,31.47569,31.68957,31.72522,31.83216,32.08168,32.08168,31.93909,32.36685,32.31338,32.33120,32.42032,32.36685,32.22426,32.43814,32.42032,32.11733,31.63610,31.10141,31.20835,31.11923,30.70930,30.17460,29.99637,29.42603,28.94480,28.48140,28.41011,28.37446,27.44766,26.98426,26.48521,25.96834,25.77228,25.59405,25.04153,24.89895,24.50684,24.13255,23.70480,23.38398,22.76017,22.45718,22.22547,21.88683,21.44126,21.08479,20.76398,20.35404,20.10452,19.51636,19.39159,19.12425
2017,Mascot 33_11kV,05MAY2016,MW,18.94601,18.57173,18.28656,18.03703,17.84098,17.52016,17.34193,17.16370,16.86070,16.66465,16.48642,16.57553,16.86070,16.80724,16.84288,16.89635,17.07458,16.93200,17.19934,17.53798,18.03703,18.41132,19.03513,19.97976,21.28085,22.17201,22.81364,23.93650,25.55840,26.43174,27.18031,27.75065,28.62399,28.85569,28.94480,29.44385,29.33691,29.46168,29.92508,30.01419,29.99637,30.21025,30.56671,30.79841,31.17270,31.27964,30.97664,31.10141,31.54698,31.35093,31.52916,31.56481,31.44005,31.68957,31.63610,32.02821,32.01039,32.18862,31.88562,31.60045,31.26181,30.88753,30.44195,30.17460,29.85379,29.22997,29.06957,28.76657,28.00018,28.03582,28.21405,27.80412,27.01990,26.12875,25.96834,25.84358,25.20194,24.66725,24.32861,24.23949,24.23949,23.90085,23.47310,23.25922,22.83146,22.35024,22.24330,21.83337,21.44126,21.08479,20.69268,20.40751,20.01540,19.35595,19.21336,18.92819
2017,Mascot 33_11kV,06MAY2016,MW,18.87472,18.55390,18.28656,18.16180,18.03703,17.71622,17.28846,17.09241,16.94982,16.91417,16.48642,16.52207,16.57553,16.89635,16.86070,16.82506,16.94982,16.86070,17.32411,17.39540,17.96574,18.50044,18.91037,19.65894,21.13826,21.69078,22.59976,23.61568,25.04153,26.21786,27.23378,27.44766,28.51705,28.90916,29.17651,29.44385,29.31909,29.65773,29.80032,29.80032,29.97855,30.45977,30.53107,30.67365,30.99447,31.17270,31.33311,31.33311,31.65392,31.83216,31.95692,31.92127,32.11733,32.22426,32.29556,32.38467,32.11733,31.76086,31.52916,31.40440,30.81624,30.53107,30.42413,30.37066,29.76467,29.55079,29.03392,28.51705,28.03582,27.91106,27.83977,27.26943,26.75256,26.05745,25.38017,25.11283,24.54248,24.09691,24.06126,23.88303,23.31269,22.93840,22.74235,22.31459,22.17201,21.69078,21.65513,21.44126,21.01350,20.92438,20.56792,20.10452,20.01540,19.69459,19.55200,19.28465
2017,Mascot 33_11kV,07MAY2016,MW,19.08860,18.73214,18.48261,18.41132,18.16180,17.78751,17.64492,17.41322,17.16370,16.93200,16.53989,16.50424,16.68247,16.77159,16.98547,16.80724,16.86070,16.94982,16.61118,16.73594,16.98547,17.25281,17.50234,17.44887,18.00139,18.44697,18.46479,18.66084,19.46289,19.80153,20.35404,20.96003,21.40561,21.69078,22.11854,22.31459,22.29677,22.40371,22.61758,22.93840,22.97405,22.99187,23.18793,22.99187,23.00969,23.15228,23.18793,22.99187,23.11663,23.17010,23.47310,23.09881,23.04534,22.65323,22.67105,22.59976,22.42153,22.29677,22.17201,21.99377,21.72643,21.53037,21.49473,21.65513,21.94030,22.01160,22.02942,22.27894,22.51065,22.92058,23.20575,23.13446,22.88493,22.63541,22.61758,22.61758,22.59976,22.42153,22.02942,21.63731,21.67296,21.60166,21.45908,21.28085,21.12044,20.96003,20.97785,20.87091,20.69268,20.46098,20.24710,19.83717,19.73023,19.42724,19.46289,19.24901
2017,Mascot 33_11kV,08MAY2016,MW,19.07078,18.64302,18.37567,18.17962,18.12615,17.78751,17.53798,17.19934,17.03894,16.82506,16.62900,16.53989,16.68247,16.91417,16.66465,16.68247,16.59336,16.43295,16.45077,16.37948,16.82506,16.86070,16.82506,16.96764,17.19934,17.21717,17.03894,17.34193,17.44887,17.52016,18.12615,18.51826,18.87472,19.21336,19.26683,19.39159,19.92629,20.05105,19.96193,20.21146,20.30057,20.51445,20.58574,20.83527,20.71051,20.78180,20.97785,21.04915,20.97785,20.88874,20.67486,20.53227,20.72833,20.63921,20.67486,20.71051,20.40751,20.44316,20.35404,20.24710,20.31840,20.46098,20.40751,20.44316,20.72833,20.87091,21.26302,21.40561,21.92248,22.31459,22.63541,22.59976,22.49282,22.36806,22.35024,22.49282,22.42153,22.36806,22.06507,21.85119,21.67296,21.47690,21.12044,20.81745,20.83527,20.72833,20.72833,20.44316,20.28275,20.15799,19.78370,19.58765,19.37377,19.01731,18.74996,18.69649
2017,Mascot 33_11kV,09MAY2016,MW,18.39350,18.05486,17.78751,17.48452,17.53798,17.41322,17.28846,16.98547,16.73594,16.61118,16.30819,16.30819,16.48642,16.75377,16.80724,16.73594,16.89635,16.94982,17.18152,17.37758,17.89445,18.19744,18.83908,19.65894,20.99568,22.33241,23.25922,24.22167,25.55840,26.98426,28.14276,28.62399,29.56861,29.85379,29.94290,30.01419,30.15678,30.26372,30.62018,30.74494,30.88753,31.13705,31.35093,31.45787,31.60045,31.60045,31.60045,31.58263,31.70739,31.70739,31.52916,31.54698,31.86780,31.52916,31.83216,31.95692,31.72522,31.70739,31.81433,31.68957,31.40440,30.90535,31.03011,30.86971,30.54889,30.24589,29.83596,29.85379,29.35474,29.01610,29.15868,28.80222,27.78630,27.19814,26.82385,26.84167,26.30698,25.79011,25.64752,25.45147,24.98806,24.52466,23.93650,23.61568,23.33051,22.93840,22.92058,22.47500,22.04724,21.47690,21.03132,20.46098,20.30057,20.05105,19.64112,19.24901
2017,Mascot 33_11kV,10MAY2016,MW,19.17772,18.92819,18.60737,18.37567,18.28656,18.17962,17.89445,17.53798,17.30628,17.27064,16.89635,16.98547,17.12805,17.14588,17.11023,16.93200,16.89635,17.03894,17.14588,17.50234,18.42914,18.85690,19.28465,20.01540,21.15609,22.15418,23.34833,24.38208,26.30698,27.23378,27.73283,28.08929,29.01610,29.05174,29.03392,29.37256,29.33691,29.97855,30.58453,30.51324,30.56671,30.79841,30.79841,30.94100,31.22617,31.26181,31.29746,30.94100,31.45787,31.33311,31.58263,31.54698,31.76086,32.06386,32.13515,31.90345,31.79651,31.84998,31.63610,31.29746,30.76277,30.38848,30.31719,30.38848,29.97855,29.63991,29.26562,29.12304,28.53487,28.46358,28.60616,27.96453,27.28725,26.48521,26.14657,25.98616,25.55840,24.98806,24.56031,24.27514,24.06126,23.91867,23.49092,23.15228,22.54629,21.92248,21.70860,21.56602,21.24520,21.10262,20.49663,19.89064,19.62329,19.39159,19.37377,19.37377
