year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Matraville 33_11kV,01MAY2014,MW,23.85428,24.19999,23.39939,23.78150,24.56390,23.29022,22.94451,21.81639,21.81639,21.01578,21.17954,20.65187,20.54270,20.61548,20.03323,20.30616,20.14240,19.86947,20.67007,20.50631,21.08857,21.52526,21.92556,22.05293,24.30917,25.83759,25.81939,26.47443,26.47443,27.31142,27.80270,27.83909,26.80195,26.87473,26.47443,25.89217,25.61924,25.49187,25.85578,25.81939,26.07413,26.31067,25.96496,25.92856,26.51082,25.76481,25.65563,26.38345,26.65638,26.09232,25.36450,25.21894,25.32811,26.51082,26.38345,26.14691,26.25608,26.09232,26.34706,26.09232,26.18330,26.23789,26.34706,26.69277,26.74736,26.78375,26.83834,26.65638,26.87473,28.29398,29.71322,30.09533,30.62300,30.42285,30.85954,31.00510,30.14992,29.47668,29.49488,28.98541,28.73067,27.74811,27.74811,27.43879,26.27428,26.05593,25.71022,25.29172,25.56465,26.41984,27.16586,26.54721,25.80120,25.01879,25.25533,24.54571
2015,Matraville 33_11kV,02MAY2014,MW,25.05518,25.16435,24.45473,24.56390,24.19999,23.41759,22.65338,21.81639,20.79744,20.94300,20.36075,20.90661,20.54270,20.79744,20.76105,20.17879,20.26977,20.34255,20.77924,20.46992,20.94300,21.39789,22.27127,22.92631,24.03623,25.12796,25.29172,24.92781,25.14616,25.47368,25.91037,25.81939,26.69277,27.02029,26.03774,26.18330,26.01954,25.87398,26.00135,25.91037,25.71022,25.56465,25.83759,25.34631,25.74661,25.71022,26.03774,26.56541,26.36526,26.25608,25.72841,25.36450,25.72841,25.51007,25.74661,25.81939,25.09157,25.72841,26.72917,26.54721,27.00210,26.29247,25.05518,26.67458,27.23864,27.72992,28.36676,28.49413,27.94826,28.63969,29.33112,29.33112,29.51307,29.42210,29.47668,29.42210,29.18556,28.91262,28.36676,27.94826,27.83909,27.52977,27.02029,26.78375,26.49262,26.12871,25.92856,25.20075,25.72841,25.78300,25.83759,25.43729,25.09157,25.23714,26.03774,24.96420
2015,Matraville 33_11kV,03MAY2014,MW,25.03699,25.54646,24.67308,24.96420,25.07338,24.09082,23.29022,22.23488,21.81639,20.85202,21.05217,20.77924,20.17879,19.50556,19.25082,19.70571,19.72390,19.99684,20.03323,20.12421,20.19699,20.45172,20.97939,20.88842,21.47067,21.68902,22.08932,22.27127,22.21669,22.68977,23.18105,23.25383,23.14466,23.43578,23.81789,24.03623,24.29097,24.80044,24.61849,24.50932,24.70947,24.54571,24.81864,25.00059,24.50932,24.34556,24.16360,23.69052,23.43578,23.30841,23.36300,22.74435,22.74435,22.65338,22.67157,22.43503,22.34405,23.16285,23.50857,23.12646,23.14466,23.61774,23.74511,23.81789,24.38195,24.69127,25.05518,26.01954,26.92932,28.31217,28.49413,28.60330,28.80345,28.96721,29.07638,29.00360,28.63969,28.36676,28.18480,28.47593,27.69353,27.54796,27.43879,27.11127,26.56541,26.18330,26.14691,25.43729,25.83759,26.18330,26.54721,26.07413,25.74661,25.89217,26.43804,25.81939
2015,Matraville 33_11kV,04MAY2014,MW,26.45623,26.20150,25.20075,25.29172,25.27353,24.38195,23.74511,22.85353,22.10751,21.74360,21.54345,20.61548,20.43353,20.37894,19.97864,19.59654,19.66932,19.72390,19.85127,19.85127,19.92405,19.88766,19.96045,19.88766,20.61548,20.63368,20.85202,20.43353,20.65187,21.28872,21.70721,21.99834,22.41684,22.85353,23.38120,23.52676,23.90887,24.18180,24.10902,23.74511,23.32661,22.83533,22.88992,22.72616,22.23488,22.39864,22.19849,21.96195,21.83458,22.08932,22.19849,22.05293,21.96195,21.77999,21.45248,21.08857,21.39789,21.30691,20.54270,20.46992,20.57909,20.68827,21.07037,21.19774,21.50706,22.01654,23.05368,23.79969,24.70947,26.72917,28.42135,29.29473,29.22195,29.25834,28.89443,28.36676,28.18480,27.85729,27.09308,27.02029,26.72917,27.05668,27.14766,26.65638,25.92856,25.56465,25.67383,24.70947,25.72841,26.16511,26.12871,25.32811,25.14616,25.36450,25.91037,25.25533
2015,Matraville 33_11kV,05MAY2014,MW,25.51007,26.09232,25.67383,25.85578,25.94676,25.05518,23.81789,23.09007,21.92556,21.76180,21.98014,21.76180,21.72541,21.76180,21.37969,21.12496,21.05217,21.27052,21.65263,21.88917,21.79819,22.45323,22.81714,23.29022,24.72766,25.83759,26.54721,27.36601,27.38420,27.83909,27.83909,28.09383,27.87548,27.67533,26.98390,26.40165,26.32887,26.47443,26.25608,25.52826,25.92856,26.00135,26.27428,26.01954,26.07413,26.07413,26.25608,26.00135,26.43804,26.51082,26.74736,26.76556,26.65638,26.87473,26.56541,25.56465,26.01954,26.71097,26.52902,25.91037,25.76481,25.92856,26.00135,26.51082,26.43804,26.85653,27.07488,27.98465,28.23939,29.45849,31.11428,31.93307,32.13322,32.31518,32.67909,32.82465,32.11503,31.73292,31.18706,30.98691,29.69503,29.56766,29.29473,28.83984,28.13022,27.34781,27.11127,25.43729,26.01954,26.82014,27.27503,26.71097,26.21969,26.21969,26.61999,26.11052
2015,Matraville 33_11kV,06MAY2014,MW,25.98315,26.03774,25.38270,25.16435,25.51007,24.47293,23.72691,22.85353,22.38045,22.03473,21.68902,21.83458,21.92556,21.28872,20.97939,20.94300,21.23413,21.08857,20.81563,21.23413,22.32586,22.78075,22.85353,22.96270,25.03699,26.51082,27.29323,26.43804,26.51082,27.94826,28.40315,27.67533,27.87548,27.80270,27.45698,27.51157,26.78375,27.52977,26.58360,26.67458,26.82014,26.41984,26.38345,26.16511,25.85578,26.05593,26.32887,26.74736,26.89293,26.65638,26.85653,26.23789,26.20150,25.94676,26.47443,25.20075,24.74586,24.85503,25.71022,25.89217,25.71022,25.43729,25.72841,25.94676,26.54721,26.36526,26.54721,27.40240,28.38495,29.33112,30.58661,30.73217,31.16886,31.62375,31.36901,32.35157,31.40540,30.84134,30.62300,30.35007,29.62225,29.05819,28.65789,28.05744,27.67533,27.34781,27.34781,26.25608,26.40165,27.00210,26.89293,26.20150,25.56465,25.49187,25.54646,24.94601
2015,Matraville 33_11kV,07MAY2014,MW,25.21894,25.45548,24.81864,24.60029,24.74586,23.94526,23.30841,22.68977,21.85278,21.21593,20.85202,20.57909,20.32436,20.23338,19.99684,19.74210,19.56015,19.65112,19.61473,19.66932,20.21518,20.67007,21.47067,21.92556,23.29022,26.12871,26.91112,27.40240,27.29323,28.33037,28.51232,28.40315,28.34856,28.18480,28.23939,27.58435,27.38420,27.54796,27.52977,27.34781,27.38420,26.94751,26.47443,26.45623,26.45623,25.71022,25.72841,27.09308,26.94751,27.03849,27.49338,26.98390,26.76556,26.72917,26.92932,26.36526,26.41984,25.96496,25.47368,25.63744,25.78300,25.54646,25.51007,25.80120,26.09232,26.67458,26.74736,27.29323,29.11277,30.75037,32.09683,32.56992,32.67909,32.87924,32.71548,32.20601,31.69653,31.38721,30.71398,30.44104,30.55022,30.09533,29.84059,29.58586,28.98541,28.53052,28.29398,27.32962,27.63894,28.18480,28.82165,27.63894,26.63819,26.96571,27.12947,26.52902
2015,Matraville 33_11kV,08MAY2014,MW,27.05668,27.16586,26.01954,25.67383,26.12871,25.45548,24.54571,23.67232,22.88992,22.07112,21.94375,21.63443,21.32511,21.10676,21.30691,20.92481,20.63368,20.87022,20.67007,21.08857,21.87097,22.23488,22.72616,23.50857,25.00059,25.94676,26.67458,27.47518,27.85729,28.31217,28.42135,28.25759,28.07563,28.13022,27.52977,26.98390,27.32962,27.05668,26.85653,27.20225,27.94826,27.96646,27.60255,27.27503,27.00210,27.09308,27.36601,27.80270,28.76706,28.43954,28.25759,27.76631,27.03849,27.05668,26.12871,25.41909,25.52826,26.05593,26.72917,26.18330,26.11052,26.83834,26.94751,27.40240,27.80270,27.60255,28.25759,28.71247,29.73142,31.45999,32.51533,32.55172,32.26059,32.64270,32.71548,32.47894,31.71473,31.20525,30.62300,30.96871,31.33262,31.13247,30.93232,30.35007,29.71322,28.94901,28.67608,27.00210,26.83834,27.07488,27.83909,27.16586,26.58360,27.00210,27.07488,25.98315
2015,Matraville 33_11kV,09MAY2014,MW,26.38345,26.56541,25.87398,26.05593,26.27428,25.41909,24.43653,23.16285,22.56240,22.21669,22.25308,22.21669,21.99834,22.14390,22.01654,21.67082,21.34330,21.68902,21.70721,21.90736,22.30766,22.48962,22.83533,23.45398,24.87323,26.03774,27.16586,27.42059,27.63894,28.51232,28.47593,28.80345,28.71247,28.85804,27.93007,27.11127,26.72917,27.05668,27.20225,27.12947,27.36601,27.20225,27.14766,26.52902,26.83834,26.65638,26.49262,26.23789,26.61999,26.60180,26.85653,26.51082,26.54721,26.14691,26.11052,25.58285,25.92856,26.32887,26.27428,27.09308,26.32887,25.74661,26.09232,26.87473,27.14766,27.32962,27.42059,27.71172,29.38571,30.95052,31.16886,31.31443,31.22345,31.86029,31.56916,30.98691,30.95052,30.60480,30.29548,29.45849,29.03999,28.73067,28.65789,27.87548,26.87473,26.32887,26.45623,25.69202,26.83834,27.42059,27.54796,27.09308,26.80195,26.89293,26.87473,26.07413
2015,Matraville 33_11kV,10MAY2014,MW,26.49262,26.29247,25.29172,25.49187,25.21894,24.36375,23.59954,22.81714,22.27127,21.90736,21.41608,21.10676,20.88842,20.67007,20.61548,20.34255,19.99684,20.17879,19.94225,19.94225,20.25157,20.97939,21.05217,21.30691,21.90736,22.25308,22.03473,21.72541,22.21669,22.36225,23.19924,23.52676,24.30917,24.14541,24.16360,24.03623,24.18180,23.99984,23.79969,23.76330,23.21744,23.18105,23.36300,23.50857,23.14466,23.18105,23.39939,22.88992,22.76255,22.74435,22.68977,22.70796,22.79894,22.79894,22.81714,22.50781,22.27127,22.72616,22.98090,22.54420,22.50781,22.74435,23.30841,23.67232,24.03623,24.70947,24.94601,26.01954,26.76556,28.03924,28.36676,28.47593,28.91262,29.07638,28.62150,28.18480,27.80270,27.45698,27.05668,27.00210,27.02029,26.92932,26.61999,26.40165,25.96496,25.60105,25.07338,24.49112,25.21894,25.71022,25.83759,24.85503,24.65488,24.70947,25.29172,24.76405
2015,Matraville 33_11kV,11MAY2014,MW,25.54646,25.60105,25.03699,24.81864,25.09157,24.25458,23.50857,22.78075,22.27127,21.48887,21.30691,21.16135,20.68827,20.59729,20.19699,20.17879,20.19699,20.03323,19.88766,19.41458,20.25157,20.23338,20.32436,20.36075,20.41533,21.08857,21.41608,21.01578,20.83383,21.34330,21.81639,22.32586,23.05368,23.10826,23.49037,24.03623,24.29097,24.72766,24.25458,23.34481,23.14466,23.70872,23.70872,23.98165,24.03623,23.36300,23.45398,23.74511,23.87247,23.72691,23.92706,23.52676,23.14466,22.79894,22.23488,21.76180,22.39864,21.68902,22.27127,22.01654,22.32586,22.67157,22.68977,22.72616,22.98090,23.54496,24.29097,24.83684,25.94676,27.00210,28.05744,28.18480,28.20300,28.02104,28.29398,27.93007,27.49338,27.58435,27.09308,26.58360,26.29247,26.47443,26.94751,26.41984,26.43804,26.29247,25.71022,24.70947,25.12796,25.54646,25.91037,25.21894,24.83684,25.10977,24.94601,24.09082
2015,Matraville 33_11kV,12MAY2014,MW,24.61849,24.98240,24.52751,24.36375,24.43653,23.67232,22.70796,21.85278,21.16135,20.41533,20.19699,20.05142,19.90586,19.56015,19.57834,19.25082,19.57834,19.96045,20.06962,20.39714,21.01578,22.21669,22.81714,22.68977,24.70947,25.85578,26.52902,26.32887,26.89293,27.60255,27.87548,27.60255,27.34781,27.69353,27.54796,26.98390,27.03849,26.82014,26.80195,26.87473,26.89293,26.96571,26.67458,26.83834,27.25683,27.38420,27.67533,27.11127,26.89293,27.05668,26.74736,27.11127,27.02029,27.43879,26.76556,26.25608,27.40240,27.32962,27.29323,27.51157,27.60255,27.51157,27.25683,27.14766,27.23864,27.62074,28.29398,28.63969,30.05894,31.86029,32.66089,32.22420,32.15142,32.27879,32.02405,32.26059,31.51458,30.98691,30.60480,30.09533,29.56766,29.36751,29.29473,28.53052,28.16661,28.14841,28.11202,26.83834,27.22044,27.22044,27.74811,26.89293,26.36526,26.16511,26.74736,25.87398
2015,Matraville 33_11kV,13MAY2014,MW,26.65638,26.32887,25.32811,25.81939,25.96496,24.63669,23.76330,23.41759,22.85353,22.19849,21.74360,21.98014,21.96195,21.37969,21.41608,21.05217,21.19774,21.54345,21.16135,21.39789,22.48962,23.12646,23.34481,23.09007,25.12796,26.47443,27.07488,27.38420,27.56616,27.96646,28.47593,28.38495,28.22120,28.14841,27.85729,27.14766,27.03849,27.16586,27.14766,27.16586,27.36601,27.22044,27.16586,27.18405,27.40240,26.96571,27.49338,27.52977,27.78450,27.91187,27.67533,27.22044,27.76631,27.27503,26.80195,26.56541,26.92932,27.09308,26.83834,26.65638,26.32887,26.18330,26.78375,26.69277,26.05593,26.16511,26.16511,26.85653,27.91187,29.11277,30.64119,31.29623,31.24165,31.35082,31.42360,31.07789,31.33262,30.14992,29.44029,28.76706,29.11277,28.38495,28.09383,27.56616,27.09308,26.82014,26.36526,25.80120,26.49262,27.47518,27.96646,27.36601,26.65638,26.41984,26.60180,25.54646
2015,Matraville 33_11kV,14MAY2014,MW,26.01954,25.89217,25.18255,25.21894,25.38270,24.45473,23.92706,23.21744,22.65338,22.12571,21.77999,21.39789,21.01578,20.74285,20.50631,20.68827,20.52451,20.81563,21.36150,21.56165,22.38045,22.83533,23.45398,23.67232,24.83684,25.32811,25.89217,26.29247,26.52902,27.03849,27.23864,28.22120,28.16661,27.93007,27.05668,25.78300,25.60105,25.43729,25.80120,25.54646,25.61924,25.25533,25.23714,25.09157,25.47368,26.00135,25.14616,24.67308,26.03774,26.05593,25.91037,26.18330,26.40165,26.21969,25.51007,25.49187,25.47368,25.80120,25.76481,25.29172,25.58285,25.83759,25.94676,25.87398,26.16511,26.56541,26.49262,27.38420,28.25759,29.76781,30.22270,30.44104,31.00510,30.98691,30.93232,30.89593,30.35007,30.85954,30.42285,29.76781,28.98541,28.14841,28.27578,28.34856,27.65714,27.22044,26.87473,26.36526,27.09308,27.40240,27.67533,26.63819,25.85578,25.34631,25.61924,24.89142
2015,Matraville 33_11kV,15MAY2014,MW,25.38270,25.41909,24.58210,24.56390,24.85503,24.01804,23.25383,22.48962,21.79819,21.41608,21.67082,21.07037,20.63368,20.52451,20.37894,19.99684,20.08781,20.37894,20.54270,20.92481,21.67082,22.43503,22.92631,23.21744,24.76405,25.49187,26.34706,27.07488,26.91112,26.20150,26.25608,26.18330,26.49262,26.61999,26.32887,25.61924,26.11052,26.27428,26.07413,25.80120,25.56465,25.38270,24.96420,24.72766,24.56390,24.96420,24.96420,25.07338,25.03699,24.92781,24.96420,24.87323,24.58210,24.29097,24.27278,23.92706,24.03623,24.29097,24.67308,24.78225,24.58210,25.03699,25.52826,25.58285,25.56465,25.10977,25.67383,26.41984,27.58435,28.80345,29.34932,29.91338,29.91338,29.96796,30.14992,30.07713,29.65864,29.31292,28.93082,28.23939,28.73067,28.54871,28.22120,27.72992,26.63819,25.92856,25.94676,25.71022,26.18330,26.41984,26.47443,25.54646,25.09157,25.09157,25.76481,24.63669
2015,Matraville 33_11kV,16MAY2014,MW,24.85503,24.80044,24.07263,23.94526,24.40014,23.12646,22.65338,21.88917,21.43428,20.85202,20.61548,20.28796,20.14240,19.77849,19.72390,19.66932,19.99684,20.10601,20.05142,20.14240,20.77924,21.27052,21.87097,22.48962,24.05443,25.07338,25.65563,26.09232,26.31067,26.71097,26.67458,26.43804,26.27428,26.16511,26.29247,25.94676,25.94676,26.01954,25.92856,25.78300,25.52826,25.47368,25.16435,25.56465,25.51007,25.61924,25.69202,25.76481,25.56465,25.94676,26.00135,25.80120,26.12871,26.25608,26.41984,25.47368,25.71022,25.56465,25.54646,26.12871,26.67458,26.58360,26.38345,26.00135,26.29247,26.41984,26.83834,27.22044,28.36676,29.74962,29.78601,29.76781,30.04074,30.05894,29.96796,29.40390,28.78526,28.40315,28.13022,27.43879,27.54796,27.58435,27.42059,26.96571,25.76481,25.78300,25.74661,25.40090,26.14691,26.67458,27.34781,26.74736,26.00135,25.94676,26.16511,25.00059
2015,Matraville 33_11kV,17MAY2014,MW,25.23714,25.27353,24.60029,24.50932,24.74586,24.19999,23.63593,22.85353,22.45323,21.88917,21.63443,21.16135,20.97939,20.83383,20.61548,20.28796,19.92405,19.76030,19.72390,20.10601,20.39714,20.28796,20.57909,20.87022,21.43428,21.74360,21.83458,22.12571,22.16210,23.12646,23.36300,23.36300,22.90811,22.90811,23.52676,24.03623,24.16360,23.78150,23.85428,23.43578,23.47217,23.36300,23.23563,22.90811,22.58060,22.72616,22.54420,22.27127,22.21669,21.79819,21.83458,21.87097,22.03473,22.12571,22.08932,21.39789,21.45248,21.96195,21.83458,22.10751,21.88917,22.07112,22.78075,22.27127,22.85353,22.76255,23.45398,24.18180,25.60105,26.85653,27.25683,27.67533,27.40240,27.23864,26.78375,26.98390,27.00210,26.60180,26.07413,25.43729,25.51007,25.12796,24.74586,24.54571,24.36375,23.85428,23.83608,22.96270,23.96345,25.14616,25.56465,24.72766,24.34556,24.40014,25.09157,24.61849
2015,Matraville 33_11kV,18MAY2014,MW,24.92781,24.80044,24.12721,24.21819,24.63669,24.29097,23.19924,21.41608,20.77924,20.88842,20.52451,20.28796,19.86947,19.59654,19.50556,19.50556,19.48736,19.50556,19.41458,19.66932,19.56015,19.48736,19.86947,19.70571,20.26977,20.57909,20.76105,20.06962,19.46917,19.92405,20.19699,20.45172,20.83383,21.43428,21.99834,22.32586,22.27127,22.70796,22.41684,22.50781,22.52601,22.41684,22.34405,22.61699,22.27127,22.21669,21.81639,21.65263,22.10751,22.25308,21.90736,21.79819,22.12571,22.38045,22.70796,21.74360,21.90736,22.01654,22.28947,21.98014,21.74360,21.99834,21.76180,21.79819,22.43503,23.36300,23.58135,24.92781,26.16511,27.32962,28.05744,28.27578,28.05744,28.45774,28.34856,27.71172,27.47518,27.18405,26.03774,25.80120,25.65563,25.91037,26.20150,25.74661,25.41909,25.30992,24.72766,23.99984,24.50932,24.92781,25.05518,24.38195,24.14541,24.47293,24.47293,23.81789
2015,Matraville 33_11kV,19MAY2014,MW,24.67308,24.60029,23.52676,23.69052,24.05443,23.41759,22.74435,22.08932,21.57984,21.48887,20.99759,20.25157,20.28796,19.94225,19.90586,19.46917,19.65112,19.76030,19.92405,20.08781,21.03398,21.56165,22.10751,22.52601,24.18180,25.65563,26.31067,26.69277,26.76556,27.62074,27.49338,27.00210,27.25683,27.40240,27.18405,26.96571,26.72917,26.34706,26.11052,25.51007,26.14691,26.43804,26.65638,26.05593,26.76556,26.41984,26.43804,26.27428,27.62074,27.49338,27.87548,27.45698,27.71172,27.54796,26.63819,26.00135,26.56541,27.42059,27.69353,27.69353,27.32962,26.78375,26.58360,26.80195,27.78450,28.14841,28.45774,28.69428,29.94977,31.49638,30.84134,31.62375,31.58736,32.42435,31.56916,30.82315,30.58661,30.69578,29.64044,29.11277,28.54871,27.85729,27.72992,27.56616,27.67533,26.83834,26.92932,26.07413,26.11052,26.16511,26.45623,25.80120,25.16435,25.30992,25.71022,24.70947
