year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Mayfield West 132_11kV,01MAY2016,MW,8.40150,8.22233,7.94415,8.16182,8.00342,7.70409,7.58246,7.49682,7.39751,7.40405,7.43916,7.37753,7.40182,7.27507,7.21666,7.25296,7.26112,7.32421,7.41671,7.43031,7.33104,7.38271,7.49166,7.55144,7.70061,7.62758,7.67336,7.71090,7.86494,8.33555,8.42107,8.43898,8.51556,8.71058,8.93512,8.94350,9.10992,9.26868,9.07760,9.07028,9.12578,9.24786,9.15349,8.98807,9.01011,9.08466,9.06992,9.00173,9.04749,9.05927,9.14652,9.01720,8.88916,8.79328,8.86812,8.95258,8.84590,8.63190,8.68507,8.97027,8.81089,8.98553,8.99186,8.87538,9.11314,9.20147,9.52539,9.89171,9.92261,10.11291,10.27902,10.23859,10.34966,10.21946,10.38532,10.24102,9.92976,10.06508,9.80731,9.84346,9.57689,9.46588,9.32356,9.16398,9.15152,9.12840,9.84546,9.70181,9.36316,9.11768,9.04453,8.82784,9.19603,9.35493,9.32555,8.56487
2017,Mayfield West 132_11kV,02MAY2016,MW,8.76233,9.32737,8.91936,9.45868,8.64227,8.28027,8.74728,8.94645,8.90016,8.75354,8.84902,8.66043,8.66877,8.76014,8.79407,8.78450,8.17374,8.15394,8.92010,9.10896,9.24936,9.26307,9.29205,9.71388,10.57162,10.91785,11.04971,11.15380,12.35040,12.89724,13.17860,13.29147,13.18855,12.19333,11.87643,11.73785,11.68389,11.80059,12.28918,12.06879,12.22474,13.36142,13.28268,13.43528,12.83952,13.77428,13.90819,13.69951,13.59143,13.75980,13.55516,13.21725,14.15726,14.06953,14.37049,14.37929,14.88621,14.15389,13.61356,13.65251,13.42203,13.29920,13.43616,13.25271,13.29504,13.19174,13.07541,13.33777,12.91356,13.15150,13.15658,12.33005,11.98084,12.34220,12.27759,11.96717,12.61043,12.23201,12.50410,12.33673,12.06229,11.76500,11.42112,10.98000,11.25536,11.17325,11.20861,11.18827,11.83010,11.70132,11.06130,10.86631,10.73766,10.49836,10.00519,9.91667
2017,Mayfield West 132_11kV,03MAY2016,MW,10.34051,9.57048,9.75685,9.98978,9.03209,8.75368,9.38411,9.52011,9.46830,8.69526,8.31882,9.35512,9.43396,9.48849,9.32095,9.31189,8.21841,8.19445,9.14870,10.66749,10.25967,9.62586,9.72060,10.43939,10.93003,10.85143,11.74328,13.36739,13.01715,14.29170,13.07235,14.18138,14.52240,14.83806,14.91515,15.20442,15.08996,14.93248,13.64981,13.65530,13.41279,14.06364,14.44692,14.05173,14.50767,15.36552,15.30487,15.32211,13.72317,13.50962,14.50473,14.89292,14.14857,12.86751,13.53115,14.52092,14.99072,13.85523,15.27953,15.83168,14.26548,13.85731,13.82924,13.05264,12.27671,11.94640,11.92769,11.68062,11.33064,11.48465,11.70612,11.49702,11.37931,11.40844,11.45343,11.41104,11.26065,11.39039,11.23480,10.87385,10.72510,10.51820,10.58631,10.23736,10.81214,10.02370,10.79628,10.86914,11.61115,10.72375,10.08075,9.51637,9.50646,9.41736,9.24697,9.28987
2017,Mayfield West 132_11kV,04MAY2016,MW,9.93713,10.07986,9.77588,9.88187,8.97773,8.68558,9.46866,9.61623,9.18317,8.24315,8.22460,8.85770,8.96072,8.65230,8.93494,8.86979,8.04650,7.94443,8.90765,9.13849,9.34710,9.28178,9.01338,9.51710,10.84546,11.12898,11.68132,11.76541,11.06595,11.40500,12.49212,14.16769,13.92608,13.85123,13.47946,14.01955,13.72888,12.89373,13.08905,13.98986,13.70565,13.16699,13.59367,14.21741,14.13422,14.38553,14.10291,14.12445,14.36439,14.36811,13.98793,14.07641,15.04436,16.87720,15.73694,17.34725,16.45948,13.77682,13.70905,13.98443,13.64342,13.67598,13.69662,13.65342,13.37852,13.30209,13.19108,13.06441,12.93165,13.06539,12.72163,12.95221,13.03698,12.33777,12.59877,11.86434,12.51742,12.20995,12.15897,12.04686,11.86508,11.16229,11.69640,11.41862,11.24587,11.12953,11.24032,11.16854,10.72041,10.37849,10.30600,11.14728,12.84755,10.72067,10.47326,10.29961
2017,Mayfield West 132_11kV,05MAY2016,MW,10.41258,10.34354,9.69328,10.21334,10.15236,8.84600,8.30110,8.44991,8.50884,8.78031,9.54730,9.49048,8.24576,8.19679,8.42576,8.89471,8.13397,8.06270,9.43617,9.38038,8.74793,8.36434,8.53708,8.69623,9.26159,9.72076,10.64499,11.51473,12.16920,12.53586,12.79629,13.01716,13.19721,12.98210,13.24572,13.18655,13.12425,13.29985,13.25196,14.84766,14.48433,13.86003,13.85904,13.84098,13.99599,14.47583,14.55930,14.56639,13.91806,13.71008,13.68254,13.73743,13.41552,13.67790,13.37762,13.87309,13.87932,13.03304,13.13518,12.98578,13.08446,12.97276,12.87094,12.88852,12.45853,12.66146,12.31132,11.87438,11.98258,12.37406,12.78404,12.52839,12.37114,12.00481,11.92698,11.30060,11.17350,11.87702,12.01591,11.81200,11.45578,11.31038,11.15335,10.02125,9.98042,9.82333,9.83478,9.67825,10.22622,10.87235,10.84809,10.40796,10.46155,10.18576,10.04837,9.96404
2017,Mayfield West 132_11kV,06MAY2016,MW,10.14560,9.86371,9.09713,9.74855,8.70926,8.46942,9.20498,9.37335,9.33542,9.14623,9.04749,8.11615,8.03671,9.01387,9.14630,9.01895,7.94240,7.81582,9.02002,8.79935,8.87554,9.53659,9.87182,10.31810,10.45805,10.72550,11.20337,11.83352,12.28176,12.74899,13.10270,13.05145,12.94494,12.44951,12.25746,12.85562,12.62878,12.76176,12.87907,12.45281,12.79829,12.95004,13.04236,13.07624,13.24069,12.94204,12.14844,12.52827,13.48551,13.77646,13.75103,13.80712,13.68537,13.76349,14.03006,14.00807,13.26950,11.80633,11.59505,11.52450,11.44632,11.30676,11.40260,11.24352,11.19360,11.03662,10.96169,11.04326,10.66518,10.81970,11.14895,10.86869,10.71288,10.57584,10.52322,10.43386,10.30694,10.31407,9.91546,9.64203,9.42017,9.35873,9.40723,9.34401,9.19332,9.01800,9.11251,8.90039,9.53057,9.49522,9.08023,8.62983,8.80363,8.62289,8.52022,8.42042
2017,Mayfield West 132_11kV,07MAY2016,MW,8.48456,8.19568,7.94279,8.17959,8.13670,7.90844,7.73111,7.56043,7.63262,7.76907,7.57572,7.48306,7.37599,7.25068,7.16350,7.10685,7.18657,7.14689,7.00533,7.13711,7.12554,7.30104,7.26862,7.45905,7.72056,7.60825,7.58345,7.66208,8.10863,8.05968,8.04099,8.07129,8.02252,8.03919,8.12424,8.24084,8.18895,8.16047,8.25281,8.07602,8.20602,8.14481,8.04957,8.01275,7.91687,8.02749,8.04717,8.11425,8.04182,7.89416,7.80409,7.95867,8.02931,8.12718,8.20465,7.94324,7.87679,7.95410,8.11392,8.25832,8.38519,8.26901,8.43040,8.44905,8.59561,8.81128,8.76623,8.93624,9.11832,9.53076,9.80008,9.74913,9.78717,9.74614,9.60809,9.48212,9.40354,9.50182,9.38817,9.24302,9.06487,8.78128,8.72225,8.62972,8.69833,8.67045,9.10255,9.04812,8.70403,8.40355,8.54243,8.48993,8.65665,8.51358,8.19208,7.83697
2017,Mayfield West 132_11kV,08MAY2016,MW,8.06004,7.75038,7.62717,7.85816,7.65956,7.33730,7.24467,7.28356,7.29387,7.19600,7.04114,7.01718,7.12001,7.06544,7.11686,7.07840,6.90550,7.03085,7.03889,7.06241,7.19017,7.11995,7.20774,7.24833,7.39309,7.42203,7.39642,7.39511,7.42874,7.64109,7.51335,7.70006,8.18885,8.35645,8.24721,8.29727,8.41543,8.58065,8.71654,8.72395,8.75472,8.78360,8.84299,8.70867,8.64404,8.59035,8.51986,8.45515,8.67037,8.64093,8.45531,8.17604,8.00154,8.17461,8.27604,8.37253,8.42978,8.45167,8.48084,8.52912,8.48105,8.39508,8.56877,8.57681,8.80736,9.04671,9.06698,9.43219,9.70457,9.95757,10.29209,10.07645,10.05240,10.04085,9.90266,9.93445,9.86667,9.99770,9.83527,9.60462,9.53711,9.43889,9.54830,9.35684,9.17653,9.04267,9.65914,9.66430,9.41994,9.08114,9.08052,8.89296,9.08001,8.92380,8.63860,8.46916
2017,Mayfield West 132_11kV,09MAY2016,MW,8.58576,8.33287,8.16141,8.53781,8.49890,8.16630,7.97783,8.08575,7.91826,7.81610,7.96988,7.91862,7.89486,7.84732,7.95855,8.06025,8.22091,9.59111,9.20929,9.39752,9.85261,9.87178,9.65934,10.45758,11.04693,11.17365,11.32053,10.89741,11.21634,12.40918,13.46196,13.52144,13.77773,13.21572,12.98210,13.63860,14.34614,13.43492,13.61308,13.62625,13.74605,14.90558,14.99662,15.08706,14.32604,13.80790,13.48178,13.38069,13.28244,13.08854,13.31191,12.99491,13.15905,13.31075,13.23150,13.33261,12.93880,12.69807,12.54822,13.02469,13.42557,13.39034,12.41886,12.73656,12.56160,13.22388,13.11789,13.37135,13.15545,13.18119,13.23499,13.17162,13.07747,13.26496,13.03500,11.91309,11.64530,11.96068,12.21686,12.33793,11.30628,10.94001,10.50916,10.20485,10.13495,10.39748,11.02216,10.49307,11.52591,11.15366,10.47942,10.07403,10.45723,10.51889,9.51576,10.18528
2017,Mayfield West 132_11kV,10MAY2016,MW,10.22644,10.01171,9.78950,9.81443,9.59921,9.69195,9.54432,9.46663,9.70586,9.36840,9.23693,9.09690,8.40059,8.82465,8.84715,8.91610,9.00024,9.01927,8.94240,9.07924,8.81005,9.13051,9.71276,9.90927,9.97268,10.42593,11.03392,11.21883,11.95776,12.12688,12.36170,12.84389,13.22493,12.98024,12.63088,12.51452,12.77131,12.63695,12.66396,12.19830,12.35176,12.18593,12.13559,12.06270,12.13772,13.03566,12.82846,12.73663,14.83651,14.82860,13.59292,13.03898,12.89750,13.05912,12.90667,12.76269,12.73542,12.73593,13.31339,14.20880,14.17561,13.67576,13.76022,13.11113,13.00624,13.74503,14.21023,14.33173,13.11600,12.93729,14.30308,14.30445,14.28782,13.92268,13.37418,12.90758,12.95354,12.78364,11.46339,11.40211,10.91733,10.64907,11.40714,11.90859,11.09787,11.42617,11.68515,11.56093,12.11743,11.97938,11.49702,10.95308,11.27592,11.09222,10.89808,10.76560
