year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Meadowbank 132_11kV,01MAY2015,MW,35.18866,35.63883,35.54504,34.94481,34.85103,33.93192,31.56850,30.01165,29.07378,28.39852,26.27895,25.45363,25.05973,24.90967,24.66582,24.40322,24.62831,24.87215,24.87215,25.09724,25.54741,26.44776,28.73615,30.49934,31.69980,33.18163,34.85103,36.59545,37.53332,38.60248,37.83343,37.49580,36.87681,37.55207,35.95770,35.58256,35.45126,35.63883,36.89557,36.76427,37.55207,37.87095,38.03976,38.32112,36.82054,36.33285,36.07025,35.75137,35.75137,35.31996,33.74435,33.38796,34.60718,34.11949,33.18163,32.50637,32.46885,32.86275,32.30004,31.39969,31.81235,32.30004,32.63767,32.76897,33.14411,34.30706,34.68221,34.96357,35.35747,37.02687,39.05266,39.70916,40.17809,40.42194,40.38442,39.95301,39.42780,38.84633,38.28361,38.32112,37.27071,36.83930,36.42664,36.29534,34.81351,34.32582,35.16990,35.18866,35.39499,36.22031,36.20155,35.31996,35.47002,35.52629,35.58256,34.47588
2016,Meadowbank 132_11kV,02MAY2015,MW,36.91433,36.63297,35.97646,35.48877,34.08198,32.58139,31.62477,30.74318,29.88035,28.56734,27.79829,27.08551,26.59782,26.31646,24.64707,24.47825,24.25316,24.12186,24.12186,24.12186,25.65996,25.90380,26.35398,26.39149,26.74788,27.19806,27.87332,28.47355,28.09840,28.94248,30.34928,31.08081,31.90613,33.16287,31.77483,32.11246,32.28128,33.46299,33.59429,33.72559,34.23204,35.13238,35.26369,35.56380,38.03976,37.81468,37.83343,38.32112,38.50869,38.15231,38.33988,38.03976,37.47704,37.04563,38.33988,38.37739,37.58959,37.53332,38.15231,39.18396,39.50283,38.94011,37.00811,36.85805,36.38912,36.01398,36.35161,37.42077,36.14528,37.17693,38.26485,39.24023,39.14644,39.10893,39.93425,39.37153,38.52745,38.17106,37.64586,37.13941,38.62124,38.37739,38.11479,37.51456,36.68924,36.25782,35.67635,35.28244,36.01398,36.37036,35.78889,34.83227,33.83813,33.61304,33.87565,33.14411
2016,Meadowbank 132_11kV,03MAY2015,MW,33.03157,32.95654,31.53099,30.64939,31.86862,31.26838,30.08668,28.88621,27.96710,27.31060,25.99759,25.41611,25.32233,24.70334,23.82174,23.78423,23.99056,23.93429,23.93429,23.93429,23.93429,23.93429,23.95305,23.82174,24.19689,24.79712,25.05973,24.68458,24.75961,25.28481,26.31646,27.34811,28.36101,30.23673,31.66229,32.41258,33.36920,34.45712,34.86978,35.13238,35.84516,36.20155,36.29534,36.46415,36.50167,36.48291,34.60718,34.25079,33.95068,33.63180,33.72559,33.40671,33.23790,32.76897,31.83110,31.84986,31.53099,31.19336,31.26838,31.00578,32.31879,33.74435,33.59429,33.80062,34.64470,35.15114,37.62710,38.80881,40.27188,41.54737,42.99168,44.00458,43.34807,42.87914,42.84163,42.59778,42.35394,41.50986,40.62827,40.29064,40.29064,40.47821,40.02803,39.67165,38.79005,38.02101,37.53332,36.38912,36.01398,36.12652,35.35747,33.70683,32.61891,32.39382,34.47588,33.87565
2016,Meadowbank 132_11kV,04MAY2015,MW,33.83813,33.46299,32.03743,31.47471,31.60602,30.46182,29.50520,28.43604,27.38563,27.10427,26.39149,25.92256,24.59079,24.49701,23.99056,23.99056,22.69631,22.77134,22.88388,22.88388,24.55328,25.37860,25.79126,26.78540,28.26722,30.21798,29.50520,30.38679,31.53099,32.99405,35.77013,37.30823,38.00225,38.05852,37.79592,37.83343,38.00225,38.35864,36.65172,36.98936,37.40202,37.79592,37.98349,37.25196,36.78303,36.59545,36.67048,37.17693,38.54621,38.79005,38.33988,37.98349,35.84516,34.70097,34.66345,32.95654,32.95654,32.95654,32.60015,32.84400,32.28128,31.92489,32.14998,32.86275,33.12536,33.50050,33.80062,34.77600,35.35747,37.23320,38.90260,40.19685,40.87211,41.00341,40.42194,39.93425,39.29650,39.18396,38.41491,37.87095,39.14644,36.23906,36.98936,36.63297,35.75137,34.83227,34.02570,33.25666,34.83227,35.73262,34.94481,33.63180,32.16873,32.03743,31.92489,30.76194
2016,Meadowbank 132_11kV,05MAY2015,MW,31.36217,31.15584,32.20625,31.94365,32.16873,31.09957,30.14295,29.14881,28.30473,27.31060,24.34695,24.04683,25.94132,26.74788,26.35398,26.09138,26.46652,26.46652,24.36571,24.32819,25.34108,26.56031,26.93545,28.06089,29.29887,30.96827,32.63767,34.23204,34.98233,36.08901,37.42077,38.03976,38.39615,38.00225,37.75840,37.02687,35.50753,34.34458,33.89440,34.45712,35.80765,35.54504,34.66345,34.62594,34.68221,34.41961,35.77013,35.80765,36.22031,36.42664,38.13355,38.30236,38.00225,37.00811,33.25666,32.31879,32.84400,32.91903,32.75021,32.82524,32.78772,32.39382,32.50637,33.20038,33.35044,33.27541,33.53802,34.25079,35.16990,36.70800,38.37739,39.14644,39.29650,39.25899,39.22147,39.61537,38.90260,38.00225,37.83343,37.13941,36.12652,35.26369,34.88854,34.64470,34.86978,34.11949,33.61304,32.67518,32.80648,33.14411,34.85103,34.32582,33.68807,33.83813,34.64470,33.83813
2016,Meadowbank 132_11kV,06MAY2015,MW,33.66932,33.57553,31.99992,31.45596,31.58726,30.48058,29.56147,28.84870,27.68574,27.23557,26.80415,26.20392,26.26019,26.29771,25.86629,25.52866,24.34695,24.12186,24.25316,24.34695,24.90967,25.65996,25.15351,26.07262,27.27308,28.79242,31.92489,33.72559,35.16990,36.20155,37.21444,37.49580,37.88970,36.98936,36.95184,35.97646,33.96943,33.06908,33.74435,33.96943,33.78186,33.46299,33.03157,32.86275,31.32466,30.93075,32.41258,32.54388,32.46885,31.98116,34.02570,34.47588,34.88854,33.46299,30.76194,30.48058,30.48058,30.49934,30.29301,30.42431,29.59899,29.59899,30.10543,31.04330,31.32466,31.39969,31.66229,32.73145,34.41961,35.77013,38.02101,39.24023,40.36567,40.59075,40.62827,40.66578,40.15934,39.31526,39.20271,38.77130,38.54621,38.97763,38.45242,37.94598,37.36450,36.65172,35.88268,35.09487,36.91433,37.00811,37.28947,36.23906,34.60718,34.68221,33.46299,31.96240
2016,Meadowbank 132_11kV,07MAY2015,MW,34.66345,34.53215,33.74435,33.31293,33.06908,32.01868,30.81821,29.78656,29.07378,28.13592,27.47941,27.12303,27.42314,27.21681,25.34108,25.20978,25.20978,25.20978,26.39149,26.52279,27.53569,28.45479,27.92959,28.92372,30.03040,31.71856,32.35631,33.66932,35.54504,36.87681,37.79592,37.60835,37.87095,37.85219,35.15114,33.50050,34.38209,34.32582,34.98233,34.85103,35.41374,35.41374,35.31996,35.18866,34.81351,34.62594,35.62007,35.82640,35.35747,34.88854,34.75724,33.18163,31.04330,30.51809,30.64939,30.57437,30.25549,30.29301,30.29301,30.38679,30.23673,30.34928,30.31176,30.78070,31.47471,31.49347,32.50637,33.74435,35.37623,36.89557,39.37153,40.60951,40.94714,41.79122,41.75370,41.96003,41.41607,40.90963,40.87211,40.53448,40.42194,41.52862,41.54737,40.47821,39.78419,39.12768,38.41491,37.34574,38.80881,39.18396,39.33402,38.07728,36.50167,35.77013,35.73262,34.40085
2016,Meadowbank 132_11kV,08MAY2015,MW,37.13941,36.95184,35.65759,35.22617,35.35747,34.21328,31.77483,30.57437,29.43017,28.54858,28.06089,27.29184,27.51693,27.55444,25.50990,25.11600,25.11600,25.11600,25.50990,25.34108,25.92256,26.84167,27.89207,28.99875,30.42431,32.07495,34.21328,36.16403,36.18279,37.87095,38.69627,38.67751,40.04679,39.69040,39.25899,38.41491,37.98349,37.73965,36.87681,36.18279,35.78889,35.48877,36.72675,37.81468,37.53332,35.95770,35.95770,35.78889,35.60132,34.81351,34.71972,34.71972,32.58139,31.64353,30.51809,30.19922,30.44306,30.51809,30.06792,30.18046,30.04916,30.04916,30.40555,30.74318,31.43720,31.79359,32.18749,33.42547,34.66345,36.63297,38.64000,40.19685,40.21561,40.44069,40.94714,40.57200,40.04679,39.42780,39.42780,39.48407,38.92135,39.46532,39.37153,38.92135,38.47118,38.13355,38.48994,37.51456,38.37739,38.56497,38.56497,37.53332,37.19569,37.06438,37.13941,36.35161
2016,Meadowbank 132_11kV,09MAY2015,MW,35.88268,35.41374,33.83813,33.08784,35.80765,34.71972,32.41258,31.38093,30.36804,29.44893,28.67988,28.32349,28.06089,27.32936,27.31060,27.31060,27.31060,27.31060,27.31060,27.31060,25.09724,24.68458,24.96594,25.32233,26.37273,27.31060,27.46066,28.28598,28.49231,29.74905,31.36217,32.09371,31.90613,32.20625,32.58139,32.93778,34.92605,35.15114,35.47002,35.09487,33.89440,33.38796,32.91903,32.71270,32.86275,32.63767,32.54388,32.11246,31.45596,30.96827,32.16873,33.40671,33.50050,33.18163,31.98116,31.56850,31.60602,31.39969,31.23087,31.09957,31.21211,31.36217,31.88738,32.09371,32.67518,33.23790,34.38209,35.77013,37.08314,39.27774,41.43483,42.56027,42.89790,42.78535,42.78535,42.54151,41.19099,40.89087,38.62124,37.43953,36.85805,36.50167,36.35161,35.92019,35.63883,34.90730,34.58842,34.21328,35.13238,35.39499,34.49464,33.38796,32.14998,32.35631,34.30706,33.76310
2016,Meadowbank 132_11kV,10MAY2015,MW,33.85689,33.61304,32.07495,32.39382,33.57553,32.67518,31.58726,30.25549,29.48644,28.60485,27.44190,26.97297,26.35398,26.07262,25.99759,25.58493,25.71623,25.73499,25.37860,25.17227,25.60369,25.90380,25.54741,25.35984,25.77250,26.52279,26.69161,27.38563,28.26722,29.52396,30.63064,31.66229,31.86862,31.32466,33.65056,34.13825,34.51339,35.00108,34.83227,34.77600,34.81351,34.70097,34.25079,33.93192,33.87565,34.38209,34.83227,35.20741,35.16990,34.70097,33.33169,32.82524,32.78772,32.52512,32.11246,31.75607,31.47471,30.96827,30.76194,30.66815,30.66815,30.70567,31.56850,32.28128,33.01281,33.57553,34.45712,35.69510,36.83930,39.05266,40.68454,41.77246,42.26015,42.14761,42.35394,42.09134,41.04093,40.68454,40.00928,39.63413,39.05266,38.62124,37.98349,37.85219,37.36450,36.72675,38.54621,37.92722,38.35864,37.94598,37.23320,35.84516,34.34458,34.25079,34.23204,33.14411
