year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Medowie 33_11kV,01MAY2016,MW,4.48011,3.72311,3.76716,4.11428,3.63795,3.24354,2.88040,2.70859,2.74393,2.59903,2.41555,2.31032,2.35776,2.26381,2.26078,2.21297,2.21516,2.22128,2.26345,2.21214,2.30876,2.25110,2.31016,2.40171,2.42639,2.54439,2.55402,2.78800,2.87313,3.19473,3.59132,3.77519,4.00979,4.30855,4.37154,4.53335,4.71143,4.82451,4.88641,4.92338,4.87969,5.02737,4.96890,4.74130,4.46064,4.22959,4.31535,4.40948,4.34500,4.38720,4.27575,4.18845,4.11839,3.80196,3.77904,3.91183,3.88593,3.83461,3.88779,3.98941,4.04299,4.11137,3.97558,4.07443,4.30219,4.39712,4.55515,4.63553,4.93195,5.00813,5.31181,5.43911,5.44616,5.26086,5.15185,5.05558,4.81609,4.73796,4.56201,4.33962,4.07029,3.98856,3.93797,3.81181,3.77955,3.68143,4.38825,4.20521,4.11499,3.77597,3.82792,3.61513,5.39249,5.05109,4.41709,4.56901
2017,Medowie 33_11kV,02MAY2016,MW,4.47366,4.01641,4.01901,4.23376,3.74067,3.30673,3.03659,3.08543,2.86156,2.62903,2.45373,2.41572,2.44052,2.35882,2.29770,2.36650,2.25842,2.34531,2.43936,2.38360,2.60400,2.69810,2.86251,3.01598,3.37665,3.82564,4.10148,3.61770,3.63484,4.26947,4.37719,4.29800,4.23567,3.99073,3.89474,3.67705,3.47228,3.32097,3.31922,3.28751,3.20819,3.14189,3.05840,3.00961,3.02441,2.92894,2.92264,2.95310,3.09734,3.15382,3.23587,3.29019,3.14406,3.34195,3.35283,3.41974,3.58122,3.59937,3.72671,3.67594,3.72322,3.79551,3.88585,4.09642,4.22723,4.44669,4.63481,5.12620,5.51004,5.89086,6.22297,6.26178,6.21974,6.17645,6.02292,5.91504,5.75774,5.75186,5.44676,5.25824,5.03359,4.90649,4.79850,4.65501,4.55088,4.36045,4.58772,4.50205,5.43543,5.28729,4.91165,4.60850,6.17275,6.07668,6.25877,6.64304
2017,Medowie 33_11kV,03MAY2016,MW,6.82485,6.23726,6.06238,5.95827,5.55557,5.04832,4.89836,4.95290,4.47397,4.17893,3.92565,3.66518,3.46559,3.35766,3.03994,3.04589,3.00986,3.04551,3.10137,3.20761,3.32784,3.31964,3.50986,3.83501,4.18472,4.55556,4.95699,4.69709,4.40458,4.39162,4.32906,4.19788,4.10397,4.12673,3.97950,3.81474,3.68870,3.50992,3.44005,3.37478,3.35366,3.38675,3.47898,3.26105,3.59669,3.25035,3.56148,3.91395,3.56227,3.19069,3.20312,3.21406,3.09069,3.09475,3.17645,3.24601,3.28652,3.28511,3.25398,3.25512,3.25844,3.43680,3.49318,3.61354,3.78070,3.91789,4.18454,4.41603,4.82865,5.22744,5.86797,6.10819,6.03163,5.96708,5.91803,5.85676,5.73797,5.62471,5.45656,5.30059,5.08811,4.90248,4.79727,4.69422,4.53807,4.42104,4.62633,4.53306,5.49968,5.33958,4.99732,4.71245,6.31338,6.04644,6.19944,6.61946
2017,Medowie 33_11kV,04MAY2016,MW,6.59566,6.10303,5.80616,5.71928,5.35373,4.91895,4.66568,4.75145,4.39497,3.91848,3.66305,3.43409,3.23939,3.04277,2.91140,2.93546,2.92066,2.86283,2.97496,3.10961,3.19652,3.32519,3.52168,3.76879,4.15597,4.57531,4.88428,4.67923,4.33274,4.30747,4.21947,4.16626,4.06674,3.93086,3.77030,3.58375,3.42075,3.24232,3.28747,3.26432,3.14785,3.06013,3.01366,2.91544,2.97018,2.89238,2.86821,2.99094,2.94678,2.98562,2.97641,2.97172,2.95171,2.95621,2.97212,3.02661,3.10224,3.16553,3.26218,3.34580,3.42764,3.40004,3.59250,3.75374,3.81102,3.93213,4.13958,4.39853,4.80583,5.28779,5.61339,5.80189,5.79716,5.87827,5.85745,5.73542,5.59695,5.54184,5.32420,5.18375,5.05565,4.92217,4.78273,4.71081,4.59492,4.45763,4.73824,4.54656,5.39421,5.31451,5.00621,4.63110,6.16457,6.00001,6.23190,6.51347
2017,Medowie 33_11kV,05MAY2016,MW,6.69766,6.13206,5.83938,5.89528,5.58910,5.20046,4.86474,4.97099,4.50176,4.11761,3.81728,3.49012,3.32249,3.20689,3.05732,3.08884,2.95368,2.91674,2.99442,2.99999,3.18282,3.24067,3.40226,3.65917,4.03491,4.52343,4.88244,4.64373,4.39659,4.31844,4.21656,4.08062,4.04452,3.97793,3.87442,3.75806,3.53303,3.39378,3.23117,3.23945,3.10643,3.17749,3.02418,2.93914,2.91755,2.87786,2.92219,2.96906,2.86846,2.83490,2.90357,2.88387,2.87618,2.91159,2.96842,2.95084,2.99634,3.07805,3.14870,3.22435,3.21726,3.26165,3.31150,3.59008,3.79635,3.90864,4.06314,4.42865,4.84033,5.23069,5.63943,5.74669,5.86845,5.86483,5.80757,5.77570,5.56440,5.41806,5.22819,5.12036,4.96786,4.81845,4.78037,4.73456,4.59170,4.37445,4.57697,4.50099,5.49403,5.20087,4.83071,4.41781,5.98223,5.84280,6.05713,6.41415
2017,Medowie 33_11kV,06MAY2016,MW,6.60981,6.06242,5.99972,6.01938,5.64603,5.09785,4.75223,4.77015,4.45044,3.98327,3.64438,3.46031,3.26541,3.15092,3.04173,2.99409,2.98078,3.00491,3.04443,3.06235,3.21499,3.24900,3.41937,3.66599,3.97464,4.49295,4.84294,4.57498,4.43211,4.45057,4.43330,4.37477,4.28889,4.11856,4.02802,3.84582,3.71186,3.48859,3.41070,3.34393,3.20131,3.29166,3.08779,2.97004,2.91649,2.92462,2.87520,2.85959,2.89954,2.91225,2.97830,3.01034,3.00157,2.97561,3.00600,3.07300,3.19275,3.19382,3.27437,3.37287,3.46563,3.43137,3.53996,3.71990,3.89886,4.07680,4.25921,4.42742,4.66226,5.02387,5.46441,5.44981,5.44767,5.45061,5.37119,5.32370,5.13115,5.07259,4.93879,4.81586,4.61928,4.63926,4.50858,4.38793,4.31269,4.25826,4.56662,4.44805,5.33028,5.15528,4.85696,4.54687,6.18156,6.12610,6.27587,6.62335
2017,Medowie 33_11kV,07MAY2016,MW,6.56025,6.14186,6.10562,6.08135,5.69069,5.09150,4.58520,4.26016,4.51546,4.25097,3.92553,3.61632,3.36846,3.23692,3.04930,2.97767,3.02353,2.87397,2.86930,2.90006,2.88551,2.91037,2.98051,3.16381,3.22698,3.43385,3.57996,4.00712,4.14539,4.45568,4.66711,4.89266,4.95848,5.04378,5.20007,5.20286,5.02664,4.87962,4.76928,4.56785,4.27923,4.14810,4.05827,3.89667,3.75484,3.73636,3.66467,3.55761,3.45337,3.47728,3.45464,3.57200,3.41446,3.35710,3.58709,3.52736,3.44044,3.58701,3.83470,3.75653,4.02384,4.06070,4.02622,4.17153,4.27773,4.40505,4.54908,4.58661,4.79950,5.27172,5.69423,5.75278,5.72807,5.62362,5.48158,5.32284,5.12996,5.05905,4.91707,4.72088,4.53131,4.46746,4.38284,4.25062,4.21587,4.03612,4.94897,4.80195,4.75936,4.51538,4.47438,4.22038,6.01691,5.65467,5.03072,5.09910
2017,Medowie 33_11kV,08MAY2016,MW,5.13322,4.47221,4.63665,4.94520,4.32473,3.85488,3.57037,3.36114,3.51858,3.28040,3.12012,3.07631,2.98249,2.86998,2.75306,2.88716,2.82908,2.78846,2.81665,2.68825,2.74377,2.89022,2.97009,3.01441,3.11466,3.28964,3.33528,3.57363,3.77942,4.12092,4.18219,4.52170,4.78636,5.02075,5.36512,5.37624,5.34784,5.37001,5.30777,5.25991,5.46523,5.28140,5.12810,5.16221,5.12616,4.98119,4.69070,4.48612,4.54697,4.50171,4.51906,4.14649,3.77033,3.69373,3.72233,3.62570,3.82661,3.92015,4.02784,3.94291,3.73277,3.92399,3.92186,4.07716,4.22271,4.56506,4.68369,4.84013,5.04969,5.52937,5.74865,5.73107,5.70310,5.53693,5.48100,5.32662,5.18315,5.15081,4.93523,4.82286,4.68529,4.45558,4.43386,4.30798,4.19727,4.09592,4.92703,4.76896,4.66035,4.40650,4.41945,4.15380,5.89599,5.57721,4.95043,4.98073
2017,Medowie 33_11kV,09MAY2016,MW,4.90015,4.50681,4.45588,4.73551,4.28444,3.85716,3.62791,3.59664,3.39072,3.10556,2.98345,2.90565,2.81616,2.79079,2.71471,2.70603,2.76594,2.88185,2.87107,2.93796,2.97906,3.21920,3.40673,3.67749,3.99221,4.32273,4.76419,4.57596,4.30950,4.30740,4.33371,4.30977,4.28569,4.19818,4.21333,4.30366,4.24659,4.12468,4.12750,4.16818,4.23080,4.32494,4.18969,4.08758,4.24112,4.29433,4.28288,4.48842,4.49416,4.44461,4.45450,4.38807,4.21349,4.23969,4.25286,4.20468,4.13670,4.14328,4.18981,4.03129,4.04159,4.18128,4.32924,4.45776,4.58328,4.78532,5.07814,5.38649,5.73966,6.12858,6.36235,6.55634,6.52365,6.36822,6.22504,6.05151,5.89112,5.71707,5.54699,5.33903,5.15703,5.02399,5.01644,4.80666,4.62710,4.38921,4.74121,4.62980,5.59727,5.54114,5.15780,4.75470,6.44425,6.22875,6.45582,6.67605
2017,Medowie 33_11kV,10MAY2016,MW,6.83531,6.28035,6.06128,6.01765,5.58805,5.07170,4.76519,4.88541,4.52965,4.13066,3.82977,3.48910,3.30469,3.23353,3.03836,3.01005,2.95819,2.96710,3.00046,3.10237,3.22695,3.34250,3.43877,3.73376,4.04169,4.55921,5.13361,4.86151,4.68519,4.57461,4.51849,4.36244,4.29290,4.35488,4.38240,4.22865,3.62506,3.47958,3.41216,3.34990,3.27038,3.12136,2.97966,3.12939,3.03557,3.03644,3.10503,3.06505,3.02704,3.02259,3.06247,3.01384,2.96851,2.97071,2.93250,3.01047,2.98302,3.00656,3.18943,3.17119,3.25565,3.28649,3.31489,3.49812,3.81541,4.07828,4.29181,4.61030,5.03202,5.40765,5.86877,6.07633,6.13386,6.10921,5.96821,5.85953,5.70154,5.61931,5.45520,5.21773,5.10628,5.04402,4.83320,4.67051,4.50692,4.48696,4.73311,4.51415,5.56529,5.48170,5.07824,4.76573,6.32131,6.14521,6.45777,6.72875
