year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Merriwa 33_11kV,01MAY2016,MW,1.01234,0.96711,0.95442,0.92304,0.87048,0.87125,0.85956,0.84725,0.86352,0.85122,0.80340,0.79586,0.80359,0.79150,0.78753,0.77603,0.78793,0.78396,0.81011,0.84474,0.82706,0.82706,0.84691,0.90662,0.92796,0.92990,0.96312,0.94572,1.02027,1.04346,1.12960,1.18103,1.24222,1.29005,1.35032,1.41374,1.45422,1.37992,1.34298,1.33843,1.31525,1.27107,1.29545,1.29941,1.25522,1.27503,1.26741,1.22417,1.23572,1.19123,1.15192,1.16776,1.15557,1.19322,1.18964,1.13674,1.14036,1.17271,1.22562,1.24000,1.19439,1.27003,1.33844,1.35410,1.36545,1.38006,1.43911,1.50609,1.48982,1.53666,1.62790,1.80278,1.84714,1.87175,1.91225,1.85554,1.78072,1.76498,1.72453,1.63347,1.59358,1.55490,1.49924,1.46774,1.42283,1.37401,1.33610,1.26067,1.25326,1.22961,1.16948,1.12327,1.20189,1.17988,1.15970,1.10748
2017,Merriwa 33_11kV,02MAY2016,MW,1.07106,1.02850,1.06019,0.98066,0.96155,0.90617,0.90261,0.89752,0.91446,0.87415,0.88565,0.86191,0.84537,0.84537,0.81274,0.82128,0.82524,0.86851,0.88069,0.88101,0.94806,0.93677,0.95658,0.96054,1.00870,1.03157,1.19491,1.24897,1.12679,1.11231,1.13244,1.14862,1.10112,1.03350,1.04341,1.01770,0.96879,0.98443,0.98512,0.94000,0.95535,0.94056,0.92898,0.95403,0.98970,0.95885,0.96368,1.00537,1.02558,1.05724,1.11799,1.14723,1.16326,1.15585,1.12698,1.12396,1.15333,1.14313,1.13379,1.17441,1.17785,1.20110,1.15760,1.18775,1.22826,1.26469,1.32158,1.50002,1.53047,1.61223,1.60956,1.60363,1.55151,1.55202,1.57854,1.59022,1.53403,1.42526,1.39227,1.39669,1.35144,1.29837,1.22205,1.16673,1.14655,1.10347,1.16689,1.23032,1.33739,1.36097,1.67032,1.80166,1.87726,1.73401,1.60738,1.45619
2017,Merriwa 33_11kV,03MAY2016,MW,1.32880,1.25015,1.16637,1.06233,1.03852,0.99070,0.93475,0.87854,0.86641,0.89421,0.83051,0.83448,0.86676,0.79078,0.83043,0.79879,0.79094,0.84294,0.83473,0.88409,0.89152,0.89034,0.87073,0.85538,0.93515,1.03741,1.12470,1.16442,1.06918,1.13793,1.19976,1.16515,1.20229,1.21103,1.17988,1.13848,1.17946,1.20701,1.14241,1.08843,1.03600,0.98974,0.97802,0.96675,0.95925,0.92966,0.93975,0.95381,0.93218,0.91883,0.91023,0.96937,0.92918,0.94442,0.93191,0.95308,0.95032,0.96968,1.08034,1.14341,1.09598,1.12979,1.12849,1.12171,1.17377,1.23299,1.25534,1.30644,1.34627,1.39346,1.47354,1.58189,1.65929,1.71406,1.70164,1.72122,1.70051,1.60634,1.59852,1.57968,1.49012,1.44641,1.37962,1.33129,1.29270,1.26664,1.26369,1.31378,1.46804,1.46769,1.73646,1.89877,1.99865,1.85565,1.67333,1.52584
2017,Merriwa 33_11kV,04MAY2016,MW,1.41490,1.34298,1.30152,1.25449,1.14933,1.08890,1.05592,0.96911,0.97307,0.94778,0.95231,0.91697,0.89685,0.89258,0.87644,0.88893,0.86455,0.90021,0.90843,0.94835,0.96023,1.00779,1.03745,1.02201,1.08494,1.19646,1.27533,1.29545,1.26444,1.25126,1.24644,1.19916,1.15653,1.08774,1.03157,0.98467,1.02497,0.98450,0.93952,0.91776,0.90665,0.91192,0.94443,0.97743,0.92143,0.89943,0.88093,0.85891,0.87141,0.84781,0.88064,0.92339,0.91725,0.94468,0.94168,0.90417,0.94258,0.93994,0.95546,0.94686,0.95770,0.98105,1.02157,1.07926,1.11819,1.14703,1.16794,1.25250,1.32780,1.32673,1.43123,1.48177,1.52109,1.54021,1.53628,1.56437,1.51054,1.48490,1.46124,1.40852,1.35725,1.30407,1.28215,1.32079,1.26903,1.17422,1.24465,1.29455,1.42841,1.40461,1.71453,1.87366,1.97685,1.81772,1.67413,1.53104
2017,Merriwa 33_11kV,05MAY2016,MW,1.42353,1.30083,1.23380,1.15360,1.07027,1.01848,0.99864,0.95918,0.92266,0.93811,0.90216,0.85501,0.83066,0.79470,0.79078,0.79085,0.82256,0.82248,0.83043,0.86626,0.89010,0.89414,0.93770,1.01766,1.11169,1.15500,1.16883,1.26838,1.22126,1.27664,1.27722,1.24945,1.24264,1.24070,1.22610,1.20404,1.16029,1.18218,1.18261,1.14809,1.10161,1.09092,1.08221,1.06582,1.04658,1.04374,1.03792,1.05137,1.05523,1.05912,1.10748,1.10522,1.08066,1.09215,1.06263,1.02942,1.01304,1.06296,0.98104,0.97057,0.99172,1.00459,1.01768,1.05287,1.10504,1.14158,1.21483,1.23393,1.34803,1.34858,1.44759,1.49638,1.49693,1.53289,1.58908,1.57673,1.58178,1.53913,1.48294,1.45877,1.43582,1.39926,1.31242,1.31733,1.27861,1.24934,1.30007,1.37706,1.54087,1.50469,1.77069,1.98558,2.11018,1.91513,1.70679,1.57235
2017,Merriwa 33_11kV,06MAY2016,MW,1.44520,1.34488,1.28187,1.18248,1.16217,1.05932,1.06356,1.07095,1.00678,0.94288,0.92701,0.90300,0.89471,0.87089,0.86692,0.85882,0.87060,0.91031,0.91441,0.92223,0.97001,0.98206,1.00178,1.05780,1.10516,1.22798,1.36849,1.29633,1.25321,1.29798,1.33570,1.29879,1.26558,1.25368,1.19834,1.13206,1.02807,1.02952,1.00534,1.02951,1.01900,1.00609,0.97407,0.98519,0.96881,0.93606,0.93119,0.95611,0.94289,0.95386,0.96781,0.96881,0.98012,0.97921,0.99264,1.01382,1.05137,1.03792,1.06871,1.10244,1.13050,1.17964,1.17398,1.19125,1.23265,1.21662,1.28266,1.32178,1.36840,1.39327,1.43326,1.51963,1.59676,1.61671,1.57724,1.58822,1.62874,1.56724,1.53455,1.46453,1.42859,1.37509,1.38611,1.38745,1.36261,1.31952,1.35590,1.44305,1.57217,1.58663,1.82741,1.88266,1.93319,1.83814,1.68341,1.50740
2017,Merriwa 33_11kV,07MAY2016,MW,1.43544,1.33206,1.24472,1.18951,1.08544,0.99397,0.98238,0.97795,0.94595,0.97824,0.96272,0.90662,0.87038,0.84646,0.83845,0.87019,0.86626,0.87019,0.86619,0.88211,0.87413,0.90990,0.89399,0.95359,0.98936,0.99333,1.03313,1.08074,1.15227,1.23570,1.23973,1.27161,1.24396,1.25969,1.20854,1.21050,1.25803,1.22246,1.16320,1.19265,1.22618,1.17393,1.16759,1.07783,1.07106,0.98247,1.06551,1.10662,1.11412,1.08962,1.05442,1.03861,1.03903,1.03249,0.98420,0.97980,0.95961,0.97540,1.00393,0.98769,0.97585,0.97146,0.97417,0.99789,1.06156,1.11992,1.15984,1.17934,1.23572,1.34430,1.47632,1.52095,1.51589,1.53047,1.54758,1.56337,1.55198,1.59236,1.51158,1.54257,1.47114,1.37697,1.38848,1.36938,1.29184,1.25184,1.25725,1.22847,1.22487,1.15487,1.13512,1.09168,1.23315,1.16841,1.08396,1.02789
2017,Merriwa 33_11kV,08MAY2016,MW,0.98718,0.95063,0.94198,0.91472,0.92647,0.92633,0.83486,0.83931,0.88280,0.86663,0.81897,0.80721,0.80296,0.78708,0.79899,0.75916,0.77108,0.79094,0.80667,0.83089,0.80674,0.80721,0.85266,0.89788,0.89201,1.01175,1.03950,1.04646,1.04192,1.10890,1.13264,1.13654,1.19639,1.25985,1.29206,1.26511,1.27722,1.27816,1.19438,1.21749,1.31069,1.27994,1.22384,1.23511,1.25041,1.11508,1.12091,1.18919,1.18477,1.22376,1.21882,1.28486,1.28029,1.25351,1.24529,1.21022,1.21249,1.22262,1.23358,1.21872,1.23042,1.19931,1.29474,1.29806,1.33520,1.37827,1.42735,1.45877,1.56446,1.60821,1.67940,1.74817,1.81614,1.84085,1.84644,1.75093,1.69080,1.58889,1.56177,1.53714,1.49232,1.44990,1.42181,1.37007,1.30758,1.23473,1.22524,1.22524,1.23700,1.15226,1.08915,1.04736,1.16808,1.09753,1.03314,0.99193
2017,Merriwa 33_11kV,09MAY2016,MW,1.02454,0.98005,0.94728,0.96120,0.93781,0.89945,0.87193,0.82760,0.85162,0.83931,0.79515,0.78324,0.78290,0.77529,0.74327,0.74339,0.79502,0.78310,0.79912,0.83897,0.86331,0.87522,0.86375,0.91114,0.95102,0.96669,1.02734,1.08285,1.05196,1.11169,1.14971,1.22618,1.29024,1.27692,1.22105,1.18691,1.21436,1.24847,1.17385,1.15429,1.16534,1.18168,1.21115,1.24568,1.24309,1.28628,1.29474,1.28814,1.26726,1.23855,1.21319,1.22740,1.24764,1.17723,1.19931,1.19232,1.19381,1.20404,1.16994,1.20626,1.20781,1.15871,1.17745,1.17820,1.23042,1.32807,1.40345,1.38080,1.40981,1.43469,1.56837,1.60169,1.63763,1.64940,1.61223,1.57568,1.55426,1.48997,1.45425,1.42107,1.36419,1.33262,1.30407,1.24350,1.22224,1.19414,1.27948,1.32564,1.44939,1.43002,1.75187,1.88642,1.92018,1.79705,1.68582,1.51950
2017,Merriwa 33_11kV,10MAY2016,MW,1.39610,1.27994,1.17034,1.15051,1.04800,1.00305,0.92400,0.90762,0.90320,0.90342,0.90320,0.85915,0.84766,0.82760,0.79586,0.86254,0.89201,0.84933,0.85582,0.87169,0.94666,0.93098,0.97184,1.00015,1.03279,1.11265,1.20372,1.20284,1.17059,1.14707,1.17172,1.21061,1.22469,1.19073,1.14798,1.11771,1.10327,1.08450,1.19480,1.21828,1.23531,1.22893,1.22967,1.23196,1.16110,1.14688,1.14100,1.11236,1.09215,1.10634,1.16087,1.16960,1.13870,1.10862,1.19636,1.21490,1.11622,1.05771,1.06197,1.10731,1.10533,1.10846,1.12755,1.15760,1.18860,1.22966,1.25924,1.31387,1.40981,1.43771,1.54975,1.62954,1.69984,1.76388,1.75603,1.69925,1.69196,1.59751,1.57392,1.54189,1.44019,1.41044,1.38810,1.40442,1.39141,1.28087,1.32092,1.39449,1.52131,1.47669,1.77137,1.94569,2.00939,1.81737,1.66574,1.55486
