year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Metford 33_11kV,01MAY2016,MW,6.73032,6.62670,6.62670,6.50347,6.11100,6.11100,5.79777,5.59980,5.59980,5.59980,5.16367,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.07150,5.50096,5.58900,5.77603,6.35927,6.82222,7.15770,7.37602,7.68240,8.19302,8.46169,8.74988,9.24390,9.33578,9.79380,9.89338,10.31310,10.31310,10.25269,9.66749,9.33750,9.44922,9.82802,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.31590,9.92807,10.48410,10.74324,11.25639,11.55960,11.55960,11.55960,11.55960,11.55960,11.13970,11.03040,10.55882,10.28426,9.90473,9.42210,9.42210,9.29790,8.89740,8.55836,8.36550,8.26098,7.83180,7.70195,7.31160,6.89949,6.79500,6.79500,6.79500,6.79500
2017,Metford 33_11kV,02MAY2016,MW,6.48544,6.24960,6.24960,6.24960,6.10229,5.74380,5.74380,5.74380,5.42696,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.22810,5.63793,5.76180,6.14541,6.55960,6.81120,7.02889,7.63304,7.86330,7.86330,8.17429,8.40960,8.40960,8.35668,7.88940,7.88940,7.88940,7.88940,7.88940,7.88940,7.88940,7.88940,8.28266,8.19026,8.03160,8.03160,8.03160,8.57169,8.83902,8.51760,8.76972,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.03330,9.08487,9.61380,9.61380,9.81442,10.14030,10.62246,11.08647,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,11.24100,10.24009,10.05529,9.63000,9.04053
2017,Metford 33_11kV,03MAY2016,MW,9.54328,9.50090,8.88635,8.30285,7.61850,7.32378,6.80626,6.57900,6.14122,5.80546,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.52960,5.74960,6.05700,6.38582,7.08030,7.08616,7.58700,7.58700,7.58700,7.58700,7.78942,8.06940,8.06940,8.06940,8.06940,8.06940,8.06940,8.06940,8.06940,8.06940,8.32028,8.32338,8.15670,8.15670,8.05501,7.66350,7.66350,7.76105,8.19900,8.25335,7.87168,8.21070,8.21070,8.21070,8.21070,8.21070,8.21070,8.74590,8.80740,8.56133,8.68094,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.80380,8.00606,7.59081,7.18470,9.57186,9.68756,9.36180,8.96429
2017,Metford 33_11kV,04MAY2016,MW,9.93040,9.60053,9.05796,8.30224,7.82288,7.15189,6.71344,6.46470,5.95940,5.94990,5.94990,5.94990,5.73575,5.44140,5.44140,5.44140,5.44140,5.44140,5.44140,5.44140,5.44140,5.44140,5.50621,5.95530,6.22632,7.00646,7.30756,7.54830,7.54830,7.54830,7.54830,8.15442,8.23320,8.23320,7.72550,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.70310,7.90676,8.27820,8.27820,8.27820,8.27820,8.27820,8.27820,8.27820,8.27820,8.27820,8.84565,8.86050,8.86050,8.86050,8.86050,8.86050,9.25818,9.41220,9.82838,9.94860,10.34981,10.64210,11.00340,10.72329,10.47870,10.47870,10.47870,10.23854,9.88339,9.45540,9.45540,9.29783,8.91720,8.91720,8.91720,8.45927,8.40870,8.97734,8.55000,8.35975,8.02715,7.50060,7.04588,9.50198,9.81630,9.47664,8.92020
2017,Metford 33_11kV,05MAY2016,MW,9.79254,9.69486,8.96633,8.39356,7.67420,7.22994,6.56518,6.28110,6.18528,5.75010,5.75010,5.59379,5.23080,5.23080,5.23080,5.23080,5.23080,5.23080,5.23080,5.23080,5.23080,5.52405,5.76270,6.05968,6.65640,6.83010,7.27852,7.63315,7.89480,7.89480,7.89480,7.89480,8.25791,8.34930,7.94847,7.84980,7.84980,7.84980,7.84980,7.84980,7.84980,7.81595,7.34310,7.34310,7.34310,7.69507,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,7.87590,8.33544,8.47530,8.47530,8.47530,8.53383,8.98650,8.98650,8.98650,9.34839,9.59220,9.59220,10.18388,10.29850,10.74780,10.74780,11.21730,11.33100,11.33100,10.83308,10.80630,10.70621,10.27710,10.27710,9.99214,9.75600,9.51329,9.22140,8.90784,8.69220,8.69220,8.69220,8.40391,8.00640,7.54211,7.15020,9.66833,9.97290,9.71469,9.13148
2017,Metford 33_11kV,06MAY2016,MW,10.18829,9.88178,9.27870,8.45751,7.88090,7.17104,6.70320,6.49070,6.19740,5.72393,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.68800,5.81114,6.19920,6.62705,6.88132,7.46762,7.87772,7.87840,7.81020,8.25181,8.32500,8.32500,8.32500,8.32500,8.32500,8.32500,8.03881,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.80660,7.87120,8.10214,8.35830,8.35830,8.35830,8.35830,8.35830,8.35830,8.35830,8.35830,8.55628,8.88480,8.88480,8.88480,8.88480,9.27017,9.37530,9.37530,9.64163,9.93150,10.35284,10.46070,10.46070,10.46070,10.46070,10.40833,9.91260,9.91260,9.91260,9.54704,9.29638,8.85600,8.85600,8.85600,8.58361,8.48986,8.85001,8.93303,8.50860,8.50860,8.10354,7.63001,7.42770,9.86972,10.17180,9.74333,9.43408
2017,Metford 33_11kV,07MAY2016,MW,10.28343,9.91580,9.21824,8.41339,7.78527,7.24534,6.78510,6.40174,6.18907,5.74200,5.74200,5.74200,5.74200,5.31366,5.22180,5.22180,5.22180,5.22180,5.22180,5.22180,5.22180,5.22180,5.46141,5.73570,5.73570,5.76963,6.27390,6.37305,6.79320,7.46891,7.84980,8.33481,8.37810,8.37810,8.78988,8.89920,8.89920,8.89920,8.89920,8.89920,8.38382,8.34030,8.13614,7.86420,7.86420,7.86420,7.86420,7.86420,7.86420,7.86420,7.86420,7.86420,7.86420,7.93294,8.21647,7.97850,7.97850,7.97850,8.21414,8.45280,8.45280,8.45280,8.45280,8.45280,8.45280,8.81129,8.95590,9.44900,9.46530,9.78087,10.46824,10.93587,11.04570,11.00183,10.53180,10.53180,10.22882,10.00980,10.00980,10.00980,9.57109,9.49140,9.10466,8.97480,8.63965,8.45550,8.45550,8.10133,7.94340,7.94340,7.76370,7.42050,7.42050,7.42050,7.42050,7.25811
2017,Metford 33_11kV,08MAY2016,MW,6.86090,6.45210,6.45210,6.00026,5.92830,5.92830,5.92830,5.92830,5.75865,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.41440,5.53477,5.95080,6.33793,6.49012,7.11505,7.66263,8.20234,8.59410,8.59410,8.66405,9.13950,9.42692,9.67770,9.67770,9.67770,9.37489,9.64597,9.72810,9.52710,9.22050,9.00737,8.70750,8.70750,8.70750,8.70750,8.28865,8.13870,8.13870,8.13870,8.13870,8.13870,8.13870,8.13870,8.13870,8.13870,8.13870,8.35762,8.65080,8.65080,8.65080,8.94442,9.16020,9.63230,10.39701,10.79010,10.79010,10.79010,10.79010,10.79010,10.79010,10.79010,10.60175,10.26090,10.02544,9.71460,9.71460,9.23590,9.18180,8.74342,8.61235,8.15400,8.15400,8.01405,7.63110,7.27578,6.99312,6.61320,6.61320,6.61320,6.61320
2017,Metford 33_11kV,09MAY2016,MW,6.46812,6.14790,6.14790,6.14790,6.14790,5.75517,5.63580,5.63580,5.63580,5.34418,5.12370,5.12370,5.12370,5.12370,5.12370,5.12370,5.12370,5.12370,5.12370,5.12370,5.30842,5.66280,5.95771,6.18570,6.60018,6.96403,7.24950,7.44501,7.76610,8.06206,8.29530,8.34628,8.83890,8.83890,8.83890,8.83890,8.83890,8.83890,9.08569,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.34290,9.61661,9.81720,10.19650,10.71255,10.88820,11.34375,11.39760,11.39760,11.39760,11.39760,11.39760,11.07595,10.87470,10.46772,10.10477,9.82170,9.37731,9.26370,9.26370,8.83273,8.61940,8.68500,9.03957,8.62020,8.62020,8.19233,7.78520,7.20106,9.69813,10.01610,9.88553,9.38586
2017,Metford 33_11kV,10MAY2016,MW,10.33141,9.98919,9.16520,8.65224,7.90740,7.39121,6.83054,6.34230,6.29911,5.82840,5.82840,5.74276,5.31450,5.31450,5.31450,5.31450,5.31450,5.31450,5.31450,5.31450,5.40107,5.83020,5.83020,5.95772,6.48253,7.21443,7.39170,7.74161,7.89750,7.89750,7.89750,7.89750,8.58971,8.59860,8.48641,8.10090,8.10090,8.10090,8.10090,8.10090,8.02482,7.60680,7.60680,7.60680,7.60680,7.60680,7.60680,7.60680,8.06539,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.15850,8.35938,8.78059,9.30510,9.30510,9.50084,10.03480,10.38508,10.86750,11.09700,11.40570,11.40570,11.08657,10.80000,10.80000,10.31579,10.00019,9.73264,9.25200,9.25200,8.88513,8.74260,8.44183,8.22240,8.81080,8.36239,8.33130,7.94394,7.80660,7.39713,9.87244,10.18260,9.73260,9.13243
