year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Milperra 132_11kV,01MAY2016,MW,15.45595,14.75585,14.14551,15.16873,14.71995,13.80444,13.01459,12.22474,11.68620,11.09382,10.87840,10.75274,10.32192,10.32192,9.90904,9.80133,9.74748,9.90904,9.90904,9.99880,10.37577,10.50143,10.78865,10.87840,10.89635,10.98611,11.12972,11.25538,11.05791,11.20152,11.48874,11.50669,11.72211,12.22474,12.45810,12.61967,12.90688,13.06844,13.12230,13.21205,13.31976,13.37361,13.21205,13.17615,12.99664,13.21205,13.03254,12.97869,13.24796,12.78123,11.75801,11.74006,11.81186,11.95547,11.90162,11.90162,12.49401,12.42220,12.24269,12.08113,12.51196,12.54786,12.56581,12.70942,12.81713,13.05049,13.24796,13.44542,13.58903,14.00190,14.84561,15.43800,15.43800,15.61751,15.52775,15.49185,15.22258,14.95332,14.63019,14.28912,14.01986,13.87625,13.67878,13.60698,13.23000,13.24796,13.28386,13.23000,13.37361,13.82239,14.34298,15.81497,15.24053,14.59429,16.15604,15.85087
2017,Milperra 132_11kV,02MAY2016,MW,15.50980,14.77380,14.46863,15.11488,15.04307,14.00190,13.40952,13.10435,12.17089,12.18884,11.81186,11.47079,11.30923,11.54260,11.34513,11.41694,11.90162,12.00933,12.11703,12.72737,14.52249,15.65341,16.71253,17.69984,19.58471,21.09261,22.22354,23.44421,23.80324,25.00597,26.08303,26.40616,26.78313,26.71133,26.87289,26.69337,26.69337,27.03445,27.08830,27.32166,27.23191,27.33962,27.37552,27.93200,28.54234,28.77571,29.27834,28.75776,27.39347,27.33962,28.54234,28.48849,28.63210,28.27308,28.30898,28.47054,28.45259,28.72186,28.12947,27.89610,27.35757,26.51386,25.90352,25.63426,25.07777,25.00597,24.73670,24.66489,24.34177,24.21611,24.21611,24.50333,24.00070,23.98275,23.76734,23.15700,22.69027,22.06197,22.16968,21.86451,20.76949,20.33866,20.55408,20.30276,19.67447,19.33340,19.33340,18.99233,18.86667,19.29750,19.53086,20.84130,20.15915,19.40520,20.69769,20.05145
2017,Milperra 132_11kV,03MAY2016,MW,19.69242,18.97438,18.41789,19.42315,18.88462,18.39994,17.43058,16.51507,15.77907,15.50980,15.25849,14.84561,14.75585,14.10961,14.27117,14.18142,14.37888,14.12756,14.84561,15.67136,16.96385,17.28697,18.38199,19.45906,21.46959,22.92363,23.65963,24.34177,25.16753,26.40616,26.81903,27.14215,27.73454,28.00381,27.62683,27.82430,27.23191,27.71659,27.39347,27.39347,27.10625,27.59093,28.07561,28.56029,28.81161,29.42195,28.91932,28.65005,27.51913,27.21396,27.66274,28.20127,28.11152,28.75776,28.73981,28.81161,28.59620,28.59620,28.38078,27.73454,26.72928,26.22664,25.83172,25.81377,25.65221,25.68811,25.34704,24.95211,24.62899,24.30587,24.43153,24.93416,24.48538,24.19816,24.16226,24.01865,23.30060,22.60051,22.29534,22.07993,20.76949,20.19505,20.42842,20.46432,20.08735,19.88988,19.67447,19.20774,19.22569,19.63857,19.74628,21.02081,20.39252,19.47701,20.89515,20.26686
2017,Milperra 132_11kV,04MAY2016,MW,19.92579,19.02823,18.31018,19.11798,18.84872,17.95116,17.44853,16.55097,15.59956,15.72522,15.47390,15.15078,14.84561,14.57634,14.64815,14.80971,14.57634,14.66610,15.24053,16.01243,17.25106,17.93321,18.68716,19.76423,21.97222,22.83387,23.87504,24.48538,25.31113,26.62157,27.46527,28.47054,29.26039,28.97317,28.50644,28.56029,27.71659,28.29103,28.38078,28.52439,28.52439,28.86546,29.17063,29.65532,30.19385,30.10409,30.30156,29.81688,28.18332,27.80635,28.34488,28.61415,29.00907,29.63736,29.97844,29.97844,30.22975,29.72712,29.13473,28.56029,28.05766,27.86020,27.10625,26.92674,26.20869,26.15484,25.52655,25.00597,24.30587,24.26997,24.73670,24.98801,24.59309,24.82645,24.79055,23.94685,23.71348,22.85183,22.47485,22.22354,21.20032,20.89515,20.93105,21.07466,20.28481,19.76423,20.03349,19.85398,19.87193,20.15915,20.17710,21.43368,20.78744,19.97964,21.46959,20.66178
2017,Milperra 132_11kV,05MAY2016,MW,20.15915,18.93847,17.84345,18.86667,18.36404,17.73575,16.92794,15.97653,15.06102,14.77380,14.30707,14.32503,13.98395,14.21732,14.66610,14.23527,14.14551,14.57634,15.04307,15.47390,16.87409,17.23311,18.18452,19.24364,21.18237,22.90568,23.69553,25.05982,25.40089,26.76518,27.32166,28.47054,28.93727,29.17063,28.72186,29.63736,28.16537,29.08088,29.33219,28.99112,29.20654,29.33219,28.82956,29.06293,29.06293,29.88868,30.35541,30.40926,28.66800,27.44732,28.30898,29.04498,29.00907,30.08614,29.99639,29.47580,29.13473,28.68595,28.29103,27.96791,27.96791,27.62683,27.50118,26.87289,26.08303,25.83172,25.16753,24.70080,23.89299,24.16226,24.25202,24.26997,23.98275,23.89299,23.78529,23.76734,23.30060,22.76207,22.42100,22.42100,21.48754,20.96695,21.09261,20.98491,20.37457,19.76423,19.74628,19.53086,19.56676,19.90784,19.87193,20.93105,20.17710,19.45906,20.71564,20.41047
2017,Milperra 132_11kV,06MAY2016,MW,20.10530,19.35135,18.25633,19.36930,19.17184,18.07682,17.03565,16.47916,15.33029,15.24053,15.29439,15.11488,14.64815,14.61224,14.86356,14.41478,14.25322,14.55839,15.09693,15.72522,17.03565,17.17926,17.84345,18.52560,20.80539,22.31329,24.00070,24.43153,24.88031,26.19074,27.01650,27.73454,27.78839,27.82430,27.89610,28.52439,27.44732,27.66274,28.23717,28.27308,28.34488,28.72186,28.86546,28.91932,29.26039,29.70917,29.35015,28.45259,27.75249,27.82430,28.77571,28.45259,28.09356,27.89610,27.94996,27.93200,27.73454,27.62683,26.62157,26.46001,25.79582,25.40089,24.61104,24.23407,24.03660,23.69553,23.33651,23.10314,22.24149,22.25944,23.03134,22.63641,22.02607,21.59524,21.41573,21.36188,20.60793,20.23096,19.85398,19.94374,19.62062,19.20774,18.84872,18.50765,18.13067,18.04092,17.71779,17.39467,17.44853,17.98706,17.95116,19.20774,18.45379,17.26902,18.77691,18.16657
2017,Milperra 132_11kV,07MAY2016,MW,18.05887,17.14336,16.74843,17.68189,17.05360,16.15604,15.52775,14.68405,13.98395,13.40952,13.15820,12.88893,12.81713,12.58376,12.35040,12.29654,12.04523,12.24269,12.45810,12.27859,12.40425,12.36835,12.51196,12.60171,13.40952,13.98395,14.14551,14.77380,15.13283,15.47390,15.42005,15.65341,15.90473,15.94063,15.67136,15.76112,15.50980,15.49185,15.15078,15.07897,15.20463,14.89946,15.18668,15.18668,15.20463,14.97127,14.63019,14.25322,13.84034,13.91215,13.80444,13.93010,14.00190,13.89420,13.75059,13.80444,13.40952,13.48132,13.33771,13.73264,13.89420,13.75059,13.73264,13.78649,14.10961,14.14551,14.25322,14.68405,14.54044,15.15078,15.61751,15.67136,15.47390,15.31234,15.09693,14.91741,14.71995,14.75585,14.57634,14.21732,13.76854,13.76854,13.48132,13.03254,12.97869,13.01459,12.97869,12.94279,12.87098,13.69673,14.23527,15.74317,15.11488,14.68405,16.33556,15.81497
2017,Milperra 132_11kV,08MAY2016,MW,15.67136,15.15078,14.32503,15.18668,14.82766,14.45068,13.66083,12.67352,11.99137,11.41694,10.86045,10.50143,10.50143,10.14241,9.72953,9.67567,9.87314,10.10650,9.74748,9.80133,10.07060,9.94494,10.17831,10.44757,10.77070,10.59118,10.55528,10.68094,10.57323,10.78865,10.95021,11.41694,11.74006,12.00933,12.47606,12.60171,12.74532,13.28386,13.03254,13.06844,13.05049,13.14025,13.03254,13.03254,12.96074,13.30181,13.03254,12.99664,12.87098,12.58376,12.47606,12.31450,12.33245,12.11703,12.22474,12.11703,12.29654,11.97342,12.13498,12.24269,12.47606,12.20679,12.15293,12.24269,12.54786,12.92483,13.03254,13.30181,13.82239,14.39683,14.70200,14.82766,14.63019,14.91741,14.64815,14.57634,14.50454,14.50454,14.34298,13.84034,13.69673,13.49927,13.49927,13.35566,13.06844,12.76327,13.01459,12.76327,13.03254,13.39156,13.84034,15.29439,14.80971,14.01986,15.42005,15.31234
2017,Milperra 132_11kV,09MAY2016,MW,15.11488,14.45068,13.76854,14.75585,14.43273,13.80444,13.03254,12.27859,12.15293,11.48874,11.05791,10.93226,10.77070,10.95021,10.77070,10.91430,10.96816,11.39899,12.26064,13.10435,14.54044,15.34824,16.29965,17.03565,19.36930,21.39778,23.03134,23.35446,24.73670,26.54976,27.39347,27.91405,28.27308,28.70390,28.73981,29.11678,28.82956,29.20654,29.09883,29.83483,30.55287,31.07346,30.92985,31.12731,31.18116,31.57609,32.24028,31.68380,30.30156,29.88868,30.10409,30.51697,31.21707,30.44517,30.75034,30.48107,30.15795,29.96049,29.52966,29.00907,28.43464,28.14742,27.30371,26.94469,26.42411,26.19074,25.72401,25.43679,25.04187,24.95211,25.23933,25.47270,25.65221,25.52655,25.25728,24.66489,23.85709,23.22880,22.95953,22.67231,21.61320,21.05671,21.43368,21.54139,21.21827,20.57203,20.42842,20.06940,20.08735,19.94374,20.21301,21.27212,20.73359,19.99759,21.23622,20.62588
2017,Milperra 132_11kV,10MAY2016,MW,20.35661,19.36930,18.31018,19.15389,19.08208,18.07682,17.43058,16.55097,15.56366,15.09693,14.68405,14.79176,14.68405,14.45068,14.48659,14.37888,14.14551,14.18142,14.80971,15.58161,16.65868,17.37672,18.54355,19.85398,22.04402,23.46217,25.09572,24.68284,25.47270,26.47796,27.33962,27.82430,28.54234,29.09883,29.36810,29.27834,28.57825,28.66800,28.48849,28.30898,29.04498,29.02702,29.36810,29.04498,29.33219,28.99112,28.91932,29.45785,28.18332,27.68069,28.54234,29.18859,29.70917,29.40400,29.45785,29.54761,29.26039,28.48849,28.14742,27.78839,27.33962,27.30371,26.40616,26.11894,25.56245,25.27523,24.86236,24.48538,24.34177,24.46743,25.14957,24.93416,24.71875,24.48538,24.23407,24.68284,24.10841,23.78529,22.99544,22.09788,21.29008,20.93105,20.94900,20.78744,20.42842,20.08735,20.06940,19.63857,19.81808,19.99759,20.17710,21.25417,20.30276,19.97964,19.97964,19.97964
