year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Miranda 33_11kV,01MAY2017,MW,12.48188,11.97522,11.31293,11.61085,12.44344,12.35346,11.64127,10.84224,10.28407,10.55806,9.82586,9.73900,9.19030,8.88760,8.39360,8.36188,8.26463,8.04016,8.04016,8.04016,8.22991,8.51451,9.16209,9.50153,10.43272,11.11084,11.66213,11.69741,12.11247,12.63787,12.76088,12.93545,13.50235,13.60299,13.83873,14.15471,14.00648,14.44398,14.64066,14.63304,14.64859,14.73040,14.45176,14.43142,14.36656,14.44175,14.71677,14.62523,14.67971,14.56634,14.63797,15.01569,15.03884,15.25333,15.03701,14.63374,14.97383,15.04494,14.84701,14.89770,14.70557,14.93338,15.25174,15.23226,15.37056,15.42132,15.60619,16.25661,16.65200,17.27290,17.68442,18.05463,17.48921,16.88081,16.52534,16.29207,15.60881,15.22280,15.08669,14.73375,14.45715,14.03137,13.58482,13.48612,13.02311,12.68126,12.46005,12.01707,11.96885,11.15095,10.82187,10.55267,13.06745,12.88244,13.16748,12.39180
2018,Miranda 33_11kV,02MAY2017,MW,12.02907,11.68728,10.89969,11.37355,12.06292,11.99060,11.28363,10.37334,9.79751,10.02474,9.11655,9.05111,8.71012,8.43021,8.21438,8.03947,7.86215,7.79858,7.88361,7.78797,7.92692,8.39009,8.70102,9.29045,10.20889,11.02644,11.51795,11.23247,11.43717,12.12658,12.58245,12.84630,13.37215,13.44882,14.22088,14.55239,14.50404,14.52881,14.79386,14.83247,14.56295,14.60677,14.28516,14.59171,14.65623,14.78411,14.49206,14.64228,14.89137,14.80457,14.89708,14.89508,14.95426,15.17615,15.09947,14.88040,14.84940,14.73395,14.75871,14.72846,14.70843,14.73040,14.77156,15.08183,14.95291,15.20331,15.47538,16.19464,16.63076,17.26039,17.88065,17.84696,17.31904,16.63492,16.23570,16.08237,15.55620,15.24222,15.13223,14.97819,14.52025,14.22603,14.01790,13.54204,13.12674,12.89243,12.57787,12.05461,12.02746,11.50412,11.33691,10.72458,13.48459,13.18357,13.30453,12.81108
2018,Miranda 33_11kV,03MAY2017,MW,12.32778,11.76393,11.09051,11.50554,12.21532,12.08100,11.53021,10.80005,10.09419,10.39578,9.55461,9.45492,8.90034,8.50188,8.28772,8.11433,7.95111,8.01154,7.87698,8.11063,8.15883,8.49519,8.74193,9.28744,9.98142,11.14670,11.85010,11.70336,11.91784,12.54157,12.85762,12.91062,13.46548,13.68233,14.12729,14.33156,14.30331,14.44225,14.54461,14.48563,14.57836,14.47392,14.40764,14.56134,14.71556,14.51268,14.56505,14.63713,14.47189,14.40162,14.28227,14.34959,14.27105,14.39169,14.42375,14.48576,14.66125,14.91862,15.11850,15.25811,15.00842,15.11609,15.39468,15.51152,16.09491,16.49322,16.92444,17.13780,17.80096,18.55538,18.96567,19.07129,18.58648,17.85234,17.56896,17.05045,16.72186,16.42389,16.10836,15.73294,15.63454,15.22748,14.96775,14.72915,14.21130,13.75792,13.43536,12.66247,12.72007,12.08145,11.96927,11.21700,13.82166,13.53461,13.84520,13.31497
2018,Miranda 33_11kV,04MAY2017,MW,12.84217,12.17904,11.45202,11.84645,12.53477,12.47426,11.75579,11.12763,10.39114,10.57329,9.92292,9.84540,9.39844,8.73686,8.52969,8.52969,8.29451,8.21398,7.93632,8.07781,8.41290,8.69101,9.10516,9.55082,10.23875,11.01011,11.77775,11.77107,12.28594,12.80314,13.18918,13.49297,14.10947,13.92348,14.22190,14.68392,14.37795,14.53016,14.62142,14.63448,14.76007,14.63367,14.77526,14.80457,14.64283,14.87050,14.68904,14.65430,14.43390,14.73575,15.07008,15.08198,14.95299,14.83424,14.72795,14.64215,14.76529,14.64038,14.60957,14.68952,14.67808,14.51567,14.68458,14.93722,15.27529,15.56077,16.29786,16.83403,16.96800,17.57414,18.72569,18.93758,19.32901,19.25844,19.38192,19.18470,18.93330,18.55406,18.58730,18.58730,18.16615,17.65596,17.26846,16.82053,15.82761,14.56181,13.87032,13.31455,12.93482,12.31132,11.67390,11.05367,13.57503,13.37595,13.48928,12.88955
2018,Miranda 33_11kV,05MAY2017,MW,12.42259,11.77191,11.07613,11.49039,12.21252,12.21792,11.65610,10.99869,9.96114,10.30487,9.59772,9.46216,8.88553,8.46569,8.21972,8.02613,7.96599,7.71163,7.65447,7.86328,7.97926,8.45786,8.81068,9.37312,10.27204,11.08664,11.56381,11.50784,12.10634,12.60753,12.68327,13.02772,13.58791,13.64191,13.82514,14.33676,14.30157,14.52194,14.65396,14.79498,14.82845,14.38993,14.54968,14.54263,14.47762,14.37116,14.54107,14.73402,14.75715,14.67715,14.68150,14.87575,14.72355,14.77370,14.73818,14.70054,14.51544,14.57298,14.59481,14.57852,14.44127,14.65681,14.85714,15.03124,15.35286,15.58878,15.73562,16.09836,16.34006,16.89511,17.35426,17.54567,17.01809,16.23424,15.89475,15.56983,15.31679,15.05109,14.67770,14.61172,14.50444,14.09924,13.91019,13.66036,13.22557,12.82714,12.74120,12.32711,12.45466,11.82379,11.57305,10.94794,13.67460,13.45535,13.69088,12.97565
2018,Miranda 33_11kV,06MAY2017,MW,12.35017,11.89361,11.18842,11.61428,12.41438,12.30051,11.43179,10.68094,10.08074,10.16169,9.42764,9.29490,8.75956,8.41460,8.11433,7.98119,8.04675,8.06982,7.84600,7.91315,8.03018,8.08466,8.08466,8.35757,8.94914,9.47903,9.78330,9.95742,10.25275,10.96812,11.35606,11.60962,12.76784,13.11217,14.10600,15.14203,15.14213,15.18381,15.18828,15.29391,15.45530,15.31656,15.51661,15.40392,15.10498,15.24929,15.22165,15.30415,15.21007,15.40168,15.18308,15.24411,15.13968,15.07788,15.25840,15.23571,15.38156,15.39418,15.28455,15.26008,15.24960,15.24960,15.46030,15.69802,15.73912,15.73912,15.73912,15.73912,15.73912,15.73912,16.52563,17.48136,17.04254,16.04381,15.50533,15.03315,14.62843,14.22627,13.90911,13.94936,13.63495,13.25159,12.76571,12.56543,12.23065,12.03453,11.91189,11.69910,11.84367,11.32935,11.12757,10.73604,13.42559,13.18567,13.53298,13.02241
2018,Miranda 33_11kV,07MAY2017,MW,12.49532,11.90085,11.23374,11.76875,12.42630,12.23717,11.62235,10.75093,10.12742,10.17855,9.47100,9.39708,8.99267,8.64939,8.36651,8.07643,7.99009,7.98828,7.71377,7.60611,7.77314,7.77314,7.77314,7.77386,8.34787,8.63353,8.89505,9.01716,9.12103,9.76635,10.27525,10.42245,10.99730,11.47355,12.24059,12.66169,13.58462,14.28537,14.40780,14.41598,14.54230,14.62686,14.52875,14.60889,14.65515,14.95567,14.68589,14.71403,14.92921,14.55413,14.51575,14.27941,14.44266,14.40234,14.28537,14.42768,14.41555,14.54172,14.42668,14.52146,14.56225,14.84452,14.96938,15.01380,15.07158,15.25593,15.53626,16.08896,16.57093,17.32965,17.94277,17.97909,17.54432,16.92494,16.39388,16.13505,15.50181,15.20778,14.98850,14.68991,14.33242,14.06233,13.89234,13.53534,13.08582,12.73841,12.63050,12.14768,11.88514,11.45337,11.08689,10.50720,13.18810,12.87899,13.04569,12.45511
2018,Miranda 33_11kV,08MAY2017,MW,12.15407,11.71544,11.10333,11.50476,12.25126,12.21821,11.71515,10.80244,10.13094,10.51529,9.68270,9.55680,9.13411,8.73570,8.36651,8.02723,7.83248,7.83248,7.83248,7.83248,8.01781,8.40567,8.80637,9.19913,10.25624,11.36240,11.83580,11.89748,12.36386,12.89187,13.39703,13.39795,14.03864,13.90757,14.31843,14.52291,14.53221,14.56722,14.56303,14.47392,14.31504,14.13860,14.23194,14.24312,14.11790,13.96970,13.92567,13.87838,13.91261,13.95902,13.90761,13.72167,13.93827,13.77755,13.93377,14.02966,13.81148,13.92564,13.90671,13.96086,13.88921,13.98442,14.21213,14.46338,14.98545,15.35136,15.79574,16.30255,17.09599,18.26124,18.92097,19.09426,18.80885,18.30593,18.11182,17.82569,17.26360,16.73811,16.54017,16.25134,15.84376,15.58815,15.14056,15.01687,14.37574,13.82551,13.57534,13.00399,12.68443,12.16317,11.69655,11.04760,13.68817,13.61016,13.68326,13.18053
2018,Miranda 33_11kV,09MAY2017,MW,12.69477,12.13571,11.45459,11.83798,12.52515,12.43307,11.85230,11.06413,10.42284,10.68523,10.08707,10.06923,9.50529,8.89682,8.59026,8.33684,8.19284,7.88516,7.78797,7.92099,8.32495,8.72591,9.14350,9.52255,10.26908,11.10701,11.80784,12.00438,12.75936,13.40525,13.69200,13.69200,14.17138,14.02389,14.05128,14.08996,14.55237,14.73176,14.57683,14.57375,14.39798,14.44304,14.16846,14.29113,14.18307,14.06984,13.95902,14.03184,14.05998,13.96473,14.11098,13.97804,14.15186,14.03791,13.98521,13.93877,14.08931,14.13703,14.02916,14.00759,14.09331,14.03430,14.41324,14.62368,15.00202,15.45477,15.60985,16.34159,16.97745,18.02709,18.72116,18.81745,18.41575,17.95010,17.72414,17.45593,16.97888,16.63991,16.14656,15.95332,15.57749,15.22508,14.73367,14.61172,14.41869,13.89108,13.53576,12.89125,12.77163,12.31761,11.87749,11.29085,13.89027,13.47904,13.88234,13.17693
2018,Miranda 33_11kV,10MAY2017,MW,12.56565,12.17362,11.53510,11.87351,12.67992,12.55987,11.82251,10.99110,10.44571,10.69550,10.02352,9.85709,9.28391,8.96371,8.51119,8.23300,8.04624,7.99565,8.06003,8.24784,8.27670,8.82199,9.17559,9.65153,10.33047,11.24561,12.01170,12.01106,12.85508,13.58487,13.96271,14.13898,14.33201,14.36778,14.25558,14.46887,14.56832,14.46341,14.62904,14.45719,14.48090,14.68185,14.53697,14.64109,14.47321,14.20565,14.39257,14.35073,14.24226,14.21308,14.25895,14.33544,14.29589,14.24508,14.31735,14.13956,14.15775,14.40067,14.35449,14.39128,14.30174,14.61377,14.73174,14.85656,15.25675,15.45006,15.86675,16.38004,16.79784,17.97829,18.61613,18.76480,18.36813,17.83052,17.59202,17.33129,16.95517,16.76417,16.40408,16.22718,15.88447,15.51449,15.29734,14.77883,14.38340,13.70920,13.38181,12.97375,12.83035,12.32369,12.00281,11.38615,13.85399,13.44745,13.72131,13.23094
