year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Mitchell Line 66_11kV,01MAY2015,MW,4.96211,4.56689,4.27977,4.02536,3.81700,3.48793,3.40272,3.19085,3.01730,3.01789,2.93284,2.90434,2.80109,2.80093,2.79195,2.76850,2.78894,2.90094,2.93095,3.06670,3.18548,3.22091,3.37254,3.54475,3.77464,4.04545,4.11977,4.26337,4.23180,4.58118,4.82501,4.88987,5.07171,4.99151,4.98155,4.93038,4.74882,4.64989,4.69827,4.64365,4.63486,4.85556,4.72301,4.72203,4.78475,4.60326,4.59559,4.49057,4.62328,4.50402,4.42425,4.45009,4.45165,4.45460,4.39346,4.46889,4.38510,4.20921,4.10033,4.11922,4.09825,4.17738,4.18849,4.14558,4.17008,4.20243,4.29932,4.43995,4.45798,4.61395,4.94562,4.98119,5.02383,5.04276,5.05623,4.99089,4.87733,4.76472,4.64990,4.58297,4.50478,4.31559,4.19662,4.07577,3.98660,3.97715,4.08035,4.28281,4.49620,5.10274,5.24603,5.00164,5.45984,5.71035,5.32022,5.03256
2016,Mitchell Line 66_11kV,02MAY2015,MW,4.70620,4.31919,4.07534,3.80193,3.54430,3.30241,3.16331,3.03098,2.96696,2.88742,2.79226,2.80117,2.75144,2.72069,2.74273,2.70397,2.67898,2.69184,2.67726,2.75297,2.86497,2.88776,2.88869,3.04448,3.06182,3.14349,3.22512,3.26504,3.43368,3.62879,3.78907,4.05449,4.19765,4.32584,4.41624,4.32907,4.30232,4.35815,4.55989,4.54741,4.56981,4.46888,4.28631,4.08940,4.19941,4.11943,3.95458,4.05619,4.06894,4.10225,4.06591,3.94584,3.86650,3.86157,3.65960,3.68372,3.60644,3.61943,3.56456,3.58436,3.67780,3.65375,3.63885,3.69758,3.79588,3.91797,4.00414,4.14489,4.30132,4.57521,4.81802,4.79572,4.86502,4.75454,4.69927,4.70221,4.56076,4.51086,4.36566,4.20385,4.13526,4.05684,3.99704,3.90771,3.78262,3.77600,3.73076,3.56876,3.51565,3.49569,3.52210,3.37424,3.68474,3.52668,3.32493,3.19969
2016,Mitchell Line 66_11kV,03MAY2015,MW,3.13269,3.03830,2.91623,2.86375,2.75817,2.69989,2.68186,2.60342,2.62410,2.57510,2.58464,2.59664,2.51992,2.52549,2.51262,2.50177,2.46288,2.48520,2.50370,2.58098,2.67008,2.72813,2.71070,2.67300,2.76934,2.83843,2.86246,2.91251,2.96077,3.12067,3.24830,3.38079,3.62888,3.71057,3.74803,3.92087,4.05997,4.06474,4.14242,4.22648,4.43627,4.32328,4.43017,4.49361,4.24460,4.19668,4.25520,4.25192,4.15667,4.13477,4.06995,3.92528,3.99550,3.96536,3.91686,3.94038,3.82230,3.80263,3.73923,3.82921,3.90242,3.92246,3.97156,3.89102,3.83796,3.97275,4.02972,4.24301,4.45479,4.69841,5.11856,5.18122,5.11933,5.10572,5.05050,5.06017,4.95265,4.78339,4.57921,4.49429,4.51694,4.32981,4.28206,4.19260,3.98525,3.91053,3.87289,3.77529,3.75325,3.68700,3.55760,3.51300,3.75101,3.60933,3.55339,3.31964
2016,Mitchell Line 66_11kV,04MAY2015,MW,3.26662,3.13913,3.07258,2.89098,2.75967,2.67442,2.59578,2.58684,2.61952,2.59610,2.56232,2.54550,2.59952,2.56878,2.56945,2.60731,2.58287,2.69611,2.65051,2.77766,2.90052,3.00194,3.10329,3.19501,3.42565,3.60427,3.71422,3.90035,3.86962,4.23855,4.61917,4.50832,4.46194,4.46066,4.43756,4.69319,4.70451,4.63751,4.82021,4.74168,4.69742,4.79663,4.73791,4.80393,4.73223,4.82540,4.77747,4.73432,4.73700,4.67955,4.71396,4.51959,4.45414,4.40299,4.42550,4.50632,4.50606,4.48918,4.47891,4.40059,4.29521,4.42451,4.30486,4.28333,4.33982,4.43067,4.50913,4.68429,4.85747,5.01620,5.30144,5.31733,5.18849,5.10094,5.09950,4.87805,4.79110,4.64917,4.64336,4.65573,4.54326,4.51746,4.38921,4.28826,4.13897,4.01659,4.22512,4.46417,4.59357,5.31748,5.37971,5.18194,5.67139,5.92036,5.52671,5.31499
2016,Mitchell Line 66_11kV,05MAY2015,MW,4.98820,4.46364,4.27934,4.02278,3.72586,3.56475,3.41603,3.31374,3.20850,3.10978,3.01978,3.05742,2.99561,2.93388,2.95389,3.02535,3.06703,2.98500,3.02333,3.26066,3.41833,3.53218,3.67348,3.78887,4.02155,4.08591,4.17832,4.40076,4.44439,4.56359,4.65025,4.73077,4.63793,4.60268,4.52189,4.37347,4.24714,4.18759,4.19791,4.18844,4.02165,3.98817,4.15534,4.18566,4.22520,4.23825,4.16924,4.22657,4.19969,4.19727,4.23834,4.11388,4.10261,4.12079,4.08000,4.04424,4.09139,4.14869,4.07367,4.05571,4.01596,4.10408,4.13585,4.15913,4.13611,4.15912,4.19036,4.23228,4.41553,4.62697,4.98438,5.02683,5.19500,5.15532,5.11622,5.03522,4.97783,4.80435,4.74050,4.86842,4.72666,4.57419,4.48478,4.47036,4.28298,4.21635,4.35160,4.46483,4.69623,5.33085,5.35097,5.13431,5.55023,5.69644,5.43642,5.22222
2016,Mitchell Line 66_11kV,06MAY2015,MW,4.93910,4.53589,4.35034,4.15334,3.96107,3.66498,3.57551,3.48783,3.34062,3.29505,3.18114,3.18886,3.20183,3.10322,3.08818,3.09173,3.13387,3.14774,3.25162,3.34263,3.50194,3.58935,3.86873,3.96154,4.20510,4.46095,4.46040,4.55729,4.47140,4.68897,4.93923,4.91442,4.87030,4.73834,4.79356,4.56972,4.56807,4.29202,4.31420,4.29014,4.31169,4.34365,4.37185,4.33286,4.25098,4.27533,4.36720,4.29374,4.30261,4.24352,4.27570,4.27185,4.25563,4.17723,4.22652,4.35306,4.19430,4.14049,4.16247,4.15717,4.15301,4.13929,4.11455,4.18329,4.18424,4.19778,4.39885,4.50958,4.79114,5.10285,5.51181,5.65120,5.73625,5.73141,5.68902,5.74265,5.74324,5.55640,5.49338,5.49931,5.49687,5.36683,5.17840,5.06148,4.87004,4.69142,4.88420,5.00225,5.17536,5.86821,5.79231,5.54698,6.03699,6.46981,6.06884,5.87542
2016,Mitchell Line 66_11kV,07MAY2015,MW,5.50788,5.11093,4.91703,4.60996,4.40295,4.12458,4.03542,3.81501,3.74794,3.65124,3.60553,3.53739,3.51966,3.47331,3.39534,3.33545,3.46510,3.52901,3.62629,3.76217,3.85973,4.09053,4.21536,4.38697,4.67108,4.78984,5.05453,5.33929,5.22455,5.43669,5.51749,5.56157,5.71036,5.57527,5.42127,5.14943,4.99949,4.78753,4.65305,4.56717,4.35355,4.34251,4.25720,4.26163,4.24854,4.38671,4.34889,4.20992,4.21592,4.16750,4.14623,4.07957,4.08770,4.14973,4.08164,4.03168,3.99650,4.05556,4.20364,4.03203,4.02181,4.01414,4.06276,4.12422,4.25794,4.45433,4.44479,4.73849,4.94401,5.11348,5.61603,5.70502,5.78631,5.79197,5.72830,5.76655,5.74414,5.65390,5.68227,5.69718,5.55753,5.55545,5.54086,5.44346,5.29850,5.01700,5.12592,5.26551,5.32095,5.99035,6.04142,5.65199,6.25345,6.52567,6.18491,5.98594
2016,Mitchell Line 66_11kV,08MAY2015,MW,5.56271,5.06257,4.78740,4.51299,4.24262,3.97586,3.87073,3.70775,3.60028,3.60693,3.47772,3.39353,3.43818,3.41090,3.41557,3.37817,3.42185,3.49982,3.49432,3.64737,3.86185,4.00524,4.15731,4.31013,4.64283,4.93420,5.08061,5.43265,5.47145,5.84025,5.98271,6.03668,5.94882,5.87294,5.86214,5.59586,5.40533,5.12359,4.91237,4.77187,4.52238,4.44732,4.44432,4.42478,4.43244,4.39672,4.36374,4.26039,4.26716,4.30718,4.17563,4.18020,4.17158,4.18086,4.22500,4.14315,4.09074,4.02973,3.90797,3.77306,3.65429,3.67605,3.84651,3.87660,4.03870,4.08264,4.31500,4.50175,4.80860,5.07216,5.37907,5.50381,5.64607,5.69730,5.66603,5.48581,5.53940,5.47007,5.32694,5.29888,5.33569,5.25416,5.18815,4.97760,4.86454,4.73914,4.94857,5.08539,5.34053,5.89330,5.88047,5.63595,6.09183,6.36697,6.05828,5.68037
2016,Mitchell Line 66_11kV,09MAY2015,MW,5.37694,4.97834,4.74346,4.60457,4.34014,3.95073,3.79962,3.69334,3.54988,3.42443,3.34303,3.31567,3.33928,3.32607,3.24336,3.28692,3.20665,3.22798,3.34732,3.45572,3.53249,3.60232,3.69518,3.77557,3.86232,3.87105,4.04745,4.26122,4.32428,4.43791,4.67930,4.81285,4.99291,5.09984,5.10862,5.00511,4.81056,4.72330,4.54948,4.46139,4.38753,4.24520,4.16792,4.07569,4.00508,3.89546,3.75369,3.68053,3.73345,3.73196,3.70821,3.65064,3.61307,3.57184,3.68516,3.56043,3.62664,3.58722,3.58268,3.57398,3.62438,3.74131,3.76842,3.78116,3.93150,3.96574,4.20081,4.47841,4.68823,4.94871,5.33912,5.51755,5.58902,5.53628,5.49988,5.56509,5.41410,5.37540,5.25672,5.18306,5.20740,5.23389,5.08799,4.89072,4.80805,4.69676,4.71138,4.59094,4.50660,4.43759,4.37307,4.26367,4.57249,4.30899,4.10239,3.95176
2016,Mitchell Line 66_11kV,10MAY2015,MW,3.94977,3.82132,3.75634,3.69781,3.48442,3.29456,3.20845,3.20962,3.15024,3.17499,3.11454,3.06402,2.99873,3.00070,3.00516,3.05623,2.99324,3.01035,3.00639,3.06566,3.17407,3.23767,3.34221,3.42044,3.59524,3.59405,3.71832,3.85608,4.03370,4.06605,4.28349,4.33327,4.45182,4.59152,4.64972,4.77318,4.63700,4.54688,4.60998,4.54589,4.63635,4.57421,4.34263,4.27523,4.18634,4.07557,4.00501,3.93798,3.83867,4.00476,3.82111,3.75602,3.75328,3.64650,3.50307,3.38846,3.43818,3.44489,3.53796,3.59967,3.60010,3.67686,3.74987,3.90571,4.02002,4.14809,4.27371,4.55309,4.93017,5.33886,5.79939,6.07328,6.13020,6.04262,5.95866,5.89036,5.86392,5.74005,5.50242,5.48487,5.40096,5.22043,5.04980,5.04299,4.85494,4.72975,4.67852,4.47851,4.34604,4.24190,4.13857,4.02940,4.26259,4.06938,3.96974,3.86058
