year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mitchells Flat 66_11kV,01MAY2017,MW,0.50660,0.45512,0.41278,0.41278,0.41278,0.34478,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.28792,0.23118,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.31897,0.41188,0.41278,0.41278,0.41278,0.41278,0.41278,0.41278,0.41278,0.36102,0.31897,0.31897,0.31897,0.31897,0.26962,0.20639,0.20639,0.20639,0.20639,0.20639,0.16718,0.11258,0.11258,0.11258,0.11258,0.16479,0.20639,0.19073,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.16244,0.20639,0.20639,0.20639,0.20639,0.29065,0.30021,0.38308,0.39402,0.42994,0.48784,0.48784,0.58100,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.53761,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.48784,0.63520,0.63794,0.63794,0.63794
2018,Mitchells Flat 66_11kV,02MAY2017,MW,0.63794,0.57844,0.54412,0.47810,0.40036,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.33304,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.32427,0.35649,0.35649,0.38061,0.45031,0.45031,0.45031,0.40382,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.28461,0.26268,0.26268,0.26268,0.18618,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.17810,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.35531,0.35649,0.40917,0.45031,0.50592,0.54412,0.54412,0.54412,0.57987,0.63794,0.63794,0.63406,0.54412,0.54412,0.51270,0.45031,0.45031,0.45031,0.45439,0.54412,0.47033,0.45031,0.45031,0.45031,0.45031,0.61768,0.61918,0.61918,0.61918
2018,Mitchells Flat 66_11kV,03MAY2017,MW,0.60879,0.52536,0.51495,0.43155,0.43155,0.43155,0.35904,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.29430,0.24392,0.24392,0.24392,0.24392,0.27159,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33791,0.45031,0.45031,0.44707,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.33453,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.29709,0.37526,0.29563,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.31170,0.37526,0.39354,0.48784,0.48784,0.54085,0.58165,0.58165,0.61795,0.67546,0.67546,0.67546,0.67546,0.62556,0.58165,0.58165,0.58165,0.58165,0.56369,0.48784,0.49609,0.58165,0.58165,0.48910,0.48784,0.48784,0.48784,0.61419,0.65670,0.65670,0.65670
2018,Mitchells Flat 66_11kV,04MAY2017,MW,0.59741,0.56289,0.56289,0.48541,0.46907,0.40688,0.37526,0.37526,0.37526,0.37526,0.32701,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.31660,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.30361,0.28144,0.28144,0.28144,0.28144,0.22123,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.21590,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.34110,0.37526,0.44738,0.46907,0.51981,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.50422,0.51547,0.73044,0.73175,0.72842,0.61918
2018,Mitchells Flat 66_11kV,05MAY2017,MW,0.61918,0.61679,0.52536,0.52536,0.51646,0.43155,0.43155,0.41948,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.33773,0.40007,0.43155,0.46012,0.52536,0.52536,0.52536,0.52536,0.43586,0.42818,0.33773,0.33773,0.30383,0.24392,0.24392,0.24392,0.24392,0.16805,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.15010,0.22823,0.24392,0.24392,0.24392,0.31845,0.33773,0.40988,0.43155,0.43155,0.46770,0.56151,0.61918,0.61918,0.61918,0.60360,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.50660,0.67386,0.67546,0.67546,0.67546
2018,Mitchells Flat 66_11kV,06MAY2017,MW,0.67546,0.64189,0.58165,0.56394,0.46907,0.46907,0.46907,0.42735,0.37526,0.37526,0.37526,0.37526,0.37526,0.33638,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.28144,0.36358,0.37526,0.37526,0.42868,0.46907,0.46907,0.46907,0.50763,0.56288,0.42194,0.37526,0.45167,0.39528,0.37526,0.37526,0.30410,0.35649,0.29713,0.26268,0.26268,0.26268,0.25919,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.23601,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.28037,0.35649,0.35649,0.36632,0.48588,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.53037,0.43155,0.52055,0.46961,0.43155,0.43155,0.43155,0.43155,0.63588,0.63794,0.56657,0.54412
2018,Mitchells Flat 66_11kV,07MAY2017,MW,0.48469,0.45031,0.45031,0.38205,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.34867,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.30178,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.41434,0.45031,0.45031,0.45031,0.43902,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.30101,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26268,0.26783,0.35649,0.35649,0.35649,0.43655,0.52460,0.56289,0.65257,0.65670,0.65670,0.65670,0.65670,0.65670,0.65670,0.65670,0.59083,0.62640,0.54412,0.54412,0.54412,0.54412,0.54412,0.54412,0.52379,0.45031,0.45031,0.45031,0.45031,0.58020,0.58165,0.58165,0.52457
2018,Mitchells Flat 66_11kV,08MAY2017,MW,0.48784,0.40394,0.39402,0.39402,0.39402,0.39402,0.39402,0.39402,0.39402,0.39402,0.39402,0.39402,0.32094,0.30021,0.30021,0.30021,0.30021,0.30021,0.30021,0.30021,0.30021,0.30021,0.30021,0.37244,0.39402,0.39402,0.46444,0.48784,0.48784,0.48784,0.48784,0.48784,0.43653,0.39402,0.33391,0.30021,0.30021,0.30021,0.30021,0.27087,0.20639,0.20639,0.20639,0.20639,0.20639,0.11823,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.16877,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.16887,0.18588,0.26268,0.26268,0.26268,0.35193,0.37526,0.38886,0.46907,0.51938,0.56289,0.56289,0.65442,0.65670,0.65670,0.65670,0.65670,0.65670,0.63282,0.56289,0.56289,0.56289,0.55447,0.46907,0.46907,0.54227,0.56289,0.56289,0.55770,0.46907,0.46907,0.65511,0.65670,0.65670,0.65670
2018,Mitchells Flat 66_11kV,09MAY2017,MW,0.65670,0.57806,0.56289,0.53077,0.46907,0.46907,0.44895,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.29670,0.28144,0.28144,0.33913,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.37526,0.41875,0.46907,0.46907,0.46907,0.46907,0.44541,0.37526,0.37526,0.35841,0.28144,0.28144,0.25428,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.18763,0.22444,0.28144,0.28144,0.28144,0.30586,0.41481,0.46907,0.48625,0.56289,0.56289,0.56289,0.56289,0.64410,0.56864,0.61316,0.65670,0.62781,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.56289,0.55547,0.46907,0.46907,0.46907,0.68673,0.75052,0.75052,0.64391
2018,Mitchells Flat 66_11kV,10MAY2017,MW,0.63794,0.59383,0.54412,0.54412,0.54412,0.53029,0.45031,0.45031,0.37048,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.35649,0.41257,0.40628,0.47280,0.48784,0.48784,0.48784,0.48784,0.48784,0.40821,0.39402,0.35135,0.30021,0.30021,0.30021,0.27491,0.20639,0.20639,0.20639,0.20639,0.20639,0.20639,0.13263,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.11258,0.18576,0.20639,0.20639,0.20639,0.20639,0.20639,0.29290,0.30021,0.30021,0.30021,0.38288,0.45226,0.49064,0.58165,0.59947,0.67546,0.67546,0.67546,0.67546,0.67546,0.66590,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.58165,0.51028,0.76176,0.76928,0.67906,0.67546
