year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mona Vale 33_11kV,01MAY2017,MW,11.76383,11.34238,10.68273,10.86596,12.09365,11.85544,11.36070,11.04920,10.51781,10.24296,10.11469,9.93145,9.82151,9.67492,9.58330,9.38174,9.58330,9.40007,9.38174,9.72989,9.85816,10.38955,11.01255,11.74550,13.04649,13.83441,14.76892,15.86834,15.94163,16.78452,17.29759,17.60909,17.97557,17.92060,17.77401,17.82898,17.97557,17.62742,17.71903,17.82898,18.12216,17.62742,16.96776,17.15100,17.00441,16.72955,17.02273,16.96776,17.20597,16.83950,17.00441,17.42585,17.20597,16.98609,17.22429,17.29759,17.09603,16.89447,17.15100,16.91279,16.98609,17.13268,17.37088,17.42585,17.18765,17.42585,17.79233,17.95724,18.21377,19.20326,20.04615,20.74245,20.54089,20.30268,20.08279,19.88123,19.25823,18.69019,18.21377,17.59077,17.31591,16.76620,17.22429,16.49135,16.08822,15.42857,14.82389,14.12759,14.25585,14.27418,13.35799,12.93654,13.11978,12.38683,12.47845,11.96539
2018,Mona Vale 33_11kV,02MAY2017,MW,11.74550,11.47065,10.97591,10.97591,12.18527,11.74550,11.43400,10.79267,10.55446,10.13302,10.05972,9.85816,9.76654,9.61995,9.51001,9.32677,9.34510,9.36342,9.16186,9.63828,10.02307,10.35290,11.08585,11.80047,12.84493,13.63285,14.80556,15.66678,15.81337,16.67458,17.16932,17.04106,17.44418,17.57244,17.33424,17.15100,17.00441,17.20597,16.93111,16.98609,16.87614,16.80285,16.71123,16.54632,16.60129,16.50967,16.58296,16.63793,16.56464,16.63793,16.69291,16.69291,17.35256,17.37088,17.00441,16.83950,17.22429,16.91279,16.74788,16.60129,16.39973,16.45470,16.76620,16.49135,16.76620,16.58296,16.91279,17.37088,17.86562,18.72684,19.64302,20.26603,20.46759,20.19274,19.93620,19.56973,18.87343,18.54360,18.50695,18.14048,17.46250,17.16932,17.57244,16.80285,15.92331,15.48354,15.17204,14.60400,14.86053,14.53071,13.46793,13.06481,13.22972,12.44180,12.51510,12.22192
2018,Mona Vale 33_11kV,03MAY2017,MW,11.89209,11.25076,10.92094,11.04920,11.94706,11.81880,11.37903,10.79267,10.20631,10.07804,9.98643,9.80319,9.65660,9.47336,9.60163,9.58330,9.47336,9.25348,9.32677,9.58330,9.96810,10.37122,11.12250,11.72718,12.49677,13.87105,15.13539,15.94163,16.47302,16.93111,17.33424,17.66406,18.01221,18.39701,18.61690,18.94672,19.05667,19.03834,19.05667,18.94672,18.87343,18.91008,18.72684,18.80013,18.72684,18.72684,18.81846,18.87343,18.56193,18.63522,18.63522,18.69019,18.28707,17.53580,17.49915,17.38921,17.24262,17.44418,17.70071,17.46250,17.31591,17.26094,17.48083,17.48083,17.53580,17.92060,18.41534,19.18493,19.47811,20.30268,21.18222,21.71360,21.95181,21.76858,21.78690,21.43875,20.92568,20.37597,19.84459,19.25823,18.74516,18.28707,18.45198,17.82898,17.27926,16.43637,15.88666,15.09874,15.61181,15.24533,14.73227,13.96267,13.92602,12.89990,13.08313,12.69834
2018,Mona Vale 33_11kV,04MAY2017,MW,12.33186,12.05701,11.72718,11.59891,12.46013,12.13030,11.61724,11.25076,11.04920,10.59111,10.51781,10.20631,10.02307,9.74822,9.69325,9.63828,9.56498,9.60163,9.74822,10.22463,10.31625,10.64608,11.28741,11.98371,13.19308,14.34747,15.26366,16.50967,17.04106,17.62742,18.08551,18.70851,19.25823,18.94672,18.56193,18.21377,18.39701,17.99389,17.90227,17.64574,17.33424,17.26094,17.62742,17.55412,17.40753,17.13268,17.15100,17.38921,17.38921,17.37088,17.37088,17.46250,17.37088,17.04106,16.82117,17.13268,17.46250,17.16932,16.89447,16.78452,16.49135,16.34476,16.52799,17.04106,17.26094,17.42585,17.86562,18.30539,18.36036,19.38649,20.10112,20.76077,20.96233,21.05395,20.92568,20.92568,20.11944,19.64302,19.20326,18.72684,18.17713,18.12216,18.43366,17.57244,16.85782,16.05158,15.61181,14.91551,15.20868,15.06210,14.25585,13.72446,13.76111,12.93654,13.10146,12.46013
2018,Mona Vale 33_11kV,05MAY2017,MW,12.13030,11.76383,11.23244,11.19579,12.35019,11.94706,11.54394,11.10417,10.82932,10.38955,10.09637,10.05972,9.98643,9.65660,9.58330,9.43671,9.41839,9.47336,9.49169,9.65660,10.22463,10.71937,11.08585,12.00203,13.08313,14.23753,15.17204,16.16152,16.56464,17.24262,17.81065,18.06718,18.26875,18.14048,18.04886,17.99389,18.19545,17.92060,17.70071,17.73736,17.49915,17.24262,16.98609,17.00441,16.91279,16.65626,16.82117,16.74788,16.78452,16.56464,16.49135,16.41805,16.52799,16.43637,16.28978,16.39973,16.38140,15.99660,16.14319,16.17984,16.21649,16.23481,16.25314,16.32643,16.34476,16.38140,16.76620,17.09603,17.26094,18.34204,19.22158,19.49643,19.45979,19.31320,19.03834,19.07499,18.37869,17.92060,17.48083,17.22429,17.07770,16.80285,17.16932,16.54632,15.94163,15.59348,15.19036,14.54903,14.89718,15.04377,14.07261,13.65117,13.77944,12.82660,12.78995,12.35019
2018,Mona Vale 33_11kV,06MAY2017,MW,12.02036,11.78215,11.15914,11.30573,12.25857,12.02036,11.37903,10.82932,10.62776,10.38955,10.04140,9.85816,9.67492,9.61995,9.52833,9.38174,9.45504,9.49169,9.51001,9.63828,9.63828,9.74822,10.07804,10.26128,10.60943,11.04920,11.63556,12.29521,12.91822,13.63285,14.43909,14.91551,15.39192,15.48354,15.81337,15.55684,15.64845,15.74007,15.95996,15.79504,15.68510,15.46522,15.20868,15.37360,15.50186,15.04377,14.65897,14.45741,14.43909,14.40244,14.31082,14.25585,14.21920,14.09094,14.36579,14.43909,14.09094,13.94435,14.03597,13.81608,13.79776,14.09094,14.09094,14.32915,,,,,,,,18.21377,18.39701,18.19545,17.84730,17.73736,17.24262,16.58296,16.45470,16.08822,15.70343,15.64845,15.95996,15.28198,14.78724,14.32915,14.03597,13.61452,13.98100,14.12759,13.39464,13.19308,13.32134,12.31354,12.53342,12.20360
2018,Mona Vale 33_11kV,07MAY2017,MW,11.85544,11.58059,11.08585,11.19579,12.24024,12.05701,11.41568,10.99423,10.86596,10.35290,10.00475,9.98643,9.87648,9.60163,9.43671,9.18018,9.18018,9.18018,9.19851,9.07024,9.10689,9.27180,9.45504,9.47336,9.76654,10.35290,10.55446,10.75602,11.23244,11.83712,12.40516,12.69834,13.39464,13.83441,14.16423,14.21920,14.56735,14.84221,14.78724,14.34747,14.21920,14.23753,14.14591,14.14591,13.88938,13.68782,13.55955,13.50458,13.44961,13.08313,12.99152,12.97319,12.93654,13.04649,12.95487,12.86325,12.80828,12.86325,12.99152,13.21140,13.22972,13.39464,13.68782,13.87105,14.45741,14.64065,14.95215,15.81337,16.49135,17.66406,18.87343,19.47811,19.71632,19.53308,19.55141,19.22158,18.85510,18.23210,17.75568,17.53580,17.00441,17.07770,17.33424,16.74788,15.92331,15.26366,14.89718,14.38412,14.42077,14.31082,13.59620,13.19308,13.21140,12.36851,12.57007,12.20360
2018,Mona Vale 33_11kV,08MAY2017,MW,11.89209,11.34238,11.04920,11.25076,12.29521,11.92874,11.43400,11.06752,10.79267,10.42619,10.20631,10.04140,9.91313,9.83984,9.67492,9.56498,9.61995,9.63828,9.69325,9.85816,10.31625,10.75602,11.39735,12.24024,13.44961,14.84221,16.08822,17.15100,17.46250,18.04886,18.83678,19.03834,18.94672,18.83678,18.74516,18.67187,18.87343,18.80013,18.65354,18.12216,17.95724,17.77401,17.73736,17.44418,17.20597,17.18765,16.93111,16.98609,17.26094,17.31591,17.07770,17.02273,17.51747,16.69291,16.96776,16.72955,16.67458,16.67458,16.72955,16.78452,16.83950,16.85782,16.87614,17.15100,17.24262,17.60909,17.82898,18.56193,19.25823,20.55921,21.76858,22.29996,22.57482,22.42823,22.13505,21.84187,21.71360,21.12725,20.61418,19.89956,19.27655,19.05667,19.16661,18.10383,17.49915,16.82117,16.39973,15.41025,15.53851,15.33695,14.49406,13.99932,13.96267,13.13810,13.26637,12.69834
2018,Mona Vale 33_11kV,09MAY2017,MW,12.22192,11.74550,11.37903,11.56227,12.62504,12.13030,11.80047,11.32406,11.14082,10.71937,10.33458,10.31625,10.20631,10.15134,9.94978,9.96810,10.00475,9.80319,9.87648,10.18799,10.49949,10.95758,11.67221,12.71666,13.94435,15.02545,16.19817,17.38921,17.57244,17.93892,18.65354,18.80013,18.85510,18.56193,18.67187,18.87343,18.67187,18.48863,18.12216,17.90227,17.82898,17.38921,17.26094,17.00441,16.82117,16.85782,16.76620,16.82117,16.83950,16.87614,16.82117,16.91279,17.07770,16.67458,16.45470,16.63793,16.50967,16.38140,16.56464,16.65626,16.82117,16.74788,17.11435,17.38921,17.51747,18.04886,18.36036,18.85510,19.20326,20.39430,21.75025,22.35493,22.64811,22.46488,22.15337,22.02511,21.07227,20.48592,19.91788,19.49643,19.03834,18.81846,19.07499,18.23210,17.51747,16.69291,16.27146,15.42857,15.77672,15.41025,14.56735,14.10926,14.09094,13.22972,13.28469,12.80828
2018,Mona Vale 33_11kV,10MAY2017,MW,12.55175,11.96539,11.43400,11.59891,12.64336,12.09365,11.74550,11.23244,10.86596,10.48117,10.38955,10.48117,10.24296,10.16966,10.13302,10.07804,10.04140,9.98643,10.09637,10.24296,10.64608,10.95758,11.70886,12.62504,13.61452,14.80556,16.21649,17.15100,18.04886,18.65354,19.12996,19.55141,19.67967,19.42314,19.34984,18.85510,18.69019,18.36036,17.97557,17.90227,17.62742,17.40753,17.38921,17.46250,17.22429,17.18765,17.09603,17.16932,16.87614,16.78452,17.02273,16.96776,16.89447,16.45470,16.49135,16.25314,16.41805,16.74788,16.60129,16.69291,16.54632,16.54632,16.60129,16.71123,17.18765,17.48083,17.90227,18.32372,18.59857,19.80794,21.01730,21.47540,21.64031,21.62199,21.64031,21.38378,21.09060,20.28435,19.95453,19.42314,18.98337,18.63522,18.89175,18.14048,17.24262,16.49135,16.08822,15.11707,15.46522,15.30030,14.47574,13.72446,13.66949,13.17475,13.17475,12.53342
