year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Moonan 33_11kV,01MAY2014,MW,0.50355,0.49492,0.50569,0.45674,0.43678,0.42616,0.42262,0.42537,0.40802,0.40507,0.41267,0.43545,0.40624,0.40428,0.41390,0.43847,0.44184,0.45309,0.44315,0.44258,0.44592,0.45537,0.47572,0.46787,0.50098,0.59753,0.62207,0.57977,0.53021,0.53801,0.52200,0.52643,0.54592,0.52986,0.48907,0.45302,0.44157,0.44381,0.50534,0.51200,0.51488,0.48316,0.44275,0.45646,0.45761,0.46261,0.47512,0.48311,0.47378,0.47677,0.45845,0.44929,0.46563,0.47043,0.49483,0.46348,0.46929,0.45357,0.45411,0.46783,0.41718,0.40673,0.39996,0.38981,0.41010,0.44558,0.49798,0.49392,0.51608,0.51309,0.58089,0.62515,0.56063,0.54899,0.55916,0.53558,0.56046,0.55317,0.56593,0.56552,0.54406,0.52316,0.51716,0.52344,0.53723,0.50551,0.58644,0.57774,0.55433,0.55901,0.55740,0.52320,0.60313,0.60690,0.57882,0.55128
2015,Moonan 33_11kV,02MAY2014,MW,0.53002,0.50205,0.50305,0.47635,0.44907,0.44137,0.44542,0.43467,0.44756,0.45717,0.44180,0.42877,0.45905,0.45859,0.48113,0.46447,0.44233,0.44310,0.45664,0.45721,0.44994,0.47481,0.47106,0.50229,0.51730,0.55307,0.58770,0.62827,0.60381,0.58604,0.61707,0.62323,0.64117,0.58054,0.53310,0.50923,0.56189,0.55849,0.51926,0.50175,0.52328,0.49598,0.46373,0.48108,0.48525,0.46800,0.47849,0.46245,0.49181,0.48820,0.47549,0.49405,0.47672,0.47434,0.48684,0.49304,0.47486,0.41844,0.44137,0.44887,0.41850,0.38142,0.38091,0.39240,0.36595,0.39684,0.39088,0.41567,0.42816,0.44287,0.47735,0.50917,0.54510,0.53713,0.53140,0.58503,0.63195,0.57634,0.59612,0.60381,0.60779,0.60366,0.60309,0.59886,0.58230,0.59349,0.64227,0.64862,0.61919,0.58786,0.56078,0.57836,0.65287,0.64805,0.62721,0.60090
2015,Moonan 33_11kV,03MAY2014,MW,0.56483,0.53144,0.56383,0.50885,0.51372,0.52440,0.50184,0.49271,0.48615,0.48979,0.48901,0.47559,0.47967,0.48780,0.47562,0.49794,0.50028,0.50157,0.50752,0.46251,0.45292,0.47072,0.47258,0.48723,0.50262,0.48072,0.50642,0.49292,0.50500,0.55028,0.56682,0.55586,0.56054,0.57558,0.57571,0.56892,0.60928,0.59505,0.57633,0.57172,0.55470,0.54998,0.54737,0.53914,0.56032,0.56155,0.54297,0.54278,0.52553,0.55323,0.56863,0.58216,0.56005,0.57988,0.56222,0.56127,0.54157,0.54605,0.53127,0.53286,0.53619,0.54144,0.53278,0.55080,0.57348,0.59492,0.60092,0.61389,0.60795,0.60808,0.66930,0.75452,0.80202,0.79580,0.74135,0.73370,0.74451,0.81304,0.80261,0.79535,0.75933,0.75843,0.73824,0.75478,0.70806,0.72494,0.82137,0.74755,0.73224,0.74693,0.73634,0.70661,0.79464,0.74241,0.69977,0.69162
2015,Moonan 33_11kV,04MAY2014,MW,0.69057,0.67927,0.63446,0.61247,0.61168,0.59874,0.60934,0.62287,0.60821,0.58887,0.57359,0.57790,0.57718,0.58817,0.59795,0.59519,0.58616,0.58846,0.57135,0.57425,0.58399,0.59769,0.57835,0.58050,0.57721,0.59302,0.59286,0.58544,0.62045,0.64328,0.67069,0.67439,0.72911,0.73308,0.71877,0.72197,0.73927,0.72255,0.70871,0.72977,0.71788,0.69908,0.72520,0.69981,0.69601,0.70162,0.71635,0.70314,0.69440,0.65815,0.66187,0.67901,0.61961,0.61497,0.62412,0.62782,0.64318,0.63586,0.62107,0.62404,0.61083,0.62003,0.59468,0.62528,0.67863,0.63324,0.64039,0.65786,0.64327,0.68023,0.74912,0.75082,0.72747,0.73192,0.81282,0.82291,0.80783,0.79142,0.81381,0.79640,0.76277,0.75988,0.75389,0.76076,0.77119,0.76051,0.83495,0.83977,0.83072,0.83577,0.83435,0.81793,0.86867,0.83230,0.77796,0.77278
2015,Moonan 33_11kV,05MAY2014,MW,0.74562,0.72066,0.63491,0.63031,0.61631,0.59078,0.59818,0.61278,0.61421,0.62326,0.59931,0.58935,0.58568,0.60465,0.61222,0.60623,0.63271,0.62393,0.63495,0.63225,0.65117,0.66788,0.67671,0.68414,0.71031,0.76665,0.76970,0.78760,0.75752,0.75888,0.73733,0.72005,0.72893,0.72241,0.70224,0.69168,0.71840,0.71426,0.68019,0.67316,0.64751,0.61441,0.60266,0.61607,0.64465,0.64055,0.62383,0.60068,0.58066,0.57802,0.56000,0.55021,0.54330,0.52612,0.51183,0.51746,0.53435,0.52456,0.54618,0.52182,0.53683,0.53218,0.53850,0.52565,0.53050,0.52385,0.51343,0.57155,0.57450,0.59362,0.61879,0.65148,0.65823,0.65153,0.65539,0.67776,0.70622,0.70439,0.72836,0.70705,0.67490,0.65873,0.65318,0.65384,0.66450,0.68338,0.80801,0.76378,0.72520,0.71323,0.69779,0.68010,0.78713,0.77038,0.73839,0.70049
2015,Moonan 33_11kV,06MAY2014,MW,0.69073,0.69986,0.67419,0.67956,0.65379,0.63412,0.64613,0.65027,0.60412,0.60262,0.58510,0.59422,0.58700,0.60268,0.57620,0.57990,0.61175,0.61862,0.63496,0.61799,0.61852,0.62288,0.65001,0.66042,0.68356,0.73371,0.77608,0.79185,0.77423,0.76007,0.74989,0.71612,0.71525,0.73547,0.75653,0.74026,0.72394,0.73430,0.70487,0.64179,0.61036,0.60517,0.60788,0.61097,0.59837,0.57664,0.53752,0.54792,0.54680,0.53831,0.53894,0.54583,0.53885,0.54669,0.52205,0.50281,0.50622,0.49466,0.49899,0.49792,0.50465,0.52052,0.51660,0.52053,0.52670,0.51684,0.54291,0.56652,0.58275,0.62159,0.63114,0.67643,0.71180,0.69305,0.68102,0.70891,0.71227,0.69426,0.69845,0.69921,0.69355,0.67850,0.66558,0.65122,0.66237,0.65339,0.75653,0.76214,0.75372,0.73296,0.72362,0.67412,0.78131,0.79193,0.76076,0.76214
2015,Moonan 33_11kV,07MAY2014,MW,0.72840,0.71007,0.70557,0.69774,0.64916,0.64645,0.63302,0.63151,0.61513,0.61172,0.61059,0.62025,0.59366,0.60369,0.60559,0.61392,0.61599,0.59851,0.61835,0.58926,0.58667,0.58537,0.61028,0.64961,0.67307,0.72360,0.72670,0.72027,0.73301,0.71585,0.72056,0.73571,0.73711,0.72319,0.68788,0.68581,0.66743,0.61388,0.62069,0.60537,0.58918,0.56443,0.55675,0.56251,0.57200,0.55073,0.54140,0.54045,0.53556,0.52186,0.51313,0.54526,0.54877,0.53024,0.51175,0.50733,0.47524,0.47256,0.49093,0.48640,0.49685,0.48927,0.50038,0.49774,0.50446,0.49319,0.50695,0.54751,0.51974,0.54590,0.60155,0.62603,0.62655,0.64689,0.64722,0.64321,0.66057,0.64826,0.64733,0.64310,0.62666,0.63207,0.63649,0.64634,0.65731,0.66635,0.74900,0.74040,0.70646,0.67271,0.65647,0.67518,0.76206,0.75892,0.74142,0.69817
2015,Moonan 33_11kV,08MAY2014,MW,0.69461,0.66957,0.66278,0.65699,0.62683,0.61736,0.60848,0.58938,0.60467,0.60787,0.61082,0.60210,0.60392,0.59373,0.59630,0.60192,0.60665,0.62157,0.65855,0.62047,0.62543,0.63420,0.65397,0.65685,0.66894,0.70987,0.74616,0.75055,0.69606,0.71147,0.70987,0.72687,0.75125,0.71863,0.69295,0.65177,0.61169,0.60061,0.59373,0.57662,0.52153,0.50238,0.50646,0.50014,0.54218,0.57672,0.62396,0.61490,0.64000,0.65671,0.65101,0.59250,0.61152,0.53822,0.52550,0.52520,0.51596,0.52080,0.52080,0.48554,0.47693,0.50308,0.48189,0.48107,0.46518,0.46070,0.46300,0.51783,0.52536,0.53908,0.59593,0.64270,0.63007,0.62943,0.63734,0.62366,0.66102,0.64754,0.63201,0.61697,0.65506,0.65983,0.62289,0.61305,0.62745,0.63133,0.71615,0.70981,0.69224,0.67293,0.67196,0.64120,0.72137,0.71852,0.69435,0.67164
2015,Moonan 33_11kV,09MAY2014,MW,0.65112,0.63165,0.61775,0.60186,0.58160,0.56568,0.55318,0.56357,0.55170,0.53837,0.54484,0.52880,0.52812,0.53352,0.53056,0.52455,0.52444,0.50054,0.53017,0.53886,0.51954,0.51862,0.52881,0.55671,0.56059,0.59311,0.62713,0.62457,0.63382,0.65359,0.61760,0.61048,0.59765,0.56793,0.54951,0.53959,0.51620,0.51940,0.52498,0.51624,0.50155,0.46992,0.47837,0.47096,0.44943,0.50669,0.51930,0.52200,0.52617,0.55141,0.53092,0.53886,0.48326,0.45965,0.44602,0.46493,0.46296,0.45227,0.46316,0.45050,0.45647,0.42893,0.44427,0.44115,0.44256,0.46127,0.45542,0.46534,0.45670,0.46026,0.52264,0.65086,0.71016,0.69207,0.70015,0.68218,0.70061,0.70801,0.69818,0.72880,0.71495,0.71571,0.73749,0.76463,0.74820,0.74521,0.81929,0.76915,0.73954,0.73280,0.70875,0.70230,0.80673,0.79637,0.75597,0.72323
2015,Moonan 33_11kV,10MAY2014,MW,0.68906,0.64696,0.62746,0.58845,0.59451,0.58490,0.57679,0.53486,0.50409,0.49419,0.49113,0.49703,0.50195,0.49440,0.52033,0.48953,0.47227,0.47730,0.51533,0.47937,0.49227,0.50578,0.51239,0.50891,0.50658,0.50411,0.53883,0.54309,0.57986,0.61115,0.60641,0.60263,0.69391,0.67406,0.66917,0.62519,0.55945,0.54927,0.56747,0.58678,0.55451,0.53971,0.51516,0.51356,0.50312,0.50045,0.50451,0.48484,0.49487,0.48303,0.43924,0.43378,0.41551,0.43343,0.44243,0.43048,0.42626,0.45523,0.46628,0.45121,0.44246,0.44780,0.43985,0.44915,0.45800,0.46489,0.50962,0.49471,0.46112,0.47629,0.55129,0.57555,0.64530,0.64027,0.67411,0.68968,0.66785,0.64611,0.63788,0.63512,0.61099,0.61589,0.62908,0.63093,0.63641,0.64143,0.71730,0.65350,0.59781,0.58877,0.56200,0.54804,0.61451,0.55819,0.51564,0.51703
