year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Morisset 132_11kV,01MAY2017,MW,8.85756,8.18126,7.88896,8.33931,7.42258,6.76813,6.48150,6.54267,6.21171,5.90225,5.69832,5.61877,5.54307,5.52627,5.47705,5.43321,5.43811,5.46921,5.59770,5.93499,6.11907,6.38501,6.59822,6.92207,7.41683,7.76447,8.32328,8.32294,8.41020,8.84844,9.22963,9.13534,9.05624,8.81548,8.41912,8.11133,7.80311,7.92540,8.13989,7.99448,7.73401,7.14647,7.48264,7.14512,7.35988,6.86036,6.63984,7.40055,7.45096,7.33798,6.60101,6.39683,6.68434,7.61870,7.29865,7.48194,7.12534,6.83227,7.11231,7.24524,7.38411,7.51831,7.71397,8.07778,8.26862,8.71359,9.15783,9.47781,9.85254,10.71897,11.24683,11.51445,11.74898,11.58538,11.29156,11.00399,10.79709,10.66945,10.47880,10.08998,9.99339,9.82286,9.41118,9.15384,8.97318,8.71954,8.73697,8.10971,9.30525,9.12476,8.55881,8.24892,9.19109,8.71950,8.98168,9.72485
2018,Morisset 132_11kV,02MAY2017,MW,10.51409,9.81604,9.39004,9.47349,9.00796,8.36030,7.92948,8.12093,7.43853,6.90741,6.49798,6.27596,6.01666,5.78582,5.59387,5.61993,5.64973,5.81013,5.85400,6.00764,6.10969,6.24012,6.51620,6.92613,7.48375,7.80929,8.23457,8.32634,8.23685,8.58065,8.70665,8.22667,8.12856,8.07301,7.81085,7.62880,7.36588,6.89501,6.67731,6.61941,6.36356,6.08310,6.11726,6.07591,6.11006,6.00774,5.89493,6.00022,6.02457,5.97143,6.05313,5.97724,6.10191,6.45067,7.04172,7.06115,6.63680,6.75489,7.15069,7.23383,7.28390,7.34367,7.59560,8.08215,8.42631,8.73189,8.77784,9.29515,9.50950,10.29729,11.13936,11.13282,11.26773,11.25793,10.92266,10.63803,10.34746,10.53567,10.16712,9.94738,9.89808,9.65197,9.36649,9.28895,8.86809,8.51844,8.64817,8.16173,9.54606,9.19432,8.54806,8.03944,9.16281,8.78048,9.09223,9.68387
2018,Morisset 132_11kV,03MAY2017,MW,10.46325,9.81878,9.52486,9.45895,8.91380,8.25094,7.77059,8.00264,7.36195,6.81021,6.39524,6.06329,5.80058,5.70854,5.48227,5.38559,5.60025,5.68408,5.85120,6.01020,6.20293,6.40031,6.70335,6.97949,7.53649,7.75637,8.54123,8.79477,8.92113,9.14563,9.20752,9.07854,8.89818,9.00267,8.89391,8.73558,8.77199,8.59064,8.62939,8.24548,8.04160,7.59452,7.80336,7.82225,8.04125,8.22193,7.88065,7.60263,8.13268,8.34727,8.34933,7.97604,8.11953,8.22839,7.82798,7.70352,7.97153,8.09207,8.11797,8.11674,8.19095,8.66072,8.68959,8.77743,8.94156,9.25874,9.66006,10.17962,10.72122,11.47271,12.03325,12.08371,12.16464,12.12552,12.06771,11.75733,11.43012,11.46128,11.28848,11.01818,10.69988,10.41311,10.02836,9.81288,9.37508,9.01827,9.21999,8.67369,9.95286,9.59165,8.99148,8.70963,9.63202,9.13457,9.41540,10.13315
2018,Morisset 132_11kV,04MAY2017,MW,10.89405,10.24696,9.77486,9.91560,9.49819,8.80387,8.29946,8.52118,7.91878,7.26621,6.77021,6.42399,6.16623,6.05868,5.84367,5.89303,5.83624,5.89071,5.97177,6.02201,6.20962,6.53983,6.89945,7.16301,7.61299,8.14366,8.66741,8.90852,8.95713,9.48435,9.72229,9.59156,9.67794,9.53491,9.14858,8.54890,8.26627,8.04964,7.77949,8.08744,8.23988,8.00827,7.84620,7.87706,7.94210,8.01526,8.44451,8.50829,8.45754,8.46769,8.62035,8.20528,8.37671,8.23087,7.71558,7.57779,7.39309,8.00191,8.24720,8.11894,8.11539,8.30510,8.54128,8.81382,9.07705,9.39348,9.76367,10.25876,10.77521,11.42009,11.83997,11.91155,11.96226,12.04012,11.82306,11.50294,11.37082,11.38746,11.03056,10.80144,10.59270,10.38330,10.18557,9.85638,9.56467,9.29819,9.25933,8.58199,9.92069,9.64217,9.12184,8.75399,9.63926,9.36376,9.66915,10.26113
2018,Morisset 132_11kV,05MAY2017,MW,11.07424,10.49841,10.08843,10.03802,9.53630,8.86574,8.33479,8.53378,7.81688,7.35424,6.92317,6.51885,6.25898,6.11317,6.12218,5.89104,5.92443,6.06518,6.08984,6.17062,6.40844,6.70573,6.89688,7.41758,7.86709,8.34218,8.87448,8.86525,9.61966,9.12501,9.60558,9.42224,9.17670,8.84689,8.51899,8.17202,8.21968,7.80853,7.71941,7.64697,7.35408,7.33331,6.97103,6.81662,6.88591,6.72429,6.76924,6.71205,6.70071,6.54224,6.66822,6.48460,6.45956,6.59559,6.86054,6.90074,6.57152,6.82787,7.34323,7.16336,7.48204,7.49341,7.51049,7.63602,7.84331,7.86251,8.21267,8.59563,9.04218,9.59983,10.10038,10.31123,10.34798,10.33278,10.25553,10.11734,10.08757,10.86977,10.98714,10.75237,10.51207,10.22741,9.90285,9.78459,9.61942,9.31326,9.73047,9.50427,10.94700,10.68777,10.00747,9.65877,10.64232,10.31185,10.59637,11.19410
2018,Morisset 132_11kV,06MAY2017,MW,11.81770,11.27550,10.90331,11.17628,10.42727,9.56421,8.88333,8.38536,8.76135,8.48628,7.94385,7.53980,7.19231,6.99602,6.71356,6.56986,6.63378,6.64719,6.64262,6.56479,6.50662,6.83258,6.91295,7.20746,7.54034,7.98232,8.59002,8.99509,9.36700,9.90765,9.97595,10.11727,10.45526,10.75469,10.89215,10.62782,10.13399,10.00635,10.04665,9.64911,9.35024,8.80496,8.77018,8.42124,8.27690,8.56132,8.15696,7.96281,7.58587,7.47552,7.31980,7.43350,7.43901,7.07037,6.87340,6.57792,6.55833,6.86600,6.80013,6.98099,7.08573,7.38801,7.39498,7.67069,8.03826,8.31494,8.57348,8.53042,8.49538,9.06486,9.70228,9.83886,9.88320,9.86115,9.76232,9.55708,9.33404,9.20891,8.75012,8.64900,8.42680,8.22453,7.99526,7.85242,7.68065,7.56844,8.72304,8.20884,7.97704,7.80853,7.91964,7.64792,9.10629,8.62351,8.07001,8.38545
2018,Morisset 132_11kV,07MAY2017,MW,8.95008,8.05576,7.86957,8.35729,7.48711,6.81423,6.43060,6.11873,6.28974,5.95451,5.77640,5.59570,5.40330,5.48829,5.39647,5.31290,5.39380,5.45155,5.43165,5.56791,5.66093,5.81866,5.90386,5.98129,6.12548,6.25055,6.44051,6.55229,6.87265,7.23713,7.64370,7.77882,8.02084,8.07454,8.08637,7.91698,7.83026,7.65270,7.90135,7.70737,7.42488,7.34371,7.06678,6.98203,6.78925,6.55254,6.55372,6.46243,6.35567,6.39202,6.26976,6.13793,6.17836,6.17113,6.15598,6.25268,6.28503,6.41967,6.53027,6.60112,6.78897,6.97479,7.15162,7.49165,7.72740,8.17952,8.49635,8.70695,9.46994,10.20426,10.52080,10.74062,11.07786,10.92758,10.80242,10.64959,10.49101,10.33971,10.01834,9.87412,9.65650,9.49305,9.25611,9.08291,8.69135,8.33194,9.62014,9.19297,8.85954,8.38165,8.33352,7.97030,9.44112,8.89770,8.33889,8.62951
2018,Morisset 132_11kV,08MAY2017,MW,9.12309,8.35323,8.36269,8.78470,7.92514,7.32208,6.93871,6.97615,6.57751,6.30280,6.14849,5.98865,5.85946,5.73443,5.71403,5.79508,5.72673,5.88536,6.09650,6.28819,6.57021,6.81864,7.20379,7.47781,7.95918,8.63878,9.19155,9.14302,9.25107,9.55601,9.77882,9.61789,9.37193,9.05133,8.82629,8.77456,8.53443,8.50824,8.30927,8.17965,8.08918,7.95489,7.78903,7.69769,7.60448,7.87111,7.77468,7.44056,7.37418,7.22226,7.11480,7.10851,7.24969,7.45591,7.61494,7.33597,7.25324,7.70865,7.80725,7.75152,7.65826,7.66269,7.85804,8.46359,9.08393,9.47682,9.65942,10.18686,10.82314,11.90082,12.41450,12.55997,12.73356,12.84221,12.60813,12.22827,12.01134,11.97251,11.52271,11.48135,11.35021,11.00853,10.70447,10.20090,9.91662,9.37417,9.53188,9.11137,10.33217,9.94643,9.35397,8.94193,9.83012,9.53778,9.78361,10.33390
2018,Morisset 132_11kV,09MAY2017,MW,11.24198,10.62103,10.30853,10.27022,9.74323,9.11127,8.67546,8.95493,8.29245,7.70977,7.36695,6.85062,6.49897,6.25354,6.04396,5.84398,5.89928,5.97864,6.06915,6.34540,6.60933,6.79325,7.19633,7.59021,8.35038,9.10789,9.70316,9.80980,9.91293,10.44167,10.34436,10.29577,9.94630,9.59482,9.27713,9.15519,9.31774,9.04808,8.81997,8.60709,8.43919,8.32487,8.07589,8.02758,7.83026,7.80088,7.11244,7.07310,7.05214,6.95626,6.81710,6.67245,6.99009,7.06611,6.87897,6.98688,6.90654,7.09698,7.03029,7.23711,7.38015,7.36126,7.69136,7.86167,8.12623,8.12093,8.53756,9.13364,9.92980,10.88951,11.58724,11.75844,11.87701,11.95657,11.82866,11.79952,11.56161,11.33870,11.26356,11.05310,10.95126,10.61738,10.31673,10.06189,9.69439,9.51596,9.64336,9.17996,10.36124,10.13119,9.54043,9.17897,10.01176,9.70030,9.80150,10.42826
2018,Morisset 132_11kV,10MAY2017,MW,11.26214,10.65541,10.19111,10.30556,9.83357,9.05382,8.80436,9.09906,8.42410,7.80823,7.23481,6.83075,6.59164,6.26680,6.17263,6.10427,6.14045,6.20907,6.18797,6.50556,6.79795,7.03998,7.30335,7.77739,8.43061,9.06910,9.58821,9.94432,10.14753,10.61594,10.51213,10.34493,9.98148,9.68446,9.21493,9.01974,8.69522,8.10245,7.98705,7.71073,7.57439,7.24674,7.20029,7.15262,7.08513,7.15324,7.13666,7.11364,7.24950,7.21918,6.94981,6.84911,6.49815,6.61916,6.50438,6.63422,6.70784,6.90922,7.25483,7.62220,7.65792,7.68030,7.62730,8.11966,8.42317,8.62065,8.99430,9.65851,10.27732,11.21797,11.98287,12.04953,12.17344,12.32308,12.20765,11.92815,11.77306,11.37782,11.05032,10.83865,10.64371,10.29476,10.11486,9.73672,9.58505,9.35967,9.49423,9.16078,10.18411,9.91481,9.35062,8.98703,9.93523,9.44337,9.78338,10.35088
