year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mosman 132_11kV,01MAY2017,MW,25.21893,25.12419,24.08209,23.24840,23.24840,23.07788,22.50946,22.31998,21.41051,20.97472,20.97472,20.67156,20.21683,20.21683,20.21683,20.17893,19.43998,19.43998,19.87577,20.27367,20.59577,21.77051,22.16840,23.75998,25.88208,28.55366,31.58524,34.08629,36.20839,37.72418,38.57681,37.55365,37.06102,36.09471,35.41260,34.63576,34.04839,33.44208,33.34734,33.34734,33.34734,33.34734,32.81682,32.30524,32.11576,32.74103,32.70313,32.22945,31.56629,31.86945,31.86945,31.20629,31.83155,31.24419,31.73682,31.56629,31.01682,31.01682,31.01682,31.01682,31.01682,30.25892,30.67576,31.52840,31.86945,32.58945,32.89260,33.89681,35.46944,38.19786,40.43365,42.78312,43.97681,45.41681,46.19365,46.38312,46.32628,45.03786,44.56417,43.69260,42.65049,41.17260,40.79365,39.48628,38.44418,37.42102,36.18944,34.57892,33.89681,32.68418,30.80840,29.12208,27.90945,26.39366,26.35577,25.31366
2018,Mosman 132_11kV,02MAY2017,MW,24.82103,24.65051,23.91156,23.36209,23.36209,22.71788,21.97893,21.65682,21.14525,20.57683,20.38735,20.38735,20.27367,19.59156,19.59156,19.59156,19.59156,19.59156,19.59156,19.59156,20.14104,20.93683,21.86525,23.39998,25.61682,28.17471,30.84629,33.63155,35.43155,37.13681,37.43997,36.71997,36.26523,35.96208,35.01471,34.10524,33.91576,33.34734,32.93050,32.51366,32.74103,32.60839,32.38103,32.38103,31.85050,31.94524,31.60418,31.60418,31.18734,30.80840,30.95997,31.90734,31.64208,31.28208,30.95997,30.95997,30.95997,30.95997,30.95997,30.52419,30.29682,30.29682,30.48629,31.07366,31.20629,31.92629,32.53261,33.44208,35.27997,37.68629,40.24418,42.29049,43.33260,44.12839,44.88628,45.56838,45.54944,44.79154,44.26102,43.38944,42.89681,41.79786,41.03997,39.94102,38.46313,37.00418,36.49260,34.71155,33.87787,33.04418,31.33892,29.61471,28.04208,26.92419,26.50735,25.33261
2018,Mosman 132_11kV,03MAY2017,MW,25.12419,25.01051,24.02524,23.24840,23.17261,22.75577,22.24419,21.69472,21.10735,20.91788,20.69051,20.15998,20.15998,20.15998,20.15998,20.15998,19.64841,19.64841,19.64841,19.64841,20.25472,21.12630,22.09261,23.43788,25.57893,28.06103,30.99787,33.91576,35.69681,37.04208,37.70523,37.97050,37.97050,37.30734,36.58734,35.69681,35.69681,34.80629,34.55997,34.04839,33.53681,33.29050,34.04839,33.36629,33.00629,33.06313,32.98734,33.40418,32.93050,32.68418,32.68418,33.04418,33.46103,32.93050,33.36629,32.77892,32.77892,32.77892,32.30524,31.94524,31.56629,31.30103,31.41471,32.11576,32.66524,33.36629,34.33260,35.99997,37.74313,40.45260,43.06733,44.90523,46.23154,47.65259,48.14522,48.86522,48.20207,47.61470,47.14101,46.13680,45.64417,44.62102,43.23786,42.19576,41.24839,40.28207,38.44418,36.81471,35.90523,34.69260,33.42313,31.18734,29.50103,28.00419,27.96629,26.99998
2018,Mosman 132_11kV,04MAY2017,MW,26.79156,25.95787,25.27577,24.72630,24.70735,23.89261,23.17261,22.05472,21.65682,21.65682,21.65682,21.05051,20.91788,20.86104,20.15998,20.15998,20.70946,20.72840,20.86104,20.97472,20.97472,22.14946,23.15367,24.32840,26.60208,29.33050,32.24839,34.78734,37.23155,39.42944,40.18734,39.73260,38.72839,37.64839,36.70102,35.81050,35.18523,34.90102,34.90102,34.42734,33.68839,33.46103,33.46103,33.46103,33.46103,33.15787,33.36629,33.36629,33.36629,33.36629,33.59366,34.19997,33.59366,33.42313,33.00629,32.79787,32.79787,32.79787,32.36208,32.03997,32.03997,32.03997,32.03997,32.05892,32.81682,33.65050,34.71155,36.56839,38.23576,40.58523,42.99154,44.75365,45.54944,46.83786,47.00838,47.00838,46.81891,46.25049,46.07996,45.11365,44.20417,43.80628,42.97260,41.74102,40.30102,39.46734,38.36839,37.17471,36.09471,35.18523,33.29050,31.35787,29.70945,28.68629,28.49682,27.01893
2018,Mosman 132_11kV,05MAY2017,MW,26.63998,25.80629,25.16208,24.70735,24.38524,23.66524,23.28630,22.56630,21.95998,21.63788,20.97472,20.97472,20.97472,20.97472,20.97472,20.97472,20.31156,20.21683,20.21683,20.74735,21.20209,22.05472,22.98314,24.21472,26.27998,28.79998,32.07787,34.55997,36.79576,38.29260,38.87997,38.87997,38.87997,37.64839,36.75786,36.24629,35.58313,35.10945,35.01471,34.33260,34.33260,33.83997,33.61260,33.38524,32.79787,32.41892,31.98313,32.07787,32.24839,31.98313,31.98313,31.98313,31.98313,31.83155,31.24419,31.24419,31.24419,31.24419,31.05471,30.52419,30.52419,30.52419,30.97892,31.71787,32.11576,32.79787,33.36629,34.40839,36.11365,38.46313,41.28628,42.34733,42.85891,43.93891,44.39365,43.97681,43.97681,43.33260,42.87786,42.40418,41.57049,40.79365,39.90313,39.05049,38.40628,37.38313,36.54944,35.07155,34.65471,33.83997,32.87366,31.16840,29.69050,28.57261,28.51577,27.41682
2018,Mosman 132_11kV,06MAY2017,MW,26.98103,26.43156,25.57893,24.70735,24.70735,23.94945,23.41893,22.56630,22.28209,21.58104,20.84209,20.84209,20.84209,20.44419,20.06525,20.06525,20.08419,20.10314,20.10314,20.10314,20.76630,20.91788,21.56209,21.95998,22.88840,24.06314,25.31366,27.09471,28.09892,29.91787,31.05471,32.09682,32.96839,34.02945,34.84418,35.33681,35.48839,35.82944,35.48839,36.07576,35.75366,35.24208,34.67366,34.93892,34.76839,34.02945,33.99155,33.66945,33.44208,32.94945,32.83576,32.83576,32.83576,32.83576,32.83576,32.83576,32.17261,32.05892,32.05892,32.05892,32.05892,32.05892,32.05892,32.05892,,,,,,,,42.99154,43.65470,43.65470,43.65470,42.82102,42.06312,41.11576,40.41470,39.44839,38.86102,37.93260,37.21260,36.13260,35.41260,34.21892,33.57471,33.04418,32.66524,31.94524,31.28208,30.18313,29.14103,28.23156,28.13682,26.86735
2018,Mosman 132_11kV,07MAY2017,MW,26.71577,26.39366,25.37051,24.44209,24.72630,23.87366,23.00209,22.28209,22.07367,21.42946,21.42946,20.84209,20.67156,20.67156,20.50104,19.89472,19.89472,19.89472,19.89472,19.89472,19.89472,19.89472,20.59577,20.72840,21.61893,22.41472,23.13472,24.13893,25.27577,26.24208,27.83366,28.81892,29.74734,30.75155,31.92629,32.36208,33.53681,33.85892,34.44629,34.67366,34.67366,34.25681,33.99155,33.99155,33.82103,33.36629,33.36629,33.13892,32.57050,32.13471,31.86945,31.83155,31.43366,31.52840,31.14945,30.94103,30.48629,30.44840,30.44840,31.03576,31.24419,31.24419,31.24419,31.35787,32.07787,32.89260,34.23787,36.18944,38.38734,41.21049,44.33681,46.26944,47.08417,47.84207,47.84207,47.74733,46.89470,45.96628,44.50733,43.99575,42.80207,42.46102,41.34312,40.41470,39.25892,38.12207,36.83365,34.67366,33.99155,32.93050,31.45261,29.86103,28.02314,26.41261,26.35577,25.80629
2018,Mosman 132_11kV,08MAY2017,MW,25.90103,25.18103,24.46103,24.10103,24.10103,23.83577,22.60419,22.30103,21.92209,21.31577,21.14525,20.78525,20.38735,20.38735,20.38735,20.38735,20.38735,20.38735,20.38735,20.44419,21.41051,22.22525,23.22945,24.13893,26.96208,29.80419,33.11997,36.22734,38.65260,40.86944,41.11576,41.02102,40.24418,39.71365,38.72839,38.31155,36.77681,36.32208,36.32208,35.62102,34.82523,34.54102,34.04839,34.04839,34.01050,33.13892,32.79787,32.45682,32.51366,33.23366,33.23366,32.68418,32.43787,32.43787,32.43787,31.88840,31.64208,31.73682,32.38103,32.38103,32.34313,31.69892,32.21050,33.00629,33.21471,34.65471,35.56418,36.96629,39.59997,42.55575,45.71996,48.14522,50.11575,51.57469,52.69259,52.71154,52.93890,51.78312,51.46101,50.64627,49.18733,48.03154,46.70523,45.41681,44.20417,42.65049,40.73681,38.82313,37.70523,36.17050,34.54102,32.32418,30.25892,28.74313,28.43998,27.24629
2018,Mosman 132_11kV,09MAY2017,MW,26.52629,26.37472,25.63577,25.04840,25.04840,24.68840,24.04419,23.51367,22.79367,22.05472,21.97893,21.92209,21.20209,21.20209,21.20209,21.20209,21.20209,21.20209,21.84630,21.97893,22.41472,22.94524,24.04419,25.55998,28.23156,31.24419,34.86313,37.79997,40.43365,42.27154,42.89681,43.08628,42.87786,42.27154,41.30523,40.13049,39.88418,39.58102,38.95576,37.98944,36.71997,35.96208,35.24208,35.22313,34.69260,34.14313,33.65050,33.65050,33.65050,33.65050,33.55576,32.49471,32.85471,33.15787,32.83576,32.83576,32.68418,32.15366,32.15366,32.15366,32.15366,32.15366,32.58945,32.85471,33.72629,34.63576,35.46944,37.19365,39.77049,43.02944,46.38312,48.56207,50.30522,50.93048,51.82101,52.67364,52.52206,52.12417,51.44206,50.38101,49.79364,48.65680,47.44417,46.38312,44.88628,43.78733,41.94944,40.09260,38.87997,37.49681,35.43155,32.98734,30.86524,29.44419,29.27366,27.64419
2018,Mosman 132_11kV,10MAY2017,MW,27.20840,26.79156,25.88208,25.42735,25.71156,24.99156,24.25261,23.49472,23.19156,22.90735,22.43367,22.16840,21.65682,21.65682,21.65682,21.65682,21.65682,21.65682,21.65682,21.71367,22.69893,23.24840,24.44209,26.24208,28.68629,32.19155,35.79155,38.93681,41.34312,43.23786,43.44628,42.78312,42.42312,41.51365,39.84628,39.16418,38.06523,37.28839,36.90944,36.43576,35.94313,35.43155,34.65471,34.44629,33.93471,33.93471,33.49892,33.23366,33.23366,33.38524,33.66945,33.27155,33.82103,33.11997,33.02524,33.02524,33.02524,32.53261,32.32418,32.32418,32.32418,32.32418,32.57050,33.06313,33.95366,34.65471,35.67787,37.45892,39.86523,42.44207,45.51154,47.80417,49.77470,50.93048,51.46101,52.06733,51.65048,51.32838,51.00627,50.24838,49.30101,48.25891,47.15996,46.00417,44.82944,43.12418,41.81681,40.13049,38.67155,37.30734,35.35576,33.19576,31.31997,29.76629,29.29261,28.17471
