year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mt Hutton 33_11kV,01MAY2017,MW,4.71130,4.19223,4.17857,4.87068,4.18817,3.64270,3.38216,3.33932,3.14768,2.92165,2.87679,2.71611,2.76360,2.73249,2.73249,2.66648,2.64757,2.57755,2.76439,2.76439,2.76439,2.99330,3.00503,3.22656,3.61340,4.03895,4.51646,4.55875,4.55795,4.74699,4.76352,4.72456,4.69176,4.62675,4.29200,3.99572,3.74781,3.80426,3.79427,3.86009,3.84285,3.27094,3.14723,3.27833,3.28499,2.94231,2.81459,2.83286,2.89173,3.19822,3.12085,2.83861,3.03670,2.99080,3.13215,3.19638,3.19638,3.05189,3.13994,3.04836,3.16065,3.39925,3.64984,3.82833,3.98692,4.02643,4.26051,4.62292,4.92138,5.43149,5.86884,5.87310,5.96279,5.94709,5.82272,5.73693,5.53682,5.65562,5.32847,5.14935,5.00789,4.81542,4.69477,4.61048,4.44274,4.39923,4.57974,4.48335,5.64648,5.76990,5.40667,5.06677,5.35599,5.20411,5.19968,5.63083
2018,Mt Hutton 33_11kV,02MAY2017,MW,5.98801,5.57617,5.39786,5.63561,5.31855,4.78409,4.45134,4.52628,4.09291,3.84971,3.52332,3.24752,3.09374,2.95150,2.95150,2.79892,2.88270,2.80777,2.76069,2.71790,2.91586,3.00934,3.10195,3.38246,3.67049,4.15554,4.45237,4.54723,4.52864,4.54132,4.53479,4.58927,4.59888,4.52506,4.12775,3.87865,3.96601,3.47893,3.29276,3.20408,3.12648,2.97523,2.96933,2.86269,2.92703,2.86130,2.85240,2.89663,3.02790,2.98944,2.98944,2.91077,3.00291,3.02942,3.55807,3.68528,3.59791,3.52339,3.33089,3.31254,3.46876,3.40402,3.49988,3.70206,3.80440,3.95058,4.27256,4.50057,4.87407,5.20019,5.74013,5.86216,5.80472,5.87666,5.72018,5.62306,5.46894,5.55976,5.27860,5.14499,4.91478,4.75965,4.72223,4.56996,4.56996,4.53076,4.67027,4.60300,5.76715,5.83256,5.45662,5.03293,5.48907,5.25539,5.32798,5.72274
2018,Mt Hutton 33_11kV,03MAY2017,MW,5.97930,5.57631,5.42032,5.66502,5.34583,4.78334,4.45710,4.56407,4.20328,3.69764,3.43944,3.23466,3.01962,3.01962,2.90190,2.80578,2.80578,2.78956,2.75022,2.79716,2.79716,2.89442,3.00122,3.32547,3.43835,3.83982,4.23711,4.38402,4.34127,4.61674,4.80843,4.67140,4.48038,4.43976,4.35100,4.14758,4.02430,3.81101,3.73098,3.54533,3.31226,3.55447,3.59882,3.44888,3.62019,3.95399,3.88683,3.67636,3.41685,3.51690,3.81642,3.71543,3.79048,3.74858,3.59265,3.57491,3.57491,3.63071,3.74987,3.66268,3.79541,3.87509,3.85342,3.84029,4.22258,4.20710,4.53509,4.89702,5.36388,5.75563,6.08736,6.08295,6.29676,6.23855,6.09960,5.92506,5.82849,5.87864,5.55295,5.46067,5.32693,5.21256,5.09087,4.99529,4.80188,4.79156,4.95514,4.94690,6.12724,6.23565,5.84328,5.28268,5.67293,5.57470,5.69468,6.01505
2018,Mt Hutton 33_11kV,04MAY2017,MW,6.17948,5.68399,5.62525,5.93112,5.54195,5.02671,4.64508,4.69032,4.29757,3.90538,3.53337,3.36625,3.18191,3.03398,2.97931,2.96012,2.96012,2.79402,2.78078,2.81530,2.86269,3.01760,3.19420,3.33167,3.63644,4.11251,4.42305,4.60478,4.67654,4.89981,5.06660,4.95315,5.03519,4.90389,4.77662,4.24161,3.97925,3.94696,3.85423,3.53089,3.44400,3.28606,3.15773,3.14401,3.29225,3.26819,3.41155,3.49971,3.64240,3.73857,3.47748,3.13903,3.43719,3.53491,3.58742,3.59523,3.39665,3.43292,3.54363,3.73089,3.60554,3.54939,3.69361,4.07453,4.25512,4.21212,4.42814,4.76046,5.11930,5.52070,5.97888,6.00734,6.03978,6.04405,6.02717,5.86156,5.79073,5.82399,5.66158,5.61415,5.45911,5.24338,5.13095,5.01655,4.90158,4.76185,4.95359,4.92704,6.09534,6.03605,5.58411,5.22635,5.73224,5.56415,5.69401,5.91819
2018,Mt Hutton 33_11kV,05MAY2017,MW,6.03903,5.64996,5.58356,5.78806,5.50219,5.08866,4.67818,4.77569,4.38798,3.89212,3.52299,3.43129,3.24381,3.05465,3.04721,2.89267,2.86528,2.86528,2.86528,2.86528,2.87485,3.05259,3.09272,3.34625,3.71442,3.97585,4.50218,4.66625,4.72338,4.91584,4.89417,4.86657,4.74230,4.47166,4.22611,3.98414,3.78383,3.65012,3.48611,3.44955,3.39071,3.35673,3.21244,3.08767,2.96648,2.94374,2.94374,2.92673,2.98127,3.07932,2.89566,2.92736,2.85818,2.84924,2.81613,2.96486,2.94633,2.94633,3.00386,3.04456,3.15325,3.20044,3.36573,3.63733,3.79393,3.86326,4.03492,4.34225,4.69446,5.21136,5.61643,5.54220,5.61740,5.59538,5.53269,5.40694,5.27550,5.37013,5.14295,5.08254,4.85408,4.79328,4.75138,4.67169,4.62798,4.51519,4.73077,4.76410,5.92463,6.01715,5.61243,5.17488,5.53087,5.39907,5.53454,5.83216
2018,Mt Hutton 33_11kV,06MAY2017,MW,5.82540,5.55608,5.57217,5.95165,5.55765,5.07319,4.55797,4.13724,4.28224,4.05065,3.71339,3.51703,3.40763,3.23791,3.17827,3.03700,2.85234,2.85234,2.79625,2.85234,2.85234,2.85234,2.85234,2.89716,3.18013,3.26388,3.61532,3.96764,4.20750,4.63348,5.06087,5.02436,5.06674,5.35283,5.21041,5.47076,5.37443,5.15061,4.92003,4.91283,4.65368,4.58722,4.28146,4.30913,4.26685,4.23765,4.34492,3.91684,3.90800,3.90688,3.71750,3.79220,3.71923,3.60352,3.79306,3.79306,3.75001,3.69649,3.84850,3.89050,3.88796,4.05825,4.05260,4.17286,4.27938,4.30494,4.54108,4.53460,4.71978,5.07298,5.38803,5.37307,5.39440,5.31251,5.16249,4.95744,4.89085,4.99311,4.75574,4.60210,4.50887,4.42101,4.47572,4.46562,4.46562,4.38207,5.27983,5.05652,4.76174,4.53329,4.73606,4.63938,5.34788,5.12789,4.66674,4.64919
2018,Mt Hutton 33_11kV,07MAY2017,MW,4.82887,4.23099,4.30826,4.91190,4.27038,3.70754,3.41576,3.23056,3.33429,3.29265,3.11588,2.96788,2.87426,2.89639,2.82216,2.82216,2.82216,2.82216,2.82216,2.82216,2.82216,2.82216,2.82216,2.82216,2.97027,3.07225,3.23631,3.37102,3.78901,3.94087,4.34038,4.47492,4.61612,4.77223,5.01376,4.90279,4.83039,4.60303,4.79747,4.58129,4.44516,4.55702,4.36035,4.27742,4.03572,3.88521,3.95110,3.87719,3.74257,3.78755,3.81376,3.78033,3.76461,3.75415,3.59620,3.60281,3.61079,3.70791,3.86168,4.00777,4.00777,4.08866,4.17159,4.17159,4.44900,4.72947,4.83775,4.82280,5.18117,5.63472,6.06905,6.20336,6.21027,6.13501,5.94983,5.84304,5.63793,5.76156,5.43315,5.34420,5.18768,5.05282,5.05282,4.95437,4.89118,4.73946,5.71476,5.63734,5.28296,4.87433,5.05523,4.69689,5.48019,5.14654,4.70322,4.73543
2018,Mt Hutton 33_11kV,08MAY2017,MW,4.77449,4.38182,4.34204,4.97044,4.31512,3.80149,3.57768,3.59327,3.28189,3.04380,2.92650,2.92650,2.89581,2.81315,2.92650,2.92650,2.92650,2.92650,2.92650,2.92650,2.92650,3.07833,3.13775,3.36082,3.68358,4.06906,4.64977,4.81384,4.71986,4.93695,5.16756,5.24383,5.15801,5.00508,4.55601,4.34510,4.18053,4.07870,3.83602,3.81807,3.72076,3.60303,3.55853,3.30334,3.31971,3.24812,3.25330,3.36423,3.34055,3.15766,3.04265,2.91110,3.06704,3.17154,3.12123,3.11143,3.19260,3.36502,3.42229,3.56827,3.46457,3.52088,3.61669,3.80512,4.02999,4.23462,4.45125,4.72222,5.35624,6.06908,6.47645,6.51772,6.57329,6.58520,6.41368,6.23854,5.94480,6.01282,5.76246,5.70266,5.46715,5.40219,5.30942,5.21982,4.85555,4.81434,5.03514,5.02463,6.28728,6.25033,5.79321,5.45162,5.89520,5.65223,5.79353,6.11123
2018,Mt Hutton 33_11kV,09MAY2017,MW,6.17240,5.78136,5.74755,6.04317,5.67016,5.22815,4.90088,4.98947,4.51849,3.99932,3.70629,3.50156,3.30679,3.12137,2.96262,3.10031,2.95139,2.92218,2.96220,2.95409,3.03146,3.18172,3.26526,3.52495,3.95223,4.40436,4.94431,4.99044,4.89983,5.16484,5.26449,5.24570,5.23244,4.95163,4.70887,4.25976,4.04559,4.18884,3.89966,3.67142,3.52091,3.67390,3.59527,3.23821,3.29626,3.38007,3.27743,3.28141,3.26278,3.35474,3.29711,3.08499,3.10222,3.34439,3.33648,3.47484,3.55780,3.53870,3.36208,3.22505,3.28937,3.48551,3.55974,3.82197,4.04297,4.27834,4.60477,4.77145,5.39746,5.94959,6.53094,6.75163,6.84995,6.77992,6.72062,6.59842,6.32364,6.37634,6.27110,6.19513,6.00374,5.78562,5.52262,5.47273,5.42006,5.14492,5.36333,5.34808,6.43724,6.45087,5.93093,5.58432,6.12835,5.89676,5.95188,6.07187
2018,Mt Hutton 33_11kV,10MAY2017,MW,6.28906,5.87658,5.77843,6.01354,5.74848,5.13858,4.79988,4.95450,4.58163,4.08894,3.73475,3.50102,3.32934,3.23346,3.14593,3.03859,3.03859,2.90670,2.97306,2.97306,3.05232,3.28269,3.34814,3.65339,4.06011,4.61070,5.09418,5.27435,5.24533,5.48737,5.62925,5.49664,5.33567,4.98513,4.61477,4.26171,4.03617,3.81830,3.58211,3.45306,3.35073,3.14510,3.06554,3.02738,2.90471,2.87137,2.81559,2.82216,2.82216,2.82935,2.80319,2.86174,2.85148,2.85226,2.81958,2.89343,3.02739,3.07349,2.95830,3.02523,3.19207,3.30888,3.46418,3.60618,3.87930,3.98619,4.36516,4.66341,5.16572,5.68585,6.16249,6.19723,6.27851,6.37149,6.35655,6.11195,6.05779,6.12211,6.00130,5.81111,5.69146,5.61909,5.44575,5.23303,5.23303,5.09888,5.22038,5.19257,6.24690,6.30045,5.96302,5.48770,5.71238,5.59888,5.63482,5.90213
