year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Mt Thorley 66_11kV,01MAY2017,MW,2.74394,2.61046,2.60715,2.62412,2.62370,2.48824,2.46776,2.57113,2.62223,2.54604,2.44429,2.21831,2.14815,2.21405,2.25285,2.22618,2.18385,2.26720,2.34411,2.34928,2.81053,3.11783,3.22396,3.29761,3.36825,3.38855,3.12806,3.37057,3.72455,3.79258,3.69834,3.86975,4.33100,4.44610,4.29269,4.09657,3.75779,3.39041,3.40752,3.47435,3.26811,3.16510,3.20056,2.97664,3.04091,3.12253,3.17013,3.04994,3.11484,2.98805,3.06825,3.55693,3.52566,3.10023,3.17835,3.24414,3.27479,3.44279,3.51174,3.67805,3.84875,3.90714,3.67478,3.01248,3.13152,3.33601,2.78307,2.68556,2.64876,3.01077,3.16699,3.54772,3.61722,3.66399,3.12589,2.90665,2.86345,2.98776,2.85841,2.80629,2.75386,2.81951,2.65434,2.64512,2.70445,2.78061,2.69297,2.65219,2.69753,2.63984,2.58502,2.93813,3.32653,3.08685,2.80699,2.89304
2018,Mt Thorley 66_11kV,02MAY2017,MW,2.93821,3.39180,3.42683,3.12493,2.75234,2.61491,2.65216,2.55297,2.48830,2.46714,2.44415,2.37750,2.43362,2.30388,2.43414,2.24319,2.15693,2.17756,2.34234,2.41047,2.46808,2.60594,2.78930,2.96007,2.98930,2.95516,3.10777,3.25280,3.26896,3.49576,3.54228,3.39574,3.28634,3.50471,3.34243,3.22903,3.09735,3.07824,3.05469,2.96104,2.96044,2.92522,2.96144,3.02562,2.97921,3.01419,3.07666,2.97436,2.89221,2.90974,3.01848,2.96735,3.01210,3.14850,3.06007,3.06576,3.13623,3.12984,3.01878,3.02210,3.13789,3.06040,2.88705,2.98543,2.91072,2.79524,2.74402,3.14774,2.74702,2.79372,2.90028,3.03210,2.92967,3.05766,3.09738,2.95040,2.84612,2.87209,2.69948,2.80396,2.91631,3.10406,3.04816,2.99478,3.05030,3.06118,2.98538,2.87142,2.71888,2.66192,2.80800,3.01078,2.92390,2.77327,2.77019,3.02197
2018,Mt Thorley 66_11kV,03MAY2017,MW,2.90135,2.77226,2.83456,2.99425,2.80101,2.82578,2.87943,2.81594,2.76583,2.71657,2.69070,2.49080,2.30830,2.30583,2.31797,2.25214,2.19115,2.34499,2.33625,2.38609,2.40547,2.67515,2.96911,2.79957,3.00033,2.99470,3.04876,3.46111,3.95394,3.95496,3.92492,4.11726,3.90658,3.81204,3.71338,3.59683,3.46180,3.72147,3.68152,3.62968,3.62082,3.61198,3.46288,3.41406,3.43670,3.54167,3.46279,3.52157,3.30383,3.21727,3.40631,3.55508,3.44209,3.60378,3.53048,3.73084,4.31224,4.01783,3.45942,3.60273,3.75332,3.64649,3.59434,3.66046,3.50414,3.46228,3.33713,3.40234,3.15742,3.07948,3.27813,3.40744,3.16286,3.16303,3.14638,3.02402,2.81773,2.89290,2.94134,2.92633,2.77027,2.83314,2.87115,2.84289,2.84174,2.95289,2.80681,2.75523,2.79169,2.86554,2.93398,2.93280,2.99736,2.83171,2.73071,2.90049
2018,Mt Thorley 66_11kV,04MAY2017,MW,2.92121,2.72671,2.59355,2.64024,2.53466,2.46527,2.42015,2.54228,2.38414,2.33226,2.34586,2.34470,2.25546,2.34457,2.53973,2.36484,2.56361,2.97334,2.73115,2.54237,2.62129,2.82676,3.39594,3.34160,3.52624,3.43243,3.43668,3.47589,3.55992,3.61803,3.65188,4.02861,4.33565,4.40195,4.20381,4.06904,3.76875,3.36524,3.26186,3.26760,3.19702,3.21159,3.42367,3.48349,3.32384,3.38435,3.57125,3.33643,3.24391,3.50181,3.50751,3.29237,3.25629,3.34175,3.37818,3.32963,3.36486,3.32373,3.30040,3.28891,3.28544,3.12921,2.99326,2.84418,2.84940,2.73329,2.57826,2.56543,2.51161,2.67325,2.82287,2.87062,2.91650,2.92675,2.95121,2.79884,2.85223,2.92904,3.06336,3.17887,3.11528,3.13086,3.09965,3.16509,3.12449,3.16040,3.11571,3.03581,3.15955,2.95957,2.73586,2.81653,2.88155,2.76012,2.79870,2.84177
2018,Mt Thorley 66_11kV,05MAY2017,MW,2.84215,2.68607,2.61066,2.56906,2.50666,2.40564,2.37423,2.51585,2.64990,2.68601,2.39771,2.46189,2.42354,2.46202,2.41007,2.63486,2.75846,2.74504,2.72991,2.84385,2.98980,2.90650,3.12833,3.21810,3.10027,3.15446,3.23119,3.33755,3.50063,3.85991,4.01400,3.91337,3.81226,3.76344,3.69690,3.49492,3.40787,3.47621,3.27867,3.38935,3.41264,3.18068,3.10776,3.34495,3.84319,3.62893,3.59021,3.39246,3.70427,3.56286,3.44455,3.22817,3.01626,2.97569,2.94200,2.84969,2.79429,2.92673,2.80337,2.73666,2.71900,2.83927,2.74510,2.70839,2.65241,2.77802,3.13705,2.90093,2.85886,2.90036,3.16779,3.68917,3.77507,3.74721,3.64667,3.44410,3.10481,3.13278,3.15045,3.06982,2.97336,3.13569,3.14525,2.88007,2.91820,2.92197,2.88285,2.84944,2.79100,2.88914,2.80650,2.95172,3.04340,3.00996,2.95609,3.04359
2018,Mt Thorley 66_11kV,06MAY2017,MW,2.97361,2.85815,2.99327,2.87558,2.73232,2.65184,2.56336,2.73810,2.75698,2.72268,2.85973,2.95027,3.14121,2.96980,2.65541,2.38296,2.28752,2.30206,2.32700,2.34265,2.38172,2.38354,2.41246,2.48043,2.55544,2.63725,2.72989,2.85418,2.80012,2.94967,3.02676,3.02218,2.91160,2.94908,3.19066,3.22660,2.97828,2.86720,3.01931,3.27282,3.02233,2.69916,2.89441,3.21305,3.35330,3.15602,2.87487,2.71375,2.78327,2.40125,2.30790,2.35729,2.25823,2.32265,2.30831,2.26195,2.28894,2.76044,2.99648,3.01374,2.69335,2.40309,2.37531,2.29733,2.47963,2.44380,2.71952,2.47741,2.54282,2.57626,2.73022,2.73682,2.79858,2.77509,2.84006,2.97980,2.75478,2.66149,2.59180,2.62302,2.68677,2.64178,2.63625,2.75285,2.86308,2.89275,2.90898,2.89349,2.86313,2.88682,2.84840,2.64127,2.58601,2.81415,2.50248,2.76606
2018,Mt Thorley 66_11kV,07MAY2017,MW,2.74272,2.39586,2.41246,2.53073,2.92974,2.95712,2.88867,2.53657,2.43205,2.29913,2.32977,2.30417,2.21478,2.14748,2.15117,2.11296,2.38264,2.48266,2.23848,2.28409,2.71611,2.88997,3.01019,2.87316,2.67489,2.54277,2.38674,2.35738,2.40201,2.45800,2.53254,2.51676,2.44330,2.39224,2.30889,2.28675,2.27439,2.33204,2.34252,2.27465,2.24101,2.29803,2.27602,2.45779,2.45316,2.34111,2.23737,2.24982,2.68184,2.87420,2.90515,2.67624,2.41899,2.26431,2.47179,2.07467,2.05534,2.09847,2.10036,2.15309,2.19524,2.23325,2.27493,2.44855,2.58321,2.64482,2.70628,2.83785,2.79045,2.86574,3.05420,3.12253,3.06114,2.89615,2.80779,2.82320,2.86756,2.81304,3.05489,2.89237,2.60618,2.63156,2.63801,2.61736,2.88858,2.80582,3.23394,2.97316,2.89577,2.83876,2.68408,2.74554,2.72452,2.40982,2.42408,2.34670
2018,Mt Thorley 66_11kV,08MAY2017,MW,2.29383,2.23919,2.24985,2.23025,2.17312,2.20108,2.16155,2.16448,2.13986,2.12470,2.15522,2.16254,2.12839,2.12217,2.13849,2.19325,2.19617,2.19339,2.54421,2.62487,2.75938,2.81217,2.97912,3.07055,3.12442,3.20373,3.44281,3.55924,3.52913,3.53476,3.68017,3.62559,3.68791,3.74927,3.88864,3.97590,3.62846,3.48361,3.88914,3.81773,3.75371,3.65462,3.85776,3.82563,3.80938,3.68644,3.37492,3.35938,3.13371,2.92703,3.33111,3.39803,3.41139,3.64904,3.36505,3.12068,3.47307,3.53905,3.42543,3.47573,3.30146,2.95370,2.99485,3.02812,2.93727,2.80649,2.64996,2.69021,2.60568,2.79784,3.25761,3.10876,2.97521,2.94746,3.05680,3.06488,2.91010,2.81051,2.83144,2.87601,2.78606,2.71901,2.71839,2.70140,2.67601,3.03604,3.06643,3.12045,3.01015,2.90089,2.98526,3.25422,3.20111,3.07069,2.83447,3.02872
2018,Mt Thorley 66_11kV,09MAY2017,MW,3.02604,3.10793,2.81956,2.71664,2.53068,2.82443,2.75528,2.71996,2.52592,2.42066,2.46041,2.41277,2.55660,2.39966,2.30265,2.65060,2.32185,2.50833,2.79888,2.74410,3.09938,3.26778,3.32396,3.38685,3.32094,3.53531,3.66678,3.75096,3.69191,3.51516,3.63497,3.67280,3.55085,3.42013,3.46277,3.28359,3.15080,3.14972,3.14086,3.04713,3.06995,3.07316,3.30743,3.48507,3.47316,3.59311,3.64130,3.49083,3.32901,3.41370,3.33019,3.28603,3.46686,3.71885,4.02895,4.14562,3.85327,3.87962,3.58193,3.26515,3.19731,3.17047,3.14479,3.02807,3.13278,3.34889,3.18898,3.17357,3.12194,3.74078,3.84628,3.38695,3.29151,3.42204,3.42152,3.16840,3.13273,3.21773,3.41110,3.08888,3.27265,3.26751,3.40356,3.18291,3.11114,3.15950,3.23535,3.05288,3.39878,3.14191,3.09994,3.08454,3.35533,3.38460,3.82122,3.60225
2018,Mt Thorley 66_11kV,10MAY2017,MW,3.34093,3.34107,3.35454,3.37309,3.11329,2.69082,2.64616,2.70823,2.64628,2.51241,2.54027,2.55882,2.67503,2.75080,2.81560,2.88560,2.85840,2.80200,2.90696,2.79418,3.09270,3.14500,3.18190,3.17837,3.28790,3.62671,3.95803,4.09934,3.86327,4.04131,4.25115,4.25721,4.18319,4.33531,4.19703,3.99960,3.85573,3.89892,3.37046,3.22236,3.21803,3.26759,3.24627,3.18315,3.35642,3.34274,3.32771,3.24885,3.36325,3.10909,3.18319,3.10546,3.09781,3.15751,3.09257,3.14284,3.29565,3.29130,3.20366,3.15566,3.22006,3.28348,3.37621,3.03097,3.11097,3.25107,3.18664,3.20396,3.30021,3.30934,3.40726,3.50452,3.58756,3.26593,3.20278,3.26955,3.23953,3.18883,3.25322,3.00269,3.31180,3.26497,3.29699,3.05619,3.43585,3.24000,3.23808,3.26120,3.23973,2.90083,2.93321,3.18556,3.62802,3.07233,3.02185,3.05121
