year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Muswellbrook 33_11kV,01MAY2016,MW,3.77859,3.58367,3.58367,3.42095,3.04060,3.19334,3.12399,3.10503,3.08453,2.85229,2.82568,2.82568,2.82568,2.82568,2.74297,2.65746,2.65746,2.65746,2.65746,2.77463,2.87377,3.06169,3.07101,3.07101,3.16895,3.28470,3.29917,3.39023,3.36710,3.54772,4.06272,4.08936,4.20562,4.34854,4.53178,4.60643,4.78114,4.76135,5.07426,5.08278,5.08499,4.80564,4.82874,4.83609,4.74509,4.84652,4.91951,4.93256,4.86031,4.73866,4.64666,4.63336,4.43846,4.54685,4.48733,4.52719,4.72134,4.86291,4.67412,4.64986,4.70017,4.65519,4.73194,4.68551,4.88437,4.91308,4.78524,5.01688,5.16838,5.39860,5.50491,5.66501,5.92462,6.02205,6.07920,6.01228,5.86075,5.57882,5.38218,5.32892,5.11786,5.18236,5.05249,4.70853,4.66262,4.53895,4.43370,4.16684,4.00492,3.99957,3.95799,3.95799,4.26673,4.11069,3.86249,3.69999
2017,Muswellbrook 33_11kV,02MAY2016,MW,3.63195,3.51012,3.51012,3.44246,3.31248,3.07170,2.91235,2.91235,2.80174,2.88036,2.98930,2.78404,2.78404,2.83986,2.85132,2.99312,3.01920,3.04660,3.07677,3.20874,3.20874,3.26511,3.36273,3.41789,3.52686,3.75441,3.94299,4.04938,3.70798,4.14559,4.35433,4.43886,4.65298,4.46108,4.48060,4.39180,4.22846,4.26531,4.23362,4.27072,4.41111,4.35957,4.20011,4.21725,4.37482,4.47724,4.41893,4.52089,4.54431,4.44552,4.60391,4.68790,4.81725,4.76831,4.81862,4.78077,4.96615,4.98999,5.11281,5.13417,4.98052,4.82693,4.84284,4.90143,4.95715,4.95715,5.03322,5.36639,5.55178,5.74037,5.88961,5.95881,5.76837,5.95227,5.78178,5.51930,5.39013,5.22003,4.96883,4.76499,4.64452,4.48393,4.34793,4.28774,4.10145,4.10360,4.33084,4.50307,4.89718,5.21066,5.03915,4.85896,5.59019,6.01521,5.52477,5.33941
2017,Muswellbrook 33_11kV,03MAY2016,MW,5.10821,4.63777,4.32463,4.13063,3.81691,3.56935,3.39148,3.39148,3.38408,3.21389,3.11077,3.03279,2.92844,2.87016,2.87016,2.87142,2.86388,2.86388,2.99477,3.03038,3.07643,3.32261,3.43695,3.43695,3.70906,3.94539,4.04225,4.12643,4.05544,4.21381,4.54346,4.41867,4.54348,4.78101,4.77149,4.61774,4.58518,4.62201,4.88660,4.98321,5.14342,4.96546,4.96546,4.96546,4.71352,4.24570,4.20872,4.26646,4.26517,4.58095,4.46305,4.43838,4.81716,4.75701,4.50857,4.35087,4.27959,4.44127,4.19474,4.41170,4.50837,4.58697,4.68021,4.63316,4.98268,4.99188,5.08512,5.16622,5.43884,5.34333,5.48163,5.67061,5.79074,5.85317,5.78731,5.86288,5.75071,5.44323,5.01194,4.91116,4.71963,4.65759,4.48513,4.40140,4.37057,4.12990,4.32232,4.57874,4.95510,5.02301,5.08455,4.82836,5.72259,6.07561,5.81885,5.49778
2017,Muswellbrook 33_11kV,04MAY2016,MW,5.18857,4.75942,4.44480,4.21522,3.88001,3.67768,3.45184,3.49828,3.39518,3.39518,3.31532,3.11053,3.11053,3.00045,2.85151,2.85151,2.80100,2.79910,2.81627,3.06782,3.23760,3.42315,3.46878,3.64667,3.83158,4.01142,4.23098,4.38679,4.08496,4.01634,4.25621,4.53009,4.59043,4.72117,4.65827,4.53139,4.55870,4.40083,4.33615,4.32758,4.35401,4.19735,4.25348,4.34986,4.35055,4.34360,4.47063,4.53449,4.45052,4.40633,4.33309,4.31610,4.41166,4.46632,4.46632,4.46632,4.56250,4.57247,4.63857,4.60061,4.62357,4.53573,4.85419,4.85011,5.05791,5.05297,4.92258,5.13282,5.26897,5.44942,5.62621,5.78029,5.81630,5.78148,5.69658,5.48142,5.39352,5.24065,5.09509,4.87114,5.06197,4.89676,4.83375,4.69161,4.49805,4.36149,4.34939,4.52969,4.84905,5.12847,4.98806,4.97335,5.80049,6.18458,5.81841,5.55133
2017,Muswellbrook 33_11kV,05MAY2016,MW,5.33319,5.12353,4.74146,4.48745,4.08137,3.85372,3.67440,3.56491,3.36002,3.26862,3.18967,3.06986,3.06986,3.04837,2.97737,3.03297,2.97093,3.08603,3.08603,3.17090,3.37558,3.64951,3.72163,3.89452,3.88318,3.95878,4.26924,4.17269,4.06604,4.29805,4.64443,4.87121,4.82231,4.79100,4.71802,4.53453,4.59850,4.31627,4.18924,4.17640,4.16683,4.02380,4.16191,4.20727,4.27942,4.31901,4.38588,4.52294,4.65256,4.53946,4.28900,4.29447,4.28372,4.32020,4.39977,4.56482,4.71648,4.63296,4.56860,4.65256,4.65256,4.57888,4.62292,4.65791,4.81333,4.88779,4.93513,5.38930,5.52260,5.67183,5.87202,5.84738,5.86719,6.02420,5.87007,5.81028,5.83190,5.53709,5.27138,5.11418,4.96538,4.85868,4.74171,4.59236,4.49217,4.42343,4.51339,4.62845,4.92128,5.36450,5.38780,5.17435,5.97944,6.44204,5.94024,5.59071
2017,Muswellbrook 33_11kV,06MAY2016,MW,5.27573,4.92298,4.68800,4.33099,4.07010,3.81109,3.63297,3.49035,3.42510,3.22026,3.15499,3.25147,3.40132,3.33448,3.10592,3.10592,3.10592,3.10592,3.10592,3.11329,3.31000,3.47612,3.61133,3.76722,3.98845,4.25194,4.55465,4.49011,4.25666,4.32108,4.72323,4.77184,4.74083,4.85980,4.71991,4.38079,4.22125,4.16701,4.07686,4.28382,4.47461,4.29742,4.29634,4.18437,4.15524,4.14060,4.07827,4.29406,4.27430,4.42528,4.48639,4.58673,4.63850,4.64656,4.61962,4.70563,4.75749,4.75749,4.67894,4.67965,4.69759,4.60209,4.47936,4.57914,4.74621,4.73727,4.98991,5.10032,5.20913,5.24015,5.32016,5.35772,5.20600,5.18032,5.14721,5.19072,5.06079,4.84149,4.77381,4.67632,4.59223,4.57730,4.35220,4.33298,4.22965,4.00098,4.11520,4.29740,4.60524,5.04412,5.12605,4.97533,5.93491,6.15915,5.95792,5.73358
2017,Muswellbrook 33_11kV,07MAY2016,MW,5.44138,4.71210,4.39305,4.03637,3.77250,3.56183,3.47699,3.35674,3.22280,3.18175,3.06043,3.06043,3.06043,2.93646,2.79943,2.85222,2.87910,2.85888,3.01242,3.05079,3.12170,3.33133,3.33133,3.15421,3.29857,3.35636,3.44020,3.50618,3.60896,3.85691,4.23753,4.46010,4.65220,4.69591,4.56510,4.62870,4.86936,4.68664,4.51750,4.28405,4.29367,4.14204,4.14204,4.05520,3.77743,3.86438,3.90289,3.87743,3.81404,3.82392,3.90838,3.77338,3.80716,3.92437,3.96629,4.11118,4.15638,4.05037,4.03750,4.18373,4.22351,4.10824,4.07865,4.13677,4.00606,4.11141,4.27958,4.50546,4.63880,4.94520,5.20697,5.48732,5.66030,5.54455,5.57343,5.49614,5.33036,5.10899,4.85509,4.69113,4.59491,4.52851,4.30506,4.28980,4.28980,4.15786,4.20579,4.09390,4.04417,4.11583,4.11583,4.01722,4.40188,4.18166,3.86836,3.76987
2017,Muswellbrook 33_11kV,08MAY2016,MW,3.71782,3.45549,3.32402,3.32402,3.18180,3.00702,2.93925,2.91551,2.91551,2.91551,2.91551,2.91551,2.91551,2.90782,2.75250,2.75250,2.75250,2.75250,2.75250,2.75250,2.75250,2.75250,2.75250,2.98341,3.06153,3.06153,3.10983,3.38125,3.40341,3.67843,4.07828,4.12912,4.31140,4.28623,4.10928,4.49935,4.74830,4.61794,4.66900,4.57383,4.61115,4.63125,4.55385,4.55385,4.58676,4.49945,4.40894,4.47689,4.21165,4.19225,4.25518,4.01601,3.99877,4.00166,3.93481,4.10263,4.07358,4.07358,3.93232,4.11919,4.16312,4.30915,4.32592,4.56016,4.51499,4.50382,4.59559,4.75242,5.07864,5.29628,5.51259,5.64350,5.80171,5.80171,5.74029,5.54682,5.56242,5.41192,5.22810,5.20735,4.89269,4.73798,4.59530,4.46767,4.42576,4.25658,4.22476,4.07739,4.13735,3.98457,3.97316,3.97316,4.18779,4.06905,3.88405,3.64465
2017,Muswellbrook 33_11kV,09MAY2016,MW,3.57651,3.41493,3.32471,3.14947,3.06729,3.05618,2.98759,2.86571,2.85699,2.85699,2.90490,2.89720,2.81286,2.97745,2.85053,2.77438,2.77438,2.77438,2.77438,2.80778,3.03737,3.14322,3.29801,3.36883,3.45576,3.77209,4.04329,4.26408,4.14348,4.14348,4.46268,4.56856,4.39705,4.51190,4.51190,4.65565,4.56348,4.62692,4.85989,4.92625,4.89221,4.89221,4.81444,4.77899,5.02158,4.95719,4.95719,4.87127,4.94844,4.96680,4.96680,4.96680,5.01796,5.22917,5.23734,5.02335,4.74135,4.67644,4.63838,4.78938,4.78938,4.78938,4.83610,4.78677,4.81108,5.13137,5.22454,5.41991,5.64745,5.74963,5.86860,5.94947,5.94947,5.94897,5.76984,5.75118,5.57787,5.34306,5.19755,5.07586,4.90832,4.91756,4.66542,4.56784,4.56784,4.42703,4.42471,4.46655,4.74835,5.17991,5.11585,5.08958,5.93679,6.16965,5.83395,5.63022
2017,Muswellbrook 33_11kV,10MAY2016,MW,5.28947,4.88745,4.58453,4.37657,4.00704,3.96075,3.71162,3.42367,3.31454,3.13139,3.12775,2.96250,3.14325,3.15003,3.03740,3.03346,3.08392,3.15135,3.15135,3.21836,3.23877,3.24474,3.45861,3.65718,3.94437,4.08631,4.28832,4.46115,4.12036,4.18490,4.32967,4.59547,4.70062,4.49577,4.60969,4.52924,4.43234,4.46531,4.42891,4.42471,4.21745,4.43852,4.47424,4.39502,4.42068,4.32603,4.27767,4.15865,4.14897,4.06760,4.17145,4.52074,4.56512,4.70294,4.71896,4.58335,4.60374,4.72351,4.58721,4.51992,4.52038,4.53996,4.66244,4.79235,4.97813,5.09966,5.16023,5.22724,5.59482,5.69550,5.79446,5.86120,5.86120,5.86120,5.94341,5.96725,5.87335,5.73167,5.53343,5.36787,5.14778,4.93376,4.78175,4.64130,4.57705,4.36511,4.55417,4.65643,5.06746,5.54181,5.58570,5.43440,6.12526,6.49290,6.10148,5.86089
