year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Narrabeen 33_11kV,01MAY2014,MW,4.53603,4.23481,3.96903,3.89815,4.50060,4.23481,4.16394,3.91587,3.70325,3.56149,3.50834,3.38431,3.13624,3.17168,3.15396,3.17168,2.99449,3.06537,3.06537,3.06537,3.34887,3.50834,3.80956,4.12850,4.60691,4.94357,5.26251,5.58145,5.49285,5.81179,5.97126,5.88267,6.04214,5.98898,5.75864,5.56373,5.47513,5.42198,5.35110,5.19163,5.20935,5.15619,5.06760,5.06760,4.92585,4.94357,4.99672,4.99672,4.94357,4.99672,4.97901,5.12076,5.08532,5.17391,5.20935,5.19163,5.17391,5.19163,5.26251,5.29795,5.19163,5.20935,5.42198,5.61688,5.72320,5.79407,5.86495,6.05986,6.30792,6.91036,7.58368,8.00893,8.23928,8.46962,8.46962,8.34559,8.20384,8.02665,7.83174,7.74315,7.65456,7.47737,7.74315,7.15843,6.50283,6.09529,6.16617,5.91811,6.23705,6.13073,5.65232,5.33338,5.31566,4.76638,4.74866,4.53603
2015,Narrabeen 33_11kV,02MAY2014,MW,4.57147,4.27025,3.95131,3.91587,4.41200,4.19937,3.98675,3.77412,3.66781,3.43746,3.43746,3.27799,3.10080,3.02993,2.97677,3.01221,2.99449,2.95905,3.01221,3.08309,3.22484,3.38431,3.65009,4.00447,4.55375,4.76638,5.03216,5.36882,5.40426,5.68776,5.81179,5.84723,5.95354,5.82951,5.68776,5.49285,5.47513,5.58145,5.65232,5.52829,5.42198,5.42198,5.26251,5.28023,5.17391,5.24479,5.20935,5.36882,5.54601,5.20935,5.13848,5.29795,5.35110,5.36882,5.49285,5.54601,5.33338,5.40426,5.35110,5.43970,5.43970,5.51057,5.59917,5.58145,5.74092,5.97126,6.18389,6.30792,6.59142,7.17615,7.44193,7.51281,7.51281,7.45965,7.53052,7.54824,7.35334,7.14071,6.96352,6.82177,6.66230,6.66230,6.98124,6.62686,6.30792,6.11301,6.20161,5.93582,6.37880,6.18389,5.81179,5.59917,5.45741,4.94357,5.10304,4.87269
2015,Narrabeen 33_11kV,03MAY2014,MW,4.81954,4.46516,4.19937,4.14622,4.53603,4.41200,4.19937,4.05762,3.72096,3.56149,3.52606,3.40202,3.29571,3.24255,3.13624,3.13624,3.13624,3.17168,3.13624,3.13624,3.34887,3.17168,3.29571,3.36659,3.73868,4.00447,4.34113,4.55375,4.73094,4.96129,5.31566,5.47513,5.88267,6.20161,6.27248,6.25476,6.25476,6.23705,6.05986,6.04214,5.98898,5.86495,5.81179,5.81179,5.90039,5.79407,5.59917,5.47513,5.79407,5.75864,5.98898,6.14845,5.90039,5.93582,5.95354,5.81179,5.67004,5.74092,6.02442,6.07758,6.23705,6.32564,6.25476,6.30792,6.29020,6.36108,6.53827,6.85721,7.19387,7.67227,8.07981,8.31015,8.45191,8.36331,8.34559,8.20384,7.92034,7.65456,7.35334,7.28246,6.94580,6.89264,7.26474,6.98124,6.73317,6.41423,6.50283,6.13073,6.52055,6.57370,6.13073,5.95354,5.95354,5.51057,5.52829,5.19163
2015,Narrabeen 33_11kV,04MAY2014,MW,5.13848,4.96129,4.67778,4.53603,4.92585,4.67778,4.57147,4.28797,4.11078,4.02219,3.89815,3.79184,3.59693,3.54378,3.40202,3.33115,3.33115,3.33115,3.29571,3.18940,3.33115,3.33115,3.54378,3.65009,3.86272,4.07534,4.12850,4.35884,4.64235,4.97901,5.12076,5.59917,5.67004,5.84723,6.02442,6.16617,6.37880,6.43195,6.21933,6.23705,6.23705,6.27248,6.00670,5.84723,5.86495,5.84723,5.74092,5.56373,5.47513,5.45741,5.45741,5.54601,5.38654,5.36882,5.36882,5.22707,5.45741,5.45741,5.56373,5.43970,5.52829,5.74092,5.84723,5.98898,5.86495,5.86495,6.44967,6.71546,7.01668,7.65456,8.27472,8.68225,8.66453,8.66453,8.78856,8.66453,8.31015,8.00893,7.83174,7.76087,7.58368,7.45965,7.72543,7.24702,6.91036,6.68002,6.71546,6.37880,6.68002,6.59142,6.07758,5.70548,5.58145,5.17391,5.29795,4.97901
2015,Narrabeen 33_11kV,05MAY2014,MW,4.85497,4.67778,4.35884,4.32341,4.81954,4.57147,4.37656,4.23481,4.14622,3.88043,3.84500,3.70325,3.54378,3.45518,3.33115,3.31343,3.31343,3.26027,3.29571,3.36659,3.52606,3.80956,4.12850,4.53603,5.13848,5.63460,5.79407,6.21933,6.30792,6.46739,6.64458,6.75089,6.66230,6.48511,6.32564,6.21933,6.30792,6.13073,5.95354,5.79407,5.63460,5.42198,5.38654,5.17391,5.22707,5.03216,5.26251,5.15619,5.12076,5.20935,5.26251,5.26251,5.04988,5.26251,5.26251,5.24479,5.43970,5.51057,5.51057,5.42198,5.43970,5.54601,5.52829,5.75864,6.02442,6.20161,6.34336,6.75089,7.14071,7.95578,8.46962,8.77085,8.78856,8.94803,9.03663,8.93032,8.73541,8.68225,8.50506,8.27472,8.06209,8.02665,8.22156,7.76087,7.40649,7.19387,7.06983,6.75089,6.94580,6.87493,6.50283,6.13073,5.95354,5.38654,5.51057,5.24479
2015,Narrabeen 33_11kV,06MAY2014,MW,5.12076,4.85497,4.60691,4.48288,4.83725,4.71322,4.51831,4.30569,4.27025,4.11078,3.80956,3.77412,3.77412,3.77412,3.66781,3.41974,3.50834,3.50834,3.49062,3.57921,3.73868,4.02219,4.28797,4.76638,5.28023,5.65232,6.04214,6.43195,6.39652,6.76861,6.94580,6.92808,6.94580,6.66230,6.62686,6.37880,6.37880,6.25476,6.00670,5.93582,5.86495,5.72320,5.70548,5.63460,5.43970,5.49285,5.31566,5.35110,5.28023,5.29795,5.26251,5.28023,5.26251,5.28023,5.26251,5.35110,5.49285,5.40426,5.49285,5.52829,5.43970,5.56373,5.61688,5.74092,5.86495,6.07758,6.18389,6.57370,6.87493,7.60140,7.84946,8.11525,8.29244,8.46962,8.54050,8.46962,8.38103,8.22156,8.00893,7.76087,7.47737,7.49509,7.79631,7.42421,7.10527,6.64458,6.75089,6.44967,6.75089,6.52055,6.13073,5.82951,5.77635,5.26251,5.35110,4.92585
2015,Narrabeen 33_11kV,07MAY2014,MW,4.99672,4.76638,4.48288,4.41200,4.83725,4.62463,4.42972,4.30569,4.02219,3.93359,3.86272,3.77412,3.68553,3.54378,3.45518,3.38431,3.34887,3.34887,3.34887,3.43746,3.77412,3.82728,4.21709,4.58919,5.22707,5.63460,5.77635,6.14845,6.18389,6.52055,6.55599,6.76861,6.87493,6.78633,6.62686,6.25476,6.11301,6.04214,5.70548,5.63460,5.47513,5.47513,5.36882,5.35110,5.28023,5.33338,5.36882,5.40426,5.31566,5.29795,5.42198,5.43970,5.42198,5.31566,5.26251,5.38654,5.40426,5.40426,5.42198,5.43970,5.51057,5.58145,5.81179,5.90039,6.00670,6.14845,6.36108,6.62686,7.01668,7.68999,7.97350,8.25700,8.34559,8.52278,8.54050,8.41647,8.34559,8.18612,8.09753,7.84946,7.63684,7.67227,7.93806,7.58368,7.31790,6.96352,6.91036,6.66230,6.89264,6.62686,6.21933,5.88267,5.86495,5.38654,5.49285,5.24479
2015,Narrabeen 33_11kV,08MAY2014,MW,5.06760,4.71322,4.46516,4.28797,4.78410,4.71322,4.46516,4.25253,4.05762,3.88043,3.77412,3.82728,3.65009,3.57921,3.57921,3.40202,3.49062,3.49062,3.43746,3.50834,3.72096,3.98675,4.23481,4.53603,5.13848,5.43970,5.82951,6.34336,6.39652,6.71546,6.99896,7.21158,7.30018,7.19387,6.92808,6.71546,6.64458,6.48511,6.25476,5.95354,5.84723,5.59917,5.43970,5.47513,5.40426,5.49285,5.43970,5.38654,5.38654,5.35110,5.35110,5.33338,5.36882,5.45741,5.43970,5.51057,5.54601,5.54601,5.56373,5.54601,5.61688,5.82951,5.81179,5.93582,6.00670,6.21933,6.36108,6.73317,6.99896,7.76087,8.39875,8.96575,9.03663,9.16066,9.12522,8.93032,8.64681,8.59366,8.34559,8.20384,7.99121,7.90262,8.16840,7.74315,7.17615,6.83949,6.91036,6.55599,6.92808,6.68002,6.21933,5.84723,5.65232,5.19163,5.38654,5.03216
2015,Narrabeen 33_11kV,09MAY2014,MW,4.96129,4.80182,4.50060,4.44744,4.85497,4.64235,4.44744,4.25253,4.07534,3.91587,3.77412,3.70325,3.54378,3.38431,3.33115,3.36659,3.45518,3.38431,3.38431,3.52606,3.66781,3.89815,4.21709,4.39428,4.97901,5.45741,5.84723,6.14845,6.07758,6.39652,6.52055,6.53827,6.55599,6.64458,6.44967,6.25476,6.14845,6.05986,6.07758,5.97126,5.86495,5.67004,5.79407,5.79407,5.72320,5.58145,5.63460,5.74092,5.82951,5.67004,5.56373,5.72320,5.82951,5.77635,5.75864,5.81179,5.74092,5.88267,5.88267,5.77635,5.86495,5.84723,5.98898,6.20161,6.25476,6.37880,6.59142,6.85721,7.24702,7.79631,7.93806,8.00893,7.93806,8.02665,8.06209,7.93806,7.93806,7.81403,7.61912,7.49509,7.21158,7.26474,7.61912,7.19387,6.89264,6.52055,6.62686,6.34336,6.76861,6.69774,6.16617,5.77635,5.75864,5.22707,5.33338,5.04988
2015,Narrabeen 33_11kV,10MAY2014,MW,5.01444,4.81954,4.64235,4.39428,4.78410,4.71322,4.51831,4.28797,4.09306,3.96903,3.77412,3.66781,3.52606,3.49062,3.50834,3.40202,3.33115,3.33115,3.33115,3.40202,3.49062,3.56149,3.56149,3.73868,3.95131,4.19937,4.41200,4.73094,4.92585,5.26251,5.56373,5.75864,6.09529,6.16617,6.41423,6.30792,6.41423,6.21933,6.23705,6.23705,6.20161,6.07758,6.30792,5.97126,5.95354,5.75864,5.67004,5.90039,5.97126,5.90039,5.79407,5.79407,5.97126,5.91811,5.82951,5.67004,5.91811,5.82951,5.97126,6.09529,6.02442,6.11301,6.16617,6.29020,6.11301,6.07758,6.32564,6.59142,6.68002,7.12299,7.56596,7.76087,7.60140,7.47737,7.58368,7.38877,7.19387,7.01668,6.94580,6.80405,6.66230,6.53827,6.92808,6.43195,6.13073,5.90039,6.02442,5.77635,6.30792,6.30792,6.07758,5.68776,5.67004,5.26251,5.36882,5.08532
