year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Nelson Bay 33_11kV,01MAY2017,MW,9.98762,9.16513,9.21088,9.88595,8.74370,7.92519,7.76218,8.00170,7.37486,7.10791,6.98804,6.89766,6.75546,6.71221,6.61314,6.60913,6.69760,6.73189,6.84557,6.86654,7.31830,7.63333,8.00574,8.27486,9.00129,9.40545,10.26560,10.08787,10.08149,10.35041,10.60272,10.70844,11.05280,11.00776,10.77343,10.43219,10.18055,10.06514,9.67384,9.52098,9.67470,9.92472,9.45645,9.16285,8.95514,8.59293,8.37952,8.73227,8.43505,8.26158,8.88794,9.33923,9.08467,8.96925,8.97735,9.03190,9.53790,8.97740,9.26241,9.47179,9.11194,9.36571,9.54972,9.70951,10.10192,10.30738,10.45097,10.96621,11.31750,12.41143,12.78400,12.88277,12.87980,12.51360,12.15887,11.96029,11.53823,11.66424,11.23666,10.93066,10.55676,10.09120,9.90314,9.61349,9.39386,9.23755,9.61063,9.14672,11.21944,10.74044,9.74336,9.43861,10.77591,10.33684,10.60642,11.65717
2018,Nelson Bay 33_11kV,02MAY2017,MW,12.18493,11.23238,10.78030,11.28448,10.30683,9.44423,8.99562,9.52389,8.69201,8.05720,7.67460,7.33665,7.10105,6.73447,6.74295,6.64363,6.68152,6.65707,6.65395,6.76810,7.14233,7.44137,7.78258,8.14663,8.72221,9.18888,9.89824,9.81864,9.71612,10.09768,10.30449,10.40417,10.73435,10.33486,10.25943,10.35639,10.19012,9.65187,9.81761,9.76447,9.95346,9.23678,9.16114,8.78912,8.80368,8.83493,8.88855,8.97277,8.52851,8.59261,8.86019,8.60729,8.64985,8.68409,8.60046,8.61044,8.68841,8.82050,8.95390,9.22272,9.33571,9.53996,9.64651,9.89376,10.09241,10.43737,10.73728,11.28094,11.70163,12.43608,12.89408,12.72728,12.64868,12.42409,12.14351,11.77871,11.44869,11.39084,10.95469,10.73267,10.32826,10.15697,10.04985,9.60977,9.37483,9.14213,9.31186,8.98389,11.05109,10.61821,9.77959,9.05640,10.48786,10.24173,10.47214,11.55407
2018,Nelson Bay 33_11kV,03MAY2017,MW,12.00822,10.99599,10.67464,11.04426,10.27068,9.48504,9.05326,9.36927,8.78527,8.19452,7.77075,7.42622,7.24055,6.89926,6.76202,6.64489,6.54500,6.61157,6.71275,6.84186,7.22213,7.49012,7.73670,7.92433,8.54511,9.29116,9.91629,9.74561,9.67614,10.13229,10.20672,10.36342,10.92785,11.04010,10.98590,10.88989,10.92360,10.74706,10.59783,9.98431,9.42926,9.23326,9.36716,9.37598,9.53292,9.43422,9.65365,9.92782,10.20279,10.07324,9.92687,9.81820,9.97503,10.09506,10.12044,9.91474,9.86012,9.33161,9.07999,9.52275,9.87973,9.92251,10.05131,10.10773,10.39790,10.82613,11.15065,11.62683,12.21600,12.92790,13.26799,13.02725,12.88626,12.65530,12.44042,12.05653,11.84711,11.93181,11.35020,11.14723,10.71691,10.33302,10.09692,9.77754,9.59588,9.39162,9.52479,9.12571,11.38498,11.01118,10.11270,9.52170,10.83168,10.56218,10.83354,11.80798
2018,Nelson Bay 33_11kV,04MAY2017,MW,12.24176,11.24037,10.92869,11.28841,10.58647,9.65056,9.21746,9.58890,8.84769,8.27221,7.89441,7.49491,7.30980,6.88690,6.64771,6.57639,6.53851,6.65701,6.66320,6.98922,7.25783,7.62034,7.79880,8.13868,8.74152,9.35237,9.81785,9.86815,9.99668,10.19175,10.41632,10.47477,10.76895,10.80086,10.45005,10.18783,9.94493,9.88424,10.18556,10.36478,10.10754,9.47520,9.35789,9.56250,9.61313,9.34580,9.97229,9.76539,9.66536,9.53932,9.48803,9.47779,9.48873,9.35619,9.18522,9.37427,9.26677,8.66799,8.79416,9.32004,9.45852,9.47408,9.63379,9.60154,9.87698,10.05137,10.43125,10.88468,11.40110,12.28959,12.89816,12.96526,13.05731,12.92789,12.72787,12.40918,12.10466,12.18306,11.53799,11.35020,11.20435,10.95881,10.68521,10.52874,10.22633,9.80143,10.04233,9.71299,11.94617,11.27435,10.19862,9.66405,11.04763,10.65656,10.88348,11.94113
2018,Nelson Bay 33_11kV,05MAY2017,MW,12.63177,11.47369,10.89930,11.32423,10.63957,9.74469,9.30125,9.73082,9.08161,8.43085,7.84113,7.42176,7.04491,7.01929,6.75789,6.74275,6.66594,6.72414,6.71590,6.80784,7.29986,7.53152,7.88375,8.37395,8.92728,9.47488,10.25304,10.06805,9.93693,10.28328,10.51478,10.43290,10.58283,10.40560,10.24682,9.98083,9.91890,9.59092,9.37762,9.14684,9.06091,8.89146,8.66476,8.72293,8.80904,8.80763,8.79286,8.68371,8.53757,8.48470,8.77749,8.88878,8.72506,8.64552,8.56888,8.58745,8.51195,8.62764,8.77885,8.72710,8.76336,8.77394,9.08967,9.47485,9.60964,9.95370,10.23375,10.85894,11.20434,11.92047,12.47410,12.23909,12.24049,12.24613,12.02365,11.95517,11.92695,11.91954,11.69549,11.41678,10.92930,10.81046,10.60279,10.45135,10.29992,10.05074,10.29692,9.97594,11.95106,11.42881,10.46313,9.81959,11.40801,11.01261,11.46857,12.32319
2018,Nelson Bay 33_11kV,06MAY2017,MW,12.60000,11.70111,11.22082,11.65900,10.90519,9.80594,9.11303,8.52998,9.25294,8.89744,8.27429,7.96218,7.61970,7.29260,7.04638,6.95462,6.95047,6.87687,6.69107,6.82200,7.10280,7.31393,7.54746,7.75565,8.06427,8.21219,8.71202,9.27186,9.72947,10.17048,10.82888,11.11901,11.46766,11.58155,11.61678,11.44436,11.40560,11.86179,12.08856,11.53285,10.76645,10.59046,10.28563,9.90651,9.63897,9.36956,9.31936,9.43899,9.16521,9.05631,8.88672,8.82154,8.74523,8.75343,8.76510,8.85407,8.85025,8.96981,9.10674,9.38657,9.51688,9.62644,9.71708,9.99802,10.28732,10.54900,11.11995,11.13036,11.55951,12.28681,12.87104,12.80252,12.79930,12.59055,12.30176,11.94476,11.65534,11.70800,11.27635,10.84683,10.56438,10.22874,10.06211,9.83168,9.77187,9.52206,11.18702,10.41511,10.10364,9.49244,9.76885,9.26050,10.96655,10.41597,9.49671,10.01448
2018,Nelson Bay 33_11kV,07MAY2017,MW,10.05923,9.02198,9.03117,9.90964,8.61087,7.82521,7.38101,7.07774,7.50475,7.22462,6.97115,6.72213,6.67484,6.65532,6.57010,6.62430,6.53417,6.60788,6.82637,6.75024,7.03417,7.17540,7.15036,7.30469,7.67028,7.81559,8.21512,8.54332,8.89185,9.28864,9.63184,10.03987,10.48283,10.79073,10.95115,10.96454,11.12630,10.97566,10.71570,10.52276,10.22804,10.24050,10.04553,9.82116,9.53700,9.46592,9.55825,9.18953,8.96811,9.03025,8.92207,8.76302,8.71427,8.79596,8.73466,8.80370,8.82247,8.97081,9.01974,9.04970,9.13715,9.33537,9.37536,9.75631,10.01339,10.53720,10.77633,10.80651,11.40398,12.24191,12.59969,12.61782,12.93066,12.74970,12.50162,12.14593,11.85814,11.87418,11.12225,10.74264,10.34744,10.08291,9.92570,9.74428,9.66219,9.33515,10.91889,10.24906,9.78735,9.01453,9.28109,8.85845,10.53699,10.00466,8.98125,9.56250
2018,Nelson Bay 33_11kV,08MAY2017,MW,9.70650,8.84511,8.80621,9.76341,8.62134,7.84741,7.62013,7.73239,7.26945,6.99354,6.82466,6.67942,6.56986,6.56508,6.58204,6.53990,6.71898,6.69514,6.69261,6.97762,7.33984,7.72172,8.02985,8.44623,8.93157,9.40372,10.03601,10.03564,10.10004,10.71502,10.98429,11.07403,11.08741,11.27086,11.00764,10.88640,10.70519,10.37583,10.38571,10.49083,10.26089,10.08710,9.56887,9.32149,9.03137,9.04419,8.90099,9.16702,9.55290,9.50827,9.49085,9.69554,9.52680,9.35975,9.19003,9.01377,8.74865,9.01345,8.85140,8.91371,9.12625,9.34358,9.71249,9.95019,10.02637,10.27657,10.67116,11.13277,11.73469,12.71721,13.28826,13.11874,13.10538,12.92411,12.73513,12.32791,12.00193,11.96534,11.58701,11.33654,10.92582,10.58808,10.27098,9.93791,9.73809,9.46108,9.64278,9.18726,11.38249,10.92993,10.06065,9.51754,10.87975,10.46972,10.98745,12.04115
2018,Nelson Bay 33_11kV,09MAY2017,MW,12.51842,11.42541,11.11586,11.47498,10.74102,9.71901,9.49175,9.88948,9.12463,8.54383,8.02615,7.78711,7.29508,7.16465,6.97353,6.91831,6.77994,6.78187,6.77158,6.88938,7.42181,7.60060,7.78205,8.35960,9.25563,9.63795,10.35237,10.34144,10.23632,10.54224,11.09500,11.38111,11.92349,11.95076,11.92710,11.75297,11.51608,11.16459,11.12404,10.96205,10.62080,10.45127,10.12258,9.33726,9.42402,9.51107,9.63193,9.82977,10.02448,10.05742,10.01029,9.88830,9.96277,9.71113,9.84006,9.81476,9.65300,9.27169,9.46136,9.44621,9.89386,10.25021,10.54004,10.62958,10.97669,11.29446,11.50763,11.83704,12.35065,13.35825,13.90939,13.68627,13.68924,13.40177,13.09032,12.81985,12.55709,12.51659,12.12720,11.64322,11.31906,10.99581,10.61997,10.23208,10.00954,9.76547,10.05925,9.51591,11.71702,11.31226,10.31185,9.93585,11.43095,11.03077,11.25502,12.12388
2018,Nelson Bay 33_11kV,10MAY2017,MW,12.98297,11.95529,11.44891,11.65395,10.97043,10.02517,9.55578,10.02859,9.28765,8.72004,8.16119,7.73052,7.40803,7.22392,7.00780,6.90214,6.86373,6.87913,6.96509,7.13890,7.54347,7.72969,8.22710,8.59821,9.34258,9.93469,10.60804,10.50992,10.61223,10.90609,11.46561,11.81647,11.87147,11.33622,11.21513,10.94466,10.63084,10.53872,10.55479,10.74631,10.53743,10.26716,9.79268,9.64641,9.30102,8.68386,8.52694,8.98673,9.37374,9.43950,9.08970,9.40074,9.62954,9.63811,9.17541,8.89067,8.82786,8.92065,9.04494,9.12835,9.17304,9.22419,9.66667,9.76055,9.99016,10.40718,10.80285,11.33282,11.96638,12.93291,13.41825,13.29825,13.09796,12.97499,12.77400,12.43677,12.14234,12.08122,11.85581,11.45807,11.02404,10.70323,10.53099,10.44582,10.30657,9.86311,10.14833,9.72143,11.90577,11.36125,10.40889,9.70742,11.04880,10.60064,10.86827,11.98335
