year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,New Lambton 33_11kV,01MAY2016,MW,6.69581,6.54434,6.54852,6.60248,6.40117,6.12382,5.99659,5.98716,6.06847,5.88817,5.88832,5.71789,5.70252,5.66333,5.66163,5.76723,5.90716,5.88595,5.94347,5.99842,5.95387,5.91740,5.86722,5.79494,6.01520,6.07154,6.06430,6.21622,6.30666,6.52479,7.00460,7.13867,7.07643,7.36654,7.52001,7.75616,7.86197,7.95561,7.86263,7.94435,7.95240,7.95234,7.88155,7.93547,7.97154,7.92219,7.94831,7.93309,7.85035,7.78387,7.83984,7.77227,7.72381,7.65486,7.76132,7.69966,7.62595,7.62187,7.56815,7.66314,7.67181,7.78178,7.73781,7.79306,7.87124,7.88367,7.97009,7.96634,8.07687,8.12479,8.30684,8.33405,8.52365,8.54903,8.44477,8.35835,8.30870,8.19941,7.97505,7.80338,7.72461,7.55791,7.56717,7.49827,7.42562,7.26982,7.95476,7.59290,7.46148,7.18699,7.36600,7.19660,7.21835,6.88966,6.60043,6.45190
2017,New Lambton 33_11kV,02MAY2016,MW,6.45587,6.26725,6.23241,6.40808,6.10775,5.88795,5.86759,5.93227,5.73738,5.71759,5.68562,5.61140,5.67419,5.50554,5.47449,5.48131,5.31438,5.41074,5.40181,5.44313,5.65852,5.88642,6.00252,6.06175,6.50378,6.72634,6.84435,6.97501,7.37536,7.68234,7.64403,7.89472,7.90775,7.69286,7.69888,7.59746,7.60179,7.76070,7.90873,7.85873,8.05883,8.00571,7.98953,8.13012,8.32821,8.24717,8.24100,8.31653,8.29269,8.29981,8.38106,8.38935,8.39440,8.38853,8.45532,8.42894,8.35268,8.44361,8.29341,8.14158,8.19642,8.31025,8.29205,8.37399,8.47846,8.68667,8.62874,8.63750,8.86265,8.89452,8.94531,8.82603,8.96696,9.14166,8.72506,8.65579,8.58770,8.57447,8.40091,8.11668,7.97189,7.75703,7.67686,7.58410,7.36654,7.42106,7.41554,7.35709,8.09707,7.89176,7.70916,7.48326,7.33163,7.05061,7.05113,7.03238
2017,New Lambton 33_11kV,03MAY2016,MW,7.01567,6.88936,6.66763,6.63142,6.37168,6.19694,6.20014,6.20493,6.04700,6.08907,6.06077,5.90851,5.95028,5.87109,5.84280,5.75074,5.53649,5.47688,5.49437,5.61715,5.61935,5.67174,5.97253,5.99771,6.32709,6.47412,6.69523,6.85239,7.19454,7.57207,7.66690,7.92624,7.93385,7.81572,7.83690,7.67024,7.75795,7.72306,7.59681,7.66681,7.96312,7.89316,7.75564,7.73030,7.93226,7.86728,7.85573,7.84494,7.67705,7.92811,7.72873,7.70068,7.83764,7.92764,7.97490,7.99158,8.04598,7.97154,8.03849,8.01592,7.93116,8.00141,8.11151,8.21866,8.20228,8.26056,8.19365,8.27278,8.30788,8.60979,8.57663,8.48101,8.55138,8.50385,8.51659,8.49311,8.24485,8.11492,7.89792,7.60504,7.61832,7.54280,7.38276,7.36392,7.12771,7.02861,7.15329,7.00342,7.70041,7.55910,7.31414,6.93784,7.01009,6.73949,6.64203,6.69665
2017,New Lambton 33_11kV,04MAY2016,MW,6.68722,6.47228,6.35902,6.41799,6.13561,5.93215,5.90063,6.09006,5.90774,5.71578,5.64436,5.50997,5.39260,5.32919,5.38025,5.26853,5.48175,5.52355,5.52918,5.53051,5.63747,5.70706,5.87472,5.86463,6.13228,6.35625,6.58854,6.82024,7.04594,7.32973,7.46575,7.54543,7.51947,7.59716,7.57915,7.45301,7.49561,7.35304,7.43004,7.38977,7.48361,7.51075,7.43850,7.58228,7.49207,7.50694,7.67405,7.98201,8.00435,8.01497,7.88996,7.87450,7.79712,7.82881,7.99653,7.94676,8.03607,7.98925,7.98693,7.98845,7.80324,7.85099,7.92554,8.02376,8.09250,8.08253,8.07446,8.16602,7.96320,7.95822,8.29071,8.34687,8.30129,8.37208,8.49110,8.60749,8.41010,8.36836,8.22653,8.04528,7.84217,7.61922,7.59394,7.50636,7.37275,7.30382,7.15636,7.09415,7.79652,7.41787,7.25750,7.19131,7.15215,6.94957,6.92690,6.93418
2017,New Lambton 33_11kV,05MAY2016,MW,6.73089,6.45618,6.38023,6.44011,6.34736,6.06472,5.97893,6.07440,5.84305,5.85486,5.75041,5.67830,5.52459,5.51990,5.50982,5.43864,5.47966,5.47403,5.33818,5.38268,5.57389,5.55782,5.75953,5.95029,6.43981,6.62502,6.96854,7.01387,7.23343,7.40058,7.66887,7.78495,7.72036,7.66204,7.72618,7.65608,7.69137,7.61769,7.57383,7.56119,7.63274,7.40515,7.47583,7.52019,7.51048,7.62537,7.62021,7.75377,7.77302,7.78357,7.63451,7.68515,7.70532,7.64626,7.76918,7.76889,7.82117,7.85032,7.83455,7.70002,7.72916,7.89462,7.87748,7.97549,7.99827,8.03168,8.28453,8.33865,8.40379,8.53904,8.61764,8.55495,8.61586,8.64331,8.62457,8.59019,8.21756,8.20117,8.09776,7.85152,7.82028,7.72018,7.59813,7.48416,7.40783,7.37097,7.34303,7.30160,7.91762,7.62873,7.51193,7.34477,7.24908,7.00014,6.99318,6.96559
2017,New Lambton 33_11kV,06MAY2016,MW,6.85189,6.69254,6.45767,6.38254,6.22817,6.02803,5.98103,6.06072,5.89510,5.81014,5.67685,5.55700,5.50698,5.41765,5.28801,5.34563,5.36397,5.32032,5.22987,5.47166,5.46274,5.45165,5.58041,5.88964,6.27981,6.45282,6.81839,6.96649,7.19583,7.47521,7.71917,7.69549,7.58198,7.48166,7.40896,7.42673,7.40154,7.72800,7.73265,7.61678,7.63769,7.74501,7.65448,7.70204,7.77669,7.88626,8.09421,8.05816,8.11346,8.08360,8.06333,7.97360,7.94380,7.89755,8.01582,8.04347,8.06259,8.05574,8.02473,8.01674,7.95041,7.86641,7.94692,7.97990,8.02829,8.06845,8.16371,7.97035,7.88650,8.18825,8.24001,7.97136,8.03642,8.08224,8.07692,7.98991,7.71992,7.75299,7.80433,7.68611,7.45103,7.33473,7.28011,7.21868,7.09924,7.05106,7.18950,7.16441,7.80799,7.54842,7.36903,7.33555,7.37804,7.14836,7.19142,7.09258
2017,New Lambton 33_11kV,07MAY2016,MW,6.89345,6.68796,6.61086,6.58769,6.42934,6.15585,6.02398,5.95898,6.12554,5.98631,5.86434,5.76783,5.63013,5.55148,5.52468,5.45135,5.39614,5.40819,5.38163,5.42508,5.39470,5.39306,5.44196,5.52167,5.85589,5.98638,6.06230,6.21623,6.29916,6.59780,6.75321,6.89693,6.99956,6.91290,6.98673,7.04006,7.11397,7.23063,7.52471,7.30729,7.36078,7.42789,7.42376,7.40641,7.37345,7.35027,7.36646,7.55731,7.42335,7.45173,7.46345,7.48058,7.43631,7.46240,7.47574,7.43358,7.44505,7.53470,7.52645,7.39055,7.45326,7.50062,7.53444,7.63945,7.81612,7.86990,7.94318,7.95002,8.03732,8.26717,8.40766,8.46973,8.48303,8.45148,8.29106,8.19053,8.15304,8.15039,7.85774,7.61273,7.56035,7.46809,7.44691,7.33821,7.35353,7.22108,7.85902,7.40911,7.31800,7.13264,7.33711,7.14726,7.34586,7.14509,6.81140,6.60184
2017,New Lambton 33_11kV,08MAY2016,MW,6.61645,6.32956,6.32488,6.51476,6.13282,5.95382,5.92962,5.72966,5.83374,5.77015,5.71087,5.61671,5.73140,5.61581,5.59887,5.57267,5.63503,5.50341,5.51546,5.47522,5.53178,5.63422,5.90772,5.84481,5.95588,6.11879,6.14250,6.31149,6.49960,6.60255,6.54251,6.77980,6.86299,6.98062,7.04015,7.08285,7.45183,7.51908,7.43784,7.45985,7.60096,7.46634,7.28701,7.41909,7.38785,7.44686,7.37058,7.32355,7.26803,7.36426,7.06943,6.96259,7.03987,6.92918,7.19287,7.19961,7.16527,7.12420,7.00981,7.05794,7.13698,7.22962,7.28106,7.19759,7.44234,7.55903,7.69916,7.79128,7.91956,8.23095,8.23173,8.20871,8.27452,8.20452,8.15437,8.20709,8.04251,8.05692,7.77170,7.88819,7.70921,7.49311,7.43032,7.23824,7.38232,7.22225,7.75306,7.60302,7.39005,7.34854,7.46171,7.16497,7.46127,7.12260,6.86893,7.02808
2017,New Lambton 33_11kV,09MAY2016,MW,6.83737,6.57911,6.42181,6.42426,6.18226,6.09656,6.01550,5.98874,5.94879,5.81093,5.72232,5.74855,5.76485,5.64224,5.66686,5.65939,5.63322,5.61319,5.63005,5.73861,5.82662,5.84721,6.13680,6.15310,6.55729,6.98117,7.34552,7.53810,7.74095,8.14600,8.22711,8.25652,8.24244,8.12464,8.30936,8.33697,8.37714,8.25045,8.32677,8.36866,8.43444,8.31658,8.31562,8.37056,8.30322,8.38964,8.41767,8.68550,8.80249,8.63371,8.45839,8.49836,8.58126,8.51191,8.34358,8.26858,8.32156,8.21568,8.14071,8.07127,8.17699,8.25867,8.35811,8.35802,8.43998,8.60753,8.86260,8.93001,9.12927,9.26609,9.33086,9.35171,9.48445,9.41211,9.25227,9.17257,8.94056,8.73234,8.69272,8.52326,8.23897,8.19075,8.11511,7.96528,7.82954,7.68042,7.83733,7.69256,8.29460,8.02330,7.62158,7.50958,7.43110,7.22838,7.25215,7.26966
2017,New Lambton 33_11kV,10MAY2016,MW,7.15326,6.94235,6.85072,6.67864,6.53357,6.35222,6.19333,6.27744,6.17898,5.97895,5.91176,5.77608,5.74631,5.68702,5.67968,5.77992,5.84749,5.64743,5.59608,5.71390,5.77049,5.90260,6.15800,6.23989,6.41651,6.44799,6.74186,6.92529,7.16282,7.48859,7.64731,7.85778,7.96574,7.91181,7.67138,7.54878,7.56325,7.57266,7.62299,7.72495,7.81551,7.65349,7.71660,7.70987,7.67813,7.70450,7.84171,7.92269,7.86654,7.75479,7.68773,7.62906,7.66729,7.72953,7.63686,7.67567,7.65311,7.66000,7.62936,7.61710,7.59606,7.54536,7.77269,7.57559,7.55745,7.53981,7.63773,7.69164,7.78948,8.05153,8.48274,8.51193,8.58259,8.54121,8.44078,8.37045,8.08197,7.96516,7.74839,7.60575,7.42151,7.34133,7.30801,7.20602,7.13070,6.91034,7.01960,7.01433,7.62377,7.39949,7.28915,7.14973,7.22656,6.80212,6.66013,6.56724
