year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Newcastle CBD 33_11kV,01MAY2014,MW,15.12045,14.48166,14.57016,15.20476,14.75758,14.28397,13.78381,13.58324,13.34178,12.81495,12.49914,12.51924,12.29032,12.14332,12.17471,12.07509,12.32371,12.37333,12.32840,12.76943,13.46216,13.70577,14.31901,15.00930,16.28684,16.95270,18.59011,19.21471,20.25998,21.25127,22.68843,22.58148,23.45567,24.01761,24.41242,24.61494,24.60470,24.86268,25.10885,25.30517,25.52655,25.52296,25.82986,25.62066,25.74797,25.82770,25.82692,26.00719,26.30198,26.23164,26.30307,26.28492,26.31763,26.35024,26.25774,26.25342,26.34626,26.20580,26.17940,25.81560,25.85748,26.01491,25.69136,25.62099,25.53425,25.32678,25.28056,25.30094,24.67144,24.90666,25.11098,25.05281,24.25877,24.24520,24.18214,23.85887,23.44704,23.47472,22.70214,22.23751,21.40903,20.84698,20.27269,19.81833,19.27389,18.92667,18.68112,17.81959,18.98223,18.06327,17.31434,16.62731,16.39497,15.63040,15.44037,15.52327
2015,Newcastle CBD 33_11kV,02MAY2014,MW,15.20835,14.56649,14.59269,15.39535,14.94536,14.23054,13.84756,13.64679,13.26436,13.06037,12.89135,12.75567,12.57251,12.30981,12.32938,12.35664,12.39342,12.43407,12.53288,12.75512,13.02211,13.34244,13.77270,14.51760,15.84891,16.38587,17.59930,18.12100,19.36887,20.55157,21.77749,22.65683,23.51641,23.81109,24.54363,24.33190,24.34439,24.68521,24.80857,25.08946,25.51881,25.36632,25.62066,25.76096,25.38627,25.51451,25.67810,26.07673,26.25567,26.23933,26.10864,26.15504,26.19339,26.24060,26.50203,26.32976,26.32034,26.10584,26.19687,26.26021,26.23689,25.94606,25.79159,25.47858,25.26298,25.20987,25.09415,24.93199,24.04372,24.22394,24.20234,23.61645,23.16146,22.92279,22.82518,22.61632,22.13943,22.15942,21.40801,21.14860,20.49522,20.29959,19.87409,19.60307,19.02473,18.39223,18.39657,17.90671,19.18296,18.58406,17.60765,17.16755,16.75711,16.11107,16.09541,16.23979
2015,Newcastle CBD 33_11kV,03MAY2014,MW,15.79768,15.16151,15.08234,15.60624,15.16714,14.53278,13.95572,13.51811,13.57593,13.00126,12.74175,12.47992,12.36221,12.25208,12.04459,11.96130,12.13916,12.03235,12.00078,12.11625,12.35486,12.44659,12.55378,12.76622,13.13115,13.52838,13.75484,14.03747,14.97585,15.63019,16.46987,17.12562,17.71205,18.23857,18.72432,19.20147,19.28263,19.53086,19.59606,19.93484,19.94115,19.90229,19.85114,20.06142,19.80206,19.58179,19.64402,19.92790,19.58472,19.59810,19.41597,19.50420,19.53910,19.20747,19.35425,19.31706,19.40459,19.29066,19.12011,18.90746,19.08798,18.93947,18.71304,18.83463,18.97217,19.07450,19.20900,19.29119,19.78445,20.92596,21.81288,21.83382,21.93811,21.92032,22.05416,21.81369,21.56116,21.57934,21.06319,20.78314,20.42207,20.22347,19.95342,19.59465,19.35597,19.00833,20.45921,19.79012,18.92209,18.14400,17.94747,17.38761,17.46554,16.89177,16.26000,16.05648
2015,Newcastle CBD 33_11kV,04MAY2014,MW,15.61330,14.71882,14.75188,15.47797,14.50155,13.86333,13.48410,13.16334,13.14039,12.83096,12.74208,12.62223,12.47687,12.43956,12.38842,12.35665,12.23186,12.19569,12.22808,12.32211,12.37091,12.64396,12.72157,13.06039,13.55904,13.72205,13.86464,14.13700,14.75137,15.29187,15.89633,16.51909,16.97126,17.56398,17.88797,18.40438,18.90151,19.12467,19.22822,19.15859,19.34547,19.44418,19.12548,19.15504,18.98498,18.82330,18.85825,18.80429,18.68083,18.60048,18.63018,18.44963,18.25916,18.12664,18.03051,17.95355,17.87784,17.81480,17.93122,17.93981,17.87548,17.96964,17.80947,17.84077,17.85740,17.86817,18.20533,18.38526,18.91813,19.73814,20.83886,21.28771,21.62908,21.72993,21.61193,21.42424,21.41863,21.37535,20.77998,20.50492,20.10115,19.82250,19.51222,19.16302,18.72155,18.07718,19.26584,18.33723,17.60000,16.80079,16.49011,15.81737,16.04281,15.21398,14.44837,14.44039
2015,Newcastle CBD 33_11kV,05MAY2014,MW,14.15079,13.35869,13.32280,14.19348,13.19064,12.71019,12.52543,12.45851,12.09405,11.86765,11.88449,11.84981,11.95804,12.06065,12.02089,12.05035,12.27171,12.57222,12.53024,12.86734,13.55248,14.00610,14.50705,15.35762,16.92460,17.97484,19.12987,19.93357,21.29496,22.84608,24.10812,25.13099,25.82311,26.10957,26.22296,26.03521,26.20093,26.00438,26.07398,25.89401,25.52699,25.48788,25.42760,25.38972,25.27640,25.36045,25.13689,25.27878,25.63325,25.36346,25.53417,25.49829,25.39095,25.08093,24.89408,24.72956,24.68737,24.67227,24.65284,24.47010,24.36135,24.13597,24.26696,24.42992,24.21470,24.40344,24.16843,24.24617,24.63956,25.88613,26.50882,26.47267,25.83105,25.79242,25.52141,25.20037,24.69698,24.63888,23.77105,23.22490,22.66835,22.28266,21.98175,21.29075,20.65566,19.96578,19.60592,18.85434,19.98014,19.30539,18.29691,17.43174,16.72204,15.86763,15.58059,15.57284
2015,Newcastle CBD 33_11kV,06MAY2014,MW,15.24758,14.64064,14.71863,15.33075,14.98612,14.41213,13.98291,14.00399,13.77697,13.30536,12.96863,12.90841,12.66255,12.71526,12.55106,12.56953,12.71006,12.82681,12.74490,13.05090,13.55651,14.03050,14.77338,15.53340,17.31103,18.48161,19.87781,20.59534,22.25272,23.76412,25.03676,25.72677,25.76947,27.24979,27.70505,28.11816,28.09978,28.10331,28.19541,28.01111,27.40865,27.17657,27.41182,27.31699,27.14485,26.97406,26.70871,26.92840,26.98777,26.91906,26.87141,26.77868,26.94764,26.63819,26.61765,26.51810,26.31080,26.18102,26.14365,25.81937,25.91158,25.82476,25.69314,25.76886,25.43250,25.36245,24.77433,25.04440,25.33433,25.74312,25.84277,25.97389,25.26592,25.19411,24.97706,24.76797,24.53870,24.59704,23.99020,23.35133,22.50902,21.97548,21.46204,20.95201,20.26554,19.65850,19.45954,18.58238,19.43226,18.76607,17.93800,17.24682,16.71558,16.10407,15.56840,15.62673
2015,Newcastle CBD 33_11kV,07MAY2014,MW,15.31455,14.68773,14.68438,15.44072,14.88947,14.32528,13.93397,13.99446,13.43896,12.92857,12.65310,12.58896,12.41370,12.23804,12.23472,12.32035,12.35598,12.42955,12.48436,12.67528,13.14483,13.45788,14.07695,14.88041,16.46548,17.08129,18.60391,19.40384,20.84427,21.99837,23.28142,24.05646,24.44807,24.57478,25.08844,25.17193,25.26384,25.26685,25.40594,25.40502,25.61761,25.54215,25.60688,25.47006,25.62390,25.15597,25.21662,25.34085,25.53002,25.64057,25.63544,25.50694,25.55705,25.34252,25.34713,25.45870,25.35861,25.13076,25.07718,25.05414,24.90433,24.76745,24.85463,24.75674,24.52393,24.52492,24.62288,24.84803,24.75352,25.48864,25.56320,25.39043,25.05106,24.91052,24.61628,24.41509,24.01728,24.15863,23.39924,22.87538,22.23183,21.68722,21.30587,20.86702,20.07739,19.66586,19.23888,18.44849,19.64877,19.10974,18.10985,17.34209,16.79260,16.02598,15.67608,15.61436
2015,Newcastle CBD 33_11kV,08MAY2014,MW,15.27328,14.65633,14.50034,15.28139,14.76968,14.17775,13.94983,13.78468,13.41720,12.99195,12.75852,12.56472,12.40856,12.25794,12.09349,12.21912,12.10704,12.17039,12.24381,12.53968,13.10769,13.55399,14.19281,14.91884,16.46537,17.18482,18.53596,19.36559,20.76059,22.46426,23.50650,24.16795,24.62947,24.99419,25.58672,25.75499,25.75907,25.33709,25.41002,25.54982,25.83691,25.67871,25.74096,25.57623,25.62947,25.67140,25.72517,26.01190,26.09467,26.02186,25.86160,25.82250,26.02672,25.83488,25.84390,25.70285,25.70041,25.39823,25.13045,24.92954,24.97725,24.72397,24.78334,24.97419,25.20093,24.91800,25.08201,25.15476,24.97271,25.43566,25.80190,25.92489,25.29129,25.37910,25.50708,25.16523,24.58289,24.52880,23.83941,23.42914,22.68289,22.06376,21.73282,21.20229,20.38540,19.74199,19.53607,18.77729,19.79579,19.18392,18.08831,17.44529,17.00329,16.07156,15.71392,15.83720
2015,Newcastle CBD 33_11kV,09MAY2014,MW,15.48384,14.93123,14.76348,15.44040,14.80296,14.21175,13.83909,13.80682,13.48775,13.06110,12.85854,12.74865,12.44694,12.34736,12.27121,12.11821,12.28927,12.35538,12.35156,12.59907,13.00416,13.39165,14.15123,14.95981,16.45103,17.11023,18.46544,19.00650,20.65083,21.91840,23.21048,23.47792,25.47830,26.21040,26.07673,26.07657,26.06290,26.17891,26.29788,26.56568,26.86236,26.81206,26.95006,26.85767,27.01065,27.00298,27.01044,27.09284,27.58158,27.10867,27.02385,26.77124,27.25752,27.27361,27.30826,27.15094,26.74369,26.99403,26.91900,25.82293,25.01242,25.09433,25.32623,24.98193,24.88046,24.97265,24.91987,25.03779,25.11720,25.29605,24.99135,24.51086,24.18699,23.90960,23.57225,23.42905,23.00884,23.18524,22.47364,21.99298,21.44829,21.01797,20.50514,20.02339,19.49136,19.03675,19.03686,18.43287,19.72534,19.10509,18.31620,17.46413,17.31345,16.56134,16.40206,16.36208
2015,Newcastle CBD 33_11kV,10MAY2014,MW,15.90626,15.35197,15.28223,15.96901,15.36394,14.84143,14.35184,13.86617,13.96475,13.54051,13.16566,13.06271,12.52161,12.49151,12.37779,12.27078,12.43212,12.32292,12.29251,12.47810,12.68769,12.77048,12.94012,13.44577,14.05357,14.07320,14.43564,14.63075,15.28075,16.16710,16.67341,17.56037,18.19852,18.61560,18.85255,19.04683,19.19995,19.33845,19.70331,19.72760,20.07151,19.93424,19.88375,19.83475,19.80323,19.70518,19.60714,19.76600,19.79295,19.48576,19.50296,19.61573,19.11345,19.09437,19.17997,19.16172,18.97326,18.79351,18.83970,18.65114,18.67133,18.93768,18.88346,18.98330,19.06975,19.35390,19.54285,19.67135,20.08098,20.96773,21.28275,21.28291,21.17330,21.10319,21.10182,20.78447,20.54222,20.75459,20.16248,19.72644,19.29971,18.99301,18.76059,18.66685,18.45542,18.03571,19.26359,18.52280,17.75261,17.16816,17.15305,16.70401,16.71436,16.06223,15.35315,15.29368
