year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Newdell 66_11kV,01MAY2017,MW,1.43824,1.66798,1.77489,1.78738,1.52861,1.55831,1.58180,1.65927,2.36082,2.68816,2.64192,2.56939,2.61614,2.62536,2.50639,2.19889,2.16892,2.14387,1.77780,1.79160,1.86422,1.83922,1.48644,1.38010,1.54596,1.56948,1.51093,1.39907,1.44474,1.56252,1.47024,1.24610,1.20267,1.20362,1.19120,1.13694,1.11990,1.02216,0.99341,1.07167,1.01071,1.02175,1.04996,1.06247,1.19280,1.25054,1.52227,1.52871,1.56417,1.50421,1.55458,1.63206,1.46446,1.44825,1.38962,1.47182,1.47468,1.41476,1.41154,1.51162,1.40136,1.51828,1.58650,1.64497,1.62738,1.64386,1.67182,1.70520,1.65900,1.55597,1.34725,1.38563,1.43245,1.35451,1.13884,1.06165,0.98800,1.02522,1.14382,1.25414,1.44571,1.70603,2.49386,2.42507,2.46420,2.34335,2.12298,2.30243,2.39453,2.31593,2.10547,1.79383,1.71578,1.67478,1.90617,1.99877
2018,Newdell 66_11kV,02MAY2017,MW,1.56523,1.35746,1.21082,1.32750,1.24832,1.24815,1.19150,1.28373,1.25312,1.32080,1.36282,1.30914,0.92322,0.93301,0.91316,0.89624,0.88859,0.95530,1.14896,1.19652,1.18900,1.16288,1.20945,1.25428,1.43678,1.45591,1.31400,1.54118,1.38464,1.29822,2.08866,2.23705,2.25579,2.30426,2.49073,2.20783,2.15317,2.17872,2.08880,1.53049,1.25231,1.18402,1.12734,1.19881,1.14122,1.30263,1.44593,1.74510,1.74800,1.78368,1.52927,1.07745,1.27636,1.27315,1.37553,1.30189,1.40770,1.38031,1.51540,1.51589,1.58554,1.44971,1.35366,1.35136,1.32826,2.00536,2.23718,2.27161,2.23518,2.28354,2.43021,1.81648,1.42260,1.44469,1.07910,1.10798,1.06839,1.06542,0.95578,0.89368,0.90761,0.93634,0.99791,0.96796,0.93132,0.95805,0.97678,0.94324,0.97483,0.92936,0.97904,0.96424,1.00103,1.18506,1.16347,1.10920
2018,Newdell 66_11kV,03MAY2017,MW,1.15624,1.08192,1.04047,0.91750,0.88816,0.87273,0.94559,0.87615,0.82243,0.88322,0.87906,0.95053,0.87610,0.84275,0.83447,0.97093,0.96971,0.93823,0.97485,1.21221,1.23005,1.18211,1.24990,1.22823,1.22722,1.24591,1.26243,1.31150,1.34504,1.21426,1.14792,1.24738,1.67732,1.56608,1.64913,1.70813,1.63882,1.84560,1.50835,1.57712,1.58159,1.15041,1.05430,1.01708,1.16206,1.16402,1.03921,1.07385,1.14285,1.18195,1.08215,0.95535,0.95312,0.94935,0.77774,0.86783,0.95333,1.05461,0.99140,0.96286,1.01440,1.10712,1.14647,1.13549,1.01505,0.94130,0.97507,1.00994,1.16649,1.32549,1.32255,1.31555,1.33421,1.61672,1.73197,1.41047,1.36153,1.24758,1.28136,1.34703,1.39126,1.27929,1.28296,1.33078,1.52624,1.67151,1.69528,2.01921,1.93828,2.18769,2.17828,2.16367,2.13013,2.14894,2.12362,2.11648
2018,Newdell 66_11kV,04MAY2017,MW,1.86992,1.57412,1.67727,1.70236,1.56552,1.39272,1.09561,1.05763,1.39279,1.84732,1.83711,1.88388,1.40101,1.28227,1.28111,1.37530,1.34964,1.18301,0.92725,0.81109,0.83804,0.90792,1.05055,0.98425,0.97038,0.86188,1.02250,1.05621,0.98370,0.88295,0.88942,0.85765,0.87426,0.85635,0.85420,0.84803,0.75428,0.69923,0.61822,0.62806,0.71963,0.81069,0.78351,0.77661,0.69811,0.78309,0.76574,0.74861,0.60543,0.68033,0.82062,0.73043,0.67758,0.60930,0.74386,0.72988,0.63754,0.78798,0.75086,0.78279,0.67908,0.66213,0.74159,0.72722,0.80471,0.84913,0.83223,0.84354,0.76506,0.85097,1.01219,0.86420,0.84979,0.95771,1.07288,0.94219,1.07974,1.04741,1.00503,0.89280,0.91121,0.92302,0.93732,1.02327,1.07728,1.19142,1.07364,1.12956,1.13276,1.16872,1.20179,1.04917,1.20272,1.65593,1.73036,1.83190
2018,Newdell 66_11kV,05MAY2017,MW,1.75162,1.71988,1.69214,1.42989,1.55695,1.55005,1.61300,1.89597,1.66301,1.30623,1.93968,2.02104,2.01738,1.91821,1.75921,2.25441,2.01126,2.01742,1.98515,2.03886,1.87037,2.11764,2.08045,2.12324,1.44297,1.01028,1.03704,1.08056,1.20444,1.12915,1.10270,1.13397,1.84027,2.10944,2.16869,1.68110,1.35398,1.38281,1.28209,1.67120,2.00963,1.94443,1.35106,1.10096,1.13346,0.78890,0.80757,0.95566,0.78479,0.80886,0.92726,0.88651,0.81428,0.90933,0.84858,0.88454,1.02728,1.12462,1.04785,1.01677,1.05469,0.85611,0.86273,0.94527,0.86992,0.90781,1.03928,0.97092,0.98499,1.04438,1.08931,1.05965,1.06455,1.10205,1.20059,1.14199,1.30165,1.90044,1.82329,1.79818,1.72416,1.62685,1.65453,1.47088,1.25990,1.50554,1.63622,1.61757,1.71966,1.69086,1.66611,1.53337,1.43894,1.19535,1.20165,1.17086
2018,Newdell 66_11kV,06MAY2017,MW,1.30811,1.19276,1.02030,0.94977,0.95952,0.99495,0.94696,1.04195,1.04385,0.96748,1.03231,1.03381,0.94375,0.91742,0.98485,0.81867,0.84685,0.86777,0.99119,0.95573,0.99391,1.00058,0.99220,0.99123,0.98905,1.20380,1.09089,1.01129,0.97226,1.16753,1.82952,2.21009,2.06450,2.10511,1.72091,1.51865,1.43803,1.42811,1.23581,1.06683,0.99763,1.01371,1.13856,1.05590,0.96170,1.01067,0.96893,0.87615,0.90932,0.90749,0.96238,1.00259,1.01185,0.86927,0.86772,0.78051,1.04681,1.03811,1.10568,1.15159,1.26987,1.10810,0.85169,0.82911,0.87018,0.87976,0.80059,0.89263,0.92760,0.99909,0.97680,0.94986,0.84852,0.80958,0.80864,0.83393,0.83584,0.82755,0.93552,0.84391,0.78585,0.83538,1.00958,1.09392,0.95275,0.96046,0.99277,1.00053,1.00328,1.02141,0.95524,1.18741,1.09102,1.18234,1.11571,0.99209
2018,Newdell 66_11kV,07MAY2017,MW,0.87365,0.91850,0.86457,0.77258,0.79953,0.77690,0.75041,0.76560,0.74249,0.87620,0.83059,1.13448,0.98646,0.84340,0.89704,0.85237,0.87214,0.93021,0.89612,0.95139,0.92620,0.91216,1.17662,1.08376,1.31287,1.19193,0.93913,0.96208,1.02386,0.97063,0.83207,0.86024,0.94032,0.91117,0.88706,1.04191,0.92226,0.75885,0.78201,0.84319,0.95785,0.93757,0.88497,0.84886,0.98368,0.84861,0.84878,0.92301,0.83029,0.68485,1.04274,1.19720,1.16859,1.08997,0.92463,0.89635,1.03160,0.81649,0.92354,0.97417,0.97673,1.06393,1.00771,0.91129,1.07712,0.91730,0.90264,0.80390,0.97084,1.00856,1.02376,1.12061,1.17921,1.15920,1.10008,1.12976,1.12950,1.12227,1.20543,1.13293,1.06579,1.06583,1.27665,1.23860,1.14897,1.02798,0.99392,1.06868,1.17654,1.22331,1.09825,1.19394,1.21409,1.16787,1.12068,1.21024
2018,Newdell 66_11kV,08MAY2017,MW,1.13519,1.04003,1.05273,1.09079,1.01163,0.91637,1.01627,1.02050,1.16216,1.43185,1.38757,1.15428,1.08492,1.13888,0.97266,0.90376,0.89398,0.87864,0.90654,0.99019,1.04346,1.05364,1.04080,1.14031,1.58581,1.36032,1.34737,1.31134,1.27146,1.27422,1.30768,1.25417,1.31229,1.36963,1.20963,1.11859,0.84597,0.89554,0.90544,0.97974,1.07188,1.09887,1.11288,1.11746,1.03138,0.99801,1.12995,1.08090,1.23527,1.39235,1.35497,1.38810,1.37217,1.25684,1.23116,1.18314,1.40811,1.43807,1.40822,1.36807,1.35501,1.42440,1.22300,1.36119,1.38334,1.33238,1.04135,1.18166,1.25830,1.32605,1.42041,1.42485,1.31644,1.28437,1.30396,1.29012,1.24402,1.22717,1.22183,1.26388,1.29154,1.23329,1.25012,1.18741,1.15265,1.06922,1.06358,1.18787,1.40596,2.12433,2.13863,2.00115,2.00804,2.07213,2.17645,2.13824
2018,Newdell 66_11kV,09MAY2017,MW,2.10049,2.12132,1.85301,1.66222,1.70034,1.81374,2.26093,2.10270,2.00001,2.13841,2.11793,2.20194,2.26099,2.08468,1.44580,1.03850,1.07158,1.15672,1.08754,1.03145,1.23394,1.29876,1.21764,1.19237,1.25279,1.30986,1.23104,1.26832,1.22698,1.19864,1.27558,1.26482,1.28848,1.40677,1.37666,1.17384,1.14514,1.22410,1.03544,1.11489,1.31243,1.30532,1.18231,1.21096,1.24970,1.29854,1.46295,1.26271,1.19112,1.21466,1.17930,1.16424,1.14003,1.01568,1.00447,1.06800,1.11896,1.21506,1.18682,1.23203,1.24767,1.05028,1.10133,1.12537,1.06639,1.07808,1.04953,1.02734,1.08099,1.18346,1.25285,1.36891,1.32153,1.31790,1.24896,1.14429,1.14867,1.13755,1.13511,1.11707,1.19586,1.19118,1.24511,1.26855,1.24264,1.15455,1.15538,1.12983,1.13791,1.08425,1.11941,1.12566,1.17099,1.28393,1.20534,1.20651
2018,Newdell 66_11kV,10MAY2017,MW,1.17464,1.17150,1.14147,1.22608,1.19950,1.13461,1.19936,1.46608,1.19841,1.21633,1.19010,1.25311,1.15435,1.21365,1.17401,1.14797,1.13097,1.15936,1.15902,1.35956,1.09926,1.07862,1.13660,1.16411,1.35286,1.54168,1.40195,1.38538,1.42562,1.37065,1.26274,1.12954,1.19830,1.08447,0.98116,0.99163,1.04438,0.90579,0.95539,1.04470,0.97004,1.00116,0.94765,1.01940,0.97378,0.98806,1.14574,1.13885,1.06202,1.06481,1.10626,1.05189,1.14163,1.12293,1.11059,1.14319,1.72924,1.91298,1.99818,1.84897,1.96938,1.69907,1.48433,1.20245,1.12328,1.04498,1.05472,1.08785,1.10679,1.11316,1.17730,1.25498,1.38909,1.25057,1.37770,1.27296,1.40640,1.61389,1.91673,2.02017,1.59898,1.51028,1.53318,1.51996,1.36413,1.13489,1.12665,1.10586,1.21847,1.33044,1.53687,1.50842,1.52741,1.58082,1.65399,1.88705
