year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Newport 33_11kV,01MAY2015,MW,4.76123,4.42515,4.14507,4.18242,4.72389,4.38780,4.14507,3.90235,3.75297,3.62227,3.58493,3.51024,3.45423,3.37954,3.39821,3.24884,3.32353,3.41689,3.34220,3.34220,3.51024,3.71563,3.93969,4.14507,4.48116,5.02264,5.47075,5.75082,5.78817,6.06824,6.27363,6.44167,6.29230,6.36698,6.31097,6.21761,6.18027,5.80684,5.69481,5.69481,5.48942,5.48942,5.45208,5.35872,5.34005,5.26537,5.19068,5.11599,5.26537,5.26537,5.26537,5.24669,5.22802,5.20935,5.04131,4.87326,4.83592,5.00396,5.00396,4.98529,4.92928,4.89194,5.00396,5.17201,5.20935,5.37739,5.60145,5.91887,6.34831,6.85244,7.43126,7.82336,8.10343,8.32749,8.29015,8.15945,8.04742,7.91672,7.74868,7.50595,7.50595,7.44993,7.65532,7.22587,6.85244,6.64706,6.64706,6.19894,6.64706,6.66573,6.29230,5.90020,5.76950,5.26537,5.35872,4.94795
2016,Newport 33_11kV,02MAY2015,MW,4.87326,4.53718,4.33179,4.42515,4.91061,4.64921,4.23843,4.01437,3.86500,3.60360,3.54759,3.43556,3.34220,3.30486,3.28619,3.15548,3.21150,3.13681,3.19283,3.23017,3.30486,3.26751,3.34220,3.45423,3.51024,3.77164,3.97703,4.18242,4.35046,4.74256,5.20935,5.45208,5.65747,5.78817,5.82551,5.90020,6.03090,5.97488,6.08691,6.12425,6.12425,6.32964,6.18027,5.88152,5.95621,6.01223,5.99355,5.99355,5.97488,5.97488,5.76950,5.80684,5.78817,5.54544,5.73215,5.84418,5.97488,6.12425,6.08691,5.93754,5.90020,6.06824,6.06824,6.19894,6.32964,6.51636,6.70307,6.88979,6.94580,7.46860,7.99141,8.30882,8.45819,8.55155,8.58889,8.36484,8.08476,7.80469,7.59930,7.31923,7.13252,7.24454,7.39392,7.02049,6.85244,6.47901,6.68440,6.27363,6.57237,6.55370,6.34831,6.06824,5.99355,5.39607,5.54544,5.13466
2016,Newport 33_11kV,03MAY2015,MW,4.91061,4.61186,4.31312,4.48116,4.98529,4.66788,4.49983,4.18242,4.01437,3.77164,3.65962,3.47290,3.51024,3.36087,3.32353,3.28619,3.24884,3.19283,3.30486,3.24884,3.32353,3.39821,3.34220,3.36087,3.43556,3.62227,3.75297,3.95836,4.14507,4.51850,4.79858,5.11599,5.35872,5.71348,6.04957,6.31097,6.66573,6.53503,6.79643,6.77776,6.83377,6.79643,6.70307,6.75909,6.62839,6.49768,6.51636,6.55370,6.53503,6.70307,6.62839,6.47901,6.32964,6.19894,6.01223,5.95621,5.88152,5.88152,5.97488,5.91887,5.88152,6.03090,6.12425,6.31097,6.42300,6.83377,7.30056,7.52462,7.73000,8.12211,8.38351,8.68225,8.83162,8.90631,8.85029,8.58889,8.21546,7.99141,7.84203,7.69266,7.44993,7.44993,7.58063,7.02049,6.66573,6.19894,6.31097,5.97488,6.25496,6.14293,5.76950,5.47075,5.34005,4.81725,4.87326,4.51850
2016,Newport 33_11kV,04MAY2015,MW,4.46249,4.20109,4.01437,4.12640,4.79858,4.59319,4.38780,4.20109,3.86500,3.64094,3.43556,3.34220,3.26751,3.24884,3.23017,3.13681,3.13681,3.09947,3.19283,3.23017,3.32353,3.49157,3.71563,4.16375,4.42515,4.77991,5.17201,5.45208,5.52677,5.84418,5.93754,6.08691,5.99355,5.75082,5.73215,5.62012,5.45208,5.32138,5.28404,5.28404,5.07865,5.11599,4.94795,4.92928,4.89194,4.85459,4.77991,4.87326,4.87326,4.72389,4.76123,4.83592,4.68655,4.76123,4.77991,4.85459,4.81725,4.81725,4.81725,4.77991,4.70522,4.87326,4.92928,5.04131,5.28404,5.32138,5.56411,5.86285,6.21761,6.79643,7.41259,7.95406,8.17812,8.38351,8.47686,8.49554,8.23413,8.12211,7.86070,7.61798,7.43126,7.33790,7.52462,7.05783,6.66573,6.32964,6.47901,6.16160,6.36698,6.34831,5.90020,5.43341,5.37739,4.96662,5.07865,4.68655
2016,Newport 33_11kV,05MAY2015,MW,4.49983,4.21976,3.99570,4.12640,4.57452,4.31312,4.08906,3.93969,3.71563,3.56626,3.49157,3.34220,3.24884,3.19283,3.15548,3.15548,3.15548,3.09947,3.09947,3.19283,3.37954,3.60360,3.82766,4.18242,4.48116,4.83592,5.17201,5.48942,5.50809,5.69481,5.82551,5.73215,5.80684,5.60145,5.35872,5.19068,5.19068,5.04131,4.87326,4.68655,4.57452,4.51850,4.48116,4.49983,4.40648,4.36913,4.25710,4.25710,4.31312,4.27578,4.25710,4.20109,4.16375,4.12640,4.25710,4.16375,4.25710,4.27578,4.29445,4.31312,4.21976,4.25710,4.36913,4.44382,4.49983,4.76123,4.94795,5.17201,5.48942,6.01223,6.72174,7.28189,7.58063,7.82336,7.84203,7.67399,7.63665,7.52462,7.31923,7.16986,6.92713,6.98314,7.20720,6.75909,6.44167,6.04957,6.19894,5.78817,5.91887,5.93754,5.62012,5.24669,5.17201,4.77991,4.83592,4.49983
2016,Newport 33_11kV,06MAY2015,MW,4.33179,4.07039,3.90235,3.93969,4.53718,4.33179,3.99570,3.88367,3.71563,3.47290,3.36087,3.23017,3.19283,3.04346,3.02478,3.09947,3.08080,3.09947,3.11814,3.30486,3.45423,3.56626,3.73430,4.08906,4.42515,4.83592,5.35872,5.62012,5.54544,5.76950,5.84418,5.80684,5.71348,5.58278,5.35872,5.24669,5.15334,4.87326,4.89194,4.89194,4.81725,4.66788,4.51850,4.46249,4.46249,4.46249,4.40648,4.42515,4.35046,4.27578,4.23843,4.21976,4.23843,4.29445,4.27578,4.27578,4.21976,4.33179,4.23843,4.31312,4.36913,4.48116,4.49983,4.68655,4.83592,4.96662,5.17201,5.41474,5.95621,6.66573,7.31923,7.82336,8.17812,8.45819,8.55155,8.60757,8.43952,8.32749,8.23413,8.08476,7.84203,7.93539,8.14078,7.61798,7.24454,7.05783,7.07650,6.47901,6.72174,6.66573,6.27363,5.93754,5.80684,5.15334,5.17201,4.83592
2016,Newport 33_11kV,07MAY2015,MW,4.70522,4.35046,4.08906,4.20109,4.77991,4.51850,4.25710,4.05172,3.80899,3.65962,3.60360,3.58493,3.47290,3.47290,3.36087,3.30486,3.32353,3.36087,3.36087,3.45423,3.60360,3.86500,4.16375,4.51850,4.89194,5.30271,5.90020,6.18027,6.04957,6.34831,6.53503,6.47901,6.31097,6.12425,5.78817,5.47075,5.30271,5.11599,5.04131,5.00396,5.00396,4.76123,4.72389,4.74256,4.64921,4.55585,4.48116,4.48116,4.48116,4.36913,4.23843,4.27578,4.31312,4.20109,4.36913,4.42515,4.40648,4.35046,4.36913,4.33179,4.35046,4.49983,4.48116,4.64921,4.96662,5.13466,5.45208,5.78817,6.19894,6.92713,7.59930,8.06609,8.53288,8.85029,8.94365,8.98100,8.83162,8.68225,8.57022,8.42085,8.30882,8.25281,8.38351,8.01008,7.69266,7.28189,7.35657,6.83377,7.05783,6.94580,6.40433,6.03090,5.80684,5.24669,5.32138,4.98529
2016,Newport 33_11kV,08MAY2015,MW,4.85459,4.49983,4.20109,4.31312,4.92928,4.70522,4.46249,4.23843,4.05172,3.86500,3.77164,3.64094,3.51024,3.41689,3.43556,3.24884,3.32353,3.37954,3.47290,3.56626,3.62227,3.84633,4.10773,4.49983,4.91061,5.58278,6.03090,6.42300,6.47901,6.72174,6.83377,6.79643,6.59104,6.36698,6.18027,6.06824,5.78817,5.60145,5.45208,5.35872,5.28404,5.22802,5.05998,4.83592,4.79858,4.70522,4.68655,4.57452,4.61186,4.57452,4.59319,4.42515,4.44382,4.38780,4.53718,4.48116,4.49983,4.51850,4.42515,4.49983,4.57452,4.66788,4.74256,4.74256,4.92928,5.04131,5.45208,5.78817,6.16160,6.92713,7.63665,8.15945,8.49554,8.68225,8.70092,8.70092,8.58889,8.47686,8.30882,8.15945,8.14078,8.17812,8.34616,7.76735,7.58063,7.13252,7.37525,7.00182,7.22587,7.09517,6.70307,6.38566,6.25496,5.56411,5.54544,5.15334
2016,Newport 33_11kV,09MAY2015,MW,5.09732,4.72389,4.46249,4.44382,4.98529,4.70522,4.40648,4.21976,4.07039,3.86500,3.90235,3.65962,3.60360,3.51024,3.52891,3.47290,3.41689,3.39821,3.45423,3.49157,3.54759,3.51024,3.65962,3.79032,4.03305,4.35046,4.79858,5.15334,5.43341,5.90020,6.29230,6.44167,6.60971,6.66573,6.62839,6.51636,6.51636,6.36698,6.18027,6.14293,6.06824,5.86285,5.73215,5.56411,5.41474,5.20935,5.11599,5.07865,5.02264,5.00396,5.02264,4.96662,5.02264,4.94795,5.02264,5.02264,5.11599,5.09732,5.04131,5.07865,5.09732,5.11599,5.13466,5.17201,5.43341,5.67614,6.03090,6.42300,6.62839,7.20720,7.93539,8.53288,8.70092,8.86897,8.73827,8.53288,8.60757,8.23413,8.10343,8.01008,7.76735,7.82336,7.99141,7.59930,7.22587,6.96447,7.28189,6.77776,7.03916,6.90846,6.55370,6.06824,6.06824,5.47075,5.56411,5.24669
2016,Newport 33_11kV,10MAY2015,MW,5.11599,4.91061,4.57452,4.64921,5.28404,4.98529,4.68655,4.40648,4.21976,4.12640,3.95836,3.80899,3.67829,3.54759,3.52891,3.54759,3.49157,3.58493,3.43556,3.51024,3.52891,3.60360,3.65962,3.62227,3.84633,4.03305,4.29445,4.63053,4.92928,5.32138,5.86285,6.08691,6.31097,6.55370,6.64706,6.66573,6.83377,6.66573,6.62839,6.46034,6.42300,6.38566,6.08691,5.97488,5.86285,5.76950,5.60145,5.60145,5.86285,5.90020,5.99355,5.82551,5.71348,5.65747,5.58278,5.39607,5.24669,5.32138,5.22802,5.24669,5.30271,5.28404,5.41474,5.41474,5.86285,6.19894,6.47901,6.88979,7.15119,7.80469,8.30882,8.68225,8.83162,8.92498,8.90631,8.79428,8.51421,8.45819,8.23413,7.95406,7.87938,7.86070,8.06609,7.61798,7.13252,6.74041,6.74041,6.27363,6.44167,6.44167,5.97488,5.58278,5.47075,5.00396,5.05998,4.68655
