year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Noraville 33_11kV,01MAY2016,MW,11.61368,13.23810,12.13648,10.54940,9.59715,9.65317,10.47472,9.54114,8.51421,7.71133,7.16986,6.60971,6.25496,6.23628,5.73215,5.67614,5.67614,5.35872,5.17201,5.32138,5.56411,5.56411,5.56411,5.69481,6.08691,6.21761,6.42300,7.02049,7.05783,7.35657,7.80469,8.02875,8.55155,8.88764,9.20505,9.29841,9.72786,10.00793,10.26933,9.78387,9.83988,9.70918,9.63450,9.59715,9.42911,9.42911,9.42911,9.42911,9.42911,9.42911,9.42911,8.79428,7.97273,7.69266,7.93539,7.74868,8.04742,8.04742,8.04742,8.04742,8.04742,8.49554,8.71959,9.07435,9.07435,9.48513,9.98926,10.54940,10.58674,10.97885,11.89375,12.24851,12.36054,12.36054,12.09914,11.53899,11.18423,10.94150,10.62409,10.32534,10.62409,10.23199,10.56807,9.78387,10.28800,9.63450,9.07435,8.73827,8.62624,9.91457,10.53073,9.70918,10.79213,10.30667,11.96844,11.27759
2017,Noraville 33_11kV,02MAY2016,MW,10.94150,12.54725,11.68836,10.30667,9.59715,9.39177,10.51206,9.48513,8.47686,7.82336,7.35657,7.02049,6.72174,6.53503,5.78817,5.71348,5.71348,5.71348,5.71348,5.95621,6.01223,6.32964,6.57237,7.11384,7.67399,8.12211,9.03701,9.22372,8.43952,8.43952,8.43952,8.58889,8.34616,8.49554,8.15945,7.61798,7.63665,7.37525,7.37525,7.16986,7.11384,6.96447,6.98314,7.28189,7.05783,6.88979,7.00182,7.09517,7.05783,7.05783,6.92713,7.13252,7.00182,7.11384,7.28189,7.28189,7.43126,7.43126,7.58063,7.95406,8.01008,8.01008,8.04742,8.51421,8.62624,9.05568,9.50380,10.15730,10.60542,11.37095,12.09914,12.64061,12.64061,12.34187,12.06179,11.55766,11.18423,10.82947,10.58674,10.43737,11.14689,10.21331,10.69877,10.06394,10.21331,9.57848,9.29841,8.79428,8.49554,9.82121,10.36269,9.29841,10.66143,10.11996,11.38962,10.84815
2017,Noraville 33_11kV,03MAY2016,MW,10.86682,12.32320,11.42696,10.08261,9.35443,9.05568,10.00793,8.96232,8.10343,7.52462,6.77776,6.51636,6.27363,5.82551,5.73215,5.71348,5.43341,5.65747,5.75082,5.75082,5.91887,6.12425,6.38566,6.88979,7.52462,8.19679,8.60757,9.03701,8.64491,8.64491,8.64491,8.64491,8.47686,8.15945,8.02875,7.93539,7.61798,7.33790,7.33790,7.33790,7.33790,7.26322,7.44993,8.17812,8.21546,7.61798,7.52462,7.16986,7.15119,7.00182,6.62839,6.87111,6.66573,6.90846,6.96447,6.96447,6.96447,6.96447,7.02049,7.18853,7.22587,7.48727,7.61798,7.78602,8.19679,8.45819,8.98100,9.46645,9.85856,10.43737,11.37095,11.91242,12.08047,12.17382,12.06179,11.61368,11.20290,10.77346,10.60542,10.38136,10.81080,10.21331,10.43737,9.78387,10.21331,9.33575,9.16771,8.79428,8.73827,9.78387,10.47472,9.57848,10.54940,10.06394,11.40829,10.99752
2017,Noraville 33_11kV,04MAY2016,MW,10.51206,12.24851,11.20290,10.04527,9.26107,8.71959,9.69051,8.68225,7.97273,7.33790,6.79643,5.82551,5.82551,5.43341,5.35872,5.35872,5.41474,5.41474,5.41474,5.41474,5.56411,5.78817,6.16160,6.74041,7.15119,7.52462,8.14078,8.96232,8.58889,8.45819,8.47686,8.47686,8.47686,8.19679,7.95406,7.63665,7.56196,7.18853,6.94580,6.94580,6.94580,6.87111,6.81510,6.47901,6.36698,6.36698,6.36698,6.36698,6.46034,6.66573,6.38566,6.36698,6.27363,6.34831,6.34831,6.34831,6.49768,6.44167,6.51636,6.90846,6.90846,6.90846,7.07650,7.48727,7.93539,8.19679,8.73827,9.13037,9.18638,10.00793,11.09088,11.27759,11.50165,11.50165,11.25892,10.96018,10.43737,10.30667,10.06394,9.83988,10.54940,9.93324,10.23199,9.57848,9.91457,9.07435,8.60757,8.51421,8.51421,9.59715,10.11996,9.26107,10.64276,9.85856,11.20290,10.66143
2017,Noraville 33_11kV,05MAY2016,MW,10.19464,11.96844,11.16556,9.57848,8.73827,8.60757,9.82121,9.01834,8.17812,7.39392,7.03916,6.72174,6.19894,5.88152,5.75082,5.52677,5.47075,5.47075,5.47075,5.47075,5.80684,6.34831,6.42300,6.88979,7.28189,7.95406,8.30882,8.81295,8.06609,8.40218,8.66358,8.15945,8.21546,8.15945,7.78602,7.61798,7.50595,7.18853,7.13252,6.88979,6.88979,6.66573,6.57237,6.47901,6.47901,6.47901,6.47901,6.53503,6.42300,6.42300,6.42300,6.42300,6.42300,6.42300,6.42300,6.42300,6.32964,6.57237,6.46034,6.64706,7.02049,7.30056,7.44993,7.61798,7.97273,8.36484,8.92498,9.33575,9.48513,10.30667,11.07220,11.63235,11.57633,11.66969,11.52032,11.31493,10.92283,10.86682,10.58674,10.15730,10.73612,10.19464,10.45604,9.97059,10.36269,9.74653,9.44778,9.05568,8.86897,9.98926,10.56807,9.69051,10.77346,10.30667,11.80039,11.14689
2017,Noraville 33_11kV,06MAY2016,MW,10.77346,12.36054,11.52032,10.08261,9.35443,9.03701,10.13863,9.24240,8.25281,7.52462,6.90846,6.68440,6.29230,5.90020,5.78817,5.78817,5.69481,5.48942,5.86285,5.90020,6.01223,6.42300,6.77776,6.87111,7.67399,8.19679,8.77561,9.07435,8.62624,8.79428,8.79428,8.79428,8.66358,8.45819,8.25281,7.86070,7.52462,7.74868,7.33790,6.98314,6.98314,6.96447,6.68440,6.68440,6.55370,6.59104,6.57237,6.49768,6.49768,6.70307,6.57237,6.49768,6.46034,6.51636,6.40433,6.81510,6.79643,6.79643,6.85244,7.07650,7.07650,7.09517,7.65532,7.65532,7.93539,8.23413,8.71959,9.20505,9.59715,10.23199,11.01619,11.44563,11.55766,11.50165,11.31493,11.09088,10.75479,10.66143,10.36269,10.04527,10.92283,10.34402,10.66143,10.17597,10.60542,9.83988,9.59715,9.22372,9.22372,10.45604,10.92283,10.08261,11.37095,10.66143,12.22984,11.66969
2017,Noraville 33_11kV,07MAY2016,MW,11.46431,12.86467,11.94976,10.43737,9.67184,9.33575,10.32534,9.39177,8.43952,7.91672,7.33790,6.79643,6.57237,6.70307,6.42300,6.31097,5.84418,5.73215,5.73215,5.73215,5.73215,5.73215,6.01223,6.31097,6.85244,6.85244,7.35657,7.87938,7.59930,7.78602,8.23413,8.30882,8.57022,8.62624,8.62624,8.62624,8.62624,8.62624,8.36484,7.93539,7.87938,7.61798,7.61798,7.58063,7.15119,7.02049,7.02049,7.07650,7.00182,6.66573,6.68440,6.70307,6.74041,6.59104,6.59104,6.96447,6.96447,6.85244,7.02049,7.41259,7.74868,8.10343,8.10343,8.10343,8.43952,8.66358,9.09302,9.65317,9.95191,10.68010,11.27759,11.65102,11.70704,11.53899,11.42696,11.09088,10.86682,10.40003,10.08261,9.74653,10.54940,9.85856,10.13863,9.65317,9.98926,9.37310,9.14904,9.11170,9.01834,9.98926,10.60542,9.97059,11.25892,10.73612,12.02445,11.63235
2017,Noraville 33_11kV,08MAY2016,MW,11.33361,12.82733,11.83774,10.47472,9.83988,9.52247,10.54940,9.57848,8.47686,7.84203,7.30056,6.77776,6.34831,6.12425,5.71348,5.71348,5.52677,5.43341,5.63880,5.45208,5.45208,5.45208,5.67614,5.76950,6.27363,6.36698,6.70307,7.02049,6.92713,7.13252,7.52462,8.01008,8.55155,9.03701,9.27974,9.16771,9.29841,9.72786,9.76520,9.39177,9.27974,9.22372,9.20505,9.20505,9.09302,8.75694,8.70092,8.51421,8.25281,8.10343,7.87938,7.86070,7.93539,7.95406,7.95406,7.73000,7.73000,7.73000,7.73000,7.73000,7.73000,7.73000,7.91672,8.14078,8.57022,8.94365,9.50380,10.00793,10.23199,10.86682,11.27759,11.65102,11.66969,11.46431,11.29626,11.05353,10.66143,10.34402,9.95191,9.83988,10.51206,10.04527,10.49339,9.89590,10.21331,9.48513,9.22372,8.62624,8.68225,9.76520,10.28800,9.35443,10.41870,10.17597,11.96844,11.44563
2017,Noraville 33_11kV,09MAY2016,MW,11.12822,12.69663,11.89375,10.56807,9.78387,9.52247,10.53073,9.44778,8.34616,7.52462,7.09517,6.44167,6.29230,6.08691,5.99355,5.82551,5.73215,5.73215,5.73215,5.73215,5.86285,6.40433,6.53503,6.94580,7.41259,8.21546,8.70092,8.96232,8.42085,8.42085,8.68225,8.94365,9.01834,8.98100,8.85029,8.85029,9.07435,9.03701,8.71959,8.73827,8.94365,8.94365,8.94365,8.77561,8.68225,8.75694,8.55155,8.55155,8.71959,8.88764,8.83162,8.83162,8.77561,8.57022,8.75694,8.98100,8.75694,8.64491,8.64491,8.64491,8.60757,8.34616,8.81295,9.29841,9.50380,9.95191,10.19464,10.77346,10.88549,12.00578,12.69663,13.12607,12.97670,12.67795,12.36054,12.22984,11.66969,11.07220,10.82947,10.47472,11.27759,10.54940,10.71745,9.95191,10.38136,9.52247,9.42911,8.98100,8.85029,10.10129,10.47472,9.72786,10.90416,10.36269,12.00578,11.44563
2017,Noraville 33_11kV,10MAY2016,MW,11.05353,12.58460,11.66969,10.28800,9.33575,9.18638,10.10129,9.18638,8.17812,7.50595,7.07650,6.59104,6.23628,5.95621,5.93754,5.63880,5.41474,5.35872,5.60145,5.52677,5.80684,6.16160,6.40433,7.09517,7.52462,7.87938,8.42085,9.22372,8.32749,8.51421,9.03701,8.83162,8.49554,8.19679,8.10343,7.78602,7.43126,7.43126,7.43126,7.24454,6.74041,6.81510,6.72174,6.70307,6.40433,6.75909,6.92713,6.92713,6.92713,6.92713,6.92713,6.87111,6.88979,6.88979,6.88979,6.88979,6.88979,6.88979,7.09517,7.13252,7.41259,7.41259,7.69266,7.80469,8.38351,8.62624,9.26107,9.63450,9.69051,10.69877,11.78172,12.19249,12.24851,12.45390,12.02445,11.59501,11.40829,11.03486,10.45604,10.36269,11.12822,10.53073,10.96018,10.08261,10.36269,9.59715,9.42911,8.94365,8.75694,9.85856,10.54940,9.67184,10.94150,10.66143,10.66143,10.66143
