year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,North Sydney 132_11kV,01MAY2017,MW,22.46570,22.05078,21.66325,21.66325,21.66325,21.11632,20.90515,20.90515,20.68211,20.12257,20.12257,20.12257,20.12257,20.12257,20.12257,20.12257,20.12257,20.12257,20.47979,20.88298,21.61313,22.11949,23.44921,24.52103,26.98828,29.01177,31.81951,34.35226,38.17981,39.63023,42.25655,43.51828,45.11028,46.24165,46.87686,47.22995,47.19845,47.45956,47.99330,48.06012,48.01910,47.71416,47.43484,47.41540,47.84787,48.15709,48.51904,48.34708,48.97147,48.49954,49.09603,49.23652,49.53615,49.61912,49.20296,48.94197,49.33448,48.57756,49.00503,48.56937,48.07607,48.00093,47.59782,48.21330,47.84138,46.57371,46.48130,46.48130,46.48130,46.58731,45.90331,44.39134,41.27917,39.47783,38.00188,37.42176,36.87074,36.50663,35.87536,34.85616,33.88891,32.95124,32.63045,31.62796,31.48972,30.70667,30.08892,29.48544,28.52746,26.99853,26.29848,25.31947,24.43545,24.19047,23.61082,22.90465
2018,North Sydney 132_11kV,02MAY2017,MW,22.61279,22.54424,21.84707,21.84707,21.84707,21.16204,21.06275,20.99323,20.30495,20.30495,20.30495,20.30495,20.30495,20.30495,19.73356,19.54958,19.94464,20.31819,20.31819,20.68340,21.93629,22.29288,23.28769,24.38710,27.01563,28.54420,30.80149,33.33304,37.38575,39.52483,42.21242,43.54011,44.88863,45.86200,46.69523,46.78164,46.99644,47.49007,47.58571,47.92757,47.95612,47.51612,47.30238,47.97578,48.00156,47.96393,48.03187,47.56831,48.18639,48.94375,49.51731,49.85549,49.56345,48.80853,48.54682,48.58621,48.21845,48.10263,47.86421,48.16675,47.70098,47.40374,46.96426,46.52699,46.03488,45.68654,45.60685,45.31661,45.87296,45.18016,44.98883,44.03526,40.16078,38.27256,37.08412,36.41490,36.08481,35.09127,34.92359,34.20827,33.16488,32.37645,31.83487,31.01983,30.85850,30.25706,29.57365,28.68759,27.82701,27.09646,26.30158,25.56753,24.78121,24.00625,23.97874,23.24912
2018,North Sydney 132_11kV,03MAY2017,MW,23.22222,22.57662,22.15737,21.64282,21.64282,21.29207,20.82729,20.82729,20.80638,20.06313,20.06313,20.06313,20.06313,20.06313,20.06313,20.06313,20.06313,20.06313,20.06313,20.49888,21.31715,22.11962,22.89911,24.44931,26.42001,28.76240,31.04875,33.01518,36.71162,38.50473,40.75434,42.62923,44.01606,45.15178,45.37962,45.83564,45.85515,45.27569,46.00403,46.15039,46.23916,46.24006,45.84748,46.09913,46.02428,45.84916,45.39027,45.67675,46.20480,46.20480,46.32760,46.27641,46.36198,46.21449,45.60595,45.78483,45.94271,45.51979,45.19836,45.03709,44.48128,43.82008,43.82008,44.49451,43.82266,43.65349,43.76589,44.04145,44.34338,44.28028,44.36526,43.50638,40.00527,38.63179,37.94259,37.20813,37.06549,36.37432,36.13675,35.44018,34.66579,33.93293,33.51916,32.61575,32.27416,32.02389,31.22916,30.34473,29.57949,28.50411,27.33125,26.53541,25.64726,24.99406,24.55607,23.95859
2018,North Sydney 132_11kV,04MAY2017,MW,23.79004,23.32885,22.85703,22.18416,22.18416,22.18416,21.44536,21.33250,20.60137,20.56417,20.56417,20.56417,20.56417,19.96865,19.80448,19.80448,19.90070,20.58030,20.58030,20.86292,21.93905,22.37084,23.34506,24.52314,27.01262,28.83207,31.52214,33.92682,37.85752,39.98561,42.19704,43.35436,45.23356,45.60660,46.23295,46.65345,46.87341,46.76811,46.95522,47.43535,47.53472,46.90819,46.32619,46.72634,46.48472,46.62588,46.18309,46.25025,46.58496,46.34878,46.07726,46.86697,47.14410,46.67304,46.56198,46.18160,46.36201,46.10031,45.88830,46.01617,45.45671,45.62896,45.73123,45.31462,44.86985,44.31704,44.45180,45.00201,45.02454,45.01938,44.63874,43.53171,40.09312,38.74742,37.63883,37.12146,36.79652,36.44929,36.07021,35.58016,34.42917,33.50372,32.83580,32.44992,31.87645,31.41101,30.76785,30.11733,29.03695,28.09507,26.80442,25.98610,25.24477,24.63539,24.58265,23.87324
2018,North Sydney 132_11kV,05MAY2017,MW,23.87324,23.08000,22.70160,22.26923,22.26923,21.87274,21.50090,21.02349,20.73287,20.73287,20.73287,20.73287,20.50752,19.96885,19.96885,19.96885,19.96885,19.96885,20.57317,20.73790,21.40020,21.65720,22.94631,24.28773,26.92064,28.51521,30.86172,33.42240,37.20261,39.40206,42.22299,43.75727,45.09736,46.07694,46.45948,47.43046,47.19317,46.80653,47.11077,46.92321,46.33419,46.40389,46.37160,46.73867,46.90914,47.08036,47.47433,47.17380,47.24205,46.94523,46.90805,46.86286,47.43402,47.39235,47.47715,47.76030,47.46139,46.24389,45.45099,45.47651,44.88871,44.89108,44.73441,44.83454,44.60483,44.01702,44.11692,43.93606,43.68001,43.23847,43.00305,41.90007,38.74730,36.96395,36.08378,36.96092,34.56179,34.07616,32.70941,32.46764,31.39648,30.98379,30.70249,29.95733,29.38827,29.20057,28.58252,27.99712,27.09710,26.22090,25.53462,24.91851,24.33144,23.85366,23.75406,23.08059
2018,North Sydney 132_11kV,06MAY2017,MW,23.08059,22.47682,21.85537,21.51255,21.51255,20.77746,20.74251,20.74251,20.22750,19.97821,19.97821,19.45820,19.21448,19.21448,19.21448,19.21448,19.21448,19.21448,19.21448,19.21448,19.21448,19.83259,19.97274,19.97274,20.71966,21.41773,21.50133,22.16848,22.75334,23.57616,24.39263,24.78368,25.81671,26.23004,26.68230,26.99419,26.99419,27.61361,27.77057,27.98345,28.44203,28.44203,28.44203,28.44203,28.44203,27.75721,28.28807,28.37092,28.37092,27.83526,28.29258,28.40553,27.63759,27.95583,27.99866,28.05279,27.70850,27.74884,27.74884,27.74884,27.01882,27.27509,27.01232,27.01232,27.01232,27.01232,27.01232,27.01232,27.01232,27.01232,27.01232,27.31695,30.14277,29.54316,29.35286,29.35286,29.10127,28.56539,28.56539,28.47567,27.79029,27.78178,27.01937,27.01937,26.46450,26.23867,25.60389,25.47856,24.82466,24.38084,23.93499,23.41270,23.02173,22.35041,22.35041,22.35041
2018,North Sydney 132_11kV,07MAY2017,MW,22.35041,22.02881,21.56064,20.80368,20.79676,20.79676,20.79676,20.32324,20.02053,19.55717,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.26401,19.59084,20.05722,20.05722,20.77092,20.82717,21.64569,22.06335,22.74056,23.33749,24.07748,24.64704,25.07532,25.81062,26.08567,26.26950,26.84102,26.93417,26.93417,26.93417,26.46268,26.14584,26.14584,26.14584,26.48424,26.36846,26.16541,26.16541,26.16541,26.16541,26.16541,26.16541,25.74542,25.40600,25.40600,25.40600,25.40600,25.40600,25.40600,25.40600,25.86819,25.53220,25.63057,26.18844,26.61271,27.27958,28.00625,29.66877,30.07066,30.07066,30.07066,30.07066,30.07066,30.07066,29.75173,29.29931,29.20652,28.53977,28.32851,27.77474,27.77474,27.65774,27.01520,26.68695,26.24948,25.67999,24.63634,23.92980,23.33566,22.88735,22.31298,22.01947,21.47801
2018,North Sydney 132_11kV,08MAY2017,MW,21.47801,21.38145,20.68551,20.68551,20.68551,20.31763,19.92682,19.92682,19.92682,19.92682,19.37492,19.16771,19.16771,19.16771,19.16771,19.16771,19.16771,19.40301,19.96453,19.96453,20.92890,21.56725,22.98140,24.58716,26.92498,29.18818,31.93905,34.25805,37.12412,39.30593,41.21548,42.06622,43.53474,44.36003,44.72493,44.50458,44.38775,44.29920,43.85534,44.41414,44.38924,43.75515,44.00693,44.10073,44.46001,44.33198,44.14370,44.47765,44.58072,44.71346,44.70947,44.20870,44.38904,44.24181,44.27151,44.67718,44.18310,43.56113,43.28335,43.10306,43.33788,42.66533,42.35282,42.67911,42.40614,42.53370,42.39899,42.26602,42.46809,42.62452,42.77527,42.17754,39.17463,37.54002,37.10158,37.37647,36.69110,36.54012,35.81080,35.53804,34.50202,33.43900,32.78624,32.61471,32.13638,31.28999,30.38346,29.49765,28.43132,27.38069,26.11832,25.43820,24.21875,23.92305,23.46590,22.59344
2018,North Sydney 132_11kV,09MAY2017,MW,22.32681,22.18123,21.55617,21.55617,21.55617,21.50263,20.78137,20.78137,20.35544,19.99261,19.99261,19.99261,19.99261,19.99261,19.99261,19.99261,19.99261,19.99261,19.99261,20.65246,21.40983,21.65843,22.59383,24.10131,26.84484,28.95995,31.51646,33.80319,37.49605,39.68060,42.68412,43.95570,45.11634,45.36580,45.37386,44.83525,44.76596,44.26630,45.07643,44.10233,43.64285,43.87811,43.98475,44.00192,44.13843,44.15906,44.21862,44.78059,45.17952,45.00920,44.97862,45.00468,45.06724,45.21947,45.18083,44.76087,44.24888,44.30090,44.33845,43.87662,43.54463,43.61309,43.50896,42.92797,42.83462,42.84377,42.90284,42.96709,43.52837,43.37263,43.48841,43.30034,40.07027,38.25323,37.70030,37.47225,37.23806,37.10600,36.54471,35.95800,34.75434,34.01146,33.44594,32.76190,32.47137,31.79416,31.20156,29.92125,28.90795,27.83718,26.60678,25.96225,24.96566,24.56869,23.81597,23.08895
2018,North Sydney 132_11kV,10MAY2017,MW,23.04705,22.49369,21.90354,21.47730,21.47730,21.47730,20.96904,20.70970,20.64262,19.94871,19.94871,19.94871,19.94871,19.94871,19.94871,19.94871,19.94871,19.94871,20.21642,20.72696,21.38879,22.08208,22.59245,24.30979,26.98934,28.79650,31.52779,33.97356,37.85803,40.05068,42.59660,43.80493,44.82365,45.18733,45.22526,45.29608,45.29635,45.07821,45.03887,44.97381,44.34148,44.25203,44.16370,43.86573,44.08888,43.87637,44.31892,44.25236,44.48984,45.09102,45.25468,45.21046,45.15171,45.08202,44.91888,44.97068,44.84882,44.78407,44.56923,44.00146,43.89498,44.02311,43.92522,43.26094,43.23842,43.12135,43.27990,43.60926,43.82267,43.45442,43.66562,42.73854,39.48044,38.30598,37.28265,37.23052,36.85421,36.38648,35.76935,35.16281,34.33788,33.55302,33.38694,32.69100,32.19110,31.38820,30.70603,29.70895,28.66343,27.55600,26.78614,25.89569,24.92423,24.66596,23.75880,23.05560
