year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Nulkaba 33_11kV,01MAY2014,MW,7.24131,7.13968,6.82432,6.45776,6.16956,5.84189,5.60378,5.39761,5.16274,4.94300,4.84189,4.82724,4.78718,4.63658,4.74560,4.69070,4.70433,4.70185,4.89527,5.10858,5.14616,5.24721,5.33358,5.35996,5.70102,5.89888,6.00051,6.26592,6.28754,6.37980,6.71228,6.94721,6.95157,6.85933,6.68142,6.59395,6.45300,6.33864,6.27802,6.22335,6.11404,6.09760,6.33358,6.16105,5.99717,5.93013,6.07713,6.20960,6.08414,6.09688,6.02908,6.03769,6.17491,6.23215,6.33240,6.41289,6.48926,6.30987,6.09481,6.09214,6.40527,6.29051,6.35866,6.41592,6.78643,6.55020,6.67133,6.90635,6.96809,7.27206,7.79286,7.99688,8.09296,8.24702,8.25492,8.10316,7.77991,7.53126,7.29779,7.13149,7.17234,7.05819,7.07229,6.87368,6.73363,6.74695,6.98700,6.84297,6.71689,6.42881,6.16869,6.05488,7.24716,7.29131,6.96718,6.60449
2015,Nulkaba 33_11kV,02MAY2014,MW,7.31620,7.02175,6.89165,6.53825,6.31281,5.88235,5.52736,5.29410,5.10667,4.91939,4.90361,4.90209,4.84551,4.64924,4.64400,4.72729,4.79043,4.78029,5.01664,5.15226,5.16092,5.33867,5.44525,5.49217,5.74425,5.98012,6.21271,6.25792,6.13590,6.35595,6.63224,6.77564,6.82620,6.91940,6.78472,6.62502,6.44833,6.40714,6.35973,6.42369,6.39138,6.48205,6.17742,5.95994,6.04110,6.02077,6.20517,6.19134,6.48811,6.54824,6.36543,6.29191,6.18619,6.22863,6.35568,6.36202,6.12286,6.10024,6.31470,6.32174,6.33518,6.20332,6.42160,6.58363,6.71708,6.71232,6.87363,7.06359,7.34690,7.62864,7.94666,8.09766,8.29452,8.30754,7.98685,7.99185,7.76213,7.69914,7.62545,7.49626,7.48360,7.30705,7.11554,6.99847,6.99786,7.10511,7.31985,7.24773,7.13724,6.73871,6.67709,6.54567,7.66134,7.59018,7.36146,6.95748
2015,Nulkaba 33_11kV,03MAY2014,MW,7.47465,7.33616,7.05861,6.72153,6.49123,6.14255,5.71620,5.52237,5.33970,5.15322,4.97851,5.11345,4.98275,4.86769,4.79338,4.87488,4.86869,4.79118,4.92401,4.98393,4.97242,5.08015,5.10681,5.19986,5.33577,5.41701,5.59000,5.67440,6.11352,6.43103,6.59489,6.65524,6.71835,6.72633,6.76894,6.88992,7.00635,7.05241,6.97846,7.23913,7.36018,7.17965,6.69287,6.69536,6.63287,6.56281,6.89035,6.85278,6.76434,7.12076,6.79327,6.77875,6.42428,6.55069,6.46129,6.66069,6.65853,6.53033,6.43686,6.64102,6.86554,7.14708,7.21888,7.20074,7.32771,7.65551,8.07496,8.42549,8.97092,9.70334,10.21139,10.56561,10.71358,10.60747,10.32788,10.17734,9.99805,10.01396,9.86064,9.72103,9.52791,9.41030,9.17963,9.09018,8.91545,8.74830,8.82545,8.71247,8.40968,8.11417,7.93883,7.71152,7.52071,7.32011,7.10325,6.91390
2015,Nulkaba 33_11kV,04MAY2014,MW,6.60986,6.42214,6.30632,6.18645,5.99867,5.74739,5.65063,5.61726,5.65681,5.48319,5.54203,5.50334,5.29996,5.44794,5.46368,5.35920,5.30198,5.34918,5.51316,5.65919,5.56769,5.58239,5.64774,5.75565,5.98055,6.01291,6.05041,6.18354,6.54513,6.78329,6.95084,7.11487,7.49377,7.83153,7.95761,7.99577,8.17162,8.07061,8.03818,7.87785,7.66083,7.16157,6.84815,6.59775,6.49223,6.35968,6.30992,6.07741,6.02197,6.06266,5.93691,5.84117,5.96778,5.96137,6.02460,5.82667,5.68325,5.68759,5.63825,5.77601,5.85632,5.95049,6.03734,6.26663,6.44433,6.72378,6.97836,7.39090,8.11299,8.61163,9.14791,9.69671,9.78608,9.71833,9.56542,9.61780,9.45000,9.16678,9.03497,9.02606,8.74293,8.65265,8.61153,8.33018,8.04400,8.03779,8.05502,7.45839,7.23935,7.00654,7.04015,6.70401,6.61162,6.44720,6.09944,5.94877
2015,Nulkaba 33_11kV,05MAY2014,MW,5.83114,5.69091,5.69323,5.59129,5.36753,5.29064,5.08662,5.09093,5.01439,5.03278,5.10844,5.13816,5.00248,5.01740,4.99716,4.95515,5.00459,5.12093,5.16370,5.29879,5.57855,5.77582,5.95041,6.17329,6.55066,6.70653,7.11181,7.37567,7.57188,7.68473,7.90002,7.90599,8.03294,8.36546,8.32736,7.99599,7.86055,7.57756,7.55401,7.48810,7.27407,7.16594,7.06549,6.81177,6.81966,6.67235,6.61528,6.55674,6.61889,6.68629,6.55324,6.33759,6.38655,6.31377,6.39765,6.35014,6.41973,6.49222,6.30111,6.22226,6.18328,6.37772,6.40169,6.51801,6.79146,7.00203,7.21460,7.69715,8.20291,8.77619,9.38950,9.66401,9.65520,9.63204,9.53920,9.55994,9.36700,8.91964,8.82876,8.88743,8.66368,8.53168,8.29714,8.19575,8.10026,8.33909,8.61048,8.22846,7.70813,7.44134,7.16473,6.99368,8.13417,8.21575,7.80889,7.55420
2015,Nulkaba 33_11kV,06MAY2014,MW,8.17663,8.10125,7.68941,7.31884,7.01679,6.72322,6.32407,6.23545,6.02940,5.90932,5.79902,5.73600,5.60173,5.53976,5.41151,5.37165,5.49967,5.57181,5.75369,5.92226,6.21306,6.25814,6.57604,6.71199,6.93956,7.39327,7.80078,8.13123,8.31866,8.72127,8.90621,9.17135,9.15126,9.21272,9.06861,8.78029,8.66058,8.43265,8.17147,7.83000,7.60478,7.35111,7.15070,7.16938,6.91305,6.95585,6.72320,6.56032,6.59749,6.58402,6.53388,6.60598,6.68075,6.49351,6.25025,6.19660,6.03690,6.08249,6.23624,6.30527,6.35313,6.53803,6.68744,6.71324,6.92424,7.00450,7.18883,7.46824,7.81171,8.29484,9.05399,9.32421,9.34684,9.24480,9.34823,9.24996,9.07469,8.98667,8.83103,8.72195,8.61084,8.44877,8.22213,8.04229,7.98133,8.12440,8.44040,8.12996,7.68862,7.28197,7.10184,6.97351,8.11135,7.99315,7.54768,7.27969
2015,Nulkaba 33_11kV,07MAY2014,MW,7.98330,7.74974,7.45034,6.99831,6.59868,6.29469,6.10479,5.74333,5.63718,5.58261,5.51053,5.27926,5.18711,5.04112,5.00554,5.13825,5.22247,5.14396,5.28468,5.44486,5.62131,5.80660,5.92057,5.98878,6.21903,6.69978,7.05527,7.26122,7.30920,7.54934,7.86889,8.06853,8.42170,8.36463,8.11943,8.08872,8.19622,7.89477,7.55567,7.26163,7.02333,7.00437,6.79365,6.65627,6.40293,6.54215,6.66347,6.59966,6.73650,6.86402,6.80533,6.43771,6.41502,6.38624,6.41129,6.07948,6.23460,6.23813,6.24746,6.31840,6.25615,6.49711,6.59172,6.72832,6.87072,7.08099,7.40448,7.54270,7.94252,8.40859,8.94124,8.97836,9.16813,9.21495,9.10944,8.87611,8.61279,8.47280,8.43684,8.38067,8.34419,8.21948,8.20078,7.90128,7.71913,7.85807,8.03104,7.79816,7.51710,7.25041,7.00599,6.84364,8.20157,8.12955,7.67711,7.18258
2015,Nulkaba 33_11kV,08MAY2014,MW,7.83882,7.75723,7.55844,7.19912,6.80033,6.44458,6.21738,5.91275,5.59963,5.40807,5.28330,5.24906,5.17401,5.04519,5.13250,5.07737,4.98035,5.11101,5.24174,5.29099,5.66265,5.74768,5.80056,5.96502,6.41692,6.88880,7.25674,7.37799,7.38943,7.61986,7.80645,8.10611,8.23125,8.18506,8.15801,8.10053,7.96776,7.85107,7.86256,7.69908,7.48332,7.51426,7.15950,7.21312,7.35652,7.38154,7.50821,7.70403,7.35524,7.13612,7.03876,7.22039,6.84956,6.93034,6.97793,6.82079,6.49249,6.60521,6.57015,6.77802,6.85278,7.10554,7.09111,7.14727,7.17346,7.17682,7.39858,7.66993,8.05761,8.51747,9.02337,9.28660,9.37758,9.34908,9.28229,9.15738,8.85631,8.58990,8.29646,8.36074,8.31369,8.19420,7.99827,7.92293,7.87614,7.88064,7.84736,7.66412,7.47438,7.22313,6.90857,6.68721,8.08946,8.11189,7.66839,7.12227
2015,Nulkaba 33_11kV,09MAY2014,MW,7.80805,7.60216,7.29210,6.93458,6.48646,6.15840,5.87921,5.78956,5.68876,5.45671,5.21103,5.12965,5.14384,5.04849,5.04352,5.09451,5.05635,5.15080,5.32857,5.35737,5.48561,5.66303,5.88659,5.84238,6.11780,6.32510,6.47538,6.80416,6.78430,7.31710,7.68543,7.58932,7.49224,7.30407,7.28005,7.30927,7.31411,7.23503,7.14589,7.15415,7.11494,7.02275,6.95884,6.91323,6.88483,6.79251,6.84574,6.80624,6.73913,6.38340,6.26831,6.20244,6.32757,6.25500,6.26755,6.33021,6.18535,6.19024,6.16300,6.23142,6.33307,6.26248,6.23185,6.56616,6.69165,6.76231,7.07831,7.51178,7.73812,8.32239,8.63743,8.66696,8.72056,8.64393,8.54594,8.47266,8.27645,8.26116,8.27294,8.16667,8.01062,7.94187,7.88882,7.75967,7.68793,7.72491,8.13553,7.94687,7.75344,7.45785,7.30760,7.06455,8.34630,8.19980,7.80364,7.38775
2015,Nulkaba 33_11kV,10MAY2014,MW,8.04650,8.02184,7.75037,7.23776,6.83456,6.39672,6.04079,5.83985,5.61183,5.53986,5.47330,5.43998,5.30388,5.19760,5.12201,5.13237,5.17422,5.22311,5.17362,5.31482,5.50047,5.70269,5.80491,5.83753,6.07988,6.23266,6.27458,6.46400,6.76672,7.20607,7.43431,7.33252,7.36774,7.44642,7.38182,7.17589,7.20225,7.01019,6.92011,6.72753,6.54519,6.37673,6.18686,6.08892,5.99510,6.52771,6.49667,6.23729,6.25728,6.29500,6.29980,6.25856,6.02182,6.09666,6.45297,6.54551,6.45713,6.41873,6.43341,6.37048,6.59307,6.74963,6.96810,7.01012,7.30047,7.53567,7.92199,8.22472,8.39927,8.87696,9.36656,9.46417,9.54382,9.35255,9.27594,9.12808,8.94045,8.72079,8.55285,8.42713,8.15549,8.00121,7.88743,7.85267,7.68866,7.63486,7.68238,7.32320,7.18402,7.27158,6.94948,6.67472,6.84963,6.54819,6.40221,6.21260
