year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Paxton 33_11kV,01MAY2015,MW,2.40546,2.24790,2.17551,2.04223,1.85700,1.70342,1.59319,1.47564,1.41824,1.31127,1.23517,1.24812,1.32228,1.22341,1.17743,1.19354,1.17922,1.12637,1.17773,1.20028,1.25956,1.29470,1.35471,1.43104,1.56622,1.64609,1.76762,1.85070,1.93861,1.97783,2.01281,2.05745,2.04722,1.97360,1.98097,1.96345,1.73099,1.86773,1.92280,1.91819,1.88401,1.84630,1.81829,1.73036,1.74813,1.86072,1.82349,1.80017,1.57667,1.44860,1.57568,1.60284,1.64141,1.64378,1.52248,1.37666,1.37663,1.36523,1.30173,1.31301,1.39606,1.46659,1.50991,1.57892,1.68847,1.72966,1.86347,1.99214,2.11914,2.26270,2.46672,2.52801,2.59239,2.54618,2.53519,2.54800,2.48975,2.45371,2.37660,2.36658,2.29938,2.21607,2.19332,2.16692,2.11172,2.13951,2.20170,2.14975,2.22086,2.23976,2.20234,2.18011,2.86114,2.81528,2.71343,2.54620
2016,Paxton 33_11kV,02MAY2015,MW,2.45346,2.30877,2.27304,2.05230,1.86626,1.75591,1.67649,1.54709,1.45918,1.37617,1.31758,1.28283,1.26960,1.22082,1.22234,1.21933,1.20016,1.23360,1.16924,1.15784,1.17683,1.15918,1.23627,1.25169,1.30300,1.33078,1.39157,1.50716,1.61109,1.69178,1.76775,1.93027,1.96016,1.93084,1.92172,2.06267,2.18095,2.20487,2.16041,2.20763,1.99777,1.97228,1.99449,2.04533,2.04494,1.92500,1.83393,1.80247,1.95250,1.88148,1.90879,1.80796,1.86766,1.88992,1.86397,1.77607,1.79907,1.75179,1.77087,1.79714,1.89587,2.05029,2.00427,2.07585,2.09321,2.18473,2.22988,2.23350,2.39104,2.48153,2.55548,2.53072,2.62122,2.69452,2.62909,2.50411,2.40305,2.34429,2.30053,2.18302,2.15219,2.17803,2.16192,2.09267,2.09838,1.99885,1.98147,1.97131,2.07748,2.04588,1.99987,1.96359,2.42733,2.28415,2.06773,1.99508
2016,Paxton 33_11kV,03MAY2015,MW,1.97610,1.82422,1.75867,1.66853,1.55163,1.52365,1.42886,1.39122,1.34788,1.30174,1.33521,1.28359,1.24296,1.22217,1.25168,1.28972,1.23338,1.20772,1.19990,1.22399,1.23823,1.19086,1.18942,1.19984,1.22475,1.26187,1.33153,1.39300,1.41444,1.52200,1.62976,1.80064,1.83386,1.93472,2.03650,2.17229,2.28043,2.29532,2.21077,2.24364,2.24572,2.16350,2.15936,2.03759,2.06030,2.08457,2.16171,2.13937,2.11179,2.08131,2.04897,1.99481,2.00166,1.92878,1.89549,1.87417,1.93789,1.93404,1.91193,1.90976,1.90564,1.90865,1.86687,1.98683,2.03161,2.10354,2.12700,2.24225,2.33768,2.47091,2.63069,2.71458,2.71909,2.67593,2.61904,2.61725,2.55516,2.34278,2.24006,2.21369,2.17481,2.06890,2.02727,1.97541,1.89426,1.90868,1.93920,1.87066,1.90348,1.91285,1.95819,1.91763,2.40932,2.23953,2.04400,1.90093
2016,Paxton 33_11kV,04MAY2015,MW,1.82260,1.69459,1.69903,1.55871,1.42470,1.33975,1.31256,1.28769,1.24538,1.21639,1.19948,1.18507,1.16953,1.16941,1.14255,1.17125,1.17911,1.18512,1.18867,1.22597,1.19156,1.19139,1.27244,1.33813,1.45165,1.54845,1.66579,1.71324,1.89332,1.86887,1.88468,1.89063,1.86571,1.79690,1.85116,1.80976,1.81211,1.75646,1.80215,1.73121,1.53206,1.67623,1.62556,1.62999,1.66663,1.71464,1.67067,1.67690,1.70763,1.73330,1.77112,1.76256,1.41357,1.45206,1.56036,1.54591,1.59477,1.52054,1.53866,1.49729,1.55083,1.62118,1.59633,1.48858,1.51496,1.59040,1.69358,1.82129,1.96497,2.09917,2.33082,2.43706,2.53356,2.48606,2.44838,2.35211,2.32490,2.23547,2.17236,2.13640,2.08062,2.03059,1.98762,1.98453,1.99640,1.94438,2.00752,2.01377,2.09045,2.09758,2.18918,2.10496,2.74479,2.68992,2.57126,2.38849
2016,Paxton 33_11kV,05MAY2015,MW,2.32184,2.15766,2.08615,1.89465,1.73811,1.58782,1.56333,1.40263,1.36326,1.28015,1.24055,1.23533,1.21568,1.18879,1.17470,1.19884,1.20247,1.18379,1.14346,1.22683,1.22934,1.28369,1.34788,1.42655,1.52480,1.66032,1.71370,1.82683,1.82340,1.88167,1.92053,1.88184,1.88529,1.81480,1.75213,1.65710,1.64312,1.52382,1.49618,1.35578,1.08301,1.16274,1.23899,1.24837,1.18397,1.15825,1.13747,1.12979,1.22594,1.18105,1.13898,1.10953,0.94683,0.94290,1.04979,1.18694,1.23261,1.23042,1.26827,1.32780,1.33370,1.40030,1.44098,1.31662,1.31547,1.39400,1.46045,1.59859,1.71805,1.89658,2.11439,2.26622,2.29417,2.31254,2.32346,2.23376,2.18444,2.17530,2.14493,2.04554,1.96754,1.95480,1.92445,1.83591,1.83299,1.81414,1.91994,1.88330,1.98215,2.00580,2.02257,1.98375,2.61074,2.56395,2.45647,2.29717
2016,Paxton 33_11kV,06MAY2015,MW,2.16028,2.01972,1.93216,1.81824,1.73396,1.56286,1.52177,1.45469,1.35632,1.30282,1.21149,1.21103,1.20891,1.13965,1.12701,1.19044,1.22800,1.19854,1.18125,1.16918,1.20781,1.25504,1.34418,1.46432,1.62407,1.70870,1.79027,1.92150,1.88620,1.96246,1.93388,1.88244,1.83343,1.73856,1.63146,1.53560,1.39366,1.44449,1.41895,1.30201,1.05864,1.16300,1.23056,1.18041,1.07207,1.06932,1.16083,1.14319,1.11760,1.11725,1.12319,0.97281,0.96725,0.94301,1.02409,1.08975,1.04230,1.12122,1.18319,1.21065,1.23354,1.27071,1.33149,1.31480,1.38372,1.43540,1.54579,1.72207,1.84298,2.02788,2.33468,2.44121,2.49150,2.52232,2.53527,2.45263,2.41454,2.37712,2.37704,2.34493,2.31824,2.22107,2.18292,2.14678,2.14813,2.09939,2.10850,2.05750,2.17464,2.23579,2.18860,2.15795,2.81955,2.76603,2.63911,2.49468
2016,Paxton 33_11kV,07MAY2015,MW,2.42807,2.25817,2.21452,2.08722,1.95118,1.80972,1.65978,1.60555,1.48508,1.44115,1.35619,1.34573,1.32295,1.28274,1.24728,1.27930,1.29997,1.28008,1.26460,1.28525,1.39473,1.45067,1.53309,1.55884,1.69424,1.86922,2.00367,2.11977,2.17957,2.17803,2.17412,2.17311,2.00445,1.94428,1.85714,1.71802,1.62143,1.52898,1.42665,1.31503,1.09882,1.27818,1.27497,1.25811,1.24466,1.21789,1.22356,1.23834,1.20777,1.17702,1.19898,1.16107,0.95062,0.98449,1.15640,1.23205,1.22847,1.25584,1.19944,1.24554,1.28364,1.34394,1.41395,1.29578,1.36248,1.44306,1.62871,1.73047,1.88219,2.16372,2.32002,2.49518,2.58350,2.68765,2.63368,2.58350,2.53293,2.51575,2.50042,2.41340,2.32562,2.33181,2.25548,2.18882,2.19781,2.20090,2.24730,2.20400,2.35654,2.34296,2.31976,2.22121,2.84571,2.86567,2.75022,2.66154
2016,Paxton 33_11kV,08MAY2015,MW,2.54218,2.33826,2.26678,2.10804,1.93013,1.79349,1.66836,1.62352,1.56819,1.46813,1.38528,1.35481,1.31929,1.26229,1.25380,1.30655,1.32992,1.27836,1.29136,1.33315,1.42867,1.50439,1.57074,1.58541,1.75898,1.96007,2.05482,2.24600,2.25881,2.24249,2.19704,2.11970,2.05884,1.93376,1.87858,1.82138,1.64522,1.62504,1.60512,1.52694,1.49573,1.37607,1.36313,1.32413,1.28821,1.27826,1.26849,1.18226,0.96517,0.99015,0.99699,1.03428,1.03262,1.01689,1.05663,1.04499,1.06030,1.12462,1.11726,1.15328,1.21162,1.24986,1.32409,1.37715,1.49578,1.57789,1.69578,1.86129,2.03364,2.33846,2.56813,2.75051,2.77343,2.80076,2.85172,2.82716,2.82923,2.78842,2.71895,2.64343,2.58134,2.52878,2.54393,2.55193,2.55405,2.53416,2.58001,2.51595,2.58530,2.58269,2.60601,2.52664,3.06719,3.02640,2.94965,2.82582
2016,Paxton 33_11kV,09MAY2015,MW,2.74865,2.53695,2.49268,2.32193,2.12683,1.97380,1.83615,1.73412,1.65785,1.54284,1.50218,1.44066,1.39642,1.38673,1.37128,1.35840,1.38126,1.36321,1.39183,1.35581,1.40746,1.47197,1.49574,1.54393,1.57018,1.72614,1.85162,2.02551,2.17867,2.26464,2.32699,2.46268,2.39972,2.39073,2.36099,2.29197,2.15335,2.11239,2.10295,2.05927,1.87901,1.76329,1.66379,1.59345,1.55726,1.53631,1.46307,1.50321,1.37467,1.38782,1.32288,1.36092,1.41354,1.35636,1.31420,1.29075,1.34143,1.34740,1.36638,1.38861,1.43625,1.54958,1.51805,1.57192,1.67691,1.71783,1.87186,2.04246,2.23534,2.56239,2.77097,2.89509,2.90940,2.93391,2.93845,2.88151,2.89953,2.79934,2.68351,2.58828,2.50398,2.46352,2.43787,2.39934,2.37880,2.38877,2.36769,2.32619,2.39684,2.34574,2.32741,2.32162,2.75703,2.62993,2.42018,2.32490
2016,Paxton 33_11kV,10MAY2015,MW,2.27486,2.11503,2.06784,1.98586,1.85697,1.68930,1.66996,1.65659,1.57707,1.44033,1.48762,1.43620,1.41106,1.40628,1.40193,1.39063,1.42535,1.38089,1.41183,1.43996,1.42062,1.46062,1.46258,1.44017,1.49572,1.60369,1.72602,1.83793,1.96878,2.15630,2.27004,2.30852,2.35327,2.34116,2.32403,2.30416,2.30566,2.20956,2.16572,2.10675,1.96197,1.92394,1.86011,1.78337,1.78326,1.72092,1.69468,1.67130,1.55938,1.48741,1.44133,1.44700,1.39471,1.41062,1.30031,1.31616,1.35900,1.38893,1.34504,1.42042,1.54905,1.53083,1.55182,1.61301,1.66115,1.70511,1.84318,2.05611,2.26231,2.40418,2.54929,2.66920,2.70825,2.75838,2.72555,2.71305,2.68611,2.57600,2.56310,2.51609,2.47027,2.37796,2.32448,2.27814,2.23073,2.17607,2.14116,2.03515,2.07996,2.10368,2.06991,2.02079,2.43672,2.29128,2.09659,1.99491
