year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Pelican 33_11kV,01MAY2016,MW,5.00827,4.37456,4.55654,5.06187,4.40095,3.91835,3.75209,3.68717,3.70196,3.46908,3.47568,3.45914,3.30873,3.32469,3.29313,3.26999,3.23997,3.25605,3.31158,3.32561,3.35559,3.39779,3.54695,3.49021,3.67974,3.77684,4.06516,4.16200,4.29152,4.54426,4.96875,5.06435,5.28282,5.42910,5.69925,5.92182,5.90976,6.03184,6.46322,6.38791,6.28223,6.25775,6.18452,6.27269,6.17180,6.10243,6.02872,6.02300,5.99924,5.90484,6.01875,5.88472,5.62129,5.56098,5.55684,5.43206,5.46521,5.47834,5.45703,5.52573,5.53963,5.58587,5.60354,5.70743,5.76961,5.83424,6.00669,6.09104,6.21713,6.31203,6.46286,6.44666,6.57685,6.39457,6.35763,6.26339,6.22471,6.16683,5.87788,5.78838,5.41062,5.25552,5.31935,5.05663,4.89013,4.80991,5.84318,5.27621,5.10430,4.90873,4.90304,4.61162,5.32921,4.97982,4.67477,4.81002
2017,Pelican 33_11kV,02MAY2016,MW,4.76759,4.26848,4.35783,4.88605,4.31194,3.80500,3.61328,3.79289,3.48560,3.36630,3.25740,3.40276,3.33054,3.13599,3.23608,3.32240,3.30349,3.24686,3.30939,3.46651,3.54726,3.63480,3.95350,4.04531,4.29054,4.50101,4.86190,4.73512,4.76283,4.87069,5.06423,5.06841,5.12707,5.17050,5.15699,5.10577,5.03806,5.02838,5.05613,4.94364,4.88649,4.83941,4.91624,4.84551,4.88544,4.78170,4.88265,5.02758,5.11102,5.02164,5.13247,5.14646,5.04292,4.99007,5.07991,5.10866,5.09024,5.34895,5.42453,5.23749,5.22952,5.23042,5.21059,5.34138,5.48036,5.51813,5.69949,5.93164,6.23767,6.43444,6.54823,6.48377,6.41373,6.35328,6.25663,6.02615,5.86164,6.04137,5.83971,5.59582,5.53682,5.31728,5.19825,5.11944,4.95713,4.73052,4.88836,4.78751,5.96535,5.52375,5.23683,4.99989,5.11887,4.83944,5.37094,5.58506
2017,Pelican 33_11kV,03MAY2016,MW,5.82229,5.35577,5.31399,5.53814,5.26528,4.76679,4.49952,4.52701,4.17214,3.94327,3.78165,3.71862,3.53199,3.46764,3.42349,3.42120,3.35428,3.29477,3.39262,3.40174,3.50261,3.60926,3.80343,4.02700,4.44147,4.46533,4.73980,4.67639,4.82894,4.97985,5.08905,5.10252,5.23116,5.14182,5.09506,5.11640,5.09697,4.97527,5.09926,5.01471,4.84235,4.98631,5.11128,4.89743,5.00357,5.00383,5.01335,4.94561,5.07110,5.26717,5.26490,5.05653,5.01891,5.10417,5.01737,4.92942,4.95837,5.00562,5.02607,5.01802,5.00944,5.08056,5.03355,5.19115,5.42122,5.45612,5.55232,5.68192,5.84957,6.11701,6.26420,6.30224,6.33385,6.37097,6.31981,6.11254,5.92655,6.00901,5.94105,5.63343,5.47509,5.37050,5.17471,5.13111,5.01755,4.65715,4.92878,4.87444,6.01473,5.52986,5.13887,4.87889,5.24478,4.95559,5.26132,5.62424
2017,Pelican 33_11kV,04MAY2016,MW,5.71753,5.30401,5.19386,5.51407,5.22362,4.63505,4.36553,4.45310,4.15492,3.85784,3.78039,3.70535,3.55373,3.40288,3.38245,3.33142,3.37356,3.31868,3.22435,3.44534,3.59329,3.54178,3.81621,4.09079,4.33273,4.42636,4.63267,4.61730,4.79470,4.90669,4.96531,5.16024,5.03555,5.06778,5.10222,5.13421,5.10263,4.86387,4.92178,4.79525,4.70983,4.77114,4.75749,4.89705,5.00848,4.95549,5.12136,4.93892,5.04113,4.98714,4.91753,5.14495,5.14484,4.93236,4.97810,4.92505,4.92936,5.05273,4.94468,5.04809,5.11246,5.07878,5.12119,5.21239,5.26192,5.34187,5.64251,5.72245,5.88448,6.34285,6.38310,6.25317,6.38793,6.28902,6.20333,6.18109,6.00159,6.04410,5.87022,5.72378,5.55356,5.37693,5.26381,5.13922,4.91790,4.69997,4.87247,4.70428,6.01156,5.55395,5.16385,4.87337,5.11486,4.83805,5.27027,5.69689
2017,Pelican 33_11kV,05MAY2016,MW,5.77365,5.34082,5.28574,5.41870,5.21512,4.68425,4.45207,4.54200,4.22606,3.93935,3.73465,3.57157,3.40524,3.30969,3.35205,3.30804,3.33329,3.30982,3.30048,3.31568,3.55606,3.66009,3.71480,4.04233,4.35027,4.35679,4.60936,4.52169,4.55390,4.79713,4.93333,5.07876,5.13477,5.03961,5.13314,5.01503,4.91187,4.93361,4.79477,4.85618,4.86046,4.77554,4.70312,4.79922,4.71428,4.68126,4.84206,4.85372,4.81206,4.95411,5.02150,4.91280,4.92837,4.79396,4.75114,4.80969,4.77972,4.75625,4.98328,4.93592,4.94345,4.98160,5.09916,5.15043,5.25855,5.46482,5.71046,5.76158,5.98243,6.08398,6.41401,6.43328,6.47351,6.33368,6.29685,6.19689,6.04723,5.92494,5.81853,5.80365,5.60374,5.36147,5.36831,5.21194,4.99512,4.81099,4.95615,4.71229,6.04470,5.57581,5.13897,4.81604,5.19224,4.88218,5.40263,5.55863
2017,Pelican 33_11kV,06MAY2016,MW,5.67580,5.31284,5.25082,5.55198,5.26942,4.81165,4.58168,4.50057,4.27076,4.00988,3.77387,3.62877,3.47631,3.44498,3.39067,3.35450,3.33252,3.24110,3.31838,3.36555,3.53329,3.62433,3.86593,4.00997,4.28611,4.40945,4.72604,4.68073,4.61817,4.74497,5.00978,4.99133,4.97353,5.04217,5.18545,4.98099,5.02393,4.93530,4.93640,5.12953,5.01344,4.86646,4.89307,4.78671,4.78615,4.73908,4.97044,4.86381,4.76979,4.85468,5.02706,4.90385,5.08315,4.91096,4.97807,5.08291,5.01379,4.99009,4.99250,5.00266,5.00151,5.04309,5.12011,5.24586,5.38776,5.38309,5.55657,5.81879,5.90595,5.96716,6.31024,6.22598,6.14661,6.13223,5.99896,5.96406,5.90033,5.90414,5.87336,5.71287,5.33791,5.25447,5.19965,4.99267,5.02156,4.81790,4.91754,4.91132,5.98668,5.63230,5.36239,5.05519,5.36953,5.18072,5.52336,5.78296
2017,Pelican 33_11kV,07MAY2016,MW,5.96448,5.48833,5.37629,5.67630,5.33156,4.91164,4.53762,4.26547,4.45712,4.22401,3.96186,3.78311,3.69462,3.53643,3.48768,3.43077,3.41112,3.40884,3.29824,3.32249,3.49837,3.45522,3.46479,3.69464,3.77413,3.90738,4.26047,4.30596,4.49910,4.86152,5.01388,5.16301,5.31074,5.42460,5.52505,5.55819,5.67035,5.58035,5.40402,5.42983,5.45196,5.46390,5.52411,5.31292,5.26613,5.16397,5.04277,5.14832,5.21267,5.19862,5.31436,5.26672,5.07189,5.14663,5.17146,5.04783,5.08698,5.26373,5.25939,5.22081,5.36698,5.27659,5.25370,5.33967,5.37550,5.50718,5.67409,5.55744,5.79197,6.02641,6.27810,6.38157,6.34632,6.19108,6.24915,5.94710,5.85992,5.95393,5.81747,5.57591,5.36075,5.20203,5.15262,5.06961,5.01601,4.88990,5.85774,5.32982,5.19062,4.91370,4.96024,4.78652,5.41650,5.17177,4.84847,5.00189
2017,Pelican 33_11kV,08MAY2016,MW,5.02272,4.62460,4.60444,4.94172,4.52355,3.98693,3.76936,3.74715,3.75214,3.56675,3.50479,3.38824,3.38121,3.36760,3.28503,3.26504,3.33838,3.25826,3.25463,3.26905,3.33279,3.34158,3.46858,3.50636,3.60037,3.81602,3.92902,4.03321,4.34331,4.44400,4.76984,4.95987,5.07435,5.20661,5.66039,5.65913,5.88645,5.89132,5.80311,5.95540,5.99757,5.92845,6.14652,5.84616,5.72441,5.71428,5.65095,5.48887,5.53788,5.40974,5.17350,5.17814,5.17824,5.05878,5.04540,5.07269,5.07577,4.98607,5.17054,5.10665,5.01927,5.01843,5.19964,5.19307,5.25681,5.29028,5.52892,5.58687,5.71998,5.82233,6.16743,6.09742,6.13543,6.01882,5.90717,5.77656,5.83502,5.73417,5.63718,5.44257,5.29196,5.18180,5.09110,4.90908,4.88731,4.72211,5.75115,5.31275,4.92626,4.64529,4.79474,4.40759,5.04214,4.92185,4.50053,4.75451
2017,Pelican 33_11kV,09MAY2016,MW,4.73997,4.28448,4.32529,4.78237,4.19193,3.82994,3.73018,3.68326,3.50627,3.46313,3.39478,3.32282,3.29021,3.28320,3.29978,3.31054,3.24766,3.32442,3.34135,3.31090,3.54583,3.62200,3.76919,3.90834,4.23035,4.49768,4.79849,4.62660,4.73392,4.92431,5.13846,5.26963,5.28941,5.40480,5.60552,5.45695,5.55203,5.50103,5.50465,5.57888,5.44919,5.51612,5.58284,5.45672,5.51824,5.41028,5.40956,5.53861,5.51514,5.39309,5.53992,5.45855,5.36324,5.35928,5.33180,5.34381,5.29628,5.30968,5.33434,5.30011,5.19471,5.31459,5.38046,5.43350,5.58054,5.72717,5.86503,6.13267,6.25815,6.64091,6.68637,6.57889,6.48059,6.48229,6.31575,6.13237,5.95339,5.96036,5.83774,5.68542,5.54555,5.31352,5.27341,5.17031,5.06223,4.82947,4.89469,4.84049,6.12999,5.72021,5.40234,5.00345,5.35139,5.01853,5.52736,5.75911
2017,Pelican 33_11kV,10MAY2016,MW,5.99537,5.50777,5.34350,5.66009,5.34402,4.87375,4.60327,4.62847,4.31044,3.97680,3.82313,3.72699,3.51052,3.47799,3.42256,3.44927,3.32117,3.34866,3.38793,3.40090,3.60363,3.69492,3.83939,4.04666,4.38278,4.56842,4.75352,4.61807,4.65790,4.82295,5.05085,5.31972,5.30617,5.34143,5.16385,5.10167,4.99145,4.95532,4.87681,4.93152,4.79468,4.83590,4.83049,4.82988,4.72082,4.74236,4.72861,4.91506,4.85429,4.91511,4.98046,4.87548,4.96866,4.71098,4.84063,4.83630,4.83169,4.80580,4.89371,4.93769,4.93695,4.88075,5.00618,5.18588,5.29661,5.31893,5.51306,5.79201,5.87503,6.16668,6.48656,6.43026,6.32068,6.42449,6.25920,6.10521,5.95763,6.11947,5.87287,5.65691,5.54444,5.38210,5.14677,5.06093,4.95660,4.64395,4.83392,4.68907,6.06611,5.63581,5.25633,4.99963,5.23049,4.99764,5.30252,5.68293
