year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Pennant Hills 132_11kV,01MAY2016,MW,29.03716,29.85005,28.16756,28.22427,29.11278,27.31686,25.36971,23.68721,22.04253,20.66251,19.62277,18.80988,17.94028,17.44876,17.07067,16.93834,16.54135,16.31450,16.25778,15.86079,16.20107,16.08765,16.04984,16.04984,17.54328,17.75123,18.41289,18.58303,18.43179,19.62277,20.71922,22.28829,23.32803,24.44339,25.01052,25.65327,25.48313,25.48313,25.89903,25.99355,25.99355,25.99355,26.22040,25.86122,25.86122,25.86122,25.61546,25.42642,25.76670,25.63437,23.19570,23.13899,23.13899,23.25241,24.19763,24.19763,23.91407,23.66831,23.97078,23.80064,24.67024,24.65134,24.51901,25.01052,25.55875,25.84232,26.08807,26.42835,27.48700,29.22620,31.81611,33.36627,33.61202,33.61202,33.61202,33.00708,31.74049,30.92760,29.92567,29.33963,28.54565,28.35660,27.60043,26.65521,26.39054,25.95574,25.57765,25.31299,27.12782,27.94070,27.05220,25.59656,24.12202,25.35080,27.03329,26.31493
2017,Pennant Hills 132_11kV,02MAY2016,MW,28.26208,29.28292,27.67604,28.09194,29.07497,27.05220,25.25628,23.27132,21.68335,20.68141,19.37701,18.75317,17.75123,17.61890,17.08958,16.56026,16.50354,16.50354,16.50354,16.50354,17.14629,18.01589,18.84769,20.18990,22.40172,24.61353,26.99548,27.78947,27.05220,28.05413,28.29989,28.11084,28.16756,27.67604,26.74973,26.18260,25.69108,25.61546,25.10504,24.61353,24.29216,23.78174,23.78174,23.38474,22.77980,22.77980,22.38281,22.30719,22.55295,23.83845,24.48120,24.34887,24.08421,23.74393,23.57379,23.47927,23.68721,23.51707,23.72502,24.12202,24.19763,24.59463,24.91600,25.84232,26.08807,26.54178,27.29795,28.67798,29.58539,31.43802,32.91256,33.57422,34.04683,34.25477,34.87862,34.57615,33.30955,33.02599,32.32653,31.17336,30.88979,30.09581,29.81224,28.79140,28.35660,27.73276,27.60043,26.69301,28.56455,29.33963,28.88592,27.16562,25.65327,26.73082,28.05413,27.09001
2017,Pennant Hills 132_11kV,03MAY2016,MW,28.48893,29.41525,27.60043,28.09194,28.79140,26.84425,25.33190,23.55488,21.74006,20.39785,19.03673,18.22384,17.58109,17.22191,16.69259,16.25778,16.25778,16.25778,16.25778,16.33340,16.99506,17.99699,19.09344,20.43566,22.81761,25.36971,28.98045,29.05606,28.24318,29.05606,29.67991,29.22620,28.69688,28.35660,27.07110,26.12588,25.50204,24.82148,24.76477,24.10311,23.44146,23.32803,22.60966,22.34500,22.28829,22.09924,22.09924,21.87239,22.15596,21.89130,22.32610,22.36391,21.96691,22.17486,22.28829,22.28829,22.28829,22.28829,22.28829,22.38281,22.66638,23.15789,23.36584,23.78174,24.00859,24.89710,25.76670,26.69301,27.26015,29.37744,31.24897,32.55338,33.36627,33.55531,33.97121,33.30955,33.10161,32.45886,31.74049,31.09774,30.60623,30.60623,29.81224,29.49087,28.98045,27.73276,27.48700,26.76863,28.56455,29.94457,28.65907,26.97658,25.16176,26.39054,27.84618,27.03329
2017,Pennant Hills 132_11kV,04MAY2016,MW,28.67798,29.22620,27.33576,27.65714,28.29989,26.50397,24.55682,23.13899,21.45650,20.00086,19.16906,18.41289,18.01589,17.37314,16.91944,16.91944,16.35231,16.29559,16.29559,16.29559,16.74930,17.67561,18.60193,20.05757,22.77980,24.82148,27.18453,27.48700,26.91987,27.58152,27.86509,27.86509,27.33576,26.93877,26.14479,25.67218,25.06724,24.95381,24.27325,23.40365,23.34694,23.34694,23.12008,22.89323,22.51514,22.49624,23.08227,23.08227,23.63050,23.63050,23.63050,23.98968,23.57379,23.49817,24.32996,23.49817,23.38474,23.59269,23.89516,24.08421,23.91407,24.42449,25.23738,25.19957,25.55875,26.01246,26.57959,27.16562,28.07304,29.94457,31.55145,32.43995,33.06380,33.13941,33.64983,33.64983,32.76133,32.45886,31.58925,31.47583,30.81417,30.13362,29.50977,29.15059,28.56455,27.99742,27.77057,26.93877,28.28098,28.86702,28.35660,26.59849,25.14285,26.29602,27.65714,26.74973
2017,Pennant Hills 132_11kV,05MAY2016,MW,28.26208,28.86702,26.88206,27.48700,28.20537,26.61740,24.63243,22.79871,21.24855,19.94414,18.79097,18.20494,17.44876,17.01396,17.01396,17.01396,16.67368,16.46573,16.71149,17.14629,17.71342,18.60193,19.67948,21.04060,22.98775,25.25628,27.37357,27.99742,27.07110,28.18646,28.03523,28.26208,28.11084,27.46809,26.57959,26.03136,25.52094,24.99162,24.25435,24.19763,24.14092,23.70612,23.64941,23.23351,22.76090,22.66638,22.66638,22.66638,22.66638,22.57185,22.66638,22.98775,23.00666,22.70419,22.49624,22.49624,22.49624,22.83652,23.19570,23.12008,23.12008,23.40365,24.10311,24.57572,24.74586,25.19957,26.25821,27.03329,27.92180,29.49087,31.74049,33.02599,33.64983,33.66874,33.66874,33.64983,33.00708,32.93147,32.15639,31.62706,31.04103,30.49280,30.20923,29.33963,28.75359,27.73276,27.73276,27.10891,28.73469,29.18840,28.56455,26.73082,25.23738,26.63630,28.07304,27.33576
2017,Pennant Hills 132_11kV,06MAY2016,MW,28.24318,29.05606,27.50590,28.07304,28.79140,26.97658,25.33190,23.72502,22.08034,20.79484,19.75510,18.86659,18.54522,17.56219,17.41095,16.97615,16.97615,16.97615,16.97615,16.97615,17.29753,18.52631,19.07454,20.37894,22.60966,24.80257,27.78947,28.28098,27.71385,28.64017,28.92373,28.69688,28.35660,28.24318,27.39248,27.18453,26.73082,26.16369,25.65327,25.12395,24.27325,23.57379,23.30913,23.30913,23.19570,22.87433,23.00666,22.74199,22.89323,22.98775,22.98775,23.15789,22.94994,23.04446,23.19570,22.94994,23.13899,23.13899,23.13899,23.13899,23.53598,23.87626,24.15982,24.44339,25.10504,25.91793,26.22040,26.74973,27.80837,29.64210,31.04103,31.85392,32.04296,32.26981,32.55338,32.55338,32.00515,31.47583,30.92760,30.07690,29.66101,29.18840,28.56455,28.50784,27.56262,26.93877,26.46616,26.16369,28.54565,29.47196,29.11278,27.84618,26.37164,27.60043,28.98045,28.45112
2017,Pennant Hills 132_11kV,07MAY2016,MW,30.19033,30.70075,28.92373,29.37744,29.54758,27.58152,25.80451,23.97078,22.49624,21.07841,20.05757,18.90440,18.14822,17.60000,17.33534,16.97615,16.52245,16.52245,16.52245,16.52245,16.52245,17.03287,17.10848,17.54328,18.16713,19.49044,20.15209,20.70032,21.24855,22.57185,23.89516,24.63243,25.36971,26.37164,26.18260,25.78560,25.57765,25.18066,25.36971,24.85929,24.57572,24.25435,23.44146,23.25241,23.46036,23.19570,22.79871,22.79871,22.79871,22.87433,23.17680,22.76090,22.49624,22.49624,23.15789,23.08227,22.64747,22.64747,22.70419,23.80064,23.80064,23.80064,23.85735,24.42449,24.89710,25.63437,26.71192,27.41138,28.05413,30.30375,31.60816,32.25091,32.72352,32.72352,32.34543,31.74049,31.17336,30.53061,30.00128,29.64210,28.86702,28.77250,27.78947,27.60043,26.88206,26.06917,26.03136,25.86122,27.80837,28.81031,28.14865,27.03329,25.61546,27.20343,28.79140,28.33770
2017,Pennant Hills 132_11kV,08MAY2016,MW,29.62320,30.47389,28.75359,29.22620,29.77443,27.97851,26.39054,24.57572,22.83652,21.36197,19.77400,18.84769,18.18603,17.42986,16.90053,16.37121,15.76627,15.76627,15.76627,15.76627,15.76627,15.76627,15.76627,16.44683,17.07067,17.63781,18.20494,18.69645,18.77207,19.98195,21.00279,21.89130,23.19570,24.50010,24.87819,25.14285,26.03136,26.12588,26.46616,26.91987,27.33576,27.33576,27.10891,26.73082,26.44726,26.25821,26.25821,25.63437,25.35080,24.87819,24.87819,24.87819,24.38668,24.78367,24.55682,24.06530,24.46229,24.00859,23.91407,23.91407,23.91407,24.04640,24.63243,25.06724,25.74779,26.10698,26.90096,28.05413,29.03716,30.88979,32.79914,33.47969,33.95230,33.95230,33.61202,32.98818,32.45886,31.91063,31.28678,30.60623,30.19033,29.81224,29.09387,28.84812,28.33770,27.37357,26.08807,25.93684,27.60043,28.60236,28.14865,26.29602,24.80257,25.65327,27.56262,27.20343
2017,Pennant Hills 132_11kV,09MAY2016,MW,28.77250,29.75553,27.67604,28.28098,29.20730,27.56262,25.67218,23.97078,22.25048,21.07841,19.96305,18.90440,18.45070,17.61890,17.41095,16.97615,16.97615,16.97615,16.97615,16.97615,17.25972,17.88356,18.82878,20.09538,22.32610,24.50010,26.86315,26.56068,26.33383,27.37357,27.80837,28.03523,28.22427,27.90290,27.58152,27.54371,27.54371,27.33576,26.76863,27.14672,27.61933,27.09001,27.14672,27.14672,27.14672,27.14672,27.14672,26.76863,26.65521,26.48507,26.12588,26.12588,26.12588,25.95574,25.65327,25.65327,25.65327,25.65327,25.65327,25.65327,25.65327,25.65327,26.22040,26.95768,27.12782,27.18453,28.18646,28.99935,30.24704,32.02406,33.72545,35.06766,35.54027,35.72932,35.67260,35.12438,34.72738,33.66874,32.96928,32.57228,31.57035,31.19226,30.49280,29.90676,29.05606,28.11084,27.90290,27.61933,29.20730,29.96348,29.24511,27.22234,25.80451,26.74973,28.16756,27.12782
2017,Pennant Hills 132_11kV,10MAY2016,MW,28.31879,29.28292,27.86509,27.94070,28.86702,27.33576,25.40751,23.61160,21.64554,20.70032,19.30139,18.63974,17.84575,17.27862,17.27862,16.56026,16.18217,16.18217,16.18217,16.74930,17.27862,17.84575,18.73426,20.17100,22.42062,24.48120,26.86315,27.24124,26.95768,27.31686,28.26208,28.31879,27.75166,27.18453,26.65521,26.31493,25.65327,25.02943,24.85929,24.32996,24.06530,23.32803,23.30913,23.19570,22.74199,22.64747,23.12008,22.94994,22.98775,23.19570,23.00666,23.13899,23.10118,23.13899,23.12008,23.00666,22.96885,23.47927,22.96885,22.91213,23.23351,23.36584,23.64941,24.65134,25.36971,26.29602,26.29602,27.33576,28.11084,30.19033,32.02406,33.23394,33.80107,34.36820,34.31149,34.31149,33.63093,32.85585,32.26981,31.41911,31.05993,30.53061,29.71772,29.11278,28.18646,27.63823,26.99548,26.20150,28.07304,29.07497,28.58345,26.67411,25.06724,24.10311,24.10311,24.10311
