year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Port Botany 33_11kV,01MAY2017,MW,4.09517,4.07852,3.99529,4.06188,4.07852,4.11182,3.91205,3.72894,3.62905,3.74558,3.84546,4.16176,4.19505,4.31158,4.24499,4.19505,4.31158,4.36152,4.39482,4.26164,4.26164,4.24499,4.27829,4.02858,4.11182,4.67782,4.76105,4.82764,4.92752,4.97746,4.76105,4.79435,4.84429,4.97746,5.06070,5.06070,5.02740,5.09399,4.81099,4.41146,4.64452,4.47805,4.39482,4.57793,4.96082,5.27711,5.31040,5.44358,5.54346,5.41029,5.22717,5.29376,5.27711,5.32705,5.07734,4.86093,4.61123,5.17723,5.11064,5.19387,5.42693,5.37699,5.22717,5.27711,5.29376,5.16058,5.12729,5.11064,5.24382,5.52681,5.36034,5.09399,4.87758,4.79435,4.86093,4.96082,4.96082,5.09399,4.81099,4.72776,4.84429,4.79435,4.86093,4.86093,4.77770,4.71111,4.51135,4.12846,4.09517,4.04523,4.29493,4.39482,4.29493,4.14511,4.14511,4.17841
2018,Port Botany 33_11kV,02MAY2017,MW,4.04523,4.02858,3.99529,3.91205,4.09517,3.96199,3.86211,3.72894,3.69564,3.71229,3.81217,4.12846,4.21170,4.14511,4.21170,4.32823,4.22835,4.34488,4.26164,4.19505,4.34488,4.52799,4.47805,4.11182,4.41146,4.79435,4.72776,4.87758,5.09399,4.86093,4.74440,4.81099,4.77770,4.71111,4.79435,4.81099,4.86093,5.02740,4.81099,4.42811,4.49470,4.66117,4.81099,5.01076,4.94417,5.22717,5.17723,5.19387,5.14393,5.12729,5.21052,5.21052,5.16058,5.24382,5.11064,4.84429,4.94417,5.17723,5.12729,5.12729,5.14393,5.06070,5.04405,5.16058,5.11064,5.04405,5.14393,5.04405,5.34370,5.49352,5.16058,5.01076,4.72776,4.67782,4.69446,5.01076,5.16058,5.07734,5.04405,4.96082,4.87758,4.91087,4.96082,4.77770,4.79435,4.76105,4.59458,4.21170,4.01193,4.29493,4.36152,4.32823,4.27829,4.26164,4.17841,4.17841
2018,Port Botany 33_11kV,03MAY2017,MW,4.17841,4.21170,4.09517,4.01193,4.07852,3.96199,3.74558,3.79552,3.84546,3.86211,3.86211,4.01193,4.22835,4.26164,4.16176,4.14511,4.22835,4.26164,4.22835,4.09517,4.26164,4.36152,4.32823,4.21170,4.36152,4.86093,4.79435,4.81099,4.87758,4.86093,4.59458,4.59458,4.74440,4.82764,4.94417,4.96082,4.87758,4.92752,4.69446,4.49470,4.62788,4.57793,4.37817,4.79435,4.94417,5.11064,4.91087,5.04405,5.02740,5.04405,5.12729,4.97746,4.91087,4.99411,4.91087,4.59458,4.51135,4.99411,4.99411,4.96082,4.96082,5.02740,5.04405,5.04405,5.12729,5.02740,5.02740,5.29376,5.57676,5.54346,5.29376,5.09399,4.67782,4.69446,4.66117,4.69446,4.66117,4.84429,4.89423,4.97746,4.82764,4.99411,4.87758,4.76105,4.76105,4.57793,4.44476,4.14511,3.99529,4.19505,4.19505,4.17841,4.27829,4.12846,4.16176,4.14511
2018,Port Botany 33_11kV,04MAY2017,MW,3.99529,3.97864,4.11182,4.04523,3.87876,3.89541,3.66235,3.56246,3.76223,3.69564,3.71229,3.81217,3.89541,4.04523,3.91205,4.02858,4.11182,4.11182,4.04523,4.01193,4.19505,4.39482,4.26164,4.06188,4.36152,4.99411,4.84429,4.79435,4.81099,4.86093,4.71111,4.66117,4.77770,4.92752,5.04405,5.19387,5.16058,5.22717,4.92752,4.77770,4.77770,4.82764,4.82764,5.24382,5.21052,5.24382,5.17723,5.14393,4.89423,5.11064,5.11064,5.11064,5.17723,5.26046,5.09399,4.67782,4.54464,4.72776,4.86093,4.91087,4.82764,4.76105,4.67782,4.77770,4.82764,4.97746,5.17723,5.49352,5.47687,5.56011,5.46023,5.12729,4.81099,4.67782,4.66117,4.82764,4.74440,5.01076,4.87758,5.01076,4.96082,4.91087,4.94417,4.77770,4.81099,4.76105,4.59458,4.22835,4.21170,4.42811,4.31158,4.24499,4.37817,4.21170,4.36152,4.31158
2018,Port Botany 33_11kV,05MAY2017,MW,4.34488,4.27829,4.32823,4.32823,4.21170,4.19505,3.94535,3.81217,3.86211,3.66235,3.67899,3.91205,3.99529,4.14511,4.19505,4.14511,4.19505,4.32823,4.31158,4.32823,4.54464,4.54464,4.42811,4.09517,4.24499,4.94417,4.84429,4.92752,5.09399,4.99411,4.62788,4.64452,4.66117,4.79435,4.77770,4.64452,4.69446,4.76105,4.57793,4.26164,4.34488,4.31158,4.24499,4.59458,4.81099,5.02740,4.91087,5.12729,5.04405,5.06070,5.01076,4.77770,4.84429,5.04405,4.77770,4.34488,4.39482,4.67782,4.71111,4.72776,4.81099,4.69446,4.74440,4.77770,4.72776,4.71111,4.74440,4.76105,4.59458,4.94417,4.79435,4.67782,4.42811,4.39482,4.46140,4.57793,4.69446,4.92752,4.62788,4.64452,4.62788,4.51135,4.36152,4.36152,4.39482,4.37817,4.26164,4.01193,3.96199,4.04523,4.06188,4.04523,4.02858,3.97864,3.87876,3.81217
2018,Port Botany 33_11kV,06MAY2017,MW,3.97864,3.79552,3.67899,3.64570,3.67899,3.46258,3.46258,3.37935,3.47923,3.37935,3.37935,3.27947,3.42929,3.39599,3.39599,3.42929,3.39599,3.26282,3.26282,3.27947,3.32941,3.39599,3.34605,3.31276,3.37935,3.71229,3.66235,3.67899,3.74558,3.64570,3.37935,3.34605,3.39599,3.61241,3.49588,3.36270,3.36270,3.46258,3.46258,3.26282,3.22952,3.21288,3.29611,3.42929,3.51252,3.49588,3.49588,3.61241,3.67899,3.72894,3.74558,3.79552,3.74558,3.84546,3.82882,3.41264,3.57911,3.82882,3.89541,3.82882,3.87876,4.01193,3.96199,3.97864,,,,,,,,4.19505,4.04523,4.06188,4.24499,4.49470,4.46140,4.37817,4.52799,4.47805,4.49470,4.49470,4.36152,4.47805,4.47805,4.27829,4.19505,3.84546,3.84546,4.12846,4.06188,4.07852,4.09517,4.09517,4.21170,4.22835
2018,Port Botany 33_11kV,07MAY2017,MW,4.07852,4.07852,4.09517,3.99529,4.06188,4.19505,3.92870,3.79552,3.81217,3.61241,3.67899,3.62905,3.61241,3.87876,3.86211,3.79552,3.79552,3.81217,3.79552,3.71229,3.74558,3.67899,3.69564,3.56246,3.51252,3.64570,3.74558,3.81217,3.69564,3.69564,3.44594,3.49588,3.42929,3.52917,3.52917,3.51252,3.44594,3.42929,3.24617,3.17958,3.09635,2.96317,3.12964,3.46258,3.47923,3.51252,3.51252,3.49588,3.46258,3.41264,3.46258,3.42929,3.51252,3.39599,3.66235,3.42929,3.32941,3.71229,3.72894,3.61241,3.67899,3.61241,3.69564,3.66235,3.64570,3.72894,3.76223,3.81217,3.97864,4.42811,4.34488,4.07852,3.94535,3.97864,3.94535,4.02858,4.12846,4.29493,4.22835,4.24499,4.26164,4.17841,4.09517,4.17841,4.21170,4.07852,4.09517,3.66235,3.64570,4.01193,4.01193,4.11182,4.06188,4.09517,4.04523,3.99529
2018,Port Botany 33_11kV,08MAY2017,MW,4.16176,4.14511,4.27829,4.11182,4.11182,4.11182,3.99529,3.66235,3.61241,3.61241,3.61241,3.71229,4.01193,4.16176,4.19505,4.11182,4.19505,4.26164,4.21170,4.24499,4.12846,4.17841,4.12846,3.89541,4.22835,4.71111,4.62788,4.62788,4.76105,4.61123,4.32823,4.39482,4.51135,4.64452,4.69446,4.67782,4.77770,4.97746,4.77770,4.46140,4.52799,4.49470,4.56129,4.84429,4.91087,4.99411,5.01076,4.96082,5.02740,5.07734,4.97746,5.02740,5.06070,5.04405,4.89423,4.52799,4.42811,5.07734,5.19387,5.11064,5.04405,5.12729,5.09399,5.01076,5.04405,5.09399,4.87758,4.97746,5.14393,5.36034,5.24382,4.97746,4.72776,4.66117,4.74440,4.87758,4.94417,4.84429,4.76105,4.94417,4.96082,4.81099,4.64452,4.72776,4.62788,4.59458,4.44476,4.07852,3.99529,4.42811,4.17841,4.14511,4.14511,4.07852,4.16176,4.06188
2018,Port Botany 33_11kV,09MAY2017,MW,4.01193,4.02858,4.09517,3.99529,4.06188,4.17841,3.94535,3.76223,3.89541,3.82882,3.86211,4.12846,4.21170,4.21170,4.09517,4.19505,4.36152,4.32823,4.37817,4.32823,4.51135,4.54464,4.39482,4.11182,4.37817,4.74440,4.94417,4.99411,4.91087,4.87758,4.76105,4.74440,4.77770,4.86093,4.71111,5.02740,5.01076,4.81099,4.46140,4.39482,4.34488,4.26164,4.32823,4.69446,4.87758,4.72776,4.72776,4.67782,4.67782,4.74440,4.79435,4.77770,4.77770,4.77770,4.69446,4.47805,4.51135,4.71111,4.72776,4.77770,4.74440,4.79435,4.87758,4.76105,4.71111,4.71111,4.66117,4.59458,4.72776,4.89423,4.91087,4.91087,4.61123,4.67782,4.64452,4.49470,4.52799,4.69446,4.71111,4.72776,4.59458,4.72776,4.47805,4.47805,4.44476,4.46140,4.31158,4.04523,3.94535,4.07852,3.97864,3.99529,4.02858,3.91205,3.79552,3.81217
2018,Port Botany 33_11kV,10MAY2017,MW,3.84546,3.77888,3.74558,3.81217,3.76223,3.62905,3.41264,3.27947,3.26282,3.44594,3.32941,3.64570,3.82882,3.81217,3.71229,4.06188,3.99529,4.04523,4.07852,4.01193,4.09517,4.22835,4.17841,3.92870,4.29493,4.52799,4.44476,4.44476,4.66117,4.52799,4.41146,4.36152,4.36152,4.29493,4.42811,4.42811,4.47805,4.56129,4.42811,4.17841,4.16176,4.14511,4.24499,4.26164,4.57793,4.62788,4.54464,4.49470,4.64452,4.62788,4.76105,4.57793,4.62788,4.56129,4.41146,4.34488,4.39482,4.62788,4.79435,4.69446,4.77770,4.67782,4.81099,4.71111,4.79435,4.84429,4.76105,4.77770,4.96082,5.17723,5.32705,5.19387,4.76105,4.64452,4.47805,4.44476,4.42811,4.52799,4.51135,4.44476,4.41146,4.29493,4.34488,4.19505,4.17841,4.22835,4.12846,3.94535,3.96199,3.72894,3.86211,3.91205,4.07852,3.97864,3.86211,3.89541
