year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Punchbowl 33_11kV,01MAY2016,MW,14.22632,14.11660,13.33032,13.14746,13.12917,12.56231,11.97717,11.46517,10.98974,10.69717,10.22174,9.98402,9.45374,9.34402,9.34402,9.30745,8.94173,8.83202,8.81373,8.86859,9.01488,9.27088,9.50859,9.65488,9.80117,9.89259,10.02059,10.53260,10.67888,10.98974,11.35545,12.10517,12.98289,13.44003,14.42746,15.14061,15.89032,16.53032,16.96918,17.53604,18.13947,18.34061,18.52347,18.76119,18.50518,18.50518,18.39547,18.98061,19.01719,18.65147,17.82861,17.62747,17.57261,17.57261,17.64575,17.53604,17.53604,17.18861,17.04232,16.71318,16.58518,17.17032,17.17032,17.17032,16.64004,16.56689,16.05489,16.05489,16.49375,17.09718,18.15776,18.41376,18.41376,18.08461,17.68233,18.21261,17.88347,17.51775,17.26175,17.11547,16.32918,16.09147,16.49375,16.31089,16.14632,15.63432,15.54289,15.12232,15.43318,15.30518,14.97603,14.48232,14.02517,14.08003,14.02517,13.75089
2017,Punchbowl 33_11kV,02MAY2016,MW,13.36689,13.44003,12.67203,12.54403,12.23317,11.72117,11.26403,10.91660,10.38631,10.13031,9.74631,9.52688,9.47202,9.34402,8.94173,8.92345,9.08802,8.97831,9.06973,9.27088,9.89259,10.33145,10.78860,11.39203,12.10517,12.90974,13.67775,14.46403,14.90289,15.61604,15.96346,15.96346,16.07318,16.03661,16.16461,16.03661,16.65832,16.98747,16.67661,16.38404,16.38404,16.36575,16.54861,16.73147,16.62175,16.18289,16.18289,16.07318,16.20118,16.40232,16.95090,17.15204,17.35318,17.40804,16.98747,16.80461,16.93261,17.04232,16.73147,16.98747,16.60347,16.69489,16.98747,17.48118,17.53604,18.01147,18.68804,19.54747,19.91319,20.15090,20.60805,20.40690,20.29719,19.94976,19.63890,19.21833,18.90747,18.37718,18.24918,18.08461,17.48118,17.20690,17.09718,16.84118,16.38404,16.14632,16.09147,15.28689,15.67089,15.89032,15.39661,14.90289,14.15317,14.57375,14.48232,13.75089
2017,Punchbowl 33_11kV,03MAY2016,MW,13.69603,13.47660,12.83660,12.43431,12.43431,11.94060,11.19088,10.75202,10.33145,10.20345,9.83774,9.61831,9.39888,8.88688,8.86859,9.12459,8.99659,8.90516,9.27088,9.49031,10.29488,10.71545,10.84345,11.31888,12.17831,13.07432,14.20803,14.81146,15.25032,15.78061,16.09147,16.27432,16.82290,16.65832,16.12804,15.92689,16.36575,16.87775,16.93261,16.87775,16.54861,16.65832,16.38404,16.36575,15.96346,15.92689,16.36575,16.53032,16.67661,16.69489,16.58518,16.36575,16.53032,16.34747,16.73147,16.67661,16.58518,16.76804,16.64004,16.60347,16.20118,16.49375,16.98747,17.38975,17.93833,18.13947,18.19433,18.92576,18.83433,18.90747,19.82176,20.13262,20.07776,19.51090,19.16347,18.99890,18.59661,18.59661,18.70633,18.66976,17.88347,17.53604,17.22518,16.91432,16.78632,16.29261,15.81718,15.46975,15.72575,15.68918,15.32346,14.81146,14.18975,14.48232,14.29946,13.51317
2017,Punchbowl 33_11kV,04MAY2016,MW,13.75089,13.44003,12.65374,12.32460,12.19660,11.62974,11.37374,10.93488,10.49602,10.20345,9.80117,9.52688,9.32574,8.94173,8.79545,8.97831,9.21602,9.03316,9.47202,9.56345,10.03888,10.40460,10.75202,11.33717,12.14174,12.76346,13.69603,14.48232,15.17718,15.96346,16.20118,16.29261,16.58518,16.60347,16.34747,16.27432,16.60347,16.78632,16.73147,16.60347,16.53032,16.78632,16.62175,16.29261,16.38404,16.47547,16.49375,16.84118,16.98747,17.07890,16.76804,16.89604,16.95090,16.85947,16.69489,17.11547,17.38975,17.26175,17.09718,16.89604,16.43889,16.69489,17.53604,17.73718,17.81033,18.12118,18.63319,18.81604,18.90747,19.74862,20.73605,20.99205,20.20576,19.65719,19.45604,19.09033,19.21833,18.83433,18.45033,18.52347,18.21261,18.13947,17.92004,17.26175,16.43889,16.20118,15.90861,15.37832,15.52461,15.76232,15.37832,14.90289,14.20803,14.53718,14.77489,13.89717
2017,Punchbowl 33_11kV,05MAY2016,MW,14.02517,13.71432,13.00117,12.81831,12.74517,12.05031,11.53831,10.89831,10.62402,10.13031,9.78288,9.78288,9.45374,9.14288,9.14288,9.14288,9.30745,9.30745,9.56345,9.94745,10.53260,10.73374,11.09945,11.55660,12.05031,12.70860,13.49489,14.44575,15.17718,15.34175,16.03661,16.54861,16.80461,17.07890,16.54861,16.29261,16.29261,16.71318,16.93261,16.84118,16.76804,16.69489,16.38404,16.43889,16.27432,16.10975,16.23775,16.38404,16.65832,16.89604,16.74975,16.58518,16.87775,16.91432,16.69489,16.73147,16.78632,16.85947,16.87775,16.40232,16.25604,16.42061,17.11547,17.60918,18.13947,18.45033,18.66976,18.94404,19.29147,19.82176,20.51662,20.69948,20.91890,20.79090,20.68119,20.37033,19.96805,19.80347,19.54747,19.56576,19.40119,19.07204,18.76119,18.65147,18.17604,17.17032,16.21947,16.01832,16.25604,16.20118,15.61604,15.17718,14.53718,14.73832,14.93946,14.02517
2017,Punchbowl 33_11kV,06MAY2016,MW,14.15317,13.84232,12.80003,12.67203,12.50746,11.81260,11.22745,10.84345,10.75202,10.31317,10.07545,9.69145,9.47202,9.21602,9.21602,9.21602,9.30745,9.52688,9.36231,9.52688,10.03888,10.77031,11.17260,11.44688,12.06860,12.98289,13.53146,14.31775,15.12232,15.89032,16.40232,16.62175,16.60347,16.53032,16.73147,16.95090,16.89604,17.33490,16.71318,16.78632,16.84118,16.69489,16.53032,16.34747,16.49375,16.80461,17.13375,17.24347,17.49947,17.73718,17.73718,17.66404,17.26175,17.60918,17.86518,17.57261,17.29832,17.38975,17.20690,16.71318,16.34747,16.18289,16.45718,17.46290,17.73718,17.93833,18.08461,18.26747,18.70633,19.62062,20.46176,20.16919,19.78519,19.30976,19.20004,18.77947,18.45033,18.24918,17.88347,17.70061,17.57261,17.33490,16.82290,16.45718,16.45718,16.20118,15.72575,15.45146,15.70746,15.98175,15.76232,15.21375,14.62860,14.75660,15.10403,14.50060
2017,Punchbowl 33_11kV,07MAY2016,MW,14.28118,13.86060,13.11089,12.80003,12.63546,11.90403,11.19088,10.93488,10.42288,10.07545,9.61831,9.32574,9.32574,9.10631,9.01488,9.01488,9.06973,9.21602,9.06973,9.23431,9.54516,9.94745,9.96574,10.02059,10.34974,10.88002,11.19088,11.57488,11.90403,12.54403,12.70860,13.51317,14.20803,14.92118,15.61604,16.56689,16.98747,17.40804,17.26175,17.59090,17.59090,17.59090,17.46290,17.02404,17.33490,17.20690,17.24347,17.48118,17.38975,17.31661,17.28004,17.35318,17.79204,17.64575,17.60918,17.51775,16.93261,16.82290,17.07890,17.38975,17.42633,17.15204,17.38975,17.40804,17.79204,17.90175,18.12118,18.26747,18.34061,18.96233,19.62062,19.76690,19.41947,18.72461,18.32233,17.97490,17.81033,17.07890,17.00575,16.58518,16.09147,16.03661,16.03661,15.56118,15.39661,15.06746,15.26861,15.03089,15.17718,15.37832,15.43318,14.99432,14.39089,14.42746,14.79318,14.35432
2017,Punchbowl 33_11kV,08MAY2016,MW,14.40918,14.20803,13.36689,13.23889,13.22060,12.45260,11.75774,11.22745,10.97145,10.49602,10.18517,9.92917,9.87431,9.32574,9.17945,9.17945,8.94173,8.88688,8.88688,8.88688,8.88688,9.16116,9.50859,9.41716,9.61831,9.96574,10.34974,10.53260,10.55088,10.97145,11.39203,11.86746,12.94632,14.18975,14.95775,15.50632,16.36575,16.85947,17.40804,17.68233,18.10290,18.23090,18.08461,18.15776,17.82861,17.73718,17.46290,17.62747,17.75547,17.75547,17.49947,17.73718,17.40804,17.29832,17.48118,17.33490,17.20690,16.95090,16.82290,16.74975,16.53032,16.67661,16.98747,17.06061,17.00575,17.02404,16.67661,16.82290,17.35318,17.95661,18.30404,18.72461,18.23090,18.23090,17.97490,17.49947,17.44461,17.57261,17.02404,16.78632,16.47547,16.43889,16.38404,16.67661,16.21947,15.79889,15.61604,15.36003,15.76232,16.00004,15.61604,14.90289,14.24460,14.09832,14.48232,13.87889
2017,Punchbowl 33_11kV,09MAY2016,MW,13.51317,13.53146,12.70860,12.52574,12.43431,11.88574,11.28231,10.75202,10.55088,10.18517,9.96574,9.56345,9.36231,8.79545,8.79545,8.90516,9.01488,8.94173,9.36231,9.83774,10.07545,10.36802,10.75202,11.28231,11.79431,12.74517,13.73260,14.20803,14.84803,15.67089,16.62175,16.93261,17.11547,17.18861,17.20690,17.18861,17.13375,17.28004,17.79204,17.81033,17.71890,17.75547,17.77375,17.88347,17.82861,18.08461,18.46861,18.21261,18.21261,18.34061,18.59661,18.28576,18.32233,18.08461,18.01147,18.19433,17.92004,17.88347,18.08461,17.64575,17.68233,17.73718,18.59661,18.83433,18.63319,18.65147,18.90747,19.47433,20.24233,20.49833,21.10176,20.53490,19.93147,19.62062,19.76690,19.96805,19.58404,19.03547,19.03547,18.66976,18.17604,17.84690,17.37147,16.78632,16.64004,16.56689,16.16461,15.61604,16.00004,16.07318,15.48804,15.08575,14.46403,14.46403,14.73832,13.78746
2017,Punchbowl 33_11kV,10MAY2016,MW,13.87889,13.67775,12.94632,12.72689,12.59889,12.03203,11.39203,10.88002,10.58745,10.07545,9.96574,9.81945,9.36231,8.92345,8.92345,8.92345,8.68573,8.68573,9.38059,9.72802,10.16688,10.75202,11.28231,11.44688,11.95888,12.85489,13.56803,14.51889,15.04918,15.34175,16.09147,16.34747,16.69489,16.85947,17.20690,16.74975,16.91432,17.33490,17.53604,17.40804,16.96918,16.76804,16.64004,16.32918,16.62175,16.89604,16.93261,16.87775,16.95090,17.24347,17.44461,17.26175,16.85947,16.85947,17.02404,16.60347,16.91432,17.09718,16.73147,16.49375,16.38404,16.51204,17.13375,17.79204,18.13947,18.26747,18.56004,19.10861,19.32804,19.91319,20.49833,20.31547,20.13262,20.13262,19.73033,19.34633,19.25490,18.94404,19.18176,18.87090,18.81604,18.35890,18.06633,17.75547,17.55433,17.11547,16.76804,16.16461,16.84118,16.91432,16.18289,15.39661,14.66518,14.29946,14.29946,14.29946
