year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Raymond Terr NEW 33_11kV,01MAY2016,MW,7.06115,7.06115,7.06115,7.06115,7.06115,7.06115,6.21843,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,6.04598,7.06115,7.06115,7.06115,7.37354,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.56793,9.88561,9.88561,9.88561,9.88561,9.88561,9.88561,8.64739,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,7.34698,7.06115,7.06115,8.56333,8.75582,8.25510,7.34359,7.34359,7.34359,8.09176,8.75582,7.93878,7.34359
2017,Raymond Terr NEW 33_11kV,02MAY2016,MW,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,6.62050,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,7.17655,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,8.57638,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,9.50090,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,9.00956,7.62604,7.62604,8.91370,9.03827
2017,Raymond Terr NEW 33_11kV,03MAY2016,MW,9.03827,9.03827,9.20354,9.60316,9.60316,8.51641,8.19093,8.19093,8.19093,8.19093,7.32083,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,6.77870,7.53611,8.19093,8.41195,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,9.60316,10.18044,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.01539,11.93754
2017,Raymond Terr NEW 33_11kV,04MAY2016,MW,12.42762,12.11911,11.17738,11.58028,11.47374,10.16805,10.16805,10.16805,10.16805,10.16805,8.89914,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,7.80640,7.34359,7.34359,7.34359,7.34359,7.34359,8.12906,8.75582,8.76462,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,11.80622,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.86273,11.39569,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,10.45050,11.64014,11.86273,10.88439,10.45050,10.45050,10.45050,10.45050,11.55592
2017,Raymond Terr NEW 33_11kV,05MAY2016,MW,12.14518,12.14518,12.13980,12.14518,11.71946,10.73295,10.05043,9.32072,9.32072,9.32072,9.17817,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,9.14900,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.34997,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,11.01599,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.07697,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.21953,9.32072,9.32072,9.32072,10.56969,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295
2017,Raymond Terr NEW 33_11kV,06MAY2016,MW,10.73295,10.54774,9.32072,9.32072,9.32072,9.32072,8.55909,7.90849,7.90849,7.90849,7.76096,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.49626,6.85180,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,8.07067,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,9.32072,7.92013,7.90849,7.90849,7.90849,7.90849,7.90849,7.90849,9.13252,9.28303,7.90849,7.90849,7.90849,7.90849,8.24766,9.32072
2017,Raymond Terr NEW 33_11kV,07MAY2016,MW,9.32072,9.32072,9.48432,9.88561,9.88561,8.66418,8.47338,7.40595,7.06115,7.06115,7.06115,7.06115,6.76473,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,5.64892,6.15248,7.06115,7.06115,7.06115,7.53525,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,8.47338,7.63969,7.06115,7.06115,8.29901,8.47338,8.47338,7.39037,7.06115,7.06115,8.60901,8.75582,8.18430,7.34359
2017,Raymond Terr NEW 33_11kV,08MAY2016,MW,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,6.42200,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,7.15324,7.34359,7.34359,7.34359,7.34359,8.48109,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.62612,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.69955,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.18294,7.34359,7.34359,7.34359,7.34359,8.58842,8.75582,8.75582,7.52421,7.34359,7.34359,8.62670,8.75582,7.94848,7.34359
2017,Raymond Terr NEW 33_11kV,09MAY2016,MW,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,7.34359,6.38857,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,5.93136,6.84478,7.34359,7.34359,7.34359,7.34359,7.34359,8.24369,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,9.62021,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.16805,10.13020,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,8.47591,8.59656,8.75582,8.75582,8.75582,8.75582,8.75582,8.75582,9.86348
2017,Raymond Terr NEW 33_11kV,10MAY2016,MW,10.45050,10.45050,9.66982,9.03827,9.03827,9.03827,9.03827,9.03827,8.21225,7.62604,7.46100,6.21381,6.21381,6.21381,6.21381,6.21381,6.21381,6.21381,6.21381,7.17069,7.90849,7.90849,7.90849,7.90849,8.96668,9.32072,9.33692,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,10.73295,11.08940,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,12.14518,11.43123,10.73295,10.73295,10.73295,10.73295,10.73295,10.34513,9.32072,9.32072,10.57663,10.73295,10.73295,10.57601,10.59375,10.73295,10.73295,11.84315
