year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Revesby 132_11kV,01MAY2016,MW,19.66554,18.21571,16.85883,19.10791,18.43876,16.95177,15.63206,14.29376,13.08557,12.30490,11.61716,10.89225,10.39039,10.07441,9.68407,9.53537,9.46102,9.51678,9.29373,9.31232,9.49819,9.29373,9.29373,9.79559,10.09299,10.35322,10.68779,10.72497,10.52050,10.85508,11.30118,11.87739,12.76959,13.32721,13.69896,13.95919,14.29376,14.75845,15.18596,15.26031,15.22313,15.22313,15.27890,15.37183,15.00008,15.01867,14.79562,14.85138,14.77703,14.18223,12.97405,13.29004,13.01122,12.75100,12.71383,12.65806,12.84394,13.34580,13.01122,12.78817,12.82535,13.02981,13.15992,13.51309,13.60602,13.99636,14.42387,14.83280,15.46477,16.44991,17.82538,18.53170,18.82910,18.84769,18.68040,18.38300,18.01125,17.76962,17.37928,16.78448,16.46849,16.15251,15.83652,15.52053,15.44618,14.98150,14.72127,14.44246,14.88856,16.54284,17.73244,20.46480,19.01498,17.80679,21.11536,20.31610
2017,Revesby 132_11kV,02MAY2016,MW,19.44249,17.84397,16.35697,18.77334,18.06701,16.52426,15.16737,13.82907,12.75100,12.04468,11.41270,10.65062,10.24169,10.01864,10.01864,9.60972,9.57254,9.85136,9.68407,10.11158,10.39039,10.92943,11.33835,11.65434,13.43874,14.83280,16.50567,17.75103,17.10047,17.71385,17.86255,17.95549,17.47222,17.10047,16.67295,16.11533,15.81793,14.59116,14.86997,14.51681,14.23800,14.33093,15.31607,15.53912,15.39042,15.29748,15.24172,15.26031,14.42387,13.04840,14.66551,15.46477,14.73986,14.40528,14.34952,14.21941,13.69896,13.60602,13.82907,14.36811,13.99636,14.21941,14.68410,15.13020,15.42759,16.04098,16.74730,17.54657,17.99266,19.42390,20.92948,21.78451,21.87744,22.00756,21.11536,20.81796,20.83655,20.48338,20.18599,19.60977,19.25661,18.58746,17.47222,17.65809,17.65809,17.41645,17.39787,16.85883,17.21199,18.64323,19.81424,22.69529,21.18971,19.87000,23.30868,22.23061
2017,Revesby 132_11kV,03MAY2016,MW,21.26406,19.59119,17.63950,19.96294,19.57260,18.10419,16.58002,15.27890,14.03354,13.12275,12.19338,11.46847,11.39412,11.05954,10.94802,10.83649,10.79932,10.76214,10.91084,11.31977,11.67293,12.08185,12.67665,13.40156,14.42387,16.00381,18.49453,19.53542,18.79193,18.88486,19.27520,18.79193,18.17854,17.78820,17.34210,16.05957,14.98150,14.85138,14.68410,14.42387,14.60975,14.75845,13.62461,13.15992,13.47591,13.29004,13.69896,13.47591,12.78817,12.76959,13.49450,13.60602,13.40156,13.38297,13.77331,13.56885,12.95546,12.88111,13.30862,13.84766,13.69896,13.66179,13.69896,13.92201,14.55398,15.13020,15.57629,16.37556,16.84024,17.78820,19.83282,20.68785,20.92948,21.09677,20.35327,20.13022,20.13022,19.94435,19.88859,19.47966,18.99639,18.55029,17.50939,17.82538,17.75103,17.36069,17.30493,16.63578,17.21199,18.69899,19.88859,22.39789,21.17112,19.66554,22.99269,22.06332
2017,Revesby 132_11kV,04MAY2016,MW,21.18971,19.81424,17.71385,19.81424,19.40531,17.93690,16.71013,15.35324,14.34952,13.42015,12.34208,11.59858,11.31977,11.15248,10.98519,10.70638,10.65062,10.98519,10.92943,11.28259,11.59858,12.45360,12.88111,13.42015,14.83280,16.71013,19.07074,19.72130,18.43876,19.38672,19.42390,19.23802,18.56888,18.08560,17.32352,16.95177,15.22313,16.37556,16.44991,16.41273,15.94804,15.94804,15.70641,15.74358,14.62833,15.03726,14.49822,14.53540,14.85138,14.77703,15.40901,14.23800,14.05212,14.08930,13.94060,13.73614,13.51309,13.45732,13.88484,14.23800,14.10788,14.70268,14.72127,15.05585,15.09302,15.92946,16.44991,17.13764,17.23058,17.86255,19.62836,20.78078,21.02242,20.52056,20.00011,20.03729,20.00011,19.81424,19.46107,19.33096,18.66181,18.25289,17.45363,17.62092,17.47222,17.24917,17.02612,16.76589,17.43504,18.73616,19.81424,22.69529,21.20830,19.62836,22.82541,21.87744
2017,Revesby 132_11kV,05MAY2016,MW,21.33841,19.68412,17.52798,19.90717,19.75847,18.23430,16.82165,15.44618,14.31235,13.42015,12.49078,11.85880,11.43129,11.35694,10.89225,10.87367,10.91084,10.72497,10.92943,11.31977,11.82163,12.49078,12.69524,13.29004,14.36811,16.04098,18.86628,19.29379,18.36441,19.25661,19.40531,19.16368,18.86628,18.45735,17.60233,17.28634,15.07443,15.35324,15.01867,14.68410,14.55398,15.09302,15.85511,15.55771,15.39042,15.39042,15.44618,14.59116,13.08557,12.86252,13.73614,14.60975,14.53540,14.73986,13.77331,13.19710,13.10416,13.10416,13.25286,13.58744,13.79190,13.95919,14.31235,14.81421,15.01867,15.68782,16.37556,16.76589,17.54657,18.38300,19.88859,20.48338,20.83655,20.42762,19.87000,19.66554,19.57260,19.96294,19.66554,19.10791,18.71758,18.42018,17.52798,17.67668,17.43504,17.00753,16.67295,16.58002,16.97035,18.14136,19.18226,21.87744,20.52056,19.16368,22.71388,21.80309
2017,Revesby 132_11kV,06MAY2016,MW,20.96666,19.25661,17.37928,19.36814,19.25661,17.73244,16.22686,14.90715,13.86625,12.71383,11.87739,11.43129,11.09672,11.28259,11.04095,10.78073,10.96660,10.76214,11.04095,11.48705,12.11903,12.58371,13.08557,13.34580,14.60975,15.94804,17.10047,17.86255,16.80307,17.17482,17.69527,17.41645,17.37928,16.74730,16.17109,15.65064,14.40528,14.79562,14.73986,14.59116,14.55398,14.07071,14.10788,13.97777,13.71755,13.58744,13.69896,13.68037,13.06699,13.10416,13.25286,13.64320,13.69896,13.25286,13.73614,13.58744,13.34580,13.08557,12.97405,13.32721,13.47591,13.77331,14.03354,14.57257,15.03726,15.35324,16.07816,16.35697,16.54284,17.97408,19.47966,19.79565,20.03729,20.13022,19.14509,18.92204,19.20085,19.01498,18.95921,18.69899,18.29006,17.84397,16.87742,17.04470,17.19340,16.82165,16.59861,16.52426,17.04470,18.17854,18.95921,21.61722,20.13022,18.71758,21.97038,20.96666
2017,Revesby 132_11kV,07MAY2016,MW,20.14881,18.64323,16.95177,19.49825,18.79193,17.28634,15.65064,14.57257,13.56885,12.58371,11.97033,11.39412,10.85508,10.61344,10.29745,10.01864,10.50192,10.65062,11.13389,11.00378,11.20824,11.37553,11.44988,11.72869,12.30490,12.97405,13.47591,14.01495,13.64320,14.46105,15.20455,15.18596,16.09674,16.52426,16.58002,16.43132,15.92946,15.55771,16.28262,15.89228,15.53912,15.65064,15.07443,15.03726,14.38670,14.40528,14.08930,13.55026,13.49450,13.73614,13.58744,13.71755,13.45732,13.32721,13.36439,13.42015,13.45732,13.55026,13.60602,13.69896,14.27517,14.07071,14.16365,14.42387,15.22313,15.68782,16.33838,16.97035,17.45363,18.66181,19.38672,19.79565,19.55401,19.44249,19.10791,18.92204,18.15995,17.84397,17.13764,16.48708,15.81793,15.76217,15.26031,14.96291,14.70268,14.70268,14.83280,14.36811,15.20455,16.98894,18.19713,21.15253,20.16740,18.97780,22.34213,21.26406
2017,Revesby 132_11kV,08MAY2016,MW,20.48338,19.08933,17.37928,19.64695,18.95921,17.62092,16.44991,14.86997,13.73614,12.76959,12.04468,11.28259,10.63203,10.35322,10.09299,9.81418,9.66548,9.42384,9.34949,9.18221,9.25656,9.34949,9.55396,9.81418,10.00006,10.50192,10.78073,11.18965,11.72869,12.36066,12.97405,13.82907,14.57257,15.13020,15.94804,16.41273,17.00753,17.45363,17.71385,17.76962,17.80679,18.14136,17.89973,17.54657,17.32352,17.17482,17.15623,16.72872,16.09674,15.57629,15.22313,15.07443,14.81421,14.70268,14.60975,14.49822,14.75845,14.57257,14.44246,14.33093,14.53540,14.60975,15.11161,15.53912,15.92946,16.31979,16.65437,17.17482,18.29006,19.36814,20.07446,20.59491,20.79937,20.66926,20.65067,20.31610,20.24175,20.26034,19.85141,19.07074,18.79193,18.25289,18.06701,17.76962,17.39787,16.74730,16.72872,16.37556,16.30121,15.92946,15.14878,14.47963,14.14506,13.77331,14.42387,14.03354
2017,Revesby 132_11kV,09MAY2016,MW,14.44246,13.79190,13.15992,12.58371,12.88111,12.17479,11.74728,11.26400,10.91084,10.39039,9.83277,9.70266,9.68407,9.46102,9.46102,9.60972,9.64689,9.73983,9.86994,9.88853,10.33463,10.79932,11.28259,11.95174,13.23427,14.75845,16.30121,17.19340,17.60233,18.29006,18.49453,18.79193,18.94063,18.81051,18.08560,17.65809,17.19340,17.34210,17.24917,17.00753,17.15623,17.13764,17.04470,17.37928,17.28634,17.13764,17.89973,17.52798,16.89600,16.56143,17.30493,17.37928,17.30493,16.87742,16.52426,16.33838,15.76217,16.11533,16.43132,17.00753,16.50567,16.72872,17.36069,17.99266,17.78820,17.91831,18.60605,19.64695,20.70643,22.04473,23.82913,24.49828,24.81426,24.66556,24.01500,23.69902,23.92207,23.43879,23.04845,23.01128,22.04473,21.13395,19.85141,19.77706,19.33096,19.10791,19.08933,18.23430,18.73616,17.97408,16.98894,16.24544,15.83652,15.37183,15.63206,15.61347
2017,Revesby 132_11kV,10MAY2016,MW,15.89228,15.11161,13.81049,13.51309,14.53540,13.45732,12.63948,12.19338,11.80304,11.39412,10.55768,10.14876,9.81418,9.77701,9.62831,9.62831,9.62831,9.77701,10.11158,11.02237,11.54281,12.06326,12.56513,13.14134,14.46105,15.63206,16.82165,18.84769,19.59119,20.48338,20.91090,20.55773,20.37186,19.47966,18.32724,18.32724,17.23058,16.30121,16.50567,16.33838,15.61347,16.87742,17.56515,17.34210,17.11905,17.17482,16.63578,15.27890,14.40528,14.25658,15.57629,15.68782,15.01867,14.66551,14.51681,14.21941,14.25658,14.05212,14.49822,14.73986,14.86997,14.66551,15.31607,15.68782,16.24544,17.04470,17.99266,18.73616,19.18226,20.57632,22.34213,23.17857,23.32727,23.60608,23.10422,22.93693,22.76964,22.45366,22.71388,22.34213,21.97038,21.15253,19.85141,19.81424,20.03729,19.21944,18.90345,18.30865,18.42018,18.06701,16.95177,16.05957,15.65064,15.16737,15.16737,15.16737
