year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Riverwood 33_11kV,01MAY2014,MW,13.21674,12.59606,12.13968,11.17216,10.47846,9.56570,8.79899,8.12355,7.70368,7.32032,7.02824,6.46233,6.33454,6.13373,6.13373,6.13373,6.09722,6.09722,6.26152,6.38931,6.59011,6.91871,7.22904,7.95925,8.52516,9.20060,10.24114,11.06263,10.78880,11.24518,11.64679,11.55552,11.51901,11.39122,11.17216,10.82531,10.71578,10.75229,10.73403,10.75229,10.75229,10.73403,10.49672,10.49672,10.31417,10.44195,10.46021,10.47846,10.35068,10.38719,10.35068,10.49672,10.56974,10.40544,10.53323,10.56974,10.49672,10.56974,10.56974,10.47846,10.51497,10.62450,10.51497,10.56974,10.73403,10.95310,11.17216,11.37296,11.62854,12.41351,13.28976,13.81916,14.05647,14.11124,14.27554,14.03822,13.67311,13.41754,13.21674,12.99767,13.19848,12.90640,12.85163,12.52304,12.28572,12.37700,12.34049,11.95713,12.63257,12.43176,12.26747,11.73807,11.53726,10.80705,12.90640,12.30398
2015,Riverwood 33_11kV,02MAY2014,MW,13.27150,12.76036,12.24921,11.17216,10.75229,9.91255,9.09107,8.45214,7.86797,7.22904,7.10126,6.69964,6.44407,6.18850,6.27978,6.31629,6.29803,6.27978,6.17024,6.31629,6.69964,7.00998,7.32032,7.90448,8.81724,9.36490,10.02208,10.60625,10.78880,11.39122,11.44599,11.39122,11.53726,11.39122,11.19041,11.17216,11.11739,11.13565,11.19041,10.95310,10.88008,10.64276,10.77054,10.51497,10.40544,10.49672,10.44195,10.42370,10.36893,10.38719,10.36893,10.56974,10.44195,10.16812,9.96732,10.09510,10.24114,10.09510,9.76651,9.78477,9.96732,10.07685,10.16812,10.31417,10.53323,10.97135,11.46424,11.92062,12.15794,12.86989,13.56358,13.91043,13.85567,13.76439,13.63660,13.50882,13.18023,12.96116,12.86989,12.70559,12.59606,12.45002,12.37700,12.30398,12.03015,11.84760,11.97539,11.59203,12.46827,12.21270,12.21270,11.50075,11.37296,10.80705,12.97942,12.52304
2015,Riverwood 33_11kV,03MAY2014,MW,13.74614,13.30801,12.52304,11.55552,11.09914,10.09510,9.40141,8.78073,8.06878,7.61240,7.35683,7.08300,6.69964,6.48058,6.33454,6.31629,6.11548,6.09722,6.09722,6.09722,6.27978,6.37105,6.51709,6.60837,7.10126,7.35683,7.74019,7.95925,7.83146,8.32435,8.85375,9.27362,9.74826,10.07685,10.49672,10.62450,10.73403,10.91659,11.29994,10.98961,10.58799,10.89833,11.04437,10.93484,10.97135,10.80705,10.95310,11.11739,11.02612,10.77054,10.69752,10.44195,10.51497,10.49672,10.44195,10.53323,10.62450,10.49672,10.51497,10.64276,10.75229,11.02612,10.98961,11.15390,11.29994,11.77458,12.30398,13.19848,13.69137,14.60413,15.18829,15.53514,15.69944,15.73595,15.51689,15.37084,15.11527,14.96923,14.58587,14.20251,14.16600,13.70963,13.63660,13.41754,13.30801,13.05244,13.07069,12.61432,13.49056,13.39929,13.34452,12.68734,12.45002,11.81109,14.00171,13.41754
2015,Riverwood 33_11kV,04MAY2014,MW,14.89621,14.09298,13.41754,12.65083,11.99364,10.86182,10.22289,9.38315,8.79899,8.37912,7.81321,7.44811,7.24730,6.84569,6.77266,6.49884,6.31629,6.27978,6.27978,6.27978,6.27978,6.27978,6.27978,6.27978,6.73615,7.00998,7.00998,7.28381,7.32032,7.92274,8.32435,8.76248,9.09107,9.71175,10.29591,10.35068,10.60625,10.82531,10.82531,10.55148,10.53323,10.42370,10.22289,10.05859,9.80302,9.69349,9.56570,9.49268,9.49268,9.45617,9.27362,9.16409,9.01805,8.96328,9.01805,8.89026,8.89026,8.89026,8.89026,8.94503,9.05456,9.21886,9.52919,9.91255,10.14987,10.42370,11.00786,11.82934,12.28572,13.38103,14.60413,15.42561,15.60816,15.66293,15.71769,15.55340,15.58991,15.31608,15.11527,14.89621,14.84145,14.49460,14.56762,14.07473,13.91043,13.41754,13.32627,12.72385,13.38103,13.18023,13.14372,12.30398,12.10317,11.51901,13.34452,12.65083
2015,Riverwood 33_11kV,05MAY2014,MW,13.94694,13.38103,12.86989,11.95713,11.40948,10.47846,9.69349,9.03630,8.47039,7.88623,7.39334,7.04649,6.69964,6.60837,6.60837,6.55360,6.48058,6.57186,6.57186,6.69964,6.93696,7.55764,7.92274,8.57993,9.32839,10.29591,11.42773,12.43176,12.54129,13.32627,13.70963,13.36278,13.30801,13.12546,12.88814,12.59606,12.45002,12.19445,12.08492,11.81109,11.86585,11.50075,11.53726,11.46424,11.40948,11.24518,11.17216,11.19041,11.08088,10.89833,10.82531,10.71578,10.69752,10.97135,10.89833,10.84357,10.91659,10.67927,10.60625,10.66101,10.58799,10.67927,10.78880,10.89833,11.20867,11.57377,11.95713,12.35874,12.74210,13.89218,14.85970,15.57165,15.95501,16.30186,16.30186,16.13756,15.95501,15.71769,15.57165,15.15178,15.11527,14.82319,14.93272,14.49460,14.11124,14.12949,14.01996,13.50882,14.18426,13.91043,13.74614,12.85163,12.46827,11.75632,13.80090,13.32627
2015,Riverwood 33_11kV,06MAY2014,MW,14.47634,13.85567,13.28976,12.39525,11.81109,10.82531,9.93081,9.29188,8.52516,8.10529,7.74019,7.52113,7.37508,7.13777,6.88220,6.77266,6.82743,6.75441,6.93696,7.04649,7.37508,7.97750,8.43388,8.94503,9.96732,10.88008,11.46424,12.48653,12.45002,13.14372,13.54533,13.38103,13.34452,12.92465,13.07069,13.12546,12.76036,12.43176,12.19445,11.99364,11.62854,11.42773,11.55552,11.53726,11.24518,11.06263,11.28169,11.24518,11.22692,10.80705,10.67927,10.77054,10.88008,10.75229,10.89833,10.95310,10.93484,10.84357,10.84357,10.86182,10.58799,10.67927,10.80705,11.19041,11.59203,12.04841,12.08492,12.30398,12.83338,14.05647,14.89621,15.35259,15.66293,15.80897,15.77246,15.69944,15.46212,15.24306,14.95098,14.65889,14.65889,14.49460,14.31205,13.91043,13.92869,13.70963,13.69137,13.05244,13.69137,13.56358,13.27150,12.34049,11.99364,11.37296,13.52707,12.79687
2015,Riverwood 33_11kV,07MAY2014,MW,14.07473,13.36278,13.07069,12.34049,11.59203,10.69752,9.98557,9.12758,8.26959,7.81321,7.39334,7.30206,6.91871,6.82743,6.68139,6.64488,6.80917,6.75441,6.80917,6.95522,7.24730,7.66717,8.21482,8.67120,9.58396,10.55148,11.53726,12.50478,12.96116,13.58184,14.00171,13.89218,13.74614,13.54533,13.34452,13.10720,13.01593,12.63257,12.45002,12.03015,12.19445,12.12143,11.82934,11.71981,11.51901,11.42773,11.33645,11.42773,11.22692,11.22692,11.24518,11.17216,11.26343,11.20867,11.33645,11.44599,11.48250,11.28169,11.06263,11.26343,11.33645,11.37296,11.53726,11.46424,11.61028,11.82934,12.39525,12.77861,13.41754,13.87392,14.91447,15.48038,15.60816,16.02803,15.84548,15.60816,15.40736,15.22480,15.33433,15.22480,14.91447,14.69540,14.71366,14.34856,14.07473,13.98345,13.80090,13.39929,14.01996,13.56358,13.28976,12.32223,11.81109,10.86182,12.76036,11.95713
2015,Riverwood 33_11kV,08MAY2014,MW,13.12546,12.19445,11.61028,10.66101,9.98557,9.38315,8.96328,8.32435,7.79495,7.50287,7.19253,7.13777,6.79092,6.66313,6.60837,6.60837,6.71790,6.71790,6.80917,6.86394,7.24730,7.66717,7.90448,8.47039,9.34664,10.69752,11.57377,12.37700,12.37700,13.01593,13.27150,12.99767,12.99767,12.72385,12.45002,12.26747,12.15794,11.79283,11.77458,11.79283,11.64679,11.39122,11.31820,11.29994,11.24518,11.09914,11.09914,11.17216,11.02612,11.09914,11.28169,11.24518,11.17216,11.04437,11.24518,11.19041,11.13565,11.09914,10.89833,10.97135,10.75229,10.78880,11.09914,11.15390,11.29994,11.51901,11.71981,12.24921,12.81512,13.76439,14.98749,15.31608,15.53514,15.66293,15.51689,15.40736,15.07876,14.96923,14.67715,14.43983,14.53111,14.38507,14.20251,13.96520,13.85567,13.52707,13.36278,12.92465,13.69137,13.43580,13.28976,12.48653,12.19445,11.71981,13.67311,13.03418
2015,Riverwood 33_11kV,09MAY2014,MW,14.09298,13.50882,12.90640,12.26747,11.55552,10.67927,9.76651,9.03630,8.32435,8.01402,7.64891,7.46636,7.08300,6.73615,6.57186,6.60837,6.64488,6.69964,6.55360,6.75441,7.04649,7.44811,7.88623,8.45214,9.41966,10.46021,11.24518,11.84760,11.88411,12.50478,12.68734,12.68734,12.43176,12.13968,12.12143,12.19445,12.34049,12.34049,12.23096,12.17619,11.86585,11.70156,11.31820,11.09914,10.95310,10.78880,10.69752,10.78880,10.64276,10.58799,10.64276,10.73403,10.42370,10.64276,10.84357,10.78880,10.64276,10.53323,10.64276,10.51497,10.33242,10.58799,10.86182,10.88008,10.93484,11.22692,11.61028,12.04841,12.37700,13.45405,14.27554,14.58587,14.73191,14.71366,14.78668,14.43983,14.16600,13.81916,13.83741,13.49056,13.56358,13.34452,13.52707,13.18023,13.10720,12.68734,12.85163,12.46827,13.28976,13.23499,13.32627,12.50478,12.01190,11.50075,13.56358,13.05244
2015,Riverwood 33_11kV,10MAY2014,MW,14.43983,13.76439,13.16197,12.30398,11.66505,10.55148,9.82128,9.12758,8.56167,8.05053,7.72193,7.35683,7.22904,6.97347,6.77266,6.64488,6.37105,6.31629,6.37105,6.44407,6.46233,6.80917,6.91871,7.24730,7.57589,7.95925,8.21482,8.65295,8.48865,9.20060,9.56570,9.63872,9.89430,10.46021,10.89833,11.02612,11.13565,11.09914,11.11739,10.77054,10.55148,10.58799,10.25940,10.33242,10.11336,9.85779,9.78477,9.87604,9.78477,9.52919,9.73000,9.47443,9.29188,9.49268,9.83953,9.78477,9.67523,9.73000,9.89430,9.89430,9.98557,10.02208,10.31417,10.38719,10.75229,11.15390,11.33645,11.90236,12.23096,13.16197,13.85567,14.16600,14.09298,14.01996,13.89218,13.56358,13.28976,13.30801,12.85163,12.70559,12.74210,12.34049,12.46827,12.03015,11.92062,11.95713,11.88411,11.59203,12.50478,12.43176,12.54129,11.95713,11.75632,11.37296,13.38103,13.01593
