year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Rockdale 33_11kV,01MAY2015,MW,7.33883,6.97097,6.73186,6.36400,6.27204,6.14328,5.86739,5.70185,5.51792,5.35238,5.20524,5.11327,5.15006,5.20524,5.26042,5.13167,5.05809,5.11327,5.26042,5.27881,5.42595,5.79382,5.97775,6.30882,6.78704,7.21008,7.66991,8.22170,8.60796,8.97582,9.41725,9.61957,9.71154,9.80350,9.76672,10.06101,10.18976,10.33690,10.13458,10.24494,10.24494,10.02422,10.15297,10.11619,10.11619,10.04261,10.11619,10.11619,10.06101,9.98744,9.93226,9.74833,9.74833,9.78511,9.76672,9.78511,9.71154,9.67475,9.60118,9.69315,9.61957,9.58279,9.80350,9.96904,9.89547,9.91386,9.98744,10.18976,10.18976,10.33690,10.85191,10.72316,10.64959,10.59441,10.42887,10.31851,10.04261,10.02422,9.89547,9.72993,9.67475,9.72993,9.60118,9.32528,9.23332,9.04939,8.92064,8.57117,8.57117,8.49760,8.22170,8.03777,7.79866,7.55955,7.87223,7.46759
2016,Rockdale 33_11kV,02MAY2015,MW,7.54116,7.33883,6.87901,6.65829,6.45597,6.16168,5.97775,5.59149,5.53631,5.42595,5.27881,5.27881,5.09488,5.03970,5.03970,5.03970,4.87416,4.91095,4.87416,4.94773,5.05809,5.35238,5.48113,5.53631,5.73864,5.77542,5.94096,6.19846,6.49275,6.80543,7.44919,7.83545,8.20331,8.49760,8.81028,8.95742,9.30689,9.45404,9.67475,9.58279,9.67475,9.74833,9.85868,9.91386,10.04261,9.89547,9.74833,9.71154,9.58279,9.54600,9.45404,9.67475,9.58279,9.43564,9.32528,9.50922,9.41725,9.41725,9.12296,9.30689,9.61957,9.58279,9.67475,9.67475,9.63797,9.72993,9.82190,9.87708,9.98744,10.30012,10.63119,10.46566,10.26333,10.11619,9.85868,9.61957,9.12296,9.10457,9.06778,9.04939,8.93903,8.93903,8.86546,8.57117,8.47920,8.42402,8.27688,8.16652,8.29527,8.27688,8.03777,7.89063,7.70669,7.39401,7.72509,7.66991
2016,Rockdale 33_11kV,03MAY2015,MW,7.65152,7.43080,7.09972,6.80543,6.56632,6.27204,6.06971,5.88578,5.72024,5.44435,5.35238,5.22363,5.07649,5.07649,5.07649,5.07649,5.07649,5.07649,5.07649,5.00291,5.03970,5.11327,5.35238,5.44435,5.44435,5.49953,5.79382,5.88578,6.19846,6.34561,6.67668,6.84222,7.26526,7.63312,8.12974,8.40563,8.66313,8.84707,9.12296,9.17814,9.17814,9.17814,9.39886,9.47243,9.47243,9.47243,9.47243,9.54600,9.60118,9.49082,9.54600,9.38046,9.15975,9.12296,9.01260,8.97582,8.75510,8.81028,8.79189,8.71831,8.81028,8.90224,9.10457,9.27011,9.27011,9.49082,9.49082,9.54600,9.63797,9.74833,9.96904,9.82190,9.98744,9.87708,9.84029,9.49082,9.30689,9.30689,8.97582,9.01260,8.90224,8.88385,8.90224,8.64474,8.49760,8.27688,8.16652,7.89063,7.87223,7.72509,7.37562,7.13651,7.00776,6.75026,7.15490,7.02615
2016,Rockdale 33_11kV,04MAY2015,MW,6.93419,6.84222,6.52954,6.34561,6.12489,5.83060,5.75703,5.53631,5.29720,5.27881,5.05809,4.96613,4.96613,4.96613,4.85577,4.85577,4.85577,4.92934,5.07649,5.24202,5.53631,5.62828,5.99614,6.23525,6.58472,7.08133,7.37562,7.89063,8.27688,8.68153,9.15975,9.25171,9.58279,9.52761,9.60118,9.80350,9.72993,9.80350,9.80350,9.82190,9.96904,9.91386,9.98744,10.13458,9.96904,9.89547,9.82190,9.74833,9.76672,9.95065,9.84029,9.80350,9.80350,9.76672,9.71154,9.74833,9.61957,9.87708,9.74833,9.71154,9.63797,9.71154,9.71154,9.87708,9.87708,9.93226,9.87708,10.00583,10.18976,10.66798,10.92548,10.77834,10.57601,10.55762,10.52083,10.39208,10.18976,9.98744,9.89547,9.72993,9.58279,9.65636,9.58279,9.21493,9.15975,8.93903,8.68153,8.46081,8.40563,8.40563,7.92741,7.59634,7.32044,6.97097,7.43080,7.24687
2016,Rockdale 33_11kV,05MAY2015,MW,7.13651,6.95258,6.60311,6.36400,6.16168,5.88578,5.72024,5.49953,5.33399,5.18684,5.18684,4.92934,5.07649,4.96613,4.92934,4.92934,4.94773,5.11327,5.16845,5.07649,5.51792,5.86739,6.14328,6.32721,6.87901,7.13651,7.50437,8.03777,8.46081,8.81028,9.23332,9.28850,9.45404,9.36207,9.43564,9.49082,9.69315,9.98744,10.00583,9.91386,9.84029,9.96904,9.98744,10.17137,10.04261,10.09779,10.04261,10.13458,10.15297,9.91386,10.07940,10.13458,10.13458,10.18976,10.11619,10.13458,10.06101,10.13458,10.20815,10.11619,10.13458,10.02422,10.20815,10.18976,10.13458,10.15297,10.18976,10.22655,10.39208,10.81512,10.90709,10.94387,10.83352,10.68637,10.64959,10.44726,10.11619,10.00583,9.93226,9.80350,9.67475,9.54600,9.28850,9.08617,9.01260,8.79189,8.75510,8.27688,8.42402,8.20331,7.72509,7.32044,6.97097,6.63990,6.65829,6.56632
2016,Rockdale 33_11kV,06MAY2015,MW,6.30882,6.14328,5.88578,5.73864,5.68346,5.42595,5.35238,5.27881,5.18684,5.13167,5.13167,4.91095,4.89256,4.89256,4.89256,4.89256,4.89256,4.89256,4.92934,5.16845,5.38917,5.70185,5.95935,6.34561,6.80543,7.04454,7.37562,7.92741,8.27688,8.58956,9.12296,9.14135,9.47243,9.27011,9.41725,9.43564,9.39886,9.45404,9.63797,9.54600,9.56439,9.47243,9.52761,9.65636,9.54600,9.49082,9.54600,9.39886,9.39886,9.39886,9.34368,9.39886,9.28850,9.25171,9.47243,9.39886,9.14135,9.30689,9.14135,9.30689,9.15975,9.19653,9.43564,9.38046,9.38046,9.54600,9.65636,9.61957,9.91386,10.15297,10.61280,10.57601,10.55762,10.44726,10.46566,10.28172,10.26333,10.07940,10.04261,10.06101,9.91386,9.98744,9.65636,9.43564,9.34368,9.25171,9.06778,8.79189,8.62635,8.46081,7.90902,7.59634,7.19169,6.95258,6.95258,6.75026
2016,Rockdale 33_11kV,07MAY2015,MW,6.43757,6.25364,5.99614,5.86739,5.66506,5.35238,5.35238,5.35238,5.31560,5.09488,5.09488,5.09488,5.05809,4.96613,4.87416,4.87416,4.87416,4.94773,5.16845,5.22363,5.62828,5.97775,6.25364,6.69508,6.86061,7.21008,7.66991,8.38724,8.77349,8.99421,9.43564,9.65636,9.72993,9.54600,9.58279,9.60118,9.67475,9.67475,9.84029,9.74833,9.78511,9.82190,9.71154,9.67475,9.69315,9.74833,9.71154,9.71154,9.72993,9.72993,9.76672,9.61957,9.80350,9.56439,9.43564,9.50922,9.34368,9.34368,9.39886,9.41725,9.28850,9.28850,9.34368,9.39886,9.47243,9.39886,9.52761,9.96904,9.85868,10.37369,11.05423,11.05423,10.96227,10.90709,10.88870,10.77834,10.77834,10.75994,10.59441,10.50244,10.28172,10.50244,10.41048,10.04261,9.78511,9.58279,9.58279,9.04939,8.92064,8.81028,8.36885,7.76187,7.55955,7.19169,7.02615,6.87901
2016,Rockdale 33_11kV,08MAY2015,MW,6.54793,6.21686,5.97775,5.90417,5.79382,5.64667,5.59149,5.35238,5.35238,5.07649,5.11327,5.13167,5.03970,5.00291,5.00291,5.00291,5.02131,5.02131,5.22363,5.27881,5.59149,5.83060,6.18007,6.40079,7.00776,7.39401,7.92741,8.64474,8.95742,9.23332,9.84029,10.00583,10.00583,9.87708,9.85868,10.00583,10.20815,10.13458,10.06101,9.96904,9.82190,9.80350,9.91386,9.82190,9.76672,9.95065,9.72993,9.65636,9.45404,9.45404,9.45404,9.47243,9.38046,9.58279,9.54600,9.45404,9.34368,9.14135,9.23332,9.28850,9.10457,9.15975,9.36207,9.41725,9.43564,9.49082,9.65636,9.82190,9.95065,10.41048,10.85191,10.66798,10.70476,10.72316,10.64959,10.52083,10.28172,10.20815,10.06101,10.04261,10.02422,10.00583,9.89547,9.65636,9.58279,9.32528,9.15975,9.01260,8.99421,8.93903,8.44242,8.14813,7.70669,7.48598,7.43080,7.17330
2016,Rockdale 33_11kV,09MAY2015,MW,7.08133,6.86061,6.43757,6.27204,6.08811,5.88578,5.59149,5.59149,5.40756,5.35238,5.11327,5.09488,5.02131,5.02131,5.02131,5.02131,5.02131,4.96613,4.92934,4.92934,5.13167,5.42595,5.64667,5.62828,5.84900,6.01453,6.34561,6.67668,6.97097,7.28365,7.96420,8.36885,8.53438,8.73671,9.01260,9.12296,9.36207,9.28850,9.49082,9.38046,9.47243,9.34368,9.36207,9.30689,9.27011,9.27011,9.30689,9.17814,9.03100,8.92064,8.86546,8.86546,8.88385,8.66313,8.66313,8.62635,8.53438,8.38724,8.57117,8.77349,8.62635,8.57117,8.58956,8.75510,8.99421,9.08617,9.19653,9.54600,9.61957,9.84029,10.22655,10.20815,10.13458,10.09779,10.06101,9.82190,9.58279,9.39886,9.30689,9.27011,9.15975,9.23332,9.17814,8.97582,8.82867,8.64474,8.62635,8.36885,8.42402,8.44242,8.11134,7.94580,7.66991,7.35723,7.70669,7.57794
2016,Rockdale 33_11kV,10MAY2015,MW,7.39401,7.17330,6.84222,6.51115,6.29043,6.06971,5.81221,5.70185,5.59149,5.44435,5.29720,5.16845,5.16845,5.03970,5.07649,5.07649,4.92934,4.81898,4.81898,5.02131,5.13167,5.26042,5.35238,5.35238,5.49953,5.64667,5.90417,6.12489,6.38239,6.80543,7.15490,7.35723,7.68830,8.01938,8.31367,8.42402,8.68153,8.84707,8.93903,9.04939,9.04939,9.03100,8.93903,8.82867,9.10457,8.95742,9.04939,9.23332,9.17814,9.21493,9.04939,8.84707,8.55278,8.57117,8.38724,8.29527,8.16652,8.11134,8.31367,8.38724,8.38724,8.49760,8.42402,8.73671,8.84707,8.88385,8.84707,8.95742,9.34368,9.54600,9.74833,9.78511,9.72993,9.71154,9.49082,9.49082,9.36207,9.43564,9.32528,9.19653,9.27011,9.12296,8.90224,8.77349,8.73671,8.51599,8.40563,8.18491,7.96420,7.92741,7.50437,7.37562,7.06294,6.71347,7.02615,7.09972
