year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Rothbury 132_11kV,01MAY2017,MW,3.07401,2.99464,2.84386,2.91142,2.96721,2.68676,2.97123,3.00375,2.99292,2.95999,2.72443,2.69307,2.79784,2.78293,2.89868,2.78361,2.88319,2.83641,3.03106,2.81975,2.95458,2.95999,3.16146,3.41538,3.41538,3.71516,3.57444,3.68124,3.64786,3.88564,4.03166,4.00892,4.15077,4.53384,4.57257,4.47414,4.56973,4.59716,4.53606,4.50830,4.46638,4.35631,4.27774,4.41615,4.30679,4.00535,3.91430,3.88642,3.64307,3.92152,4.14322,4.21433,4.23413,3.92952,3.89602,3.69800,3.87284,4.07839,3.98439,4.15124,4.04969,4.20908,4.33899,4.21562,4.10731,4.15407,4.08958,3.98516,4.07768,4.21352,4.40458,4.54087,4.68877,4.81155,4.58737,4.63003,4.54746,4.41722,4.38384,4.39719,4.18953,4.18953,4.22039,4.18953,4.14631,4.10871,4.05516,4.18953,4.17916,3.82535,3.73415,3.50669,3.91884,3.87800,3.69565,3.55199
2018,Rothbury 132_11kV,02MAY2017,MW,3.67071,3.82796,3.50645,3.38229,3.27876,3.27876,3.27876,3.22257,3.05107,2.91874,2.74524,2.99623,2.91440,2.76374,2.73230,2.82016,2.83501,2.77250,2.67845,2.77836,3.06374,3.09683,3.18768,3.21277,3.38731,3.46990,3.63880,3.64307,3.67242,3.55334,3.57378,3.77987,3.89965,4.03015,4.19611,4.16114,3.90970,4.02305,3.97683,3.97656,4.10953,3.98616,3.74764,3.87809,3.94260,4.01011,4.09809,3.88591,3.88699,3.85191,3.85897,3.94259,3.91682,3.98195,3.93731,3.97357,4.40526,4.31350,4.39383,4.33947,4.38058,4.35158,4.09970,4.31433,4.29197,4.22922,4.36561,4.30424,3.96888,4.05091,4.16499,4.39465,4.47596,4.50058,4.44658,4.46700,4.48038,4.32614,4.23032,4.18493,4.10173,3.99165,3.96180,3.83331,3.81567,3.89802,3.83306,3.82522,3.82522,3.83894,3.65465,3.59753,3.81288,3.98506,3.82522,3.54126
2018,Rothbury 132_11kV,03MAY2017,MW,3.68026,3.57268,3.35215,3.32430,3.32350,3.27690,3.27894,2.86892,2.89525,2.92382,3.02118,3.01044,3.19704,2.85981,2.68250,2.76580,2.80086,2.65945,2.86892,2.74777,2.86892,2.86892,2.94761,3.23839,3.19199,3.39067,3.46042,3.47812,3.78779,4.05853,4.16223,4.32614,4.32614,4.27656,4.32614,4.41580,4.04315,4.00390,3.95486,3.72655,3.72728,3.68810,3.94819,3.81207,3.86120,4.08656,4.13162,4.08688,4.22368,4.23507,4.24823,4.25335,4.23483,4.23507,4.22540,4.21813,4.13391,4.11983,3.82596,4.01084,3.90057,3.83636,4.08432,4.01933,4.00738,4.05826,4.23507,4.24218,4.54552,4.59759,4.69232,4.91814,5.03475,4.91814,4.91814,4.94868,4.87359,4.89692,4.69045,4.69045,4.65271,4.56542,4.32205,4.14268,4.26649,4.07007,4.17308,4.02509,4.00738,3.78171,3.55199,3.55199,4.14940,4.16905,4.00738,3.96152
2018,Rothbury 132_11kV,04MAY2017,MW,4.06827,3.98656,3.82367,3.64307,3.59250,3.21830,3.18768,3.18768,3.19125,3.06975,2.95999,2.95999,3.17305,3.00300,2.95999,2.95999,2.95999,2.95999,2.95999,2.95999,3.20721,3.41538,3.19143,3.37539,3.41538,3.60942,3.64307,4.91309,4.37850,4.50830,4.50830,4.50830,4.47549,4.33042,4.19908,4.12426,4.00003,4.03269,4.13161,4.20670,4.12332,4.46175,4.50830,4.50830,4.67351,4.50830,4.50830,4.43307,4.51169,4.37795,4.39394,4.40476,4.53483,4.83686,4.62999,4.53042,4.65193,4.60165,4.63018,4.90476,4.74278,4.73599,4.73599,4.52957,4.50830,5.18181,5.06410,4.47721,4.66589,4.74155,4.85590,4.96247,4.96368,4.96135,4.56319,4.90729,4.88124,4.81371,4.79946,4.74262,4.53116,4.50830,4.50830,4.49513,4.32837,4.41516,4.44354,4.34128,4.20546,3.93142,3.94894,3.77796,4.23136,4.32614,4.32614,4.17607
2018,Rothbury 132_11kV,05MAY2017,MW,4.27837,4.12986,3.92736,3.78929,3.44898,3.41538,3.28306,3.24457,3.18768,3.40122,3.41538,3.19170,3.00547,2.95999,2.95999,3.18997,3.33795,3.07815,2.95999,3.08903,3.30328,3.54415,3.50898,3.64307,3.70481,3.87076,3.87834,4.09845,4.11798,4.37572,4.36929,4.28578,4.12905,4.09845,4.06228,3.84230,3.78979,3.59753,3.75793,3.78778,3.69436,3.55551,3.47838,3.64307,3.69871,3.70553,3.80750,3.66053,3.57327,3.59779,3.72453,3.63517,3.65164,3.66786,3.74255,3.71483,3.85026,3.91080,4.18648,4.28061,4.16757,4.05291,4.17008,4.23131,4.29225,4.31151,4.41576,4.56980,4.56425,4.79871,4.93338,5.08288,5.25260,5.35605,5.41906,5.34212,5.20576,5.13847,5.07150,5.03220,4.96368,4.96368,4.96368,4.88190,4.79623,4.60641,4.69954,4.58721,4.50830,4.50830,4.30968,4.15011,4.70761,4.72358,4.55384,4.44727
2018,Rothbury 132_11kV,06MAY2017,MW,4.46964,4.14627,4.15056,3.94843,3.70046,3.64307,3.54006,3.50143,3.45104,3.41538,3.41538,3.27477,3.38475,3.26307,3.21166,3.18768,3.18768,3.18768,3.15147,2.95999,3.15356,3.18768,3.39313,3.41538,3.45377,3.73464,3.64307,3.87456,3.97306,4.20794,4.25760,4.09845,4.28771,4.10827,4.44541,4.85744,4.94089,4.74035,4.58497,4.68972,4.27247,4.01042,3.94157,4.07328,3.93072,4.13736,3.71855,3.75994,3.60994,3.54058,3.73920,3.66984,3.72655,3.79863,3.92157,3.87076,3.92790,4.12153,3.94103,4.01267,4.21817,4.09845,4.09845,4.33529,4.35699,4.36887,4.48407,4.91793,4.95501,4.95499,5.36974,5.50047,5.46460,5.46460,5.46460,5.30392,5.16988,5.00922,5.00922,5.00922,4.95835,4.78153,4.78153,4.78153,4.60466,4.55384,4.44957,4.32614,4.24240,4.09845,4.07008,3.66996,3.96164,3.87076,3.87076,3.66432
2018,Rothbury 132_11kV,07MAY2017,MW,3.55603,3.44473,3.41538,3.54713,3.41538,3.37366,3.18768,3.18768,3.17782,2.95999,2.95999,2.79061,2.85679,2.73230,2.73230,2.81329,2.79377,2.95999,2.79019,2.90789,3.02050,3.18768,3.18768,3.18768,3.18768,3.18768,3.18768,3.45442,3.41538,3.44142,3.64432,3.70509,3.95732,4.01633,4.32614,4.30059,4.14197,4.16785,4.29674,3.96609,4.12017,3.85642,3.78776,3.81663,3.68861,3.68861,3.58713,3.47867,3.67671,3.51987,3.65147,3.53858,3.62357,3.52463,3.48162,3.60996,3.54590,3.93875,3.86135,3.72475,3.91630,3.94773,3.82873,3.85386,3.91630,4.02866,4.14399,4.14399,4.07361,4.26974,4.38001,4.48987,4.74766,4.74783,4.82707,4.53312,4.70341,4.48957,4.46579,4.43819,4.37168,4.35268,4.19179,4.08423,4.01824,3.91630,3.87398,3.71034,3.57757,3.46091,3.45406,3.23322,3.32327,3.46091,3.64566,3.46091
2018,Rothbury 132_11kV,08MAY2017,MW,3.32324,3.23322,3.23322,3.15600,3.00553,3.00553,2.99157,2.87705,3.00553,3.00553,3.00553,3.00553,3.00553,3.00553,3.00553,3.11024,3.00553,3.00553,3.00553,3.08348,3.26867,3.46091,3.46091,3.46091,3.51435,3.68861,3.86423,4.03703,4.37168,4.54855,4.52751,4.35672,4.23631,4.47711,4.33351,4.46726,4.23806,4.25096,4.20770,4.19330,4.00287,3.68861,3.81598,3.58936,3.43968,3.39143,3.33388,3.32430,3.34204,3.34443,3.77665,3.82061,3.94491,3.99720,3.76778,3.82522,3.82522,3.82522,3.77935,3.87359,4.18044,4.00284,3.96813,3.91330,4.04816,4.13320,4.12420,4.11923,4.38708,4.50932,4.56523,4.64491,4.64491,4.86097,5.02183,4.98722,4.92544,4.83085,4.87260,4.86627,4.41918,4.39040,4.33296,4.37571,4.20974,4.02505,4.16199,4.11052,3.90868,3.73415,3.65343,3.56514,4.03953,3.96184,3.96184,3.96184
2018,Rothbury 132_11kV,09MAY2017,MW,4.13533,4.00560,3.63722,3.43634,3.32430,3.32430,3.32430,3.32430,3.17404,3.09661,3.02528,3.09661,3.09661,3.09661,3.09661,3.09661,3.09661,3.09661,3.09661,3.09661,3.09661,3.26514,3.39361,3.32430,3.42374,3.77542,4.17697,4.44936,4.50825,4.46276,4.47966,4.40424,4.35783,4.09886,3.96184,4.13700,3.74243,3.87076,3.71464,3.85053,3.40396,3.27020,3.31954,3.43145,3.41538,3.31955,3.51157,3.36546,3.23848,3.55002,3.30779,3.38178,3.57524,3.41007,3.46091,3.46091,3.51813,3.32382,3.51328,3.48551,3.48245,3.93775,4.22142,4.01596,3.87076,3.90671,4.03016,4.09845,4.32199,4.39031,4.50830,4.50830,4.50830,4.44250,4.50488,4.50830,4.54640,4.50830,4.46014,4.42371,4.34396,4.31446,4.12145,4.00786,3.87076,3.85105,4.05442,3.88442,3.87076,3.72347,3.64307,3.64307,3.78092,4.09845,4.09845,3.83280
2018,Rothbury 132_11kV,10MAY2017,MW,3.92746,3.99692,3.62838,3.28407,3.29621,3.18768,3.18768,3.18768,2.96632,2.95999,2.95999,2.95999,3.08481,3.19827,3.00023,2.95999,2.95999,2.95999,2.95999,2.97718,2.98906,3.18768,3.33795,3.23730,3.59428,3.94391,4.11084,4.23937,4.14070,4.32562,4.19860,4.13614,4.14046,4.14371,3.93525,3.92087,3.76627,3.73939,3.68281,3.54895,3.58041,3.58812,3.41538,3.41538,3.39476,3.36065,3.41538,3.54366,3.35235,3.31070,3.69850,3.74140,3.61979,3.72976,3.48144,3.60511,3.70738,3.71971,3.62561,3.76830,3.94027,3.98236,4.09845,4.06402,3.89221,4.05061,3.87076,3.98536,4.24879,4.39496,4.51516,4.58093,4.50830,4.56474,4.70177,4.55031,4.57423,4.63239,4.50830,4.60106,4.50830,4.50830,4.27586,4.11639,3.98282,4.06307,4.32614,4.08144,3.87076,3.87076,3.72960,3.42093,4.14599,4.02023,4.04558,3.99671
