year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Rouchel 33_11kV,01MAY2014,MW,0.36957,0.35938,0.35443,0.30736,0.29885,0.28407,0.25506,0.19890,0.25957,0.26966,0.27522,0.26248,0.25663,0.24914,0.22596,0.18042,0.24230,0.26334,0.26524,0.25421,0.27055,0.27091,0.23751,0.23313,0.26015,0.30810,0.32101,0.32374,0.23172,0.23677,0.24190,0.21351,0.21422,0.23464,0.23995,0.27102,0.28280,0.26622,0.29971,0.43191,0.36171,0.46273,0.38339,0.48122,0.37957,0.46964,0.38249,0.45483,0.35578,0.42575,0.38572,0.39465,0.41812,0.36193,0.30549,0.24357,0.32318,0.27136,0.23976,0.24236,0.23993,0.23075,0.23360,0.23687,0.22582,0.22602,0.24882,0.26662,0.26360,0.30466,0.37028,0.39818,0.40214,0.41536,0.42388,0.40141,0.40278,0.38384,0.36607,0.35693,0.36628,0.35001,0.34740,0.34715,0.32868,0.32691,0.34360,0.33313,0.32386,0.30669,0.29919,0.27588,0.37576,0.35946,0.35354,0.33261
2015,Rouchel 33_11kV,02MAY2014,MW,0.37390,0.35040,0.35307,0.33057,0.30920,0.28183,0.27111,0.25332,0.24349,0.25707,0.24792,0.24941,0.24914,0.23339,0.25213,0.24443,0.23041,0.23996,0.25776,0.24835,0.25481,0.25205,0.25309,0.26783,0.27299,0.30779,0.30302,0.30527,0.28010,0.27864,0.29684,0.27823,0.42534,0.46355,0.46102,0.41435,0.45453,0.42656,0.44037,0.44490,0.41900,0.45213,0.31857,0.30428,0.30892,0.30554,0.29222,0.28888,0.30019,0.33307,0.35692,0.35927,0.34693,0.31655,0.28375,0.27824,0.28748,0.26624,0.27130,0.26542,0.27599,0.27521,0.27634,0.27725,0.27204,0.28376,0.27286,0.28208,0.27014,0.30375,0.33044,0.35471,0.42612,0.42813,0.39874,0.37599,0.37069,0.36747,0.34625,0.34837,0.32772,0.32999,0.33161,0.33067,0.31643,0.31221,0.34384,0.32413,0.33078,0.32439,0.30840,0.29129,0.39464,0.38185,0.36907,0.34184
2015,Rouchel 33_11kV,03MAY2014,MW,0.39200,0.36696,0.36132,0.33070,0.30427,0.28226,0.27779,0.28676,0.25840,0.25527,0.26029,0.25199,0.24024,0.22943,0.24006,0.23414,0.24729,0.25074,0.24375,0.24343,0.23798,0.23824,0.24372,0.26189,0.30978,0.32086,0.29396,0.28245,0.29567,0.31850,0.30848,0.32306,0.33396,0.32865,0.32364,0.30669,0.30137,0.31912,0.31175,0.28851,0.29261,0.30298,0.28793,0.29072,0.30116,0.29214,0.30696,0.29280,0.27944,0.27347,0.27374,0.22221,0.22299,0.22158,0.20827,0.19826,0.23758,0.25709,0.23699,0.23858,0.28251,0.25494,0.23816,0.24107,0.24740,0.24116,0.26354,0.37618,0.35400,0.27939,0.31505,0.33435,0.31651,0.33072,0.32053,0.33258,0.31236,0.28766,0.28899,0.29365,0.29268,0.27510,0.27359,0.26462,0.26420,0.28206,0.33017,0.30596,0.28432,0.26596,0.24706,0.23782,0.33751,0.37066,0.27863,0.25132
2015,Rouchel 33_11kV,04MAY2014,MW,0.29519,0.28598,0.27041,0.24466,0.23176,0.22711,0.24094,0.22177,0.19503,0.19448,0.19068,0.18904,0.19702,0.19362,0.20066,0.19318,0.19058,0.19499,0.20020,0.18493,0.19828,0.20111,0.23888,0.19945,0.19070,0.19971,0.21409,0.21517,0.22434,0.22898,0.25014,0.26058,0.27174,0.28473,0.28168,0.28046,0.28998,0.31750,0.35949,0.34899,0.30699,0.29970,0.29040,0.28407,0.28231,0.29752,0.28915,0.29871,0.28476,0.28429,0.28691,0.26850,0.24822,0.25523,0.24434,0.25026,0.25664,0.26719,0.26370,0.26967,0.25589,0.26631,0.25796,0.26107,0.26959,0.28459,0.29860,0.31231,0.32042,0.32187,0.34077,0.39034,0.48310,0.43427,0.40780,0.38489,0.36549,0.36536,0.35212,0.31368,0.31463,0.30275,0.30553,0.28886,0.25916,0.25230,0.30686,0.30512,0.29289,0.25702,0.26124,0.28546,0.37379,0.30332,0.24772,0.24843
2015,Rouchel 33_11kV,05MAY2014,MW,0.34329,0.27975,0.26708,0.25892,0.25767,0.24194,0.23031,0.23102,0.19777,0.18862,0.19283,0.18887,0.19316,0.19132,0.19036,0.17992,0.19365,0.19400,0.19432,0.18367,0.19155,0.19217,0.18923,0.20779,0.22436,0.23393,0.29820,0.33373,0.26138,0.26529,0.29959,0.31177,0.30419,0.34227,0.32168,0.30707,0.30803,0.30729,0.31647,0.31225,0.29927,0.28383,0.30028,0.30376,0.30746,0.28228,0.28145,0.27337,0.27633,0.26997,0.25753,0.25539,0.25610,0.25800,0.26198,0.27922,0.27204,0.26736,0.26381,0.24348,0.26078,0.25675,0.25302,0.25203,0.26173,0.27303,0.27540,0.28014,0.30022,0.33885,0.38067,0.41234,0.44343,0.46508,0.44153,0.43860,0.43826,0.42201,0.41058,0.41011,0.38728,0.38677,0.37289,0.36989,0.37869,0.37430,0.39334,0.37012,0.34691,0.39296,0.31858,0.31311,0.42098,0.40687,0.38173,0.36979
2015,Rouchel 33_11kV,06MAY2014,MW,0.38531,0.39906,0.39948,0.35204,0.33710,0.33448,0.32856,0.28582,0.27571,0.27221,0.27197,0.26968,0.25744,0.24797,0.25529,0.24915,0.24366,0.24931,0.25214,0.27547,0.26743,0.27271,0.28956,0.31261,0.30737,0.33399,0.34815,0.37108,0.37786,0.36921,0.36976,0.38512,0.39111,0.39831,0.34888,0.33602,0.34842,0.33700,0.31156,0.29462,0.38346,0.38672,0.34551,0.45738,0.45662,0.45806,0.46233,0.45211,0.43284,0.43508,0.41797,0.43714,0.43217,0.43934,0.44234,0.44336,0.43518,0.44085,0.43628,0.43353,0.44753,0.44613,0.44871,0.43647,0.44375,0.44150,0.46238,0.48201,0.38911,0.43481,0.47458,0.50455,0.56954,0.57968,0.57273,0.52615,0.47644,0.47660,0.46326,0.43324,0.41175,0.43326,0.41225,0.36916,0.36267,0.35049,0.37733,0.35941,0.35350,0.33685,0.32958,0.30906,0.41340,0.38321,0.36049,0.35816
2015,Rouchel 33_11kV,07MAY2014,MW,0.39055,0.38213,0.36836,0.33446,0.34907,0.35045,0.31346,0.30545,0.29344,0.28131,0.28979,0.28032,0.26805,0.27130,0.26676,0.26110,0.26736,0.26736,0.26812,0.26547,0.27652,0.28077,0.28624,0.29725,0.30274,0.32081,0.36018,0.39835,0.35684,0.37289,0.45145,0.34211,0.44259,0.37951,0.45977,0.35100,0.41915,0.34572,0.42290,0.43516,0.48440,0.39423,0.48182,0.39851,0.47469,0.56665,0.53023,0.54741,0.54406,0.47693,0.56974,0.46506,0.35503,0.26891,0.27416,0.27769,0.27672,0.35347,0.34738,0.36592,0.35934,0.34277,0.34947,0.33214,0.34593,0.30658,0.21768,0.33651,0.41158,0.42994,0.51240,0.54287,0.56464,0.56731,0.56252,0.55839,0.55477,0.54627,0.54466,0.51986,0.68667,0.66529,0.68250,0.67403,0.65492,0.68892,0.65008,0.71531,0.62532,0.63610,0.47796,0.46673,0.57518,0.55995,0.52701,0.50611
2015,Rouchel 33_11kV,08MAY2014,MW,0.54151,0.54342,0.53436,0.50585,0.49350,0.48092,0.46391,0.44326,0.43440,0.44087,0.42924,0.40795,0.41082,0.39633,0.40114,0.41115,0.39055,0.39261,0.40214,0.41085,0.40984,0.29163,0.29295,0.30152,0.31067,0.30566,0.32136,0.33592,0.31469,0.34288,0.33880,0.33205,0.34381,0.33863,0.32487,0.34456,0.33414,0.32895,0.31858,0.31099,0.27591,0.28821,0.27852,0.27760,0.28842,0.28888,0.27179,0.26571,0.34393,0.45911,0.35464,0.45617,0.36342,0.44825,0.35315,0.44497,0.38470,0.41734,0.40421,0.26071,0.26100,0.27091,0.29074,0.31091,0.29636,0.28152,0.28862,0.30485,0.33096,0.36197,0.40165,0.43797,0.45696,0.45899,0.43622,0.43341,0.42987,0.43082,0.41204,0.41510,0.40128,0.39648,0.41885,0.38968,0.37922,0.36494,0.40893,0.39611,0.41153,0.55239,0.44852,0.53936,0.56990,0.58904,0.56937,0.50929
2015,Rouchel 33_11kV,09MAY2014,MW,0.60746,0.50616,0.56091,0.38114,0.36699,0.36475,0.34553,0.32098,0.30194,0.29621,0.28522,0.28246,0.29417,0.29710,0.28869,0.29351,0.28885,0.27292,0.27942,0.29119,0.29352,0.29784,0.29373,0.29868,0.29521,0.31692,0.36482,0.39263,0.34571,0.34681,0.35094,0.35444,0.34243,0.33180,0.34671,0.34363,0.32954,0.32448,0.30792,0.30942,0.31119,0.47625,0.36870,0.40875,0.48439,0.43317,0.50549,0.40931,0.47905,0.32775,0.47433,0.37749,0.29474,0.27989,0.27223,0.27002,0.28844,0.28061,0.28606,0.28051,0.28347,0.28770,0.29354,0.33598,0.26344,0.33969,0.42564,0.48268,0.46702,0.49279,0.52999,0.54838,0.59438,0.59846,0.60740,0.60429,0.60263,0.58050,0.57197,0.55650,0.55408,0.56188,0.55407,0.54089,0.57754,0.74210,0.66371,0.55644,0.65482,0.54758,0.53296,0.51697,0.60810,0.59253,0.55686,0.53774
2015,Rouchel 33_11kV,10MAY2014,MW,0.56687,0.55585,0.56643,0.54249,0.53917,0.51445,0.48603,0.51434,0.50413,0.50628,0.51379,0.49420,0.47565,0.48798,0.48179,0.48321,0.47760,0.48344,0.47977,0.47279,0.48083,0.48130,0.49528,0.51041,0.48179,0.42205,0.38716,0.38386,0.39300,0.39929,0.43430,0.41691,0.51155,0.52884,0.50950,0.50637,0.50434,0.48124,0.46671,0.46908,0.45819,0.45756,0.43931,0.43923,0.44494,0.38830,0.28893,0.26196,0.24287,0.24495,0.24037,0.21451,0.21584,0.20372,0.21258,0.22469,0.21736,0.21782,0.23116,0.22581,0.23316,0.30802,0.29300,0.29763,0.29461,0.29028,0.29221,0.30709,0.32939,0.33925,0.37049,0.37720,0.36871,0.37276,0.37766,0.38264,0.37182,0.37342,0.36500,0.36070,0.36220,0.36104,0.34428,0.34204,0.32496,0.32956,0.36256,0.35821,0.32966,0.30715,0.31536,0.28716,0.38644,0.35885,0.34880,0.31924
