year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Rutherford 33_11kV,01MAY2016,MW,8.71310,8.47076,8.28888,7.87309,7.90631,7.73876,7.70592,7.66146,7.52195,6.93093,6.88679,6.88989,6.77496,6.73562,6.72549,6.57674,6.52807,6.54035,6.54261,6.60657,6.84622,6.88160,6.81399,7.39797,7.70773,7.85039,8.01207,8.30709,8.70319,8.93823,9.21935,9.50198,9.78521,9.85143,10.12946,10.44415,10.91277,11.22278,11.46503,11.78108,11.56534,11.57576,11.56291,11.12375,11.32920,11.24805,11.15827,11.24888,11.20030,11.31734,11.30276,11.25360,11.34679,11.29646,11.33092,11.25639,11.09244,10.86487,11.00527,10.77883,11.33855,11.38341,11.52942,11.51803,11.50865,11.69613,11.88392,12.02286,12.07527,12.36245,12.80029,13.04600,13.12370,13.16024,12.90776,12.65478,12.32116,12.14695,12.00001,11.79901,11.56341,11.18959,11.09297,10.64337,10.40470,10.04614,10.08668,9.86940,9.75733,9.64421,9.38114,9.24573,9.70366,9.50789,9.19765,9.03161
2017,Rutherford 33_11kV,02MAY2016,MW,8.65121,8.29408,8.34144,8.19001,8.03742,8.05612,7.96792,7.90200,7.87555,7.83302,7.83356,7.93763,8.06101,7.96261,8.06354,8.04630,8.18411,8.11914,8.24168,8.40894,8.51800,8.65362,9.21926,9.70862,9.97231,10.72450,11.11220,11.86286,12.46812,12.51087,12.17798,12.60262,12.57805,12.66322,12.95460,13.17434,12.90091,12.99562,13.13932,13.22285,13.34150,13.35807,13.30143,13.25591,13.30885,13.05350,13.02979,13.23496,13.66736,13.89991,14.16614,14.36738,14.69679,14.97812,15.03858,15.07481,14.64995,14.61655,14.64003,14.43346,14.27763,13.98285,13.64525,13.77049,13.84020,13.19426,13.20785,13.48047,13.99750,14.05844,14.26598,13.96372,13.85074,13.62452,13.33758,13.20399,13.18858,12.92558,12.62074,12.58881,12.39481,12.24216,11.88566,11.61738,11.26900,11.33265,11.49083,11.42438,10.88897,10.73327,10.59201,10.24681,12.16783,12.30674,11.92411,11.46595
2017,Rutherford 33_11kV,03MAY2016,MW,11.59095,11.29336,10.87787,10.39357,9.82411,9.49467,9.16389,8.93694,8.81445,8.60562,8.47271,8.34309,8.31305,8.30905,8.28627,8.17530,8.19515,7.83054,7.74681,7.96856,8.26150,8.41324,9.41905,9.83358,10.51348,11.51646,11.86068,12.42467,12.35808,12.93023,13.29255,13.67125,14.36426,14.25866,14.33524,14.04933,13.80694,14.07218,14.23613,14.34811,14.26783,14.39743,14.51175,14.53030,14.57752,14.29977,14.20850,13.85561,13.88407,13.99209,13.47740,13.45215,13.68872,13.66487,13.63185,13.66817,13.66425,13.67939,13.64196,13.55782,13.31418,13.48935,13.43753,13.31922,13.40687,13.28631,12.98782,13.00587,13.18629,13.44543,13.61732,13.52371,13.40409,13.38847,13.24872,13.09209,12.87056,12.83383,12.59659,12.32473,12.11357,11.99150,11.69019,11.51664,11.38239,11.38291,11.42862,11.37838,11.04882,10.81615,10.67050,10.44429,12.34965,12.33384,11.93307,11.40532
2017,Rutherford 33_11kV,04MAY2016,MW,11.59736,11.22686,10.89887,10.28204,9.85481,9.41229,8.98072,8.88487,8.65361,8.52869,8.47751,8.33399,8.38012,8.26205,8.22435,8.37873,8.39089,8.53122,8.59514,8.71312,8.95053,9.12161,9.49537,10.02249,10.68306,11.67170,12.28857,13.08273,12.93824,13.44439,13.58320,13.62372,13.67860,13.76592,13.77031,13.66008,13.60492,13.50658,13.56716,13.63335,13.41192,13.52725,13.67680,13.65464,13.79781,13.86240,13.92652,13.64987,13.64108,13.45707,13.73785,13.95445,13.87855,14.37675,14.77209,14.25517,14.82438,14.86649,14.83469,14.77540,14.78798,13.92037,13.87408,14.19175,14.08858,13.17222,13.17579,13.34184,13.42425,13.61620,13.70180,13.50652,13.42400,13.45202,13.30884,13.03008,12.75466,12.51855,12.33636,12.24977,12.17828,11.97206,11.66367,11.41057,11.12859,11.10661,11.48372,11.43208,11.11793,10.65407,10.35366,10.19726,12.12483,12.28815,11.90982,11.34167
2017,Rutherford 33_11kV,05MAY2016,MW,11.50629,11.08867,10.72656,10.31753,9.87895,9.53681,9.10280,8.79905,8.64929,8.59267,8.48044,8.46941,8.38152,8.41538,8.48108,8.37952,8.39209,8.51489,8.66323,8.78231,9.06104,9.26792,9.60698,10.07167,10.87507,11.57685,12.19793,12.98336,13.17695,13.65703,13.88140,13.75931,13.80317,13.74838,14.09657,13.79436,13.47597,13.50734,13.58553,13.25290,12.83507,13.83546,14.14458,13.82775,13.84904,13.87994,13.70846,13.10739,12.65711,12.91557,13.04563,13.18190,13.84318,14.24200,14.28770,14.17336,14.30084,14.27905,14.32262,14.19855,14.11661,14.00670,14.10023,14.04689,13.78583,13.04650,12.81642,12.81026,12.66993,12.77418,13.38052,13.59852,13.53884,13.53675,13.27087,13.02742,12.04422,11.80474,11.65970,11.61458,11.50205,11.20314,10.84049,10.61482,10.38953,10.30842,10.63389,10.41662,10.09978,9.83429,9.44746,9.10815,10.88363,11.04375,10.76143,10.29510
2017,Rutherford 33_11kV,06MAY2016,MW,10.85637,10.67267,10.31564,9.74205,9.24044,8.78719,8.33060,8.11830,7.84566,7.72846,7.61406,7.38940,7.24844,7.40228,7.42751,7.35346,7.45473,7.46539,7.61972,7.81142,8.18461,8.52105,8.85677,9.11678,9.79795,10.56561,10.88172,11.55301,11.59463,11.86324,11.99483,12.20473,12.24312,12.01061,11.97483,11.81667,11.82549,11.75059,12.06414,12.05158,12.32570,12.51464,12.51321,12.56090,12.82089,12.76701,12.97710,12.37293,12.00141,11.62486,11.79757,11.57383,11.85197,12.25976,12.23558,12.29472,12.20094,12.36603,12.26920,12.39809,12.43342,12.92795,12.97086,13.12048,12.90774,12.36825,12.30534,12.15288,12.13565,12.38692,12.44402,12.28835,12.17833,12.10325,11.91936,11.94664,11.77352,11.51431,11.44674,11.35376,11.03322,11.11575,10.99379,10.67417,10.58230,10.63466,11.00685,10.76032,10.52251,10.10767,9.84161,9.66984,11.52710,11.51725,11.21956,10.93148
2017,Rutherford 33_11kV,07MAY2016,MW,11.24041,10.98155,10.57699,9.97828,9.56075,9.10470,8.78566,8.54001,8.38751,8.35523,8.18327,8.24585,8.09841,7.95659,7.91380,7.86507,7.84446,7.75988,7.84118,7.98580,8.10425,8.12100,8.21579,8.47828,8.88231,9.67410,10.05119,10.17422,10.49718,10.55141,10.89164,10.81861,11.14778,11.26509,11.34277,11.62341,11.80460,11.77739,11.51112,11.46291,11.31846,11.21428,11.13310,10.90185,10.78213,10.55850,10.67007,10.11427,9.87548,9.85350,10.02327,9.92067,10.04407,10.05494,10.20561,10.17404,10.44842,10.52258,10.54241,10.84062,10.76323,10.90160,11.00139,11.02005,10.86051,10.89559,11.13869,11.47087,11.59329,11.95934,12.58975,12.67468,12.41912,12.27736,12.15140,12.01679,11.57399,11.34397,11.16686,10.92800,10.71614,10.69234,10.39073,10.29598,10.10978,9.85897,9.76913,9.70391,9.43993,9.32057,8.67210,8.62734,9.05940,8.81637,8.54313,8.26963
2017,Rutherford 33_11kV,08MAY2016,MW,8.11972,8.04762,7.99590,7.67028,7.49492,7.34528,7.05835,7.15640,7.10917,7.06290,6.99980,6.91932,6.82671,6.81363,6.96379,6.98650,6.95781,6.98735,7.21390,7.53943,7.63536,7.46094,7.56521,7.03085,7.12496,7.21684,7.31881,7.55578,7.78749,8.09662,8.33253,8.46901,8.86544,9.16431,9.29508,9.61952,9.96532,10.01405,10.15845,10.52608,10.61093,10.94991,10.89843,11.01350,10.82130,10.56132,10.58708,10.69208,10.43403,10.46325,10.06080,9.99753,9.83160,10.15689,10.25119,10.37732,10.41760,10.16821,10.30747,10.53815,10.40145,10.61357,10.83429,10.76284,10.84609,10.98610,11.07662,11.28084,11.84088,12.21153,12.51588,12.78574,12.63702,12.39535,12.33003,12.23027,12.02154,11.86002,11.57726,11.40285,11.18433,11.06736,10.84731,10.45872,10.33137,10.16090,10.06242,9.82945,9.74909,9.46343,9.23208,9.03536,9.59669,9.44380,9.25959,9.01168
2017,Rutherford 33_11kV,09MAY2016,MW,8.77655,8.52546,8.54103,8.41124,8.23562,8.07089,8.00236,7.98075,7.97213,7.97304,7.90120,7.78165,7.74959,7.88966,7.93646,7.89515,8.05536,8.20650,8.39160,8.59438,8.79231,8.89018,9.02750,9.48659,10.03849,11.02005,11.88511,12.50703,12.75682,13.30953,13.62230,14.08150,14.27770,14.67840,14.80055,14.85402,14.72894,14.93691,15.11791,15.07194,14.93903,15.21281,15.02287,15.09377,14.86953,15.13896,14.79134,14.55860,14.36466,14.26203,14.52954,14.58322,15.07246,14.98076,14.77268,14.84001,14.94973,14.99594,14.59794,14.21376,13.96314,13.73941,13.80257,13.57931,13.57819,13.63630,13.72809,13.88641,14.08503,14.59424,14.65916,14.19975,13.92302,14.08364,13.78517,13.48772,13.18779,12.69671,12.53470,12.49413,12.36017,12.26678,11.98989,11.79876,11.51248,11.37912,11.59179,11.45761,10.98301,10.70766,10.29617,10.10221,12.00089,12.12049,11.68171,11.14864
2017,Rutherford 33_11kV,10MAY2016,MW,11.68339,11.36146,10.95338,10.62711,10.06625,9.54876,9.11229,8.93107,8.86945,8.67740,8.56736,8.46311,8.49967,8.42399,8.36700,8.41285,8.49920,8.54175,8.62159,8.74007,8.93071,9.20603,9.64201,10.02161,10.70720,11.65977,12.15335,12.58061,12.59470,13.43862,13.74798,13.39347,14.12519,14.30878,13.63442,13.29407,13.15532,13.24634,13.47519,13.59348,13.29836,13.40238,13.44781,13.49578,13.65293,13.44844,13.51495,13.14110,12.90495,12.90896,12.80934,13.00081,13.31589,13.25363,13.22256,13.25751,13.22249,13.28214,13.28260,13.38214,13.09475,13.03105,13.05015,12.99218,13.05281,12.89916,12.79605,12.81413,12.98096,13.56204,13.85702,13.84056,13.49496,13.53217,13.47574,13.31446,12.92580,12.60876,12.59964,12.36533,11.97294,11.66156,11.66706,11.44786,11.22349,11.25913,11.29595,11.06684,10.93791,10.58183,10.25219,10.07400,11.82751,11.82204,11.53427,11.13634
