year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Scone 66_11kV,01MAY2017,MW,5.02714,4.91304,5.00340,4.79485,4.60046,4.46477,4.28366,4.35851,4.41747,4.36598,4.16740,4.08807,4.25617,4.47401,4.42283,4.27067,4.37388,4.49982,4.93436,5.07812,5.17400,5.63839,5.67126,5.79406,6.41723,6.89254,7.20412,7.38819,7.15523,7.16938,7.61628,7.68422,7.22426,7.05660,7.03427,6.97699,6.46403,6.42709,6.38534,6.16731,6.10011,5.94823,6.11263,5.95600,6.18963,5.94290,6.00141,6.56030,6.12182,6.14839,5.93379,5.81605,5.89781,5.78647,6.05008,5.78598,5.94435,6.15821,6.30301,6.50233,6.34515,6.26570,6.47913,6.20291,6.37342,6.38911,6.26117,6.06204,6.30961,6.72994,7.74698,8.09440,8.29536,8.37162,8.23501,7.92068,7.91222,7.82175,7.58744,7.36937,7.11890,6.95207,6.86177,6.71977,6.36512,6.17736,6.38994,6.64660,6.72977,7.40368,7.55695,7.26321,7.82071,7.92119,7.43876,7.50933
2018,Scone 66_11kV,02MAY2017,MW,7.24481,6.78129,6.49550,6.17810,5.80285,5.51429,5.24205,5.06784,5.16853,4.89086,4.65932,4.47592,4.67116,4.61262,4.49132,4.45450,4.48155,4.73719,5.01227,5.22820,5.31178,5.67398,5.86995,6.09019,6.61683,7.03287,7.22949,7.40151,7.05297,7.36988,7.49413,7.23504,7.19431,7.01566,7.00409,6.86957,6.62723,6.44812,6.12055,6.23328,6.33094,6.46862,6.66398,6.44246,6.55415,6.37615,6.51255,6.31893,6.30414,6.46636,6.59749,6.47462,5.98977,5.96953,6.12876,6.45487,6.26110,6.75763,6.96198,6.94466,6.67228,6.72454,6.68231,6.65600,6.62068,6.68734,6.92094,7.04172,6.94562,7.19383,7.68563,7.91514,8.04803,8.14083,7.90328,7.86932,7.88563,7.52227,7.41665,7.27261,7.01138,6.87410,6.73450,6.55242,6.32776,6.08563,6.19594,6.25597,6.70560,7.39600,7.41138,6.94676,7.54723,7.75716,7.40690,7.46284
2018,Scone 66_11kV,03MAY2017,MW,7.16408,6.68397,6.35090,6.01065,5.67592,5.30073,5.00889,4.82386,4.70967,4.53810,4.34708,4.32773,4.34691,4.38786,4.33366,4.26935,4.46963,4.50385,4.80217,5.04837,5.27005,5.36428,5.54253,5.69021,6.16898,6.38040,6.72321,7.10104,7.02913,7.17480,7.21026,7.51196,7.59650,7.38824,7.04405,7.38743,7.48650,7.49467,7.53601,7.53685,7.57136,7.39127,7.20486,7.32282,7.36421,7.23337,7.03237,6.91215,7.01575,7.21495,7.12162,7.03252,6.83324,6.77342,7.05377,7.08025,6.80586,6.78466,6.91986,6.92936,7.07886,7.04362,7.04903,7.25397,7.32664,7.35325,7.46432,7.67769,7.66769,7.99889,8.44062,8.61040,8.79768,8.92159,8.91975,8.67352,8.64821,8.40677,8.35052,8.12458,7.86660,7.66546,7.46751,7.19641,6.99773,6.72043,6.91292,6.85435,7.04635,7.80298,7.92434,7.43655,7.89803,8.26145,7.83913,7.83395
2018,Scone 66_11kV,04MAY2017,MW,7.46070,7.04622,6.74859,6.39659,6.07300,5.47571,5.30738,5.00478,4.95311,4.87659,4.66376,4.43264,4.55908,4.75600,4.68546,4.63079,4.58638,4.56927,4.92358,5.20345,5.48648,5.50474,5.72215,5.95716,6.33323,6.61217,6.87575,7.00792,6.90975,7.26622,7.43680,7.63011,7.80097,7.57989,7.42643,7.45245,7.37592,6.89600,6.79450,6.52579,6.80118,6.74035,6.60705,6.50212,6.63095,6.66821,6.73728,6.77932,6.91166,7.07636,7.14224,7.00669,6.90075,6.61839,6.63208,6.93326,6.95144,7.17088,6.96316,6.98409,7.00830,6.77908,6.70464,6.83444,6.92127,7.03369,7.28734,7.50958,7.66833,7.97986,8.41919,8.60455,8.71452,8.64064,8.61335,8.57674,8.54470,8.30025,8.17679,8.23411,7.83695,7.59999,7.44433,7.25463,7.00050,6.73175,6.90901,7.08254,7.23707,7.91367,8.02659,7.62565,8.03188,8.14427,8.13849,8.28560
2018,Scone 66_11kV,05MAY2017,MW,7.71598,7.15420,7.07716,6.76120,6.23848,5.76567,5.51558,5.45044,5.19532,4.92012,4.99948,4.77940,4.68146,4.68612,4.68443,4.82138,4.81244,4.86040,5.26167,5.66172,5.74865,5.81695,6.05581,6.47233,6.99553,7.05835,7.56456,8.13438,7.59188,7.66902,8.09379,8.20539,8.04034,7.46519,7.55928,7.43876,7.27377,6.98993,6.80879,6.81132,6.91634,6.82502,6.42370,6.49870,6.52658,6.41229,6.29708,6.36722,6.42621,6.47461,6.31752,6.15228,6.25237,6.31695,6.19886,6.18254,6.22237,6.27347,6.14906,6.15983,6.38439,6.40891,6.40749,6.54013,6.61438,6.62743,6.48614,6.74631,7.10576,7.37176,7.65688,7.91820,8.04214,8.15160,8.15037,8.36934,8.39671,8.02953,7.92030,7.89981,7.70114,7.54541,7.53557,7.50012,7.38850,7.15160,7.27954,7.46433,7.88730,8.46077,8.53815,8.23169,8.72297,8.86800,8.44628,8.38681
2018,Scone 66_11kV,06MAY2017,MW,8.26210,7.81662,7.30718,6.74761,6.46358,6.24559,5.93631,5.55450,5.33033,5.12356,5.11242,5.02531,4.94836,4.85759,4.81439,4.74033,4.87640,4.89824,5.02289,5.07319,4.91909,5.13699,5.34131,5.53864,5.79239,5.81539,6.15723,6.65704,6.91853,7.11303,7.25809,7.30493,7.29390,7.45863,7.66931,7.45522,7.31986,6.96478,6.91705,6.69383,6.18218,5.91065,5.53247,5.30449,5.06065,4.71887,4.72679,4.62745,4.66845,4.71858,4.69331,4.54260,4.50904,4.55735,4.59207,4.51929,4.59568,4.67175,4.74333,4.76449,4.86581,5.00082,5.08142,5.30392,5.45824,5.47458,5.73329,5.97311,6.14911,6.50134,6.78239,6.99614,7.06231,7.05624,7.06496,6.87770,6.70189,6.71815,6.51769,6.56735,6.40639,6.23291,6.21304,6.24252,6.35955,6.34021,6.32591,6.28988,6.25761,6.00354,5.90385,5.87672,5.98103,5.60318,5.51084,5.36307
2018,Scone 66_11kV,07MAY2017,MW,5.35350,5.28962,5.32200,5.11123,4.98240,4.75649,4.44882,4.50142,4.66371,4.41437,4.24358,4.25271,4.20374,4.19593,4.15274,4.13909,4.00279,4.24813,4.46658,4.61410,4.66162,4.70240,4.52493,4.64022,5.07904,5.11040,5.19220,5.30447,5.61105,5.75847,5.91125,5.98088,5.97992,5.97545,5.98461,5.97699,5.98303,5.74710,5.70113,5.72870,5.56452,5.53500,5.53754,5.29767,5.13773,5.02484,5.01335,4.82697,4.78485,4.83636,4.85605,4.85054,4.84503,4.71239,4.67499,4.80297,4.82188,4.81644,4.96566,5.02118,4.92780,4.92648,5.03466,5.17382,5.55977,5.57785,5.89880,6.46356,6.90169,7.26760,7.86830,8.38381,8.62477,8.53402,8.54246,8.41532,8.32115,8.10544,7.86049,7.81946,7.62650,7.28714,7.20727,7.11276,6.97903,6.63470,6.61951,6.45191,6.26749,6.21957,5.95559,5.77494,5.95058,5.65696,5.70515,5.51923
2018,Scone 66_11kV,08MAY2017,MW,5.44502,5.30779,5.28722,5.14570,5.17689,4.96360,4.72954,4.65017,4.87327,4.70044,4.65840,4.59455,4.56216,4.51619,4.72501,4.93226,5.01444,5.02868,5.26812,5.57849,5.83889,6.00119,6.15033,6.40227,6.93607,7.47555,7.91259,8.45309,8.24010,8.44093,8.70593,8.74954,8.34496,8.06103,7.83295,7.81288,7.73708,7.49848,7.15091,7.03104,7.14645,6.97040,6.83173,6.87990,6.71085,6.69231,6.49332,6.36665,6.42942,6.62288,6.70348,6.34389,6.38097,6.54409,6.43178,6.22950,6.49496,6.45196,6.34379,6.31661,6.54990,6.43717,6.40674,6.79081,6.91324,6.95739,7.32791,7.55387,7.70337,8.33693,8.78641,9.15445,9.54298,9.48246,9.33007,9.21029,9.30241,9.23991,9.01819,8.74721,8.44845,8.49663,8.11199,7.91640,7.57167,7.10326,7.26426,7.33649,7.64217,8.27804,8.22939,8.05126,8.44095,8.75307,8.34265,8.33418
2018,Scone 66_11kV,09MAY2017,MW,8.02394,7.62935,7.29346,6.75077,6.32875,6.05051,5.81827,5.57378,5.44390,5.35323,5.31598,5.08185,4.86853,4.74088,4.90668,4.95855,4.99926,5.03668,5.45930,5.71127,5.94125,6.20199,6.17964,6.57560,7.03995,7.53372,7.94834,8.25992,8.10064,8.21572,8.26498,8.31590,8.08387,7.75952,7.52134,7.39955,6.91597,6.83138,6.82850,6.86628,6.76960,6.78269,6.71575,6.57080,6.54414,6.34222,6.16094,5.97943,6.06809,6.25827,6.29763,6.27978,6.26500,6.25566,6.25092,6.27260,6.24855,6.28988,6.39248,6.45923,6.49817,6.54062,6.41730,6.54448,6.79110,7.03467,7.02327,7.43435,7.52328,8.23345,8.64720,9.06751,9.27460,9.29704,9.45325,9.52358,9.46875,9.26684,9.06247,8.86261,8.74748,8.49963,8.28767,8.04814,7.63684,7.59011,7.66915,7.70106,7.94345,8.44642,8.53817,8.19959,8.64091,8.80442,8.30077,8.39315
2018,Scone 66_11kV,10MAY2017,MW,8.16982,7.83674,7.54951,7.04814,6.41835,6.16538,5.98941,5.83668,5.71935,5.52365,5.48270,5.38746,5.27801,5.19384,5.19713,5.29436,5.26700,5.42029,5.50914,5.86585,6.28941,6.34869,6.41515,6.83784,7.31807,7.88186,8.48350,8.87977,8.45841,8.79171,8.87600,8.92394,8.95340,8.71173,8.71580,8.13119,7.76142,7.54398,7.50670,7.32027,7.32781,7.08995,6.99706,6.88588,6.84824,6.74137,6.48240,6.35458,6.49501,6.55002,6.47368,6.51719,6.55451,6.53459,6.44753,6.48417,6.53190,6.46543,6.46579,6.65769,6.68342,6.70690,6.64418,6.79605,7.01713,7.14279,7.32918,7.68894,7.89153,8.14158,8.86382,9.34064,9.64565,9.72910,9.56347,9.42128,9.78247,9.47754,9.28135,9.03052,8.73279,8.85419,8.79664,8.53782,8.20286,7.89088,8.12235,8.12215,8.39629,8.83177,8.74910,8.56092,9.04908,9.18142,8.74758,8.89388
