year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Sefton 132_11kV,01MAY2017,MW,15.82696,15.65549,14.86671,15.39828,15.05533,14.12938,13.20342,12.46609,12.07170,11.57443,11.07716,10.90568,10.37412,10.35697,9.91114,9.91114,9.91114,10.04832,10.39127,10.73421,11.19719,11.76305,12.19173,12.96336,14.00935,15.12392,15.96414,16.90724,17.11301,17.76461,18.22758,18.36476,18.05611,17.90178,17.54169,17.14730,17.01012,17.06157,16.68433,17.19874,17.11301,16.90724,16.25564,16.80436,17.01012,16.58144,17.01012,17.13016,16.61574,16.46141,16.56429,16.56429,17.74746,17.23304,17.07871,16.11846,16.46141,16.42712,16.97583,16.95868,16.56429,16.78721,16.97583,17.38737,17.47310,17.57599,17.42166,17.59313,17.78175,18.41620,18.70771,18.94777,18.94777,18.87918,18.87918,18.74200,18.22758,17.98752,17.98752,17.73031,17.23304,16.87295,16.66718,16.37567,16.10132,15.84411,15.77552,15.77552,15.89555,16.16991,16.68433,18.02182,17.37022,16.34138,17.07871,16.83865
2018,Sefton 132_11kV,02MAY2017,MW,16.46141,15.99843,14.98674,15.48401,15.38113,14.45518,13.97505,13.35775,12.56897,12.07170,11.57443,11.21434,10.85424,10.54559,10.33982,10.33982,10.42556,10.69992,10.69992,10.75136,11.43725,12.12314,12.74045,13.39204,14.48947,14.88386,15.51831,16.22135,16.40997,16.75292,17.18160,17.16445,17.33592,16.82150,16.66718,16.46141,16.97583,16.78721,16.58144,16.83865,15.86126,16.03273,16.01558,16.23850,16.10132,16.23850,16.61574,16.53000,16.59859,16.73577,16.97583,17.21589,17.30163,17.19874,17.49025,17.43881,17.21589,16.92439,16.68433,16.49571,16.59859,16.95868,16.90724,16.92439,17.28448,17.54169,17.37022,17.54169,17.88464,18.15899,18.57053,18.79344,18.60482,18.51909,18.51909,18.14185,17.73031,17.52454,17.52454,17.52454,17.26733,16.75292,16.68433,16.56429,16.16991,15.86126,15.77552,15.77552,15.86126,16.34138,16.78721,17.88464,17.04442,16.58144,17.64457,17.57599
2018,Sefton 132_11kV,03MAY2017,MW,17.06157,16.66718,15.79267,16.22135,16.16991,15.19251,14.11223,13.52922,12.77474,12.31176,11.95167,11.60872,11.30007,10.85424,10.56274,10.44271,10.75136,11.16289,11.40296,11.40296,11.69446,12.63756,13.16913,14.04364,15.22681,15.99843,16.61574,17.43881,17.30163,18.14185,18.58768,18.99921,19.32501,18.62197,18.15899,18.21044,18.26188,17.88464,17.83320,17.43881,17.42166,17.19874,17.83320,17.90178,17.85034,18.21044,18.07326,17.69602,18.03896,17.71316,17.55884,17.83320,17.37022,17.85034,17.88464,18.05611,18.22758,18.53623,18.81059,18.96492,18.84489,19.11924,18.82774,18.72485,18.63912,18.94777,19.32501,19.51363,19.37645,20.13093,20.67965,21.12548,20.91971,20.38814,20.26811,20.01090,19.92517,19.99376,19.78799,19.13639,19.05065,18.81059,18.53623,18.31332,17.85034,17.73031,17.61028,17.25019,17.50740,17.85034,18.36476,19.68510,18.93062,17.98752,19.13639,18.46765
2018,Sefton 132_11kV,04MAY2017,MW,18.00467,17.38737,16.70147,17.14730,16.70147,15.75837,14.93530,14.36944,13.47778,13.01480,12.51753,12.02026,11.62587,11.47155,11.36866,11.40296,11.47155,11.52299,11.67731,11.91738,12.39750,13.11769,13.88932,14.48947,15.65549,16.63288,17.18160,18.48479,18.60482,19.05065,19.54793,19.71940,19.54793,18.93062,18.43335,18.24473,18.10755,17.67887,17.52454,17.74746,17.73031,17.76461,17.45595,18.15899,18.33047,18.24473,18.29617,18.41620,18.34761,18.43335,18.51909,18.29617,18.29617,18.24473,18.22758,18.22758,18.10755,17.91893,17.93608,17.90178,17.66172,17.74746,18.29617,18.29617,18.60482,18.93062,19.05065,19.51363,19.37645,19.82228,20.30241,20.66250,20.33670,20.52532,20.11379,19.92517,19.71940,19.75369,19.18783,18.94777,18.69056,18.84489,18.58768,18.02182,17.85034,17.49025,17.30163,17.07871,17.23304,17.74746,18.10755,19.44504,18.62197,17.83320,19.05065,18.36476
2018,Sefton 132_11kV,05MAY2017,MW,17.88464,17.19874,16.47856,16.80436,16.37567,15.99843,14.67809,13.73499,13.03195,12.65471,12.05455,11.76305,11.43725,11.42010,11.38581,10.93998,11.16289,11.16289,11.26578,11.45440,12.26032,12.94621,13.46063,14.31800,15.72408,16.28994,16.82150,17.71316,18.09040,18.62197,18.53623,18.65627,18.74200,18.14185,18.14185,17.69602,17.43881,17.19874,17.40451,17.45595,17.28448,17.28448,17.07871,17.06157,17.16445,17.19874,17.06157,16.90724,16.75292,16.94154,17.01012,16.47856,16.16991,16.28994,16.13561,15.67263,15.74122,15.74122,16.23850,16.13561,16.13561,16.08417,16.46141,16.66718,16.68433,17.04442,17.37022,17.30163,17.28448,17.85034,18.84489,19.03351,19.03351,18.98206,18.82774,18.36476,17.86749,17.61028,17.16445,17.23304,16.78721,16.54715,16.46141,16.10132,16.10132,16.10132,15.89555,15.74122,16.11846,16.70147,17.21589,18.48479,17.78175,17.09586,18.03896,17.86749
2018,Sefton 132_11kV,06MAY2017,MW,17.52454,16.47856,15.79267,16.46141,16.32423,15.38113,14.21511,13.63211,12.94621,12.17459,11.95167,11.43725,11.00857,10.69992,10.49415,10.49415,10.39127,10.39127,10.39127,10.39127,10.76851,11.00857,11.33437,11.66017,12.19173,12.53468,12.92907,13.37490,13.23772,13.40919,13.83787,14.33515,14.40373,14.76383,14.66094,14.33515,14.54091,14.24941,14.23226,14.02649,14.19797,13.87217,13.99220,14.04364,13.64925,13.25487,12.99766,13.16913,12.82618,12.63756,12.80904,12.55183,12.84333,12.68900,12.46609,12.43179,12.43179,12.51753,12.39750,12.51753,12.89477,13.20342,13.51207,13.63211,,,,,,,,16.34138,16.27279,16.13561,16.13561,15.67263,15.29539,15.26110,15.24395,14.86671,14.86671,14.47232,14.28370,14.02649,14.02649,14.02649,13.99220,14.09508,14.55806,15.02104,15.62119,17.40451,16.70147,16.18705,17.47310,16.94154
2018,Sefton 132_11kV,07MAY2017,MW,16.82150,15.99843,15.24395,15.89555,15.68978,14.72953,13.80358,12.86048,12.41465,11.83164,11.24863,10.87139,10.09976,9.96258,9.96258,9.96258,9.96258,9.77396,9.51675,9.51675,9.68823,9.92829,9.79111,9.96258,10.35697,10.66562,10.85424,11.11145,10.78565,11.06001,11.06001,11.06001,11.54013,11.55728,11.84879,12.00311,12.29462,12.29462,12.14029,11.91738,11.90023,12.08885,11.93452,11.54013,11.47155,11.47155,11.47155,11.47155,11.09431,11.02572,11.00857,11.00857,11.19719,10.99142,11.06001,11.12860,11.26578,10.99142,10.99142,10.99142,11.48869,12.00311,12.17459,12.39750,12.58612,13.06624,13.70070,13.99220,14.62665,15.03818,15.80981,16.10132,16.47856,16.71862,16.65003,16.77006,16.66718,16.66718,16.66718,16.27279,16.32423,16.25564,16.23850,15.89555,15.89555,15.89555,15.56975,15.38113,15.74122,16.70147,17.13016,18.31332,18.05611,17.06157,18.10755,17.78175
2018,Sefton 132_11kV,08MAY2017,MW,17.40451,16.66718,15.94699,16.66718,16.32423,15.38113,14.64380,13.80358,13.40919,12.77474,12.27747,11.62587,11.28293,10.90568,10.90568,10.78565,10.85424,10.90568,11.35151,11.81449,12.36321,12.58612,13.30631,13.70070,15.24395,16.37567,17.28448,18.38191,18.65627,19.22213,20.13093,19.89087,19.37645,18.93062,18.17614,18.02182,18.26188,18.14185,18.10755,17.83320,17.57599,17.21589,17.09586,17.13016,17.13016,16.77006,17.21589,16.73577,16.53000,16.47856,16.92439,17.31878,17.11301,17.28448,17.40451,17.18160,17.54169,17.38737,17.47310,17.37022,17.54169,17.37022,17.50740,17.93608,18.50194,18.89633,19.35931,19.49648,19.90802,20.52532,21.31410,21.34839,21.46842,21.72563,21.67419,21.26266,20.78253,20.78253,20.38814,20.23382,19.80513,19.78799,19.51363,19.27357,19.18783,18.72485,18.62197,18.33047,18.38191,18.91348,19.22213,20.42244,19.56507,18.65627,20.04520,19.32501
2018,Sefton 132_11kV,09MAY2017,MW,18.96492,18.19329,17.01012,17.49025,17.30163,16.53000,15.60405,14.86671,14.16367,13.46063,13.01480,12.65471,12.24317,12.02026,11.86593,11.62587,11.62587,11.81449,12.20888,12.22603,12.79189,13.64925,14.55806,15.20966,16.20420,17.62743,18.50194,19.22213,19.51363,20.45673,21.02259,21.05689,20.30241,19.56507,18.99921,18.89633,19.18783,19.61651,19.53078,19.01636,18.26188,18.02182,17.93608,17.78175,17.49025,17.50740,17.43881,17.35307,17.21589,17.01012,16.95868,16.78721,16.83865,17.88464,17.95323,17.64457,17.14730,17.19874,16.80436,17.01012,16.82150,17.02727,17.09586,17.83320,18.38191,18.39906,18.58768,19.17068,19.47934,20.37100,20.85112,21.36554,21.10833,21.09118,21.02259,21.02259,20.69679,20.13093,20.11379,19.95946,20.13093,19.53078,19.27357,19.27357,19.17068,18.89633,18.58768,18.39906,18.53623,19.01636,19.51363,20.61106,19.83943,18.67341,20.09664,19.42789
2018,Sefton 132_11kV,10MAY2017,MW,18.75915,18.15899,17.18160,17.64457,17.26733,16.47856,15.51831,14.76383,14.23226,13.63211,13.32345,12.80904,12.72330,12.05455,11.98596,12.12314,11.98596,12.38035,12.38035,12.51753,13.22057,13.95790,14.66094,15.36398,16.37567,17.81605,18.89633,19.70225,19.97661,20.62821,21.15977,21.29695,20.83397,20.06234,19.34216,19.18783,18.79344,18.50194,18.27902,17.86749,17.66172,17.28448,17.28448,17.11301,17.11301,17.07871,16.80436,16.49571,16.80436,16.61574,16.97583,16.47856,17.09586,17.38737,17.50740,17.37022,17.06157,16.80436,16.71862,16.78721,16.77006,16.83865,17.45595,17.74746,17.90178,18.27902,18.36476,18.75915,19.08495,19.71940,20.74824,21.43413,21.19407,20.91971,21.02259,20.66250,20.30241,20.25096,19.90802,19.90802,19.73655,19.29072,19.46219,20.90256,20.66250,20.47388,19.97661,19.99376,20.07949,20.66250,21.14262,22.66873,21.98284,21.07404,22.29149,21.41698
