year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,Singleton 66_11kV,01MAY2017,MW,4.90137,4.87127,4.78379,4.72761,4.56032,4.52469,4.52936,4.57947,4.56779,4.58846,4.57580,4.50756,4.58093,4.53910,4.55202,4.52341,4.73455,5.01213,5.17060,5.68621,5.75145,5.99217,6.06651,6.28768,6.68902,6.99437,7.27191,7.36636,7.70532,7.70754,7.92306,8.13059,8.17070,8.29865,8.43905,8.54484,8.35924,8.40700,8.38084,8.33308,8.15739,8.06080,7.80614,7.58960,7.38920,7.49913,7.42617,7.57572,7.60951,7.72487,7.71747,7.66225,7.58806,7.51601,7.58382,7.48334,7.70972,7.76734,7.73394,7.81958,7.78012,7.81496,7.98086,8.21485,8.38870,8.55163,8.44796,8.50024,8.49764,9.00624,9.00357,9.03270,9.00210,9.02169,8.82329,8.57663,8.40584,8.30435,8.27553,8.05847,7.93210,7.90174,7.74220,7.51511,7.32163,7.18833,7.51477,7.13363,6.93634,6.75750,6.63555,7.23257,7.75129,7.57251,7.46989,7.88158
2018,Singleton 66_11kV,02MAY2017,MW,7.81388,7.40945,6.93407,6.43220,6.21359,6.20418,5.97776,5.74225,5.55004,5.46881,5.42890,5.31779,5.29611,5.15193,5.12822,5.24212,5.41236,5.51576,5.68278,5.83695,6.11636,6.19392,6.35712,6.54962,7.14032,7.28911,7.48985,7.59376,7.75628,7.66576,7.90851,7.86213,8.11790,8.22163,8.49172,8.28173,8.03898,7.93520,8.07672,8.16650,7.97486,7.59100,7.54369,7.68947,7.77423,7.74508,7.81024,7.85825,7.83886,7.96188,7.93664,8.03490,7.89162,7.98048,8.00302,8.04381,7.96710,8.05309,8.15818,8.08262,8.04066,8.16061,8.31706,8.53148,8.55419,8.65944,8.72992,8.75867,8.73380,9.16705,9.23510,9.28354,9.28624,9.19453,9.09787,8.98472,8.74065,8.52056,8.48673,8.12592,7.97662,7.91092,7.85305,7.66959,7.42353,7.16381,7.50790,7.14147,6.92286,6.93529,6.70267,7.47330,7.91529,7.52598,7.60433,8.06123
2018,Singleton 66_11kV,03MAY2017,MW,7.77939,7.38273,6.96740,6.63243,6.35947,6.22844,5.98261,5.81526,5.71149,5.58993,5.46989,5.27847,5.30103,5.32069,5.28001,5.40471,5.52483,5.58827,5.70209,5.88851,6.04123,6.09828,6.32625,6.64947,6.94150,7.23016,7.43698,7.45582,7.57683,7.67556,7.79683,8.07798,8.32408,8.31173,8.35205,8.14030,8.30689,8.50352,8.43007,8.41364,8.30632,8.36610,8.77469,8.60588,8.53878,8.51990,8.54050,8.68318,8.93471,8.84006,8.95510,8.96995,8.92305,8.80057,8.65922,8.72125,8.85677,8.76459,8.65336,8.45871,8.58172,8.61861,8.58215,8.53693,8.85025,9.06376,9.15931,9.31640,9.56881,9.88665,10.12005,9.90790,9.89667,9.75204,9.73880,9.53078,9.21396,8.97332,8.96923,8.90994,8.69497,8.59597,8.50949,8.25280,8.02644,7.85275,8.21396,7.67215,7.58715,7.60038,7.45327,8.15336,8.57114,8.22791,8.28922,8.81837
2018,Singleton 66_11kV,04MAY2017,MW,8.25965,7.83828,7.57149,7.13852,6.78306,6.62764,6.48386,6.27770,6.12357,5.95721,5.85007,5.72007,5.89554,5.74436,5.75688,5.72123,5.81075,5.90077,6.05097,6.15210,6.42880,6.57096,6.87825,7.09051,7.53775,7.70095,7.86524,7.94284,8.07532,8.03976,8.10330,8.19706,8.33704,8.39042,8.64895,8.53021,8.45779,8.39869,8.09336,8.13260,8.24887,8.45257,8.39235,8.52738,8.29845,8.29938,8.35590,8.39705,8.24474,8.41123,8.58339,8.50850,8.44145,8.44406,8.43040,8.46090,8.47053,8.39730,8.34949,8.37133,8.15084,8.36904,8.40703,8.57593,8.53746,8.64048,8.68135,8.91188,9.00160,9.63359,9.96593,10.13590,10.07028,9.91438,9.68189,9.61740,9.37307,9.29320,9.38829,9.18714,9.03309,8.92400,8.81396,8.62523,8.26602,8.08932,8.34697,7.99004,7.85780,7.87620,7.65118,8.34055,8.75361,8.24105,8.18844,8.67591
2018,Singleton 66_11kV,05MAY2017,MW,8.47683,8.09462,7.71985,7.32479,6.90350,6.79072,6.53289,6.23007,6.11183,6.07588,5.93883,5.84508,5.91584,5.90670,5.81628,5.90072,5.97630,6.06952,6.15511,6.30351,6.76632,6.88477,7.08689,7.28706,7.66146,7.99101,8.25494,8.45571,8.82860,8.80427,9.07911,9.11392,9.10741,9.06683,9.02836,8.84603,8.56521,8.47213,8.29542,8.23699,8.16035,8.04667,7.99591,7.89995,7.95404,7.97984,7.77056,8.04909,8.10726,8.14739,8.10436,8.08006,8.15032,8.11413,7.97970,7.87985,7.94025,7.97913,7.92343,8.04911,8.10451,8.17173,8.29494,8.42244,8.46380,8.49819,8.58800,8.79042,8.96504,9.21054,9.31344,9.40196,9.26309,9.18898,9.12035,9.03760,8.76528,8.64052,8.15882,8.11333,8.43905,8.40625,8.13081,8.00091,7.84263,7.79741,8.24548,7.90442,7.73080,7.76803,7.61061,8.29402,8.70285,8.31315,8.23968,8.59930
2018,Singleton 66_11kV,06MAY2017,MW,8.40132,8.06696,7.59482,7.22353,6.90005,6.71215,6.44410,6.21929,5.95460,5.93236,5.85300,5.71994,5.77581,5.76242,5.71658,5.67231,5.59107,5.66811,5.77805,5.91447,6.06091,6.25033,6.55918,6.76251,6.98579,7.12166,7.37135,7.38793,7.69274,7.98329,7.99985,8.09609,8.18555,8.35836,8.80237,8.95705,8.91291,8.68632,8.61172,8.49621,8.17976,7.89521,7.98746,7.84478,7.72318,7.66130,7.44793,7.62649,7.46443,7.54407,7.52863,7.46940,7.43259,7.30813,7.17753,7.20679,7.18432,7.18035,7.19763,7.13282,6.94268,7.17045,7.18346,7.35759,7.31764,7.44311,7.60208,7.83590,7.98930,8.32959,8.55581,8.74041,8.63081,8.51145,8.44088,8.29129,8.16340,8.04494,7.97431,7.87510,7.75132,7.25692,7.18580,7.08437,7.10859,7.29590,7.20347,6.96570,6.63018,6.37472,6.20998,6.15573,6.20264,6.09830,6.03285,5.95573
2018,Singleton 66_11kV,07MAY2017,MW,5.89028,5.67534,5.62069,5.50956,5.40129,5.19390,5.14169,5.04107,5.17402,5.10504,5.05141,5.02904,5.16488,5.06588,4.96500,4.86241,4.93573,5.01309,5.14886,5.29959,5.33359,5.32543,5.43555,5.58555,5.74298,5.75668,5.92406,6.13045,6.17515,6.27681,6.31068,6.47987,6.60103,6.55001,6.44944,6.55937,6.54939,6.61492,6.72990,6.63078,6.72424,6.53262,6.44649,6.37004,6.42248,6.39880,6.44062,6.48055,6.34559,6.47384,6.39500,6.40981,6.21598,6.00946,6.11307,6.22454,6.24277,6.36161,6.27208,6.33320,6.46563,6.62203,6.48783,6.66662,6.65759,6.64357,6.72415,7.14057,7.38269,7.77159,8.30231,8.43774,8.28299,8.31051,8.36964,8.06713,7.93366,7.92916,7.78227,7.61623,7.54475,7.36195,7.37382,7.29241,7.06993,7.04325,6.94279,6.84409,6.57680,6.16038,5.85293,5.59450,5.67621,5.64734,5.55270,5.51558
2018,Singleton 66_11kV,08MAY2017,MW,5.45015,5.33589,5.33824,5.27179,5.08733,4.99128,5.00027,5.00445,4.96038,4.96952,4.92339,5.00911,5.02231,4.90654,4.92034,5.02750,5.24308,5.38050,5.55112,5.84296,6.45232,6.64986,6.84284,7.02030,7.35697,7.70366,8.01533,8.15915,8.47582,8.30631,8.52073,8.63093,8.54712,8.71123,8.86248,8.71397,8.49848,8.37676,8.27108,8.27333,8.11233,7.95794,7.82441,7.72130,7.74660,7.75591,7.66839,7.77626,7.74456,7.72787,7.77345,7.79605,7.72135,7.80715,7.77035,7.61560,7.71266,7.80104,7.77140,7.77116,7.68783,7.76917,7.82209,8.00685,8.10039,8.12351,8.32876,8.65997,9.01631,9.52214,9.63848,9.81082,9.82839,9.68676,9.61654,9.45057,9.34649,9.44229,9.41322,9.11771,8.82913,8.70350,8.42615,8.33782,8.02951,7.89970,8.25164,7.83346,7.66753,7.44241,7.24747,8.10491,8.53032,8.20453,8.34625,8.75099
2018,Singleton 66_11kV,09MAY2017,MW,8.39928,7.94368,7.50245,7.14531,6.78308,6.59042,6.51168,6.31598,6.12670,6.10010,5.85464,5.80126,5.76397,5.73993,5.73943,5.81570,5.89202,6.16706,6.18665,6.44445,6.77898,6.83574,7.04783,7.27833,7.84199,7.93337,8.24582,8.50133,8.76796,8.52598,8.76754,8.91652,9.04315,9.00266,9.22222,9.10965,8.83938,8.70400,8.47785,8.51936,8.25025,8.12853,8.09388,8.09981,7.91888,7.86028,7.90041,7.98009,7.95964,7.94420,7.84867,7.79648,7.84358,7.83795,7.77289,7.96838,8.01844,8.01298,7.90902,7.99219,7.99040,8.04767,8.20752,8.32499,8.27179,8.45384,8.68818,8.96210,9.29123,9.67123,10.13662,10.12261,10.05842,10.08441,9.94362,9.84344,9.63228,9.50961,9.40857,9.23502,9.15309,9.16296,8.89510,8.74678,8.37648,8.22065,8.42188,8.08410,7.94371,7.97982,7.82993,8.42373,8.79711,8.43501,8.45852,9.02689
2018,Singleton 66_11kV,10MAY2017,MW,8.72660,8.03230,7.73433,7.45299,7.16368,7.00994,6.79258,6.49534,6.32423,6.34075,6.20986,6.05200,6.05651,6.21453,6.24517,6.21249,6.22744,6.42813,6.56379,6.83153,7.07086,7.17441,7.44916,7.58970,8.20993,8.44486,8.82459,9.06493,9.20340,9.17262,9.33493,9.45797,9.79035,9.69621,10.02830,9.72752,9.48360,9.27597,9.21594,8.90397,8.72766,8.39855,8.46647,8.27673,8.13697,8.28864,8.24485,8.29410,8.24992,8.26421,8.15035,8.19573,8.21705,8.18866,8.20589,8.20700,8.17726,8.30698,8.17607,8.13417,8.23609,8.34448,8.38521,8.54151,8.57922,8.73983,8.81905,8.84474,9.06212,9.56317,10.08321,10.13575,10.16091,10.00995,9.92575,9.83398,9.73528,9.45393,9.29658,9.18517,9.17810,9.18117,9.16246,8.95197,8.68195,8.42661,8.72837,8.31756,8.10949,8.13008,7.91897,8.55038,8.82503,8.37931,8.51684,8.91623
