year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Singleton North 66_11kV,01MAY2015,MW,8.49502,7.80857,7.08840,6.64066,5.95960,5.59817,4.72695,4.57320,4.17536,4.17536,3.95553,3.68985,3.27312,3.20435,3.20435,3.20435,3.20435,3.20435,3.20435,3.20435,3.20435,3.20435,3.29740,3.68985,3.79100,4.55703,4.66087,4.66087,4.66087,4.66087,4.66087,4.87800,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,5.14638,4.98589,4.66087,4.66087,4.66087,4.30618,4.17536,4.17536,4.17536,4.17536,4.08231,3.68985,3.68985,3.72087,4.17536,4.17536,4.17536,4.17536,4.17536,4.67543,4.75797,4.75797,4.75797,4.98050,5.24348,5.83687,6.21449,6.21449,6.21449,6.21449,6.21449,6.21449,6.21449,5.96365,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,6.31833,7.66292,7.67101,7.58254,8.83623
2016,Singleton North 66_11kV,02MAY2015,MW,8.64176,7.61841,7.19224,6.41274,5.95690,5.51051,4.85507,4.53275,4.36956,4.05128,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,2.94945,2.91304,2.91304,2.91304,2.91304,2.91304,2.91304,2.91304,2.91304,2.93867,3.39855,3.39855,3.52666,4.36551,4.36956,4.44374,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.85507,4.60018,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.36956,4.59478,4.85507,4.88339,5.34058,5.34058,6.03916,6.70000,6.41543,6.21449,5.83013,5.72898,5.72898,5.72898,5.72898,5.72898,5.47544,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.66222,4.27246,4.27246,4.27246,4.27246,4.27246
2016,Singleton North 66_11kV,03MAY2015,MW,4.27246,4.01757,3.78696,3.53476,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.67232,3.78696,3.85034,4.62445,4.75797,4.75797,4.75797,4.75797,4.75797,4.91576,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,5.24348,4.76202,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.50038,4.27246,4.27246,4.27246,4.75123,4.81596,5.24348,5.52804,5.72898,6.23337,6.70000,7.15179,7.18550,7.18550,7.18550,7.18550,7.18550,7.18550,7.18550,6.80115,6.70000,6.29137,5.79507,5.72898,5.72898,5.66829,5.07760,4.75797,4.75797,4.75797,4.75797,4.37091,4.27246,4.27246,4.27246,4.27246
2016,Singleton North 66_11kV,04MAY2015,MW,4.27246,4.07961,3.49700,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.33246,3.78696,3.78696,4.01217,4.27246,4.75662,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.60288,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,4.27246,3.95823,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,4.05263,4.27246,4.27246,4.27246,4.75123,4.77550,5.24348,5.24348,5.95016,6.21449,6.21449,6.21449,6.21449,6.21449,5.92723,5.72898,5.72898,5.53883,5.33923,5.72898,5.55771,5.18279,4.75797,4.69728,4.43295,4.75797,4.75797,4.75797,4.75797,5.95690,6.79710,6.79710,7.19602,8.44782
2016,Singleton North 66_11kV,05MAY2015,MW,8.22260,7.69798,6.89555,6.50579,5.66964,5.14772,4.89688,4.11467,4.07826,3.88811,3.59275,3.59275,3.59275,3.59275,3.43496,3.10724,3.10724,3.10724,3.10724,3.10724,3.10724,3.23267,3.59275,3.59275,3.92047,4.07826,4.55972,4.56376,4.56376,4.56376,4.56376,4.81596,4.95352,4.56376,4.56376,4.43565,4.07826,4.07826,4.07826,4.07826,3.85573,3.59275,3.49700,3.10724,3.10724,3.18142,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.59275,3.89592,3.98116,3.98116,3.98116,4.46262,4.46666,4.95082,5.50511,5.92319,5.92319,5.92319,5.92319,5.92319,5.92319,5.60221,4.95217,4.95217,4.95217,4.95217,4.95217,4.95217,4.95217,4.95217,4.95217,4.50038,4.46666,4.46666,5.53721,6.79305,6.90094,6.93789,8.25362
2016,Singleton North 66_11kV,06MAY2015,MW,8.16057,7.44983,6.75529,6.15380,5.40666,5.20166,4.85507,4.21312,3.88406,3.88406,3.53206,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,4.10523,4.36956,4.36956,4.55703,5.08245,4.75797,4.75797,4.75797,4.75797,4.75797,4.75797,4.44104,4.27246,4.01487,3.78696,3.52937,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.53287,3.88406,3.88406,3.88406,4.27111,4.36956,4.75392,5.53208,5.82609,5.82609,6.03512,6.31159,6.31159,6.31159,6.31159,6.02433,5.82609,5.82609,5.82609,5.82609,5.82609,5.34193,5.21785,5.27180,5.30146,4.85507,4.85507,4.85507,6.10713,7.47007,7.47681,7.52455,8.73913
2016,Singleton North 66_11kV,07MAY2015,MW,8.70271,7.86926,7.46197,6.74585,6.28327,5.82609,4.92520,4.85507,4.43834,4.36956,4.36956,3.63860,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.62108,4.19829,4.58939,4.85507,5.13963,5.34220,5.92319,5.92319,5.92319,5.92319,5.50915,5.43768,5.43768,5.05062,4.86181,4.46666,4.24414,3.98116,3.98116,3.98116,3.98116,3.98116,3.49700,3.37022,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.01014,3.23267,3.49565,3.49565,3.55904,3.98116,4.10388,4.46666,4.91171,5.43768,5.76000,6.24820,6.40869,6.40869,6.40869,6.40869,6.40869,6.40869,5.95690,5.92319,5.92319,5.92319,5.92319,5.92319,5.82203,5.43768,5.43768,5.43768,5.43768,5.43768,6.64012,8.05537,8.05941,7.87250,8.73913
2016,Singleton North 66_11kV,08MAY2015,MW,8.62746,8.15517,7.31632,6.86319,6.57188,5.76540,5.57119,5.24348,4.67165,4.27246,4.27246,4.01487,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,4.40598,4.85507,4.85507,5.02770,5.82609,5.82609,5.82609,5.82609,6.19965,5.95960,5.82609,5.73033,5.01016,4.85507,4.66492,4.36956,4.36956,3.99896,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.78696,3.55904,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.52398,3.78696,3.78696,4.23605,4.27246,5.10322,5.40396,6.18348,6.21449,6.21449,6.21449,6.21449,6.21449,6.21449,5.86250,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.65751,6.54005,7.89623,7.80182,7.84984,9.12753
2016,Singleton North 66_11kV,09MAY2015,MW,9.00346,8.07695,7.65079,6.73641,6.22123,6.02164,5.30956,4.79438,4.75797,4.50038,4.27246,3.88541,3.78696,3.78696,3.75594,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.42687,3.78696,3.91238,4.55703,4.75797,4.91576,5.50107,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.72898,5.50107,5.24348,4.80382,4.27246,4.27246,4.27246,3.88541,3.69390,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.30145,3.78022,3.78696,4.24010,4.81866,5.41475,5.93452,6.31159,6.50445,7.14909,7.28261,7.28261,7.28261,7.28261,7.28261,7.25428,6.79710,6.50984,6.31159,6.31159,6.00006,5.82609,5.82609,5.82609,5.82609,5.53613,5.34058,4.98858,4.85507,4.85507,4.85507,4.85507,4.79168
2016,Singleton North 66_11kV,10MAY2015,MW,4.36956,4.36956,4.36956,4.36956,3.88811,3.88406,3.59949,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.88271,3.88406,4.39384,4.85507,4.85507,4.85507,5.09647,5.34058,5.34058,5.34058,5.34058,5.33923,4.85507,4.85507,4.85507,4.76741,4.36956,4.36956,4.36956,4.36956,4.17941,3.75863,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.39855,3.84494,4.31427,4.58939,4.91576,5.74921,6.21044,6.87532,7.28261,7.28261,7.42961,7.76811,7.76811,7.76811,7.68315,7.28261,7.28261,7.28261,6.89825,6.63931,6.31159,6.31159,6.31159,6.08638,5.60626,5.34058,5.08569,4.85507,4.85507,4.85507,4.85507,4.60423,3.88406
