year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2016,Somersby 132_11kV,01MAY2015,MW,8.73754,9.25756,8.91288,8.31192,8.01152,7.89375,7.78948,7.49881,7.16111,7.11488,7.18042,6.88190,6.45558,6.84190,6.90455,6.92776,7.10083,7.28714,7.63970,7.98725,8.30858,8.62637,9.12523,9.63183,10.13133,10.89889,11.24238,11.72575,12.05325,12.44818,12.98745,12.93979,13.26091,13.31100,13.33779,13.38790,13.01796,13.14746,13.30528,12.70880,13.11614,13.13464,13.18127,13.06445,13.12798,13.25367,13.21024,12.93525,12.53723,12.36666,12.33706,12.04838,11.32269,11.11646,11.32569,11.12738,10.96616,10.99605,11.04712,11.03253,11.00764,10.61094,10.21775,10.01567,10.01309,9.74022,9.66327,9.93067,10.01904,10.06768,10.35144,10.09206,10.20440,10.05952,10.07813,9.82012,9.59616,9.52720,9.25922,8.94422,9.31392,9.43497,9.47666,9.34600,9.15530,8.95216,8.89786,8.81180,8.55684,8.63752,8.44362,7.77562,8.05886,7.82224,8.45717,8.45503
2016,Somersby 132_11kV,02MAY2015,MW,8.40328,8.73404,8.43932,8.02034,7.79688,7.51887,7.38854,7.16477,6.90790,6.47503,6.32880,6.27558,6.08379,5.93967,5.89128,5.93122,5.88055,6.09603,6.19480,6.03512,6.06609,6.22994,6.30854,6.27712,6.59303,6.66852,6.87676,7.09342,7.06784,7.07728,7.26431,7.30570,7.33223,7.65057,7.48990,7.37891,7.31835,7.46232,7.75651,7.85012,7.47815,7.47032,7.30319,7.15439,7.24149,7.21464,7.30467,7.45702,7.26465,7.28243,7.30062,6.88153,6.51416,6.49536,6.69731,6.73542,6.73131,6.60163,6.55764,6.38054,6.43130,6.41978,6.57165,6.66816,6.58985,6.63520,6.67195,6.96067,7.18426,7.31315,7.62960,7.42006,7.36945,7.21163,7.26785,7.11163,6.79180,6.84898,6.60274,6.51785,6.44633,6.23808,6.25689,6.11343,5.98284,5.94506,5.70861,5.68288,5.54715,5.80738,5.94946,5.71901,5.98314,5.93783,6.34052,6.28786
2016,Somersby 132_11kV,03MAY2015,MW,6.35472,6.85219,6.58332,6.12892,5.93718,5.65661,5.73853,5.41819,5.17451,5.26365,5.09823,5.05238,5.00649,5.15747,4.83455,4.96642,4.95513,4.98502,4.98576,4.87390,4.80407,4.89363,4.91705,4.88345,5.02087,5.35917,5.40754,5.43521,5.25901,5.25592,5.36950,5.63632,5.78438,5.92974,5.81056,5.92164,6.14299,6.05055,6.21687,6.21931,6.52334,6.33955,6.45582,6.42094,6.41224,6.38698,6.39235,6.37823,6.39155,6.47985,6.35616,6.26345,5.99464,6.12298,6.08570,6.24054,6.27681,6.31328,6.14977,6.31955,6.32674,6.18324,6.15952,6.15851,6.21718,6.23874,6.50719,6.80798,7.03011,7.25962,7.49645,7.63079,7.71141,7.85776,7.88318,7.70580,7.63273,7.59804,7.39458,7.24323,7.14534,7.13258,7.27741,7.10901,7.05035,6.91579,6.78346,6.80247,6.60752,6.67652,7.06331,6.82541,7.08191,6.90271,7.63880,7.59098
2016,Somersby 132_11kV,04MAY2015,MW,7.65980,7.95876,7.71808,7.28254,7.10264,6.90467,6.88375,6.65355,6.72128,6.48540,6.15324,6.09372,5.96285,6.07615,6.10530,6.02001,5.97077,6.12588,6.32230,6.68860,6.63735,7.07028,7.68560,8.26488,8.73969,9.42431,10.33975,10.81455,11.01308,11.48648,11.50550,11.72074,11.83748,11.81739,11.65009,12.12228,12.09962,12.07473,12.03521,11.86647,12.76048,12.86796,12.83645,12.78174,12.49993,12.41419,12.71021,12.94637,12.61855,12.65095,12.73243,12.16732,12.06069,12.32027,12.75268,12.64725,12.67241,12.47538,12.25732,12.13701,12.09973,11.90597,11.34114,10.76427,10.87767,11.10733,10.79358,10.92724,10.76229,10.80643,11.07087,11.40832,11.29342,11.23952,11.21451,11.08780,10.95349,10.96679,10.65680,10.58654,10.48911,10.53220,10.68502,10.46081,10.13463,10.06464,9.96818,9.66647,9.40006,9.01138,8.81132,8.48956,8.51879,8.47233,8.93937,8.64612
2016,Somersby 132_11kV,05MAY2015,MW,8.61619,9.17072,8.89655,8.43115,8.01980,7.98432,7.91400,7.75647,7.68736,7.61521,7.43914,7.42897,7.24672,7.24311,7.39821,7.43754,7.31435,7.41979,7.61538,7.60566,7.50355,7.90024,8.61701,9.04061,9.86896,10.45008,11.06916,11.70721,11.69451,11.98122,11.79775,12.01911,11.98619,11.75899,11.75531,11.85452,12.08569,12.36547,11.86985,12.05020,12.14548,12.28296,12.81321,12.71204,12.68225,12.77980,12.90297,12.87304,12.45321,12.37035,12.26842,11.68378,11.58966,11.96125,12.43715,12.51352,12.59483,12.53431,12.56999,12.73337,12.31665,12.21854,11.65486,11.35574,10.96759,11.05920,10.92456,10.87743,10.81877,11.14021,10.95273,10.80078,10.61563,10.77224,10.69418,10.41961,10.38035,9.96839,9.81863,9.79646,9.84584,10.21001,10.13683,9.93710,9.69690,9.39194,9.46324,8.95883,8.56734,8.70744,8.18389,7.82805,8.32231,8.07296,8.54318,8.69350
2016,Somersby 132_11kV,06MAY2015,MW,8.84678,9.32505,8.75666,8.15529,7.94797,7.71781,7.68753,7.50698,7.46058,7.46364,7.30869,7.50987,7.40743,7.12681,7.17228,7.12871,7.13905,7.30496,7.55203,7.63112,7.59694,7.87743,8.72995,9.36062,9.65939,10.00880,11.23004,11.63857,11.44217,12.09649,12.00569,12.24640,12.56871,12.53566,11.99577,12.14901,12.14848,12.10816,11.60721,11.23335,11.54726,11.49330,11.50886,11.37318,11.78250,11.63914,11.60723,11.68175,11.24444,11.67658,11.69146,11.59588,11.39387,11.45867,11.55950,11.88753,11.79927,11.71869,11.77687,11.58237,11.31163,11.36227,11.20273,10.85277,10.65087,10.47073,10.27938,10.17877,10.14763,10.42917,10.76414,11.06714,11.13675,11.10165,10.96711,10.91005,10.74863,10.78611,10.78012,10.51810,10.74539,10.74690,10.38930,10.10052,9.95265,9.56413,9.46140,9.24476,8.92401,8.52255,8.30492,8.13058,7.99886,8.18897,8.91528,8.60406
2016,Somersby 132_11kV,07MAY2015,MW,8.66729,9.05525,8.82923,8.51546,8.35158,8.08093,7.95372,7.72770,7.52235,7.70566,7.61191,7.49648,7.41436,7.19715,7.02729,6.97423,7.05991,7.12821,7.29023,7.46901,7.56021,7.87857,8.40581,9.06322,9.82315,10.50001,11.40114,11.97536,12.13207,12.54222,13.27708,13.12454,13.13621,12.83514,12.87772,12.68070,12.58316,12.40508,12.39774,12.24830,12.23006,11.74478,11.79789,12.18657,11.98302,12.28954,12.14048,12.42211,12.13224,11.91302,12.63979,12.18669,11.83266,11.67369,12.07867,12.34807,11.80872,11.52202,11.36001,11.15151,10.70257,10.41541,10.35717,10.31934,10.28395,10.17455,10.29622,10.71410,10.58695,11.01909,10.92410,11.19618,11.18749,11.23633,10.93086,11.13064,11.16810,10.98219,10.94660,10.99518,11.15918,11.14187,11.04713,10.66665,10.14662,9.78314,9.68377,9.56841,9.37749,9.29092,9.06479,8.74840,8.93725,8.53004,9.10085,8.92632
2016,Somersby 132_11kV,08MAY2015,MW,8.88889,9.63137,9.26880,8.84500,8.43046,8.27525,8.11891,7.83287,7.52420,7.52130,7.43696,7.25270,7.24761,7.20586,7.09771,6.98702,7.26054,7.54878,8.18084,8.19272,8.38117,8.77696,9.04216,9.60134,10.11512,10.50257,11.05593,11.80427,12.44413,12.96221,13.10193,13.35398,13.09971,12.86414,12.55766,12.49579,12.30353,12.15681,11.61672,11.24821,11.30183,11.47539,11.60723,11.68475,11.50319,11.38370,11.31590,10.81266,10.53806,10.46113,10.75045,10.41188,9.82661,9.85263,10.27755,10.27328,10.23143,10.12900,9.63989,9.89815,9.75348,9.72169,9.43149,9.44457,9.20393,9.40734,9.63474,9.71070,9.81611,9.95509,10.31328,10.66495,10.88283,10.70355,10.42677,10.29106,10.26026,10.10273,9.93356,9.90637,9.97186,9.99725,10.03975,10.06709,9.79953,9.67612,9.68261,9.45360,9.26964,9.01969,8.68253,8.29217,8.36185,8.13476,8.61670,8.61622
2016,Somersby 132_11kV,09MAY2015,MW,8.50875,9.06855,9.05147,8.66134,8.26610,8.13760,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,8.15385,7.52986,6.65084,6.48612,6.32022,6.18485,6.03472,5.92531,5.78837,5.77061,5.55480,5.59869,5.51034,5.32961,5.03062,4.95355,5.16050,5.19240,5.21098,5.15095,5.09188,4.99194,4.95684,5.18330,5.42210,5.62874,5.71075,5.84951,6.08900,6.39138,6.68217,7.20344,7.56149,7.39636,7.24665,7.28787,7.35513,7.26273,7.05379,7.06681,6.88289,6.95950,6.95051,6.94800,7.12516,6.93074,6.81647,6.32452,6.25336,6.03061,6.01164,6.09829,6.11514,5.75925,5.97072,5.96656,6.72954,6.67091
2016,Somersby 132_11kV,10MAY2015,MW,6.62433,7.08981,6.85801,6.30782,5.89398,5.79937,5.82166,5.54944,5.39131,5.19616,4.93349,4.84563,4.79594,4.74402,4.58064,4.74270,4.81559,4.74788,4.82478,4.88318,4.92269,4.96722,5.25327,5.25352,5.30601,5.39018,5.52217,5.78927,5.64340,5.84768,6.14751,6.17460,5.99351,5.73217,5.76817,5.58322,5.51154,5.53715,5.41888,5.33591,5.35732,5.23447,5.18442,5.27439,5.09688,5.11281,5.07273,5.18077,5.35346,5.65312,5.70579,5.53538,5.62539,5.24237,4.96811,5.30877,5.27640,5.45986,5.41449,5.59206,5.49639,5.72602,5.79273,5.91132,5.86536,6.06433,6.35427,6.55877,6.93022,7.33934,7.70570,7.74165,7.91809,8.07562,8.17049,8.12110,8.10704,8.22180,8.21896,8.09008,8.00642,8.16090,7.90483,7.66325,7.50933,7.79727,8.06931,7.80441,7.76386,7.66327,7.81547,7.57327,7.82929,7.74030,8.16912,8.26966
