year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,St Ives 33_11kV,01MAY2017,MW,18.12470,18.19868,17.12599,17.07051,17.38491,16.38621,15.46148,14.57374,13.77847,13.20514,12.59481,12.15094,11.63310,11.18923,10.94880,10.65288,10.65288,10.65288,10.57890,10.41245,10.91181,11.04127,11.79955,12.76127,14.27782,16.12728,18.16169,18.75351,18.67953,19.43781,19.17889,18.91996,18.43911,17.79179,17.44040,16.99653,16.57115,16.14578,16.23825,16.01631,15.57244,15.42449,15.42449,14.53675,14.44427,14.48126,14.46277,13.75997,13.66750,13.61202,13.40858,13.77847,14.12987,13.50105,13.75997,13.59352,13.29761,13.24213,13.29761,13.24213,13.63051,13.72298,14.05589,14.33331,14.74019,15.40599,15.75739,16.38621,17.25545,18.99394,20.69544,21.43523,22.26748,22.84082,22.85931,22.74834,22.37845,21.99007,21.52770,20.99136,20.58448,20.23308,19.75222,19.30835,18.67953,18.21717,17.84728,17.38491,18.58706,18.99394,18.51308,17.88427,16.88556,17.25545,17.88427,16.95954
2018,St Ives 33_11kV,02MAY2017,MW,17.69932,17.45889,16.38621,16.49717,16.60814,15.68341,14.99911,14.20384,13.40858,12.46535,11.87353,11.61460,11.17073,10.89331,10.65288,10.31998,10.19052,10.19052,10.19052,10.19052,10.52342,10.89331,11.37417,12.33589,13.79696,15.83137,17.36642,17.77330,17.73631,18.25416,18.14319,18.05072,17.55136,16.99653,16.70061,16.10879,15.99782,16.10879,15.35051,15.01761,14.64771,14.49976,14.20384,14.07438,13.87094,13.88944,13.37159,13.29761,13.29761,13.14965,13.22363,13.50105,13.74148,13.48256,13.40858,13.40858,13.50105,13.35309,13.29761,13.51954,13.51954,13.61202,13.74148,14.11137,14.38879,14.75868,15.46148,16.36771,17.27395,18.86448,20.54749,21.74964,22.34146,22.89630,23.00727,23.00727,22.63738,22.17501,21.82361,21.36125,20.99136,20.52899,19.99265,19.64125,19.21588,18.58706,18.34663,17.82878,18.95695,19.45631,18.90147,17.90276,17.21846,17.68083,18.08771,17.23696
2018,St Ives 33_11kV,03MAY2017,MW,17.99523,17.64384,16.60814,16.66362,16.79309,15.66492,14.74019,13.96341,13.26062,12.61331,12.03998,11.68858,11.33718,10.74536,10.70837,10.68987,10.35697,10.35697,10.35697,10.35697,10.70837,11.09675,11.65159,12.35439,13.81546,15.72040,17.19997,17.84728,18.01373,18.67953,18.60556,18.82749,19.04943,18.80900,18.08771,17.01502,16.88556,16.77459,16.47868,16.29373,16.49717,16.33072,16.47868,16.47868,16.16427,16.03481,16.09029,16.10879,16.10879,16.38621,16.51567,16.64513,16.86706,16.71911,16.36771,16.29373,15.75739,15.25804,14.74019,14.66621,14.74019,14.75868,15.36900,15.55395,16.01631,16.86706,17.66233,18.88298,20.15910,21.74964,23.43264,24.72727,25.39307,25.83694,26.20683,26.05888,25.50404,24.98619,24.54232,23.93200,23.78404,23.30318,22.67437,22.23050,21.62017,20.73243,20.25157,19.54878,20.47351,20.88039,20.14061,19.30835,18.40212,18.75351,19.04943,18.23566
2018,St Ives 33_11kV,04MAY2017,MW,18.84599,18.71652,17.69932,17.53287,17.42190,16.49717,15.53545,14.77718,14.05589,13.39008,12.70578,12.33589,11.76256,11.41116,11.13374,11.13374,10.80084,10.78235,10.78235,10.78235,11.20772,11.72557,12.20643,12.94621,14.64771,16.53416,18.55007,19.21588,19.36383,20.17760,20.14061,19.84469,19.30835,19.03093,18.30964,17.75481,17.38491,17.10749,16.77459,16.77459,16.18277,16.16427,15.97932,16.07180,16.21975,16.03481,16.01631,15.92384,16.09029,16.18277,16.18277,16.25674,16.01631,15.81287,15.81287,15.81287,15.57244,15.49847,15.36900,15.03610,14.79567,14.68470,15.20255,15.35051,15.90535,16.79309,17.56986,18.60556,19.56727,21.25028,22.61888,24.06146,24.72727,25.02318,25.35608,25.26361,25.00468,24.63479,24.19092,23.76555,23.28469,22.84082,22.58189,22.19351,21.54620,20.76942,20.56598,19.93717,20.86190,20.88039,20.06663,19.14190,18.08771,18.45760,19.06792,18.08771
2018,St Ives 33_11kV,05MAY2017,MW,18.73502,18.73502,17.44040,17.44040,17.69932,16.66362,15.72040,14.94363,14.09288,13.22363,12.85374,12.33589,11.91052,11.42966,11.09675,10.98579,10.74536,10.74536,10.74536,10.85632,11.22622,11.67009,12.22492,13.22363,14.66621,16.81158,18.56857,19.62276,19.53029,20.19609,20.65846,20.41803,20.02964,19.28986,18.71652,17.86577,17.60685,17.18147,16.68212,16.44169,15.96083,15.57244,15.38750,15.18406,14.81417,14.42578,14.25933,14.25933,13.96341,13.75997,13.55653,13.64901,13.59352,13.64901,13.55653,13.55653,13.64901,13.90793,13.72298,13.90793,13.75997,14.01890,14.29632,14.57374,14.99911,15.36900,16.20126,16.97803,17.77330,19.19738,20.73243,21.73114,22.17501,22.67437,22.89630,22.61888,22.45243,22.28598,21.73114,21.45372,21.15781,20.93587,20.38104,20.06663,19.69674,19.17889,18.82749,18.60556,19.64125,19.99265,19.40082,18.88298,18.05072,18.42061,19.03093,17.97674
2018,St Ives 33_11kV,06MAY2017,MW,18.69803,18.47609,17.29244,17.29244,17.44040,16.36771,15.42449,14.55524,13.98191,13.26062,12.55783,12.11396,11.78105,11.37417,11.07826,10.89331,10.70837,10.70837,10.70837,10.70837,10.70837,10.91181,11.20772,11.59611,12.37288,13.31610,14.05589,14.49976,14.90664,16.21975,16.95954,17.31094,17.69932,17.79179,18.30964,17.77330,17.29244,17.38491,17.29244,16.79309,16.94104,16.27524,16.10879,16.46018,16.12728,15.51696,15.22105,15.07309,14.75868,14.70320,14.59223,14.57374,14.42578,14.31481,14.31481,14.31481,13.96341,13.96341,13.96341,13.96341,14.20384,14.68470,14.72169,14.98062,,,,,,,,21.43523,21.62017,21.62017,21.45372,21.04684,20.54749,20.14061,19.58577,19.21588,18.75351,18.38362,17.86577,17.66233,17.32943,16.81158,16.60814,16.38621,17.88427,18.30964,18.14319,17.81029,17.18147,17.81029,18.53158,17.66233
2018,St Ives 33_11kV,07MAY2017,MW,18.25416,18.18018,17.07051,17.12599,17.31094,16.33072,15.38750,14.59223,13.87094,13.07567,12.61331,12.00299,11.57761,11.26320,11.13374,10.72686,10.41245,10.41245,10.17202,10.06106,10.24600,10.41245,10.65288,10.80084,11.42966,12.13245,12.52084,12.79826,12.98320,13.90793,14.42578,14.98062,15.60943,16.16427,16.60814,16.79309,17.23696,17.27395,16.94104,16.73760,16.57115,16.21975,15.97932,15.35051,15.23954,14.96212,14.92513,14.70320,14.53675,14.22234,14.14836,14.29632,14.03739,14.05589,14.00040,13.72298,13.96341,14.14836,13.96341,14.25933,14.49976,14.74019,15.03610,15.57244,15.94234,16.46018,17.40341,18.40212,19.53029,21.34276,23.22920,24.54232,24.83823,25.28210,25.28210,24.94920,24.65329,24.22791,23.80254,23.32168,22.82232,22.30447,21.99007,21.34276,20.95437,20.41803,19.97416,19.21588,20.15910,20.54749,19.84469,18.77201,17.82878,18.23566,18.60556,17.81029
2018,St Ives 33_11kV,08MAY2017,MW,18.45760,18.43911,17.44040,17.60685,17.81029,16.84857,15.88685,15.05460,14.49976,13.68600,13.07567,12.50234,12.09546,11.78105,11.50363,11.33718,11.07826,10.96729,10.96729,10.96729,11.26320,11.78105,12.31740,13.40858,15.29502,17.56986,19.77072,21.00985,21.06534,22.28598,22.06404,21.91609,21.62017,21.67566,20.89889,20.23308,19.75222,19.30835,18.86448,18.38362,18.03222,17.32943,16.94104,16.51567,16.03481,15.66492,15.46148,15.42449,14.83266,14.66621,14.98062,15.03610,15.23954,15.03610,14.92513,14.88814,14.99911,14.99911,14.70320,14.77718,14.98062,15.20255,15.44298,16.12728,16.66362,17.44040,18.51308,20.17760,21.62017,23.39565,25.54103,26.98361,28.03780,28.59263,28.85156,28.72210,28.25973,27.96382,27.64941,27.26102,26.70619,25.98490,25.41156,24.91221,24.32038,23.54361,22.87781,21.84211,22.71136,22.63738,21.69415,20.62147,19.45631,19.47480,20.08512,18.86448
2018,St Ives 33_11kV,09MAY2017,MW,19.43781,19.28986,18.19868,18.30964,18.36513,17.34792,16.47868,15.73890,14.92513,14.07438,13.50105,12.85374,12.63180,12.33589,12.03998,11.61460,11.42966,11.61460,11.61460,11.61460,11.83654,12.42836,13.09417,14.37030,16.29373,18.55007,21.17630,22.10103,22.34146,22.97028,23.08125,22.69286,22.58189,22.15652,21.62017,21.13931,20.82491,20.58448,20.08512,18.82749,18.23566,17.38491,16.79309,16.46018,15.97932,15.62793,15.20255,14.94363,14.94363,14.70320,14.42578,14.42578,14.29632,14.40728,15.25804,15.49847,15.16556,14.90664,14.61073,14.46277,14.66621,14.88814,15.22105,15.77588,16.29373,17.23696,18.01373,19.41932,20.71394,22.87781,24.98619,26.37328,27.31651,28.00081,28.44468,28.42618,28.25973,27.87135,27.44597,26.83565,26.42877,26.04038,25.72597,25.04167,24.30189,23.43264,22.65587,21.74964,22.43394,22.50791,21.73114,20.49200,19.51179,19.97416,20.14061,19.10491
2018,St Ives 33_11kV,10MAY2017,MW,19.71523,19.41932,18.30964,18.25416,18.23566,17.32943,16.33072,15.55395,14.88814,14.01890,13.48256,13.00170,12.44686,12.15094,12.00299,11.65159,11.57761,11.57761,11.57761,11.67009,12.07697,12.61331,13.09417,14.35180,16.09029,18.47609,20.58448,21.95308,22.26748,23.21071,23.34017,22.84082,22.17501,21.69415,20.86190,20.15910,19.49330,18.91996,18.45760,17.68083,17.19997,16.73760,16.55266,15.84986,15.59094,15.20255,14.83266,14.72169,14.51825,14.33331,14.55524,14.70320,14.44427,14.20384,14.00040,14.00040,14.05589,14.00040,14.00040,14.00040,14.00040,14.18535,14.70320,15.18406,15.83137,16.58965,17.62534,18.75351,19.95566,22.02706,23.93200,25.20812,26.24382,26.89113,27.24253,26.66920,26.61371,26.26232,26.26232,25.85544,25.50404,25.28210,24.85673,24.11694,23.45114,22.71136,21.97157,21.26878,22.10103,22.11953,21.37974,20.36254,19.32685,19.64125,20.06663,18.91996
