year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2018,St Peters 132_11kV,01MAY2017,MW,16.32063,16.09808,15.81989,15.81989,15.81989,15.78279,15.50460,15.50460,15.50460,15.50460,15.35623,15.26350,15.13368,15.13368,15.35623,15.41187,15.41187,15.41187,15.44896,15.56024,15.63442,15.94971,16.28354,16.76574,17.78578,18.43490,19.04692,19.49203,20.41934,21.21682,21.64338,22.10704,22.34814,22.75615,22.81179,22.79325,23.05289,23.42382,23.55364,23.96166,24.14712,24.12857,24.64786,24.77769,24.96315,25.00024,25.03733,24.94460,25.25989,25.27843,25.35262,25.53808,25.61227,26.07592,25.87191,26.05737,26.02028,25.66790,25.76063,25.72354,25.64936,25.44535,25.27843,25.29698,25.38971,25.14861,24.96315,24.92606,24.64786,24.27694,24.33258,24.49949,23.94311,23.75765,23.66492,23.23835,23.01580,22.88598,22.75615,22.06995,21.79175,21.66193,21.36519,21.23537,20.86444,20.40079,20.25242,19.99277,19.51057,18.99128,18.62036,18.02688,17.71160,17.48904,17.28503,16.96975
2018,St Peters 132_11kV,02MAY2017,MW,16.93266,16.71010,16.46900,16.35772,16.26499,16.15372,15.87552,15.85698,15.85698,15.85698,15.57879,15.57879,15.57879,15.57879,15.57879,15.57879,15.57879,15.56024,15.41187,15.57879,15.67152,15.94971,16.48755,16.89556,17.80433,18.67600,19.12110,19.84441,20.60480,21.36519,21.86594,22.38523,22.55215,22.81179,23.18272,23.36818,23.53509,23.98020,23.98020,24.01729,24.20276,24.53659,24.62932,24.66641,24.85187,24.96315,24.75914,24.87042,25.11152,25.18570,24.96315,25.09297,25.35262,25.27843,25.55663,25.57517,25.50099,24.94460,24.98170,24.90751,25.09297,24.87042,24.62932,24.72205,24.53659,24.36967,24.23985,24.12857,23.99875,24.16566,24.12857,23.92456,23.57219,23.25690,23.16417,22.99725,22.84889,22.53360,22.16268,21.99576,21.79175,21.49501,21.16118,20.75317,20.66044,20.27097,19.82586,19.75167,19.38075,18.73163,18.45344,18.17525,17.76723,17.11812,16.93266,16.78429
2018,St Peters 132_11kV,03MAY2017,MW,16.78429,16.52464,16.45046,16.17226,15.89407,15.89407,15.56024,15.56024,15.56024,15.41187,15.35623,15.41187,15.54169,15.33769,15.56024,15.41187,16.52168,15.33769,15.39332,15.59733,15.81989,15.96826,16.65446,16.93266,17.69305,18.54617,19.21384,19.62185,20.64189,21.16118,21.71757,22.31105,22.49651,22.70052,22.90452,23.01580,23.16417,23.18272,23.47946,23.68346,23.68346,24.05439,24.05439,23.99875,24.16566,24.31403,24.35113,24.31403,24.44386,24.23985,24.79623,24.74059,24.83333,24.70350,24.94460,24.77769,24.85187,24.51804,24.55513,24.29549,24.20276,24.11003,24.16566,23.79474,24.09148,23.72056,23.49800,23.29399,23.47946,23.72056,23.68346,23.70201,23.40527,23.31254,23.01580,23.07144,22.94162,22.53360,22.32959,22.06995,21.86594,21.51356,21.16118,21.12409,20.86444,20.27097,19.90004,19.77022,19.64040,19.23238,18.41635,18.24943,17.93415,17.56323,17.09957,16.74719
2018,St Peters 132_11kV,04MAY2017,MW,16.74719,16.54319,16.32063,15.96826,15.96826,15.93116,15.83843,15.57879,15.37478,15.37478,15.37478,15.37478,15.37478,15.35623,15.09658,15.30059,24.12086,17.90104,15.46751,15.46751,15.67152,15.87552,16.33918,16.85847,17.69305,18.63890,19.38075,19.90004,20.66044,21.19828,21.79175,22.27395,22.62633,23.03435,23.05289,22.96016,23.18272,23.42382,23.51655,23.77619,23.77619,24.05439,24.18421,24.22130,24.44386,24.42531,24.61077,24.83333,24.68496,24.38822,24.62932,24.55513,24.70350,24.88896,24.66641,24.77769,24.64786,24.44386,24.42531,24.57368,24.25839,24.01729,23.81329,23.75765,24.01729,24.01729,24.01729,23.94311,23.75765,24.01729,24.07293,23.92456,23.21981,23.25690,23.27545,23.10853,22.97871,22.77470,22.44087,22.36668,22.10704,21.81030,21.62484,21.43938,20.93863,20.73462,20.25242,19.86295,19.51057,19.15820,18.63890,18.15670,17.73014,17.61886,17.39631,17.04393
2018,St Peters 132_11kV,05MAY2017,MW,16.76574,16.52464,16.24645,16.15372,15.94971,16.11662,15.76425,15.74570,15.74570,15.67152,15.44896,15.44896,15.44896,15.50460,15.44896,15.44896,23.27173,15.26350,15.26350,15.26350,15.50460,15.69006,16.32063,16.69156,17.50759,18.26798,18.93564,19.49203,20.17824,21.10555,21.49501,21.56920,21.95867,22.23686,22.44087,22.55215,22.64488,22.88598,23.03435,23.23835,23.38672,23.66492,23.44236,23.81329,23.94311,24.03584,24.20276,24.49949,24.48095,24.35113,24.36967,24.57368,24.68496,24.72205,24.96315,24.81478,24.81478,24.55513,24.70350,24.66641,24.27694,24.09148,24.33258,23.94311,23.92456,23.88747,23.86892,23.64637,23.59073,23.59073,23.38672,23.34963,22.90452,22.86743,22.73761,22.40378,22.08849,21.75466,21.47647,21.03136,20.80881,20.71608,20.40079,20.04841,20.04841,19.56621,19.41784,19.41784,19.12110,18.75018,18.36071,18.08252,17.87851,17.60032,17.30358,17.00684
2018,St Peters 132_11kV,06MAY2017,MW,16.87702,16.72865,16.52464,16.26499,16.22790,16.22790,16.04244,15.91262,15.74570,15.43042,15.43042,15.35623,15.35623,15.35623,15.30059,15.39332,19.16224,15.43042,15.43042,15.43042,15.33769,15.33769,15.35623,15.69006,15.83843,16.32063,16.59882,16.71010,16.95120,18.63890,18.21234,18.52763,19.12110,19.34366,19.69604,19.77022,19.93714,20.10405,20.25242,20.47498,20.77171,21.03136,21.14264,21.38374,21.71757,21.81030,21.77321,21.73611,21.88448,22.05140,21.97722,22.03285,22.27395,21.94012,22.03285,22.03285,22.06995,21.99576,22.19977,22.19977,22.12558,22.06995,22.01431,21.88448,1.69992,,,,,,1.67391,22.94162,21.34665,21.23537,21.17973,20.77171,20.67898,20.77171,20.58625,20.47498,20.02987,19.91859,19.75167,19.52912,19.47348,19.28802,19.17674,19.02837,18.78727,18.62036,18.28653,18.02688,17.95270,17.58177,17.41486,17.15521
2018,St Peters 132_11kV,07MAY2017,MW,17.15521,17.02539,16.82138,16.80283,19.11812,15.67152,15.87552,15.89407,15.76425,15.57879,15.39332,15.39332,15.15222,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.11513,15.63442,16.30209,16.00535,16.09808,16.28354,16.54319,16.95120,17.13666,17.24794,17.54468,17.61886,17.80433,18.13816,18.43490,18.56472,18.73163,18.99128,18.80582,18.89855,18.89855,19.36220,19.51057,19.56621,19.62185,19.47348,19.10256,19.10256,19.25093,19.34366,19.51057,19.51057,19.60330,19.56621,19.78877,19.67749,19.78877,19.78877,19.71458,19.73313,19.97423,19.88150,20.08551,19.99277,19.86295,20.12260,20.67898,20.95718,20.97572,20.92008,20.97572,21.03136,20.84590,20.88299,20.82735,20.69753,20.32661,19.99277,19.99277,19.71458,19.71458,19.49203,19.30657,19.12110,18.91710,18.56472,18.08252,17.61886,17.37776,17.04393,16.85847,16.69156,16.39482
2018,St Peters 132_11kV,08MAY2017,MW,16.22790,15.93116,15.91262,15.70861,15.67152,15.54169,15.39332,15.41187,15.33769,15.33769,15.33769,15.17077,14.98531,14.98531,14.98531,14.98531,14.98531,15.15222,15.54169,15.56024,15.78279,15.98680,16.41336,16.85847,17.89706,18.63890,19.30657,19.77022,20.73462,21.40228,21.75466,22.21832,22.45942,22.81179,22.70052,22.73761,22.90452,23.05289,23.10853,23.33109,23.40527,23.46091,23.57219,23.64637,23.98020,23.85038,23.81329,23.72056,23.81329,23.83183,23.83183,23.92456,24.14712,24.03584,23.99875,23.99875,23.94311,24.31403,24.27694,24.01729,23.72056,23.81329,23.90602,23.73910,23.62782,23.44236,23.18272,23.10853,23.05289,23.38672,23.53509,23.40527,23.25690,23.12708,23.10853,22.99725,22.88598,22.34814,22.14413,21.95867,21.69902,21.43938,21.14264,20.84590,20.67898,20.36370,20.27097,19.56621,19.10256,18.78727,18.26798,17.80433,17.48904,17.15521,17.00684,16.56173
2018,St Peters 132_11kV,09MAY2017,MW,16.56173,16.39482,16.09808,15.98680,15.98680,15.83843,15.63442,15.63442,15.37478,15.09658,15.09658,15.09658,15.09658,15.09658,15.09658,15.11513,15.28205,15.28205,15.28205,15.28205,15.59733,15.87552,16.41336,16.91411,17.76723,18.82437,19.45494,19.99277,20.73462,21.62484,22.21832,22.58924,22.83034,22.75615,22.97871,23.10853,23.36818,23.60928,23.83183,23.88747,23.77619,23.68346,23.73910,23.88747,23.96166,24.31403,24.14712,24.18421,24.48095,24.27694,24.35113,24.51804,24.25839,24.33258,24.46240,24.33258,24.12857,24.42531,24.18421,24.12857,24.09148,24.03584,23.85038,23.81329,23.75765,23.72056,23.53509,23.68346,23.66492,23.62782,23.68346,23.66492,23.36818,23.33109,23.21981,23.29399,22.81179,22.53360,22.29250,22.08849,21.90303,21.68048,21.58775,21.29101,20.86444,20.43788,20.02987,19.64040,19.28802,18.95419,18.52763,18.43490,17.95270,17.50759,17.35922,16.83993
2018,St Peters 132_11kV,10MAY2017,MW,16.69156,16.54319,16.32063,16.24645,16.17226,15.98680,15.98680,15.72715,15.48605,15.41187,15.41187,15.41187,15.31914,15.33769,15.43042,15.37478,15.44896,15.46751,15.46751,15.69006,15.81989,16.15372,16.78429,17.21085,18.06397,18.76873,19.36220,20.10405,20.88299,21.73611,22.19977,22.64488,22.81179,22.70052,22.83034,22.68197,23.03435,23.60928,23.59073,23.73910,23.88747,24.01729,23.92456,24.20276,24.36967,24.72205,24.72205,24.88896,24.94460,24.70350,24.66641,24.59223,24.48095,24.81478,24.87042,24.55513,24.62932,24.77769,24.61077,24.55513,24.59223,24.40676,24.18421,24.31403,23.98020,23.77619,23.99875,23.79474,23.72056,23.85038,23.81329,24.01729,23.57219,23.49800,23.55364,23.40527,23.10853,22.62633,22.47796,22.57069,22.42232,21.90303,21.58775,21.53211,21.08700,20.34515,20.32661,20.08551,19.52912,18.97274,18.50908,18.06397,17.73014,17.47050,17.15521,16.82138
