year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2015,Swansea 33_11kV,01MAY2014,MW,6.63488,6.08603,6.14907,7.02201,6.77485,6.04532,5.62396,5.74122,5.02579,4.53219,4.07545,3.75895,3.58577,3.56226,3.28687,3.33859,3.24013,3.22599,3.25405,3.33338,3.51010,3.70199,3.75859,4.06552,4.44876,4.65614,4.96431,4.74644,4.62193,4.67836,4.81174,4.89387,4.92333,4.81949,4.73421,4.46740,4.42232,4.33808,4.13984,3.96170,3.92756,4.04363,3.85895,3.79988,3.82753,3.86375,3.75551,3.76445,3.83265,3.82196,3.78649,3.87455,3.92300,3.82649,3.60968,3.61430,3.70971,3.73966,3.78072,3.84545,3.97934,3.97511,4.15984,4.29931,4.53919,4.67046,4.80865,5.01984,5.44486,5.87242,6.39151,6.49274,6.51427,6.48692,6.45127,6.34675,6.10266,6.17716,5.90893,5.70124,5.72222,5.61098,5.37844,5.15251,5.08013,4.86422,5.07935,4.99784,6.06828,5.77119,5.94179,5.87650,6.04083,5.61062,5.80141,6.23061
2015,Swansea 33_11kV,02MAY2014,MW,6.68391,6.18840,6.17718,7.01623,6.73158,5.95929,5.61253,5.75644,5.08829,4.56726,4.25589,3.91463,3.69865,3.62436,3.40386,3.30836,3.35106,3.35205,3.39212,3.45716,3.60217,3.61907,3.72343,3.96124,4.37649,4.52665,4.73438,4.56292,4.50195,4.59796,4.62652,4.67981,4.59793,4.79428,4.71879,4.56084,4.34090,4.24308,4.15006,4.08934,3.96986,3.91609,3.93251,3.81272,3.84956,3.86228,3.92977,4.14811,4.04800,3.90556,3.76646,3.64652,3.73123,3.88300,3.86382,3.95295,4.17062,4.17832,3.91816,4.05250,3.93657,4.12091,4.33144,4.50516,4.59021,4.87799,5.10688,5.35794,5.79552,6.22688,6.47561,6.42802,6.43441,6.43443,6.31642,6.10088,6.04191,6.14795,5.91732,5.79606,5.63033,5.32968,5.25439,5.12282,5.01611,4.92900,5.14649,5.04486,6.11888,5.96305,6.05023,5.75495,6.01950,5.74781,5.90366,6.29488
2015,Swansea 33_11kV,03MAY2014,MW,6.64806,6.27178,6.31021,7.00704,6.66761,5.95140,5.27902,4.68091,5.12793,4.69809,4.26915,3.95027,3.75050,3.52385,3.33875,3.43112,3.38434,3.33551,3.25902,3.36975,3.34690,3.31735,3.39464,3.42211,3.66628,3.93890,4.16053,4.20320,4.50344,4.85611,5.23207,5.56875,5.84396,5.76961,5.85028,5.85657,5.92992,5.83667,5.74186,5.75438,5.79334,5.65242,5.38257,5.35854,5.19811,5.00910,4.99044,4.81644,4.94380,4.93536,5.07883,4.87998,4.78567,5.08416,5.40180,4.89299,4.78718,4.71046,4.71135,4.87095,4.94573,5.16367,5.34568,5.50735,5.61899,5.78150,6.00404,6.16483,6.68611,7.07243,7.51820,7.43131,7.49673,7.34556,7.26080,7.18475,7.02149,7.12416,6.81123,6.58380,6.45234,6.35957,6.27050,5.98901,5.98136,5.68961,6.71200,6.33605,5.88697,5.68604,6.05275,5.70032,6.36380,5.99026,5.35788,5.41332
2015,Swansea 33_11kV,04MAY2014,MW,5.81062,4.96742,5.26576,6.42042,5.33280,4.46562,4.08424,3.66676,4.06941,3.72614,3.52248,3.41742,3.41826,3.22633,3.31042,3.30183,3.37830,3.33329,3.43342,3.38518,3.25225,3.23299,3.35400,3.43966,3.68654,3.79883,4.01991,4.16190,4.37754,4.63796,5.05923,5.53909,6.06428,6.36485,6.75200,6.94872,6.88337,6.72127,6.65097,6.45709,6.33439,5.89897,5.93597,5.77881,5.61884,5.47081,5.20206,5.12777,5.12970,5.12051,4.97740,4.84564,4.90269,4.85295,4.77511,4.60032,4.62440,4.53015,4.69404,4.65510,4.74390,4.85981,4.83592,5.09596,5.23934,5.46378,5.79775,5.95295,6.26119,6.83763,7.33125,7.34823,7.35947,7.37875,7.30318,7.07827,6.90773,6.82167,6.61079,6.54580,6.36621,6.18826,6.04762,5.78671,5.78619,5.53957,6.53873,6.12524,5.62926,5.27871,5.67194,5.46375,6.00080,5.55273,4.95475,5.16900
2015,Swansea 33_11kV,05MAY2014,MW,5.32127,4.78793,5.08101,6.16092,5.21925,4.38492,4.09808,4.16917,3.83972,3.56145,3.30081,3.27741,3.27277,3.22137,3.19326,3.22152,3.18895,3.29405,3.33005,3.43412,3.56411,3.69282,3.76548,4.11020,4.55325,4.84483,5.24111,5.11915,5.11915,5.39883,5.53493,5.58100,5.40332,5.36303,5.19774,5.07976,4.71506,4.71276,4.61368,4.45293,4.32187,4.31982,4.20279,4.03168,3.88135,3.90869,3.88254,3.97058,3.93530,3.94341,3.89706,3.82550,3.79227,3.76066,3.79421,3.79586,3.82958,3.83755,3.93617,3.93603,3.88381,4.07625,4.14689,4.37591,4.52317,4.82960,5.05147,5.60947,6.15408,7.05042,7.65736,7.55249,7.62977,7.63306,7.54378,7.55182,7.34035,7.25573,6.90245,6.68806,6.50579,6.33826,6.08039,5.90261,5.65960,5.52822,5.66581,5.52424,6.47631,6.40230,6.42414,6.12780,6.14500,5.85473,6.03242,6.45124
2015,Swansea 33_11kV,06MAY2014,MW,6.85757,6.45337,6.39139,7.16904,6.86333,6.24005,5.84887,6.10839,5.48739,5.02798,4.60862,4.30308,3.89329,3.71472,3.62402,3.51232,3.45065,3.44562,3.49084,3.55367,3.65056,3.68788,3.88822,4.07479,4.59520,4.96239,5.32589,5.16891,5.23704,5.51169,5.67034,5.59724,5.57503,5.64596,5.56242,5.26991,5.11385,4.74462,4.58634,4.33023,4.45038,4.32151,4.29661,4.14566,4.10062,4.01298,3.82290,3.87861,4.02285,3.88203,3.83752,3.83569,3.78058,3.89817,3.82498,3.92834,3.81560,3.80114,3.84335,3.84089,3.89555,4.03929,4.14764,4.36038,4.71140,4.89636,5.11847,5.51218,6.15057,6.82155,7.34480,7.36108,7.37584,7.29137,7.16067,7.13031,6.95365,6.98047,6.77111,6.66124,6.41923,6.22021,5.91261,5.67918,5.51277,5.34910,5.47375,5.35719,6.51237,6.25942,6.17352,5.97162,6.05060,5.80301,5.89942,6.44869
2015,Swansea 33_11kV,07MAY2014,MW,6.81544,6.28830,6.28523,7.02803,6.76134,6.17956,5.81613,6.04894,5.51215,4.99192,4.44921,4.03119,3.84327,3.76779,3.63953,3.56983,3.47494,3.36281,3.43327,3.47462,3.62559,3.77119,3.93102,4.15075,4.57684,4.81339,5.12713,4.94832,5.00803,5.20426,5.34772,5.26579,5.28744,5.02287,4.97438,4.88721,4.68575,4.66317,4.66519,4.60117,4.50976,4.45542,4.19207,4.24941,4.23763,4.12120,4.00171,4.03462,4.07928,4.12810,4.07292,4.05423,4.08769,3.92674,3.87222,3.86506,3.92076,3.98868,3.93239,3.93561,3.95046,4.09375,4.21032,4.32031,4.59660,4.78266,5.19744,5.64995,6.19418,6.95186,7.28348,7.09844,7.14597,7.26882,7.04360,6.98934,6.80272,6.89012,6.65970,6.56411,6.36980,6.11040,5.97148,5.76386,5.56895,5.38183,5.55321,5.39967,6.51503,6.34825,6.27904,5.97061,6.14349,5.80915,5.99875,6.46099
2015,Swansea 33_11kV,08MAY2014,MW,6.83469,6.30245,6.44430,7.14669,6.88417,6.23923,5.89244,6.16462,5.43019,4.80561,4.37215,4.13181,3.84672,3.72502,3.50456,3.50104,3.42855,3.41566,3.32095,3.57973,3.62844,3.71707,3.84287,4.19211,4.40165,4.80495,5.17012,5.12137,5.17868,5.45195,5.46308,5.64416,5.72689,5.53621,5.41721,5.27444,5.34201,5.35401,5.29122,5.25916,4.83337,4.56698,4.75211,4.78179,4.65316,4.83253,4.94673,4.78411,4.60469,4.90811,4.44011,4.63309,4.51937,4.72889,4.95342,4.89625,4.71786,4.75081,4.73735,4.26008,4.36778,4.60060,4.78662,5.06823,5.26104,5.51082,5.69797,6.05302,6.68618,7.34944,7.73151,7.64146,7.66708,7.65293,7.64041,7.38757,7.22803,7.29196,6.85662,6.73268,6.64775,6.46230,6.26795,6.05074,5.87037,5.70793,5.77684,5.68354,6.75781,6.42403,6.47847,6.24568,6.35400,6.02600,6.18282,6.58902
2015,Swansea 33_11kV,09MAY2014,MW,6.95463,6.49663,6.53094,7.24512,6.96788,6.44612,5.97288,6.17772,5.57248,4.98189,4.46230,4.25207,3.96061,3.83007,3.69546,3.48199,3.51611,3.44570,3.40237,3.52482,3.60409,3.77873,3.82698,4.11067,4.42571,4.81970,5.17483,4.98763,4.90366,5.12277,5.22666,5.38203,5.39617,5.09509,4.94273,4.89374,4.88225,4.62227,4.45551,4.34472,4.24935,4.25736,4.09996,4.01716,4.11521,4.24639,4.16505,4.11795,4.21547,4.01414,3.99111,3.93120,3.99504,3.92104,3.90185,3.91196,3.85894,3.96877,4.03488,4.05304,4.19236,4.32206,4.47369,4.61913,4.71375,5.01146,5.21031,5.66268,6.13197,6.58078,6.80749,6.67911,6.61264,6.63588,6.58680,6.32149,6.38073,6.53529,6.32790,6.26890,6.06581,5.94139,5.78103,5.63000,5.45977,5.27967,5.47909,5.39935,6.46646,6.31102,6.34964,6.18438,6.40873,6.01428,6.13832,6.64381
2015,Swansea 33_11kV,10MAY2014,MW,6.88957,6.44275,6.56667,7.25527,6.94625,6.26941,5.58797,5.00936,5.39464,5.00239,4.55454,4.16798,3.89359,3.70152,3.57780,3.55915,3.48877,3.39429,3.37867,3.41148,3.51882,3.60292,3.60854,3.60392,3.79934,3.97496,4.19901,4.48887,4.79332,5.19396,5.46440,5.88277,6.05046,5.88839,6.00182,6.00111,6.05105,5.96012,5.73062,5.69352,5.55930,5.48129,5.28762,5.14797,4.99200,4.93880,4.95429,5.06757,5.09699,5.16525,5.12689,5.05403,5.08536,4.96081,4.95457,5.05840,5.04960,4.97134,4.98820,5.14628,5.01859,5.23426,5.25629,5.38574,5.58086,5.93001,6.13094,6.06497,6.54461,6.93495,7.00711,6.91337,6.82632,6.69753,6.49460,6.38474,6.31658,6.43661,6.10172,5.87062,5.67131,5.50879,5.53465,5.43067,5.43937,5.31732,6.17523,5.77089,5.38162,5.16040,5.63383,5.35505,6.00119,5.60446,5.02603,5.29217
