year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2017,Tanilba Bay 33_11kV,01MAY2016,MW,3.29471,3.01293,2.98929,2.86349,2.75565,2.66966,2.58403,2.47283,2.38674,2.38674,2.44383,2.47215,2.52131,2.47532,2.45331,2.42273,2.34954,2.38585,2.29178,2.29178,2.31178,2.36758,2.48170,2.48170,2.52874,2.50324,2.69536,2.86425,3.03486,3.17911,3.61632,3.94114,3.90441,4.05666,4.08135,4.21738,4.28259,4.58186,4.65179,4.63982,4.59246,4.59623,4.45226,4.39452,4.31774,4.17671,4.24602,4.38044,4.32428,4.26931,4.36016,4.16128,4.22389,4.17106,4.12651,4.04770,4.02738,3.93490,3.93654,3.90290,3.95789,4.05463,3.98473,4.07497,4.13916,4.31661,4.52067,4.61621,4.68270,4.98252,5.26674,5.43900,5.51593,5.45821,5.41248,5.34461,5.19279,5.06680,4.73483,4.53680,4.38137,4.32902,4.25276,4.03237,3.99111,3.84706,4.02169,3.93023,3.95722,3.87568,3.63936,3.59843,4.38076,4.23408,3.74168,3.46509
2017,Tanilba Bay 33_11kV,02MAY2016,MW,3.35912,3.03364,3.08333,2.93008,2.76321,2.57491,2.51926,2.49980,2.40950,2.25399,2.50040,2.39206,2.29365,2.41317,2.39999,2.39026,2.36003,2.33206,2.44037,2.48104,2.62872,2.62477,2.68664,2.81295,3.08632,3.31468,3.59837,3.88150,3.75516,3.82476,3.67918,3.78275,3.90120,3.80678,3.70564,3.47142,3.40160,3.20442,3.51053,3.49039,3.23671,3.19304,3.19103,3.07005,2.93845,2.95013,3.11498,2.98855,3.05457,3.13803,2.94273,2.89880,3.14319,3.20705,3.25116,3.25627,3.22424,3.25546,3.32787,3.38080,3.38568,3.43001,3.56218,3.57356,3.77143,4.07387,4.21087,4.49466,4.70973,5.00875,5.31933,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,5.28352,4.88762,5.07533,4.94049,4.57922,4.36405
2017,Tanilba Bay 33_11kV,03MAY2016,MW,4.18642,3.83224,3.58011,3.34250,3.13565,2.88986,2.79965,2.56002,2.56002,2.58405,2.51679,2.46442,2.42759,2.39065,2.39065,2.39172,2.46190,2.45135,2.40061,2.55086,2.61386,2.62786,2.71507,2.83609,3.02824,3.26213,3.53439,3.89124,3.77722,3.72657,3.71495,3.68851,3.83196,3.81338,3.67386,3.47591,3.07813,2.97295,3.11794,3.13898,3.10822,3.08974,3.04347,3.09711,3.24298,3.42487,3.40447,3.34538,3.34682,3.63935,3.22767,3.17955,3.07021,3.00488,2.99445,3.07082,2.98914,3.00167,3.19194,3.26396,3.17994,3.27075,3.32037,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.42543,3.55629,3.54583,3.81081,4.90389,4.82536,4.63771,4.31253
2017,Tanilba Bay 33_11kV,04MAY2016,MW,4.10073,3.85540,3.64215,3.37950,3.11208,2.87320,2.68402,2.67435,2.57666,2.45442,2.34329,2.34171,2.34555,2.42444,2.38458,2.38319,2.47690,2.46897,2.44281,2.38203,2.63208,2.67451,2.75693,2.82186,3.05901,3.36485,3.75560,3.82034,3.68656,3.62782,3.66533,3.66802,3.60654,3.60126,3.54184,3.43452,3.13886,3.09876,3.23533,3.27734,3.14197,3.17004,3.07932,3.02808,2.93515,2.97036,3.00565,2.90934,3.01826,3.03599,2.87053,2.79624,2.99396,2.96586,3.10586,3.02365,3.21616,3.14203,3.34287,3.38534,3.15574,3.32557,3.34125,3.39993,3.57490,3.76358,3.96231,4.02334,4.30024,4.49324,4.98007,5.23381,5.30061,5.25088,5.15975,5.21406,5.06344,4.79973,4.70020,4.56745,4.37697,4.35287,4.30829,4.20127,4.35587,4.24294,4.52641,4.37722,4.39586,4.32730,4.11406,3.88661,4.99668,4.92955,4.73074,4.39989
2017,Tanilba Bay 33_11kV,05MAY2016,MW,4.17596,3.93730,3.68812,3.46003,3.27594,3.08895,2.81030,2.59566,2.59330,2.46376,2.42786,2.39629,2.39653,2.39653,2.43283,2.45638,2.43169,2.37592,2.37363,2.49321,2.68337,2.68498,2.76214,2.79693,3.00240,3.21438,3.59384,3.79220,3.71029,3.75452,3.78729,3.85443,3.76652,3.67170,3.67841,3.39410,3.05098,2.86867,2.92688,3.01860,2.96428,2.88297,2.95711,2.95411,3.05601,3.01349,3.01071,2.90635,2.92385,2.78488,2.69826,2.68554,2.76546,2.71090,2.80357,2.82658,2.83909,2.91436,3.03591,3.05832,3.10103,3.11920,3.22617,3.38803,3.46207,3.58687,3.70207,4.01846,4.35087,4.63013,4.94101,4.98111,5.00590,5.05477,5.06774,4.92085,4.86633,4.77125,4.56664,4.45292,4.33121,4.34715,4.27168,4.19246,4.08829,4.02966,4.48222,4.36516,4.30298,4.15642,4.02276,3.82212,4.73554,4.85871,4.52379,4.43086
2017,Tanilba Bay 33_11kV,06MAY2016,MW,4.11027,3.68173,3.56773,3.25154,3.05812,2.92048,2.73369,2.58389,2.49962,2.40234,2.36044,2.41219,2.41036,2.31234,2.37807,2.46114,2.47210,2.45918,2.45918,2.45918,2.53751,2.68630,2.71839,2.74015,2.83603,2.93970,3.37340,3.54950,3.44343,3.47742,3.45683,3.46829,3.52327,3.42183,3.21869,3.30128,3.06090,3.00600,3.13889,3.06218,2.96004,2.80023,2.80048,2.83266,2.77772,2.82250,2.91469,2.76353,2.77909,2.74732,2.70244,2.76096,2.71333,2.86545,2.85707,2.91553,2.97042,3.04073,3.14482,3.22278,3.24397,3.27517,3.40383,3.48191,3.63080,3.67507,3.93644,4.17942,4.35255,4.60112,4.85126,5.03896,4.99290,4.80028,4.84317,4.78629,4.83524,4.70736,4.58453,4.56094,4.49251,4.46601,4.39599,4.24818,4.21155,4.16682,4.53283,4.44517,4.47178,4.40728,4.30723,4.09339,5.21495,5.23405,4.82764,4.62960
2017,Tanilba Bay 33_11kV,07MAY2016,MW,4.40370,4.07271,3.76657,3.47617,3.25322,3.03254,2.79604,2.67412,2.65551,2.48539,2.42492,2.42492,2.40594,2.37898,2.17136,2.23594,2.30090,2.44939,2.39986,2.38179,2.50617,2.50617,2.50617,2.51008,2.64341,2.73939,3.01982,3.21353,3.50364,3.70953,3.75797,3.84885,3.89370,4.02747,3.94230,3.92842,3.90673,3.78013,3.78938,3.70348,3.49241,3.42233,3.30836,3.20677,3.30872,3.37834,3.19371,3.14606,3.10931,3.05342,2.99771,3.16005,3.12316,3.01544,3.17650,3.14565,3.10159,3.15992,3.29043,3.34550,3.51463,3.55505,3.45348,3.46792,3.68759,3.87217,3.95641,4.03959,4.26503,4.63027,5.06392,5.12383,5.14017,4.98044,4.93709,4.77708,4.72965,4.71340,4.57363,4.38061,4.27751,4.16729,4.03283,3.77395,3.82166,3.70237,3.98123,3.83151,3.82509,3.64568,3.69591,3.55731,4.44076,4.22117,3.84616,3.60153
2017,Tanilba Bay 33_11kV,08MAY2016,MW,3.37187,3.12208,3.08392,2.80732,2.70153,2.50194,2.50631,2.42079,2.33094,2.33094,2.33094,2.36873,2.33289,2.33289,2.36521,2.33547,2.44058,2.42982,2.32996,2.32996,2.37675,2.45331,2.45331,2.45331,2.48188,2.60243,2.86009,2.91132,3.11798,3.37225,3.55858,3.53142,3.80541,4.03312,4.17482,4.21490,4.10830,4.14128,4.18728,4.20041,4.23836,4.05275,4.23525,4.12350,4.11075,3.95194,3.84469,3.67156,3.79249,3.79963,3.58991,3.55901,3.26042,3.32520,3.37235,3.37711,3.33872,3.38248,3.38185,3.42511,3.37262,3.54823,3.59950,3.65639,3.68367,3.98199,4.15282,4.38305,4.61128,5.12763,5.29249,5.25442,5.25871,5.20743,5.15777,5.09570,5.01334,4.80461,4.60308,4.52506,4.36153,4.24460,4.18873,4.08959,3.87114,3.79453,4.00477,3.98674,3.94331,3.76970,3.60925,3.48903,4.41619,4.16877,3.75824,3.49356
2017,Tanilba Bay 33_11kV,09MAY2016,MW,3.28383,3.04993,2.93288,2.88852,2.67716,2.66575,2.51883,2.43261,2.36324,2.32228,2.25129,2.31038,2.31038,2.25466,2.21444,2.36640,2.50698,2.48678,2.49385,2.42642,2.55904,2.73497,2.76756,2.76756,2.95378,3.07762,3.34435,3.51488,3.42295,3.62293,3.69991,3.69930,3.71960,3.80368,3.67661,3.64762,3.46141,3.40247,3.44336,3.39847,3.54656,3.65321,3.62116,3.67454,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.69758,3.60758,3.46340,3.53969,3.80481,3.78805,3.53709,3.57585,3.67796,3.77756,3.85961,4.01800,4.15973,4.36179,4.73670,5.04463,5.26694,5.47313,5.38847,5.19604,5.09685,4.98964,4.86628,4.62771,4.60547,4.47479,4.35535,4.32406,4.10962,4.09407,4.10547,4.02260,4.49502,4.35473,4.30357,4.21585,4.06221,3.84031,5.06001,5.04773,4.69494,4.45719
2017,Tanilba Bay 33_11kV,10MAY2016,MW,4.25769,3.94157,3.61306,3.44293,3.21404,3.00712,2.82014,2.70264,2.52811,2.46310,2.55327,2.59080,2.49247,2.37791,2.31171,2.35912,2.39261,2.39261,2.39261,2.49847,2.48082,2.75161,2.84182,2.81621,3.05349,3.23322,3.48222,3.85126,3.71217,3.87922,3.88920,3.99026,3.95812,3.99824,3.95092,3.98712,3.54634,3.22223,3.36695,3.29510,3.26886,3.11235,3.16023,3.08695,3.07453,3.00455,3.01143,2.99577,3.07486,3.05280,2.86089,2.80910,3.01283,3.05074,2.97459,2.97170,3.02708,2.98016,3.08100,3.27866,3.20729,2.87178,2.90176,2.91536,3.12733,3.28610,3.89171,4.17778,4.34828,4.58252,5.11290,5.22596,5.30146,5.26767,5.12183,5.04936,4.79443,4.65844,4.70500,4.51921,4.49291,4.44046,4.37993,4.30176,4.22525,4.16502,4.54092,4.50959,4.46162,4.29674,4.17340,3.95553,5.09517,5.09886,4.85380,4.53740
